"","Name","ID","Salary","AvgPointsPerGame","odds_open","odds_close","odds_rank","odds_delta","odds_delta_per","fpts","proj_own","ceil","floor","odds_per_dollar","one","residuals","own_change","adj_own"
"85","Peter Malnati",22420156,6600,57.55,0.0037,0.0034,82,-3e-04,-0.0811,39.48,1.9,66,21,0.52,1,-0.05,9.43,10
"86","Adam Schenk",22420157,6600,44.42,0.0025,0.0023,100,-2e-04,-0.08,40.03,0.94,66.08,20.5,0.35,1,-0.22,9.5,10
"87","Michael Thompson",22420159,6600,56.28,0.0045,0.0056,65,0.0011,0.2444,45.22,0.71,70,22,0.85,1,0.28,13.01,15
"88","Andrew Novak",22420160,6500,52.87,0.0037,0.0034,82,-3e-04,-0.0811,43.63,2.4,69.08,22,0.52,1,0.02,9.48,10
"89","Peter Uihlein",22420161,6500,58.21,0.0024,0.0022,104,-2e-04,-0.0833,41.03,1,67.5,21,0.34,1,-0.16,9.55,10
"90","Brice Garnett",22420162,6500,48.39,0.0038,0.004,76,2e-04,0.0526,45.46,0.35,70,22.5,0.62,1,0.12,10.52,10
"91","Chase Seiffert",22420163,6500,57.44,0.006,0.0055,66,-5e-04,-0.0833,47.12,1.8,72,22.5,0.85,1,0.35,9.33,10
"92","John Huh",22420164,6500,57.85,0.0041,0.0047,70,6e-04,0.1463,45.35,1.1,70,22.5,0.72,1,0.22,11.58,15
"93","Hayden Buckley",22420165,6500,54.5,0.0029,0.0038,78,9e-04,0.3103,44.27,1.5,70,22.5,0.58,1,0.08,12.82,15
"94","Trey Mullinax",22420166,6500,50.03,0.0026,0.0031,88,5e-04,0.1923,45.6,0.82,70.5,22.43,0.48,1,-0.02,11.35,10
"95","Dylan Wu",22420167,6500,50.36,0.0035,0.0032,86,-3e-04,-0.0857,40.73,0.63,66.5,21,0.49,1,-0.01,9.47,10
"96","Bill Haas",22420168,6500,53.34,0.0024,0.0022,104,-2e-04,-0.0833,38.67,0.52,64,20.5,0.34,1,-0.16,9.55,10
"97","James Hahn",22420169,6400,39.61,0.0033,0.0035,80,2e-04,0.0606,43.71,0.49,68.5,22,0.55,1,0.11,10.52,10
"98","Charley Hoffman",22420170,6400,49.15,0.002,0.0022,104,2e-04,0.1,48.57,0.86,73.5,23,0.34,1,-0.1,10.43,10
"99","Satoshi Kodaira",22420172,6400,57.44,0.0025,0.0028,92,3e-04,0.12,43.77,1.1,69,22,0.44,1,0,10.74,10
"100","Wesley Bryan",22420174,6400,51.89,0.0023,0.0021,106,-2e-04,-0.087,39.02,0.64,65,21,0.33,1,-0.11,9.59,10
"101","Ben Kohles",22420175,6400,56.46,0.002,0.0025,96,5e-04,0.25,38.09,0.53,64.5,20.5,0.39,1,-0.05,11.59,10
"102","Callum Tarren",22420176,6400,51.37,0.0021,0.002,108,-9.99999999999998e-05,-0.0476,40.1,0.7,66.08,21,0.31,1,-0.13,9.73,10
"103","Cameron Percy",22420178,6300,57.64,0.0025,0.0025,96,0,0,43.19,0.8,69,22,0.4,1,0.01,10.01,10
"104","Ben Martin",22420179,6300,50.28,0.0025,0.0023,100,-2e-04,-0.08,41.86,0.75,67.5,21.5,0.37,1,-0.02,9.65,10
"105","Roger Sloan",22420181,6300,44.61,0.0029,0.0027,94,-2e-04,-0.069,44.28,0.62,70,22,0.43,1,0.04,9.68,10
"106","Bo Hoag",22420183,6300,50.18,0.0019,0.0018,111,-1e-04,-0.0526,43.73,0.52,69,21.5,0.29,1,-0.1,9.75,10
"107","Henrik Norlander",22420184,6300,49.06,0.0023,0.0024,98,9.99999999999998e-05,0.0435,41.82,0.39,67,21,0.38,1,-0.01,10.21,10
"108","Vaughn Taylor",22420186,6300,51.1,0.0029,0.003,89,1e-04,0.0345,42.21,0.24,68,21.5,0.48,1,0.09,10.28,10
"109","Jim Herman",22420192,6200,46.58,0.0021,0.0023,100,2e-04,0.0952,38.52,0.35,64.5,20.5,0.37,1,0.02,10.51,10
"110","Ryan Blaum",22420198,6100,64.33,0.002,0.0019,110,-1e-04,-0.05,45.07,0.6,71,22,0.31,1,0,9.83,10
"111","Scott Gutschewski",22420199,6100,49.67,0.002,0.0019,110,-1e-04,-0.05,47.41,0.61,72,23,0.31,1,0,9.83,10
