tour,year,season,event_name,event_id,site,ownerships_from,player_name,dg_id,salary,ownership,fin_text,streak_pts,bogey_free_pts,hole_in_one_pts,sub_70_pts,hole_score_pts,finish_pts,total_pts
pga,2022,2022,Wyndham Championship,13,draftkings,PGA TOUR $1M Pitch + Putt [$250K to 1st],"Barjon, Paul",16566,6200,0.0015,CUT,0,0,0,0,23.0,0,23.0
pga,2022,2022,Wyndham Championship,13,draftkings,PGA TOUR $1M Pitch + Putt [$250K to 1st],"Ramey, Chad",19840,6600,0.0071,CUT,0,0,0,0,23.0,0,23.0
pga,2022,2022,Wyndham Championship,13,draftkings,PGA TOUR $1M Pitch + Putt [$250K to 1st],"Lamb, Rick",18869,6000,0.0082,CUT,0,0,0,0,22.5,0,22.5
pga,2022,2022,Wyndham Championship,13,draftkings,PGA TOUR $1M Pitch + Putt [$250K to 1st],"Seiffert, Chase",17509,6500,0.0026,CUT,0,0,0,0,21.5,0,21.5
pga,2022,2022,Wyndham Championship,13,draftkings,PGA TOUR $1M Pitch + Putt [$250K to 1st],"Gibson, Tommy",28167,6000,0.0003,CUT,0,0,0,0,21.0,0,21.0
pga,2022,2022,Wyndham Championship,13,draftkings,PGA TOUR $1M Pitch + Putt [$250K to 1st],"Bryan, Wesley",21236,6100,0.0021,CUT,0,0,0,0,19.5,0,19.5
pga,2022,2022,Wyndham Championship,13,draftkings,PGA TOUR $1M Pitch + Putt [$250K to 1st],"Willett, Danny",12920,7100,0.0113,CUT,0,0,0,0,19.5,0,19.5
pga,2022,2022,Wyndham Championship,13,draftkings,PGA TOUR $1M Pitch + Putt [$250K to 1st],"DeMorat, Mickey",25078,6000,0.0042,CUT,0,0,0,0,19.5,0,19.5
pga,2022,2022,Wyndham Championship,13,draftkings,PGA TOUR $1M Pitch + Putt [$250K to 1st],"Day, Jason",9771,7800,0.0485,WD,0,0,0,0,19.5,0,19.5
pga,2022,2022,Wyndham Championship,13,draftkings,PGA TOUR $1M Pitch + Putt [$250K to 1st],"Love III, Davis",3464,6000,0.0011,CUT,0,0,0,0,19.0,0,19.0
pga,2022,2022,Wyndham Championship,13,draftkings,PGA TOUR $1M Pitch + Putt [$250K to 1st],"Van Pelt, Bo",6457,6000,0.0014,CUT,0,0,0,0,18.5,0,18.5
pga,2022,2022,Wyndham Championship,13,draftkings,PGA TOUR $1M Pitch + Putt [$250K to 1st],"Blixt, Jonas",8182,0,0.0,CUT,0,0,0,0,18.5,0,18.5
pga,2022,2022,Wyndham Championship,13,draftkings,PGA TOUR $1M Pitch + Putt [$250K to 1st],"Wu, Dylan",25002,6300,0.0007,CUT,0,0,0,0,17.5,0,17.5
pga,2022,2022,Wyndham Championship,13,draftkings,PGA TOUR $1M Pitch + Putt [$250K to 1st],"Murray, Grayson",14655,0,0.0,CUT,0,0,0,0,17.0,0,17.0
pga,2022,2022,Wyndham Championship,13,draftkings,PGA TOUR $1M Pitch + Putt [$250K to 1st],"Simpson, Webb",11049,10700,0.1078,WD,0,0,0,0,13.0,0,13.0
pga,2022,2022,Wyndham Championship,13,draftkings,PGA TOUR $1M Pitch + Putt [$250K to 1st],"Hagy, Brandon",18695,6200,0.0003,WD,0,0,0,0,9.0,0,9.0
pga,2022,2022,Wyndham Championship,13,draftkings,PGA TOUR $1M Pitch + Putt [$250K to 1st],"Gay, Brian",5951,6000,0.0042,WD,0,0,0,0,8.0,0,8.0
pga,2022,2022,Wyndham Championship,13,draftkings,PGA TOUR $1M Pitch + Putt [$250K to 1st],"Straka, Sepp",17511,6700,0.0166,CUT,0,0,0,0,8.0,0,8.0
pga,2022,2022,Wyndham Championship,13,draftkings,PGA TOUR $1M Pitch + Putt [$250K to 1st],"Long, Adam",15473,7700,0.0992,WD,0,0,0,0,7.5,0,7.5
pga,2022,2022,Wyndham Championship,13,draftkings,PGA TOUR $1M Pitch + Putt [$250K to 1st],"Kisner, Kevin",11328,8700,0.1098,WD,0,0,0,0,7.5,0,7.5
