Transaction Date,Post Date,Description,Category,Type,Amount,Memo
10/31/2022,11/01/2022,ABC*JERSEY STRONG,Health & Wellness,Sale,-74.63,
10/30/2022,11/01/2022,PIZZERIA DA DONNA STELLA,Food & Drink,Sale,-63.00,
10/29/2022,10/31/2022,MARVIN SAS DI MARCO CELI,Food & Drink,Sale,-101.00,
10/30/2022,10/31/2022,GOOGLE *YouTubePremium,Shopping,Sale,-12.78,
10/29/2022,10/30/2022,CERAMICHE CARMELA,Home,Sale,-139.00,
10/28/2022,10/30/2022,NINO &amp; FRIENDS AMALFI,Groceries,Sale,-53.51,
10/27/2022,10/30/2022,L'INCANTO,Food & Drink,Sale,-36.33,
10/27/2022,10/30/2022,L'INCANTO,Food & Drink,Sale,-40.36,
10/27/2022,10/30/2022,L'INCANTO,Food & Drink,Sale,-20.18,
10/26/2022,10/28/2022,VILLA GABRISA,Travel,Sale,-150.94,
10/25/2022,10/27/2022,L'INCANTO,Food & Drink,Sale,-27.72,
10/26/2022,10/27/2022,APPLE.COM/BILL,Shopping,Sale,-129.99,
10/26/2022,10/27/2022,HELP.HBOMAX.COM,Entertainment,Sale,-14.99,
10/26/2022,10/27/2022,RISTORANTE LA PERGOLA,Food & Drink,Sale,-35.92,
10/26/2022,10/27/2022,GESCAB,Travel,Sale,-84.62,
10/26/2022,10/27/2022,GITHUB,Professional Services,Sale,-10.00,
10/26/2022,10/27/2022,LA PIAZZETTA,Food & Drink,Sale,-19.96,
10/26/2022,10/27/2022,SIPPIC FUNICOLARE,Personal,Sale,-4.39,
10/26/2022,10/27/2022,LA CAPANNINA,Food & Drink,Sale,-137.71,
10/25/2022,10/27/2022,L'INCANTO,Food & Drink,Sale,-8.42,
10/25/2022,10/26/2022,L'INCANTO,Food & Drink,Sale,-69.31,
10/24/2022,10/26/2022,DA VINCENZO POSITANO,Food & Drink,Sale,-126.35,
10/24/2022,10/25/2022,EDICOLA PIO BOZZA,Shopping,Sale,-21.62,
10/23/2022,10/25/2022,EWR C1 VESPER,Food & Drink,Sale,-75.34,
10/23/2022,10/24/2022,WALGREENS #19748,Health & Wellness,Sale,-20.31,
10/23/2022,10/24/2022,INMOTION-777,Shopping,Sale,-15.98,
10/22/2022,10/24/2022,ANCHOR TAVERN,Food & Drink,Sale,-90.89,
10/22/2022,10/23/2022,BAMBOO LEAF,Food & Drink,Sale,-50.92,
10/22/2022,10/23/2022,EZCATERJOES BAGEL AND,Food & Drink,Sale,-339.95,
10/20/2022,10/23/2022,ANCHOR TAVERN,Food & Drink,Sale,-33.80,
10/21/2022,10/23/2022,EZCATERFINS TROPICALI,Food & Drink,Sale,-208.33,
10/22/2022,10/23/2022,UBER   TRIP,Travel,Sale,-5.18,
10/19/2022,10/21/2022,QUICK CHEK CORPORATION,Gas,Sale,-21.83,
10/20/2022,10/20/2022,AUTOMATIC PAYMENT - THANK,,Payment,1817.08,
10/19/2022,10/20/2022,FLAMES BRAZILIAN STEAKHOU,Food & Drink,Sale,-40.05,
10/19/2022,10/20/2022,SHOPRITE ROUTE 35 &amp; 18,Groceries,Sale,-37.99,
10/17/2022,10/19/2022,SUNOCO 0327962700,Gas,Sale,-45.75,
10/17/2022,10/18/2022,VERIZON*DEPOSIT,Bills & Utilities,Return,106.03,
10/17/2022,10/18/2022,TRADER JOE'S #608 QPS,Groceries,Sale,-16.53,
10/14/2022,10/17/2022,THE 13TH STEP,Food & Drink,Sale,-43.11,
10/15/2022,10/17/2022,ANCHOR TAVERN,Food & Drink,Sale,-43.36,
10/16/2022,10/17/2022,DUNKIN #338508,Food & Drink,Sale,-4.68,
10/16/2022,10/17/2022,SHOPRITE ROUTE 35 &amp; 18,Groceries,Sale,-95.63,
