player,player_id,position,team_name,player_game_count,base_targets,declined_penalties,franchise_id,man_avg_depth_of_target,man_avoided_tackles,man_caught_percent,man_contested_catch_rate,man_contested_receptions,man_contested_targets,man_drop_rate,man_drops,man_first_downs,man_fumbles,man_grades_hands_drop,man_grades_pass_route,man_interceptions,man_longest,man_pass_block_rate,man_pass_blocks,man_pass_plays,man_receptions,man_route_rate,man_routes,man_targeted_qb_rating,man_targets,man_targets_percent,man_touchdowns,man_yards,man_yards_after_catch,man_yards_after_catch_per_reception,man_yards_per_reception,man_yprr,penalties,zone_avg_depth_of_target,zone_avoided_tackles,zone_caught_percent,zone_contested_catch_rate,zone_contested_receptions,zone_contested_targets,zone_drop_rate,zone_drops,zone_first_downs,zone_fumbles,zone_grades_hands_drop,zone_grades_pass_route,zone_interceptions,zone_longest,zone_pass_block_rate,zone_pass_blocks,zone_pass_plays,zone_receptions,zone_route_rate,zone_routes,zone_targeted_qb_rating,zone_targets,zone_targets_percent,zone_touchdowns,zone_yards,zone_yards_after_catch,zone_yards_after_catch_per_reception,zone_yards_per_reception,zone_yprr
Dare Ogunbowale,12329,HB,HST,10,19,0,13,,0,,,0,0,,0,0,0,,52.1,0,0,33.3,9,27,0,63.0,17,0.0,0,0.0,0,0,0,,,0.0,0,-0.8,1,76.5,,0,0,0.0,0,4,0,81.1,73.4,1,23,10.2,6,59,13,86.4,51,62.4,17,89.5,0,86,106,8.2,6.6,1.69
Pharaoh Brown,12247,TE,CLV,15,19,0,8,2.8,0,66.7,100.0,1,1,0.0,0,1,0,72.1,63.2,0,11,23.1,9,39,4,74.4,29,71.5,6,31.6,0,20,25,6.3,5.0,0.69,0,9.0,2,58.3,66.7,2,3,22.2,2,5,0,35.3,59.1,1,30,19.4,18,93,7,75.3,70,48.3,12,63.2,0,93,55,7.9,13.3,1.33
Ty Johnson,45769,HB,NYJ,10,19,0,22,1.0,0,100.0,,0,0,0.0,0,1,0,72.1,58.0,0,16,27.0,10,37,4,73.0,27,104.2,4,21.1,0,36,32,8.0,9.0,1.33,0,4.3,0,14.3,,0,0,50.0,1,0,0,28.8,37.2,1,6,19.6,10,51,1,80.4,41,0.0,7,36.8,0,6,0,0.0,6.0,0.15
Michael Bandy,91824,WR,LAC,9,18,0,27,7.0,0,100.0,,0,0,0.0,0,2,0,68.3,61.4,0,15,0.0,0,32,2,96.9,31,106.3,2,11.1,0,19,5,2.5,9.5,0.61,0,10.0,0,53.3,33.3,1,3,11.1,1,3,0,54.9,55.2,0,25,2.3,2,86,8,95.3,82,66.0,15,83.3,0,70,15,1.9,8.8,0.85
DeeJay Dallas,55632,HB,SEA,12,18,0,29,-2.0,0,100.0,,0,0,0.0,0,1,0,70.5,60.0,0,5,14.7,5,34,3,70.6,24,81.9,3,16.7,0,11,17,5.7,3.7,0.46,0,1.8,1,90.9,,0,0,0.0,0,4,0,78.0,72.5,0,41,23.3,17,73,10,75.3,55,104.9,11,61.1,0,101,99,9.9,10.1,1.84
Joshua Kelley,13750,HB,LAC,12,18,0,27,1.0,0,100.0,,0,0,0.0,0,1,0,64.7,56.3,0,22,34.7,17,49,1,53.1,26,118.8,1,5.6,0,22,21,21.0,22.0,0.85,0,1.6,1,78.6,,0,0,8.3,1,3,0,60.2,57.4,0,11,20.8,21,101,11,78.2,79,88.1,14,77.8,0,72,64,5.8,6.5,0.91
Zach Pascal,12303,WR,PHI,16,18,0,24,6.8,1,87.5,66.7,2,3,0.0,0,5,0,75.6,69.6,0,34,0.0,0,58,7,96.6,56,155.2,8,44.4,1,94,54,7.7,13.4,1.68,0,5.1,0,71.4,,0,0,0.0,0,3,0,45.8,54.4,1,10,0.0,0,80,5,93.8,75,44.0,7,38.9,0,37,21,4.2,7.4,0.49
Damien Harris,35134,HB,NE,10,18,0,19,1.3,0,75.0,0.0,0,1,0.0,0,0,0,70.5,54.4,0,7,24.3,9,37,3,73.0,27,79.2,4,22.2,0,14,10,3.3,4.7,0.52,0,1.0,3,90.0,100.0,1,1,10.0,1,4,0,56.7,63.2,0,15,7.7,4,52,9,88.5,46,93.3,10,55.6,0,64,60,6.7,7.1,1.39
Mitchell Wilcox,47234,TE,CIN,14,18,0,7,0.7,1,100.0,,0,0,0.0,0,2,0,70.5,68.4,0,18,23.1,12,52,3,67.3,35,158.3,3,16.7,1,39,37,12.3,13.0,1.11,0,5.6,0,91.7,,0,0,0.0,0,3,0,79.4,52.3,0,18,7.9,11,139,11,87.8,122,95.8,12,66.7,0,84,33,3.0,7.6,0.69
DeSean Jackson,4363,WR,BLT,7,17,0,3,21.7,0,33.3,,0,0,0.0,0,1,0,64.7,61.1,0,12,0.0,0,14,1,92.9,13,46.5,3,17.6,0,12,0,0.0,12.0,0.92,0,18.1,0,61.5,25.0,1,4,0.0,0,4,0,77.3,80.3,0,62,0.0,0,57,8,91.2,52,98.6,13,76.5,0,141,23,2.9,17.6,2.71
Cedrick Wilson,48170,WR,MIA,15,17,0,17,10.3,0,75.0,50.0,1,2,25.0,1,3,0,36.8,70.2,0,21,0.0,0,32,3,96.9,31,113.5,4,23.5,0,47,21,7.0,15.7,1.52,0,10.2,0,75.0,50.0,1,2,0.0,0,5,0,77.3,61.7,0,20,0.0,0,89,9,96.6,86,95.5,12,70.6,0,89,30,3.3,9.9,1.03
Breshad Perriman,9459,WR,TB,10,17,0,30,18.6,0,50.0,0.0,0,3,0.0,0,3,0,72.1,74.6,0,28,0.0,0,28,4,100.0,28,118.8,8,47.1,1,68,11,2.8,17.0,2.43,0,14.1,2,28.6,0.0,0,3,33.3,1,1,1,29.9,46.2,0,14,0.0,0,72,2,94.4,68,42.0,7,41.2,0,25,25,12.5,12.5,0.37
David Sills,34579,WR,NYG,9,17,0,21,6.5,0,50.0,100.0,1,1,0.0,0,1,0,64.7,57.7,0,6,0.0,0,26,1,88.5,23,56.3,2,11.8,0,6,0,0.0,6.0,0.26,0,9.3,0,58.3,,0,0,12.5,1,5,0,54.5,60.1,1,24,0.0,0,104,7,91.3,95,47.2,12,70.6,0,90,39,5.6,12.9,0.95
Alexander Mattison,45817,HB,MIN,16,17,0,18,-6.0,0,0.0,0.0,0,1,,0,0,0,,47.5,0,0,30.6,19,62,0,61.3,38,39.6,1,5.9,0,0,0,,,0.0,0,-1.6,4,83.3,100.0,1,1,16.7,2,3,0,29.5,42.8,0,16,12.7,14,110,10,83.6,92,118.4,12,70.6,1,69,94,9.4,6.9,0.75
Travis Homer,45859,HB,SEA,10,17,0,29,,0,,,0,0,,0,0,0,,51.5,0,0,37.0,10,27,0,55.6,15,0.0,0,0.0,0,0,0,,,0.0,0,3.1,4,92.9,,0,0,0.0,0,6,0,80.6,69.9,0,27,20.7,18,87,13,75.9,66,130.1,14,82.4,1,133,96,7.4,10.2,2.02
Cam Sims,47908,WR,WAS,16,17,0,32,15.3,0,33.3,,0,0,0.0,0,1,0,64.7,54.3,0,12,0.0,0,40,1,97.5,39,46.5,3,17.6,0,12,15,15.0,12.0,0.31,0,16.3,0,40.0,0.0,0,3,0.0,0,2,0,72.1,51.6,1,21,0.0,0,114,4,95.6,109,13.8,10,58.8,0,43,1,0.3,10.8,0.39
