player,player_id,position,team_name,player_game_count,base_targets,declined_penalties,franchise_id,man_avg_depth_of_target,man_avoided_tackles,man_caught_percent,man_contested_catch_rate,man_contested_receptions,man_contested_targets,man_drop_rate,man_drops,man_first_downs,man_fumbles,man_grades_hands_drop,man_grades_pass_route,man_interceptions,man_longest,man_pass_block_rate,man_pass_blocks,man_pass_plays,man_receptions,man_route_rate,man_routes,man_targeted_qb_rating,man_targets,man_targets_percent,man_touchdowns,man_yards,man_yards_after_catch,man_yards_after_catch_per_reception,man_yards_per_reception,man_yprr,penalties,zone_avg_depth_of_target,zone_avoided_tackles,zone_caught_percent,zone_contested_catch_rate,zone_contested_receptions,zone_contested_targets,zone_drop_rate,zone_drops,zone_first_downs,zone_fumbles,zone_grades_hands_drop,zone_grades_pass_route,zone_interceptions,zone_longest,zone_pass_block_rate,zone_pass_blocks,zone_pass_plays,zone_receptions,zone_route_rate,zone_routes,zone_targeted_qb_rating,zone_targets,zone_targets_percent,zone_touchdowns,zone_yards,zone_yards_after_catch,zone_yards_after_catch_per_reception,zone_yards_per_reception,zone_yprr
Frank Gore Jr.,121457,HB,SO MISS,3,3,0,296,11.0,0,100.0,,0,0,0.0,0,1,0,66.7,66.9,0,18,12.0,3,25,1,52.0,13,118.8,1,33.3,0,18,7,7.0,18.0,1.38,0,,0,,,0,0,,0,0,0,16.8,37.4,0,0,7.7,2,26,0,84.6,22,0.0,0,0.0,0,0,0,,,0.0
Andrew Bench,100353,TE,BOWL GREEN,3,3,0,122,,0,,,0,0,,0,0,0,,52.6,0,0,14.3,1,7,0,85.7,6,0.0,0,0.0,0,0,0,,,0.0,0,7.0,0,100.0,,0,0,0.0,0,1,0,70.7,60.1,0,18,25.8,8,31,2,71.0,22,116.7,2,66.7,0,24,10,5.0,12.0,1.09
Nigel Drummond II,100272,WR,OHIO,2,3,0,259,,0,,,0,0,,0,0,0,,58.2,0,0,0.0,0,2,0,100.0,2,0.0,0,0.0,0,0,0,,,0.0,0,1.0,0,66.7,,0,0,0.0,0,1,0,70.7,64.9,0,10,0.0,0,9,2,100.0,9,82.6,3,100.0,0,18,15,7.5,9.0,2.0
Koy Moore,124104,WR,AUBURN,3,3,0,115,,0,,,0,0,,0,0,0,,55.1,0,0,0.0,0,9,0,88.9,8,0.0,0,0.0,0,0,0,,,0.0,0,12.7,0,66.7,,0,0,0.0,0,2,0,70.7,61.7,1,13,0.0,0,24,2,95.8,23,54.2,3,100.0,0,26,4,2.0,13.0,1.13
Clayton Ollendieck,147263,TE,TROY,3,3,0,318,,0,,,0,0,,0,0,0,,51.2,0,0,41.2,7,17,0,47.1,8,0.0,0,0.0,0,0,0,,,0.0,0,6.7,1,100.0,100.0,1,1,0.0,0,3,0,73.1,65.1,0,11,37.5,15,40,3,62.5,25,102.8,3,100.0,0,26,6,2.0,8.7,1.04
Tyre Shelton,77038,HB,MIAMI OH,1,3,0,221,,0,,,0,0,,0,0,0,,,0,0,,0,0,0,,0,0.0,0,0.0,0,0,0,,,,0,2.3,0,66.7,,0,0,0.0,0,0,0,70.7,58.6,0,8,0.0,0,8,2,100.0,8,75.7,3,100.0,0,13,22,11.0,6.5,1.63
Billy Kemp IV,77037,WR,VIRGINIA,2,3,0,335,,0,,,0,0,,0,0,0,,53.3,0,0,0.0,0,18,0,88.9,16,0.0,0,0.0,0,0,0,,,0.0,0,-4.0,0,100.0,,0,0,0.0,0,1,0,66.7,59.6,0,10,0.0,0,17,1,94.1,16,108.3,1,33.3,0,10,14,14.0,10.0,0.63
Kai Puailoa-Rojas,121867,FB,NAVY,2,3,0,237,,0,,,0,0,,0,0,0,,60.0,0,0,0.0,0,1,0,100.0,1,0.0,0,0.0,0,0,0,,,0.0,0,21.0,0,0.0,,0,0,100.0,1,0,0,16.4,38.6,0,0,8.3,1,12,0,91.7,11,39.6,3,100.0,0,0,0,,,0.0
Christian Wortham,121446,WR,S ALABAMA,2,3,0,288,-1.0,0,0.0,,0,0,,0,0,0,,58.5,0,0,0.0,0,2,0,100.0,2,39.6,1,33.3,0,0,0,,,0.0,0,7.0,0,50.0,,0,0,0.0,0,0,0,66.7,55.5,1,-3,0.0,0,10,1,100.0,10,16.7,2,66.7,0,-3,1,1.0,-3.0,-0.3
Audric Estime,147476,HB,NOTRE DAME,3,3,0,258,,0,,,0,0,,0,0,0,,52.5,0,0,26.7,4,15,0,73.3,11,0.0,0,0.0,0,0,0,,,0.0,0,-5.0,1,100.0,,0,0,0.0,0,0,0,70.7,55.9,0,6,11.5,3,26,2,88.5,23,81.3,2,66.7,0,7,17,8.5,3.5,0.3
