player_id,team,opp,pos,name,fpts,proj_own,noto_rtg,ceil,floor,min_exposure,max_exposure,salary,custom,rg_id,partner_id
1149,,,G,Dustin Johnson,61.66,9.9,84.9,83,26.5,0,0,9500,,34771,1149
690310,,,G,Shawn Warren,18.57,0.01,,23.5,12,0,0,6100,,484315,690310
670620,,,G,Sungjae Im,,0,,,,0,0,8400,,382250,670620
494279,,,G,Chan Kim,18.27,0.08,,24,11.5,0,0,6400,,37130,494279
1600,,,G,Harris English,,0,,,,0,0,7100,,34758,1600
696569,,,G,Cameron Young,55.26,17.4,,77.5,24.5,0,0,7600,,1074862,696569
1996,,,G,Davis Love III,,0,,,,0,0,6100,,34787,1996
764714,,,G,Zac Oakley,18.35,0.02,,23.5,11.5,0,0,6300,,3514193,764714
1579,,,G,Will Zalatoris,60.93,16.4,91.1,82,26,0,0,8900,,35055,1579
168823,,,G,Wyatt Worthington,18.66,0.05,,24,12,0,0,6000,,35351,168823
670533,,,G,Garrick Higgo,35.64,0.19,,61.5,19.5,0,0,6700,,2879219,670533
1931,,,G,Hideki Matsuyama,55.43,13.7,88.4,78,24.5,0,0,9200,,34791,1931
671028,,,G,Mito Pereira,60.76,4.6,77.3,81.58,25.5,0,0,6700,,278841,671028
764715,,,G,Dylan Newman,18.88,0.02,,24.5,12,0,0,6000,,3514199,764715
1799,,,G,Adam Hadwin,51.62,5.6,79.7,74.5,23.43,0,0,6300,,34880,1799
2119,,,G,Chad Ramey,37.64,0.32,,63.5,20,0,0,6400,,3083529,2119
330678,,,G,Cameron Davis,46.27,0.82,,71,22.5,0,0,6700,,36131,330678
1701,,,G,Justin Thomas,72.62,14.2,94.2,91,33.92,0,0,10700,,34818,1701
764716,,,G,Jared Jones,18.45,0.03,,23.5,12,0,0,6000,,3514202,764716
1668,,,G,Sean McCarty,18.63,0.01,,24,11.5,0,0,6100,,484313,1668
695714,,,G,Sadom Kaewkanjana,18.63,0.02,,24,11.5,0,0,6400,,3514191,695714
690049,,,G,Viktor Hovland,57.41,10.6,,80.5,25,0,0,9900,,658704,690049
190,,,G,Harold Varner III,51.78,6.6,,75.5,23.5,0,0,7000,,34947,190
1625,,,G,Davis Riley,45.59,4.1,61.2,70.58,22,0,0,6800,,1000174,1625
764717,,,G,Tim Feenstra,18.57,0.01,,24,11.5,0,0,6200,,3514196,764717
1449,,,G,Cameron Tringale,50.44,1.3,,73.5,23,0,0,7100,,35004,1449
681998,,,G,Rikuya Hoshino,29.74,0.04,,52.5,17.5,0,0,6300,,382247,681998
693416,,,G,Takumi Kanaya,33.1,0.05,,58.5,18.5,0,0,6400,,748254,693416
1923,,,G,Alex Cejka,23.87,0.08,,29.5,15,0,0,6200,,35021,1923
