"propType","player","position","team","opponent","start","line","sideOneType","sideOneOdds","sideOneValue","sideOneCash","sideOneTickets","sideTwoType","sideTwoOdds","sideTwoValue","sideTwoCash","sideTwoTickets"
"game_away_home_win","BUF@NE","","BUF","NE","2021-12-26T18:00:00Z","","away","-103","-0.05786699507389165","74","49","home","-116","0.013574074074074072","26","51"
"game_point_total","BUF@NE","","BUF","NE","2021-12-26T18:00:00Z","43.5","over","-110","0.003190476190476188","42","59","under","-110","-0.05080952380952386","58","41"
"recv_rec","D. Knox","TE","BUF","NE","2021-12-26T18:00:00Z","3.5","over","-142","-0.17627685950413224","null","null","under","109","0.11103110047846887","null","null"
"recv_yd","D. Knox","TE","BUF","NE","2021-12-26T18:00:00Z","39.5","over","-116","-0.07127731588680225","null","null","under","-115","-0.0006233313579458999","null","null"
"recv_rec","D. Singletary","RB","BUF","NE","2021-12-26T18:00:00Z","2.5","over","114","-0.05858666511869165","null","null","under","-150","-0.008703440340000146","null","null"
"recv_yd","D. Singletary","RB","BUF","NE","2021-12-26T18:00:00Z","14.5","over","-115","0.008871755641048806","null","null","under","-115","-0.07861751898720626","null","null"
"rush_att","D. Singletary","RB","BUF","NE","2021-12-26T18:00:00Z","11.5","over","-142","0.04882316081776861","null","null","under","110","-0.11179049960904758","null","null"
"rush_recv_yd","D. Singletary","RB","BUF","NE","2021-12-26T18:00:00Z","67.5","over","-112","-0.008892597323018836","null","null","under","-115","-0.05432106536502318","null","null"
"rush_yd","D. Singletary","RB","BUF","NE","2021-12-26T18:00:00Z","48.5","over","-116","-0.02831487865749971","null","null","under","-115","-0.04367184508380151","null","null"
"recv_yd","G. Davis","WR","BUF","NE","2021-12-26T18:00:00Z","47.5","over","-115","-0.053377386302160656","null","null","under","-115","-0.016376631863015523","null","null"
"recv_yd","I. McKenzie","WR","BUF","NE","2021-12-26T18:00:00Z","20.5","over","-115","-0.035001550457452346","null","null","under","-115","-0.03476321697392992","null","null"
"pass_att","J. Allen","QB","BUF","NE","2021-12-26T18:00:00Z","35.5","over","-119","-0.03568780269808569","null","null","under","-112","-0.03600743304708731","null","null"
"pass_comp","J. Allen","QB","BUF","NE","2021-12-26T18:00:00Z","22.5","over","-118","-0.03239266055045875","null","null","under","-112","-0.03720754716981134","null","null"
"pass_int","J. Allen","QB","BUF","NE","2021-12-26T18:00:00Z","0.5","over","-141","-0.1198207468879669","null","null","under","106","0.04931456310679605","null","null"
"pass_td","J. Allen","QB","BUF","NE","2021-12-26T18:00:00Z","1.5","over","-126","-0.11186637168141605","null","null","under","-104","0.044547058823529495","null","null"
"pass_yd","J. Allen","QB","BUF","NE","2021-12-26T18:00:00Z","250.5","over","-115","-0.06595519659434906","null","null","under","-115","-0.003847655135348682","null","null"
"rush_att","J. Allen","QB","BUF","NE","2021-12-26T18:00:00Z","6.5","over","-107","-0.11841157629364879","null","null","under","-124","0.047917836620775756","null","null"
"rush_yd","J. Allen","QB","BUF","NE","2021-12-26T18:00:00Z","38.5","over","-115","-0.07829934732165256","null","null","under","-115","0.008564120583400281","null","null"
"recv_rec","S. Diggs","WR","BUF","NE","2021-12-26T18:00:00Z","6.5","over","115","0.1496372093023256","null","null","under","-150","-0.21476000000000006","null","null"
"recv_yd","S. Diggs","WR","BUF","NE","2021-12-26T18:00:00Z","75.5","over","-114","-0.010453280467042525","null","null","under","-114","-0.05494811412296252","null","null"
"recv_yd","B. Bolden","RB","NE","BUF","2021-12-26T18:00:00Z","18.5","over","-117","-0.0442710760974413","null","null","under","-114","-0.02757842614492967","null","null"
"rush_recv_yd","B. Bolden","RB","NE","BUF","2021-12-26T18:00:00Z","40.5","over","-105","0.10287810831785005","null","null","under","-125","-0.17059729002866253","null","null"
"rush_yd","B. Bolden","RB","NE","BUF","2021-12-26T18:00:00Z","19.5","over","-115","-0.021645233214173554","null","null","under","-116","-0.05023508720548692","null","null"
"recv_yd","D. Harris","RB","NE","BUF","2021-12-26T18:00:00Z","4.5","over","-119","0.1832517846239371","null","null","under","-111","-0.25268660343238314","null","null"
