"id","firstName","lastName","adp","projectedPoints","positionRank","slotName","teamName","lineupStatus","byeWeek"
"ca49d441-b3ed-4f18-ac6b-92bcd36c8e98","Frank","Ntilikina","-","628.8",,"G",,,
"3d8daa4a-7184-4554-bfa6-ad0c639b81fd","Derrick","Jones Jr.","-","627.6",,"W",,,
"7163ed06-7c56-4190-9578-d3fea2c7ef3d","Blake","Griffin","-","625.5",,"W","Boston Celtics",,
"7c3b4153-b9e5-4b89-83d7-6f6a13f91eeb","Javonte","Green","-","623.3",,"G",,,
"b0924454-28d1-43b2-a801-3333d519d293","Alec","Burks","-","621.2",,"G","Detroit Pistons",,
"0b196366-eee7-4726-b7ec-77376bbfcbdf","Danilo","Gallinari","-","620.8",,"W","Washington Wizards",,
"eede7c8c-734a-4af5-a45e-e4dfde8ce223","Vit","Krejci","-","618.2",,"G","Atlanta Hawks",,
"655215f5-1f89-4c72-81f3-60b4eaa78e33","Tyrese","Martin","-","617.4",,"G","Atlanta Hawks",,
"f28ff38f-96fc-457a-947c-dac01bfa2205","Garrison","Mathews","-","615.3",,"G","Atlanta Hawks",,
"b17f1f11-1aea-42bc-9cf3-6eeef0fd4831","RaiQuan","Gray","-","612.0",,"W","Brooklyn Nets",,
"fab83af4-261c-423d-b967-3f9902078cb1","Edmond","Sumner","-","611.0",,"G","Brooklyn Nets",,
"c52dcae9-4299-495f-98ea-0b4c3683516e","Luke","Kornet","-","610.4",,"B","Boston Celtics",,
"3e88ff95-5887-4de9-8b87-b2d2b01267cb","Sam","Hauser","-","609.2",,"W","Boston Celtics",,
"7ddaaa3b-6137-4245-9de9-76935699095b","Justin","Champagnie","-","606.1",,"W","Boston Celtics",,
"ae9b3e1a-729c-48fa-8d79-89cecd66515a","Kai","Jones","-","602.9",,"B","Charlotte Hornets",,
"2848d74e-7983-4a2b-b1cd-8daaca4044aa","Nick","Richards","-","600.1",,"B","Charlotte Hornets",,
"be8bc021-9eca-43e3-b072-7aa6a941ff6a","JT","Thor","-","600.0",,"W","Charlotte Hornets",,
"4ce23f26-4fd9-40da-a448-eaeafc4f3dd9","Kobi","Simmons","-","599.5",,"G","Charlotte Hornets",,
"80762dad-ac79-414d-abcf-ad4e9f877621","Bryce","McGowens","-","599.1",,"G","Charlotte Hornets",,
"e27f8cf1-0ca2-464e-9ed1-a8ed31871c06","Justin","Lewis","-","597.9",,"W","Chicago Bulls",,
"9c2d50fc-f652-414e-bb2f-d9230f38f423","Carlik","Jones","-","593.4",,"G","Chicago Bulls",,
"91a9e753-595b-4a93-96d1-d0d9b300caab","Dalen","Terry","-","592.8",,"G","Chicago Bulls",,
"800f43fc-2a31-4831-89fa-e6d165bd29c0","Dean","Wade","-","592.6",,"W","Cleveland Cavaliers",,
"60bf7714-0255-4148-af18-1df5509e9896","Sam","Merrill","-","588.6",,"G","Cleveland Cavaliers",,
"c2971573-5c01-4ac4-95b2-498f4aeed21a","Josh","Green","-","587.5",,"G","Dallas Mavericks",,
"489d7e90-7144-4079-99a8-56e70fe56941","A.J.","Lawson","-","586.6",,"G","Dallas Mavericks",,
"27c3d9b6-7973-4ea7-b68a-10e86320edec","Vlatko","Cancar","-","586.2",,"W","Denver Nuggets",,
"eeb7f6d0-5311-454e-96d2-d1ee54049c50","Zeke","Nnaji","-","583.1",,"B","Denver Nuggets",,
"da7865b0-5adc-4b3c-9360-a2979e0c5965","Isaiah","Livers","-","573.9",,"W","Detroit Pistons",,
"7f97bbcb-6cf4-4c83-a3fd-6a2904dc089f","Eugene","Omoruyi","-","567.2",,"W","Washington Wizards",,
"4b29ab3b-90b4-4f6b-86b6-5102777c66e9","Usman","Garuba","-","559.0",,"W","Oklahoma City Thunder",,
"bebf82bb-627a-4801-a376-8929223fa16b","Daishen","Nix","-","552.2",,"G",,,
"783e62a2-bb38-475e-95ab-5cdacd300b97","Daniel","Theis","-","551.1",,"B","Indiana Pacers",,
"e84fd3c7-ee2f-4157-9e97-607a8eea333c","Jason","Preston","-","547.6",,"G","Los Angeles Clippers",,
"b5a54459-b949-4933-ad07-337e4694be26","Nicolas","Batum","-","546.9",,"W","Los Angeles Clippers",,
"6868717d-9321-4536-8ee1-ffe117aa6eae","Brandon","Boston Jr.","-","545.5",,"G","Los Angeles Clippers",,
"a0dadf0f-b145-41fa-8f11-4e689ccd8ecb","Amir","Coffey","-","543.6",,"G","Los Angeles Clippers",,
"5e1d7765-f084-4950-9e01-a716528f3fdf","Cole","Swider","-","537.0",,"W","Los Angeles Lakers",,
"eadd7a05-ef14-4426-b27a-98197971a4a9","Shaquille","Harrison","-","532.7",,"G",,,
"ef9e5f86-0c8a-4011-a308-1710a7d80c90","Jake","LaRavia","-","532.6",,"W","Memphis Grizzlies",,
"6a6f6fd8-1464-4c50-b2d3-e0c4cf5a56d5","Kenneth","Lofton","-","532.2",,"W","Memphis Grizzlies",,
"6dd2b2d4-f450-4434-9ff7-6cf0e8f86927","Vince","Williams","-","522.1",,"G","Memphis Grizzlies",,
"cc3fe11c-a73b-4236-a1eb-59457bda0ff0","Haywood","Highsmith","-","521.1",,"W","Miami Heat",,
"bba486b9-6afe-42e9-9f23-1694c966101d","Lindell","Wigginton","-","518.8",,"G","Milwaukee Bucks",,
"60e43256-a6ff-46b2-a764-5e2977c9751e","Nathan","Knight","-","516.9",,"W","Minnesota Timberwolves",,
"712450fb-e79b-457c-bdcd-5a16552299bd","Josh","Minott","-","516.6",,"W","Minnesota Timberwolves",,
"98f410d7-dd9d-4e71-8845-1229e1d1d348","Wendell","Moore","-","505.7",,"G","Minnesota Timberwolves",,
"96a42bf7-b4f1-4a8e-8118-2e5e702676ef","Willy","Hernangomez","-","500.7",,"B","New Orleans Pelicans",,
"abf278e5-77e0-4f57-a679-7b7e3ba00c69","E.J.","Liddell","-","495.0",,"W","New Orleans Pelicans",,
"24261ef1-0909-4092-9f58-6fd35381400c","Kira","Lewis","-","493.1",,"G","New Orleans Pelicans",,
"06d0956e-61ba-4999-a9e1-0b6319216e13","Naji","Marshall","-","488.9",,"W","New Orleans Pelicans",,
