"","Name","ID","Salary","AvgPointsPerGame","fpts","proj_own","ceil","floor","scoring_points","finish_points","total_points","value","projected_ownership","sg_putt_pred","sg_putt_rank","sg_arg_pred","sg_arg_rank","sg_app_pred","sg_app_rank","sg_ott_pred","sg_ott_rank","sg_total_pred","sg_total_rank","distance_pred","distance_rank","accuracy_pred","accuracy_rank","baseline","age","age_adj","true_sg_adj","timing_adj","sg_category_adj","course_history_adj","driving_dist_adj","driving_acc_adj","fit_other_adj","course_fit_total_adj","final_prediction","make_cut","top_20","top_10","top_5","win","odds_per_dollar","residuals","proj_own_avg","fpts_avg","course_fit","own_change","manual_change","adj_own","one","date","tournament"
"42","Christiaan Bezuidenhout",28153687,7200,63.42,55.11,6.3,79.5,26,55.4,2.3,57.8,0.14,5.53,0.335,32,0.104,77,0.247,65,-0.231,236,0.456,83,-8.412,338,0.046,65,0.586,29,0.013,-0.065,-0.011,-0.067,0.018,0.065,0.087,0.03,0.183,0.656,0.6337,0.1647,0.0704,0.0299,0.0044,0.61,-0.03,5.92,56.45,0.51,2.28,0,10,1,2023-06-01,"2023-06-01 Memorial Tournament"
"43","Taylor Montgomery",28153688,7200,73.4,52.06,2.4,77,25,52.4,1.8,54.1,-0.12,0.79,0.558,4,0.213,37,-0.208,226,-0.107,186,0.456,82,4.143,127,-0.057,364,0.489,28,0.016,0.084,0.037,-0.169,-0.06,-0.031,-0.108,0.016,-0.123,0.273,0.5595,0.1144,0.0473,0.0184,0.0024,0.33,-0.31,1.59,53.08,-0.11,-0.65,0,0,1,2023-06-01,"2023-06-01 Memorial Tournament"
"44","Ryan Fox",28153689,7100,59.96,63.76,5.7,85,28,53.8,2.1,55.9,0.02,5.6,0.12,97,0.055,127,0.304,58,0.252,71,0.73,52,13.779,23,-0.086,406,0.632,36,-0.013,0.017,0.009,0.085,-0.024,-0.105,-0.162,0.021,-0.246,0.46,0.5902,0.1377,0.0578,0.0239,0.0032,0.45,-0.14,5.65,59.83,-0.6,-2.77,0,5,1,2023-06-01,"2023-06-01 Memorial Tournament"
"45","Seamus Power",28153690,7100,72.92,54.67,4.3,79.5,25.5,55.4,2.3,57.8,0.21,3.22,0.179,75,0.104,78,0.213,76,0.156,92,0.651,62,3.796,133,-0.001,187,0.522,36,-0.013,0.052,0.018,0.072,-0.035,-0.028,-0.001,0.021,-0.009,0.607,0.6198,0.1558,0.0684,0.0289,0.0037,0.52,-0.07,3.76,56.24,0.16,0.69,0,5,1,2023-06-01,"2023-06-01 Memorial Tournament"
"46","Patrick Rodgers",28153691,7100,60.18,59.39,1.6,82,26.5,56.3,2.4,58.7,0.31,2.29,0.177,76,0.097,86,0.121,110,0.384,44,0.779,50,8.77,64,-0.029,293,0.66,30,0.006,0.042,-0.018,0.089,0.078,-0.066,-0.055,0.015,-0.107,0.75,0.6429,0.1779,0.0797,0.0338,0.0043,0.61,0.02,1.95,59.05,-0.13,-0.58,0,0,1,2023-06-01,"2023-06-01 Memorial Tournament"
"47","Thomas Detry",28153692,7100,69.28,57.13,2.1,80.5,26,53.2,1.9,55.1,-0.03,2.24,0.38,22,0.083,98,0.071,123,0.022,137,0.556,71,9.685,52,-0.01,221,0.527,30,0.008,0.062,-0.009,-0.033,-0.06,-0.073,-0.019,0.019,-0.074,0.422,0.5868,0.1351,0.0566,0.0232,0.0032,0.45,-0.14,2.17,56.12,0.1,0.38,0,5,1,2023-06-01,"2023-06-01 Memorial Tournament"
"48","Nicolai Hojgaard",28153693,7000,81.96,57.74,3.3,81.5,26,50.5,1.6,52.1,-0.16,2.55,0.12,96,-0.164,314,0.167,92,0.351,52,0.475,81,16.788,10,-0.063,375,0.385,22,0.038,-0.038,-0.023,0.112,-0.06,-0.128,-0.118,0.005,-0.241,0.174,0.5434,0.1019,0.0392,0.0156,0.0019,0.27,-0.29,2.92,54.92,-1.35,-6.22,0,0,1,2023-06-01,"2023-06-01 Memorial Tournament"
"49","Stephan Jaeger",28153694,7000,65.36,58.33,5.5,81,26.5,57.2,2.6,59.9,0.49,4.01,0.009,180,0.253,19,0.295,61,0.325,57,0.881,41,3.981,131,-0.009,217,0.612,34,-0.005,0.049,-0.002,0.227,-0.06,-0.03,-0.017,0.024,-0.023,0.799,0.6479,0.1873,0.0852,0.036,0.0057,0.81,0.25,4.76,59.11,0.66,3.1,0,10,1,2023-06-01,"2023-06-01 Memorial Tournament"
"50","Beau Hossler",28153695,7000,58.38,48.39,1.1,74.5,23.5,54.5,2.2,56.8,0.18,1.44,0.34,29,0.238,29,-0.15,202,0.221,77,0.65,63,7.556,77,-0.026,279,0.421,28,0.016,0.001,0.023,0.189,0.007,-0.057,-0.048,0.011,-0.095,0.562,0.6078,0.1536,0.0672,0.029,0.0046,0.66,0.1,1.27,52.59,0.27,1.27,0,5,1,2023-06-01,"2023-06-01 Memorial Tournament"
"51","Hayden Buckley",28153696,7000,63.03,54.2,1.3,79,25,56.8,2.5,59.4,0.43,3.85,0.073,123,-0.213,349,0.21,79,0.627,9,0.698,57,5.168,107,0.064,26,0.636,27,0.019,0.002,0.007,0.033,-0.06,-0.039,0.12,0.005,0.087,0.725,0.6403,0.1802,0.0831,0.0375,0.0056,0.8,0.24,2.58,56.8,-0.55,-2.36,0,0,1,2023-06-01,"2023-06-01 Memorial Tournament"
"52","Davis Riley",28153697,6900,49.36,51.63,0.9,77,24.5,50.3,1.6,51.9,-0.13,1.7,-0.048,220,-0.127,282,0.331,54,0.079,122,0.235,111,7.85,74,-0.003,197,0.086,26,0.022,0.034,0.017,0.077,0.007,-0.059,-0.005,0.011,-0.054,0.188,0.5434,0.1042,0.041,0.0169,0.0018,0.26,-0.25,1.3,51.76,-0.74,-3.46,0,0,1,2023-06-01,"2023-06-01 Memorial Tournament"
"53","Justin Suh",28153698,6900,57.98,50.66,4.8,76,24.5,50.9,1.7,52.5,-0.1,3.96,0.322,33,-0.21,344,-0.023,161,0.097,113,0.187,114,-0.853,215,0.022,119,0.326,25,0.024,0.024,0.013,-0.2,-0.025,0.007,0.041,0.003,0.052,0.214,0.5495,0.106,0.0411,0.0159,0.0017,0.25,-0.26,4.38,51.58,-1.13,-5.22,0,0,1,2023-06-01,"2023-06-01 Memorial Tournament"
