player,player_id,position,team_name,player_game_count,avg_depth_of_target,avoided_tackles,caught_percent,contested_catch_rate,contested_receptions,contested_targets,declined_penalties,drop_rate,drops,first_downs,franchise_id,fumbles,grades_hands_drop,grades_hands_fumble,grades_offense,grades_pass_block,grades_pass_route,inline_rate,inline_snaps,interceptions,longest,pass_block_rate,pass_blocks,pass_plays,penalties,receptions,route_rate,routes,slot_rate,slot_snaps,targeted_qb_rating,targets,touchdowns,wide_rate,wide_snaps,yards,yards_after_catch,yards_after_catch_per_reception,yards_per_reception,yprr
John Bates,42275,TE,WAS,10,4.9,0,68.8,,0,0,0,8.3,1,3,32,1,60.2,20.4,54.3,52.4,47.6,50.4,71,0,20,29.8,42,141,0,11,65.2,92,38.3,54,81.3,16,0,5.0,7,84,50,4.5,7.6,0.91
Adam Trautman,109795,TE,NO,9,6.1,0,86.7,50.0,1,2,1,0.0,0,4,20,0,80.6,72.7,69.9,77.6,68.9,75.8,94,0,22,34.7,43,124,3,13,63.7,79,12.9,16,124.4,15,1,10.5,13,128,53,4.1,9.8,1.62
Miles Sanders,40555,HB,PHI,10,-1.3,4,80.0,,0,0,0,7.7,1,1,24,0,61.8,90.3,71.0,45.6,45.8,0.0,0,0,16,9.0,18,201,0,12,84.1,169,4.5,9,79.2,15,0,7.5,15,43,69,5.8,3.6,0.25
Chigoziem Okonkwo,84000,TE,TEN,10,11.3,4,53.3,66.7,2,3,0,11.1,1,7,31,0,56.7,71.3,75.9,70.6,75.4,45.0,36,0,48,12.5,10,80,1,8,83.8,67,33.8,27,116.5,15,1,13.8,11,172,90,11.3,21.5,2.57
K.J. Hamler,61590,WR,DEN,7,24.9,0,46.7,,0,0,0,0.0,0,3,10,0,75.6,71.1,57.5,,55.4,0.0,0,1,55,0.0,0,164,1,7,95.1,156,18.9,31,59.0,15,0,81.1,133,165,23,3.3,23.6,1.06
Damien Harris,35134,HB,NE,8,0.4,4,86.7,0.0,0,1,0,7.1,1,4,19,0,63.2,86.4,77.3,86.1,61.3,0.0,0,0,15,13.0,10,77,0,13,83.1,64,9.1,7,87.5,15,0,5.2,4,75,76,5.8,5.8,1.17
Kendall Hinton,34045,WR,DEN,8,11.7,3,86.7,,0,0,0,0.0,0,9,10,0,63.2,72.3,64.8,,65.1,0.0,0,0,35,0.0,0,179,0,13,88.8,159,42.5,76,118.8,15,0,57.5,103,227,102,7.8,17.5,1.43
Colby Parkinson,52266,TE,SEA,10,6.3,0,86.7,0.0,0,2,0,0.0,0,8,29,0,80.0,72.3,67.3,66.0,68.6,52.2,60,0,36,10.4,12,115,1,13,84.3,97,33.9,39,136.7,15,1,11.3,13,172,102,7.8,13.2,1.77
Jamal Agnew,11920,WR,JAX,7,7.1,2,66.7,0.0,0,1,0,16.7,2,5,15,0,41.1,85.3,64.6,68.8,65.3,0.0,0,0,24,2.4,1,42,0,10,90.5,38,52.4,22,120.0,15,2,45.2,19,82,67,6.7,8.2,2.16
Brandon Powell,48036,WR,LA,10,3.1,0,85.7,100.0,1,1,0,0.0,0,3,26,0,80.0,87.7,64.4,,68.0,0.0,0,0,16,0.0,0,55,0,12,98.2,54,47.3,26,93.5,14,0,34.5,19,90,92,7.7,7.5,1.67
Keenan Allen,7857,WR,LAC,3,11.8,0,78.6,33.3,1,3,0,0.0,0,6,27,1,78.7,20.4,77.6,61.6,77.8,0.0,0,1,46,1.8,1,57,0,11,96.5,55,64.9,37,87.8,14,0,35.1,20,171,48,4.4,15.5,3.11
