player,player_id,position,team_name,player_game_count,batted_passes,declined_penalties,franchise_id,grades_pass_rush_defense,hits,hurries,pass_rush_opp,pass_rush_percent,pass_rush_win_rate,pass_rush_wins,penalties,prp,sacks,snap_counts_pass_play,snap_counts_pass_rush,total_pressures,true_pass_set_batted_passes,true_pass_set_grades_pass_rush_defense,true_pass_set_hits,true_pass_set_hurries,true_pass_set_pass_rush_opp,true_pass_set_pass_rush_percent,true_pass_set_pass_rush_win_rate,true_pass_set_pass_rush_wins,true_pass_set_prp,true_pass_set_sacks,true_pass_set_snap_counts_pass_play,true_pass_set_snap_counts_pass_rush,true_pass_set_total_pressures
Tyrel Dodson,51045,LB,BUF,5,0,0,4,72.9,1,5,12,10.6,25.0,3,0,33.3,1,141,15,7,0,74.9,0,4,7,9.2,14.3,1,28.6,0,87,8,4
Jahlani Tavai,51055,LB,NE,10,0,0,19,65.3,2,1,44,25.3,18.2,8,0,8.0,2,174,44,5,0,62.5,0,1,16,23.5,31.3,5,15.6,2,68,16,3
Julian Love,51081,S,NYG,10,0,0,21,74.7,0,2,17,4.7,11.8,2,2,11.8,1,362,17,3,0,89.4,0,2,3,2.2,33.3,1,66.7,1,137,3,3
Ben Niemann,51099,LB,ARZ,10,0,0,1,58.6,0,2,19,12.8,10.5,2,0,5.3,0,156,20,2,0,74.5,0,2,6,9.8,33.3,2,16.7,0,61,6,2
Taylor Rapp,51172,S,LA,9,0,0,26,55.3,0,0,7,2.1,0.0,0,1,0.0,0,333,7,0,0,60.0,0,0,1,0.9,0.0,0,0.0,0,115,1,0
P.J. Locke,51189,S,DEN,8,0,0,10,65.3,0,0,1,1.4,100.0,1,1,0.0,0,72,1,0,0,65.3,0,0,1,2.5,100.0,1,0.0,0,40,1,0
Joshua Kalu,51203,S,TEN,8,0,0,31,53.5,0,1,4,1.9,25.0,1,1,12.5,0,213,4,1,0,,0,0,0,0.0,,0,,0,112,0,0
Minkah Fitzpatrick,51206,S,PIT,8,0,0,25,70.1,1,1,6,2.0,33.3,2,2,16.7,0,344,7,2,0,67.8,1,0,2,1.1,50.0,1,25.0,0,186,2,1
Fred Warner,51222,LB,SF,10,0,0,28,73.2,2,6,27,6.9,18.5,5,3,22.2,2,390,27,10,0,78.9,2,3,21,11.2,14.3,3,21.4,2,187,21,7
Tracy Walker,51266,S,DET,3,1,1,11,77.6,0,1,5,5.2,0.0,0,2,30.0,1,96,5,2,0,74.3,0,0,2,5.9,0.0,0,50.0,1,34,2,1
Drue Tranquill,51276,LB,LAC,10,0,0,27,75.5,2,3,31,10.2,25.8,8,0,17.7,3,342,35,8,0,62.6,1,2,13,10.3,38.5,5,26.9,2,156,16,5
Mike Edwards,51282,S,TB,9,0,0,30,64.4,0,2,16,4.7,12.5,2,0,12.5,1,359,17,3,0,54.9,0,2,7,4.9,14.3,1,14.3,0,142,7,2
Sean Chandler,51315,S,CAR,5,0,0,5,60.0,0,0,1,2.5,0.0,0,0,0.0,0,40,1,0,0,,0,0,0,0.0,,0,,0,12,0,0
Terrell Edmunds,51334,S,PIT,9,0,0,25,49.7,0,1,10,2.9,0.0,0,0,5.0,0,350,10,1,0,49.7,0,1,7,3.6,0.0,0,7.1,0,195,7,1
Will Harris,51336,CB,DET,9,0,0,11,58.3,0,3,12,5.5,25.0,3,1,12.5,0,220,12,3,0,61.6,0,0,4,4.3,25.0,1,0.0,0,92,4,0
Derwin James,51368,S,LAC,10,0,1,27,91.0,1,3,23,6.1,26.1,6,4,26.1,4,377,23,8,0,92.5,0,0,5,2.9,40.0,2,40.0,2,172,5,2
Amani Hooker,51378,S,TEN,5,0,0,31,50.9,0,0,9,4.8,0.0,0,1,0.0,0,187,9,0,0,52.8,0,0,4,4.4,0.0,0,0.0,0,90,4,0
Marcus Epps,51391,S,PHI,10,0,0,24,54.9,0,0,5,1.2,0.0,0,0,0.0,0,426,5,0,0,,0,0,0,0.0,,0,,0,205,0,0
Roderic Teamer,51405,S,LV,7,0,0,23,52.9,0,0,2,4.5,0.0,0,2,0.0,0,67,3,0,0,54.7,0,0,2,12.5,0.0,0,0.0,0,16,2,0
Jaylinn Hawkins,51423,S,ATL,10,0,0,2,57.5,1,1,9,2.6,0.0,0,0,11.1,0,384,10,2,0,50.7,0,1,5,3.3,0.0,0,10.0,0,180,6,1
Jaquan Johnson,51433,S,BUF,7,0,0,4,55.4,0,0,6,4.3,0.0,0,2,0.0,0,140,6,0,0,56.8,0,0,2,2.9,0.0,0,0.0,0,68,2,0
Chase Hansen,51448,LB,NO,1,0,0,20,60.0,0,0,1,100.0,0.0,0,0,0.0,0,1,1,0,0,,0,0,0,,,0,,0,0,0,0
Kaden Elliss,51485,LB,NO,10,0,0,20,77.8,1,3,39,28.9,17.9,7,0,17.9,5,152,44,9,0,84.6,0,3,24,39.4,25.0,6,27.1,5,66,26,8
J.T. Gray,51495,S,NO,5,0,0,20,90.9,0,0,2,9.5,100.0,2,0,100.0,2,21,2,2,0,91.2,0,0,1,12.5,200.0,2,200.0,2,8,1,2
Dre Greenlaw,51503,LB,SF,9,0,0,28,67.5,0,3,20,6.6,15.0,3,4,12.5,1,316,21,4,0,71.1,0,2,9,6.3,33.3,3,22.2,1,158,10,3
Kenny Moore II,51596,CB,IND,11,0,0,14,55.3,0,0,13,3.2,0.0,0,2,7.7,1,405,13,1,0,64.2,0,0,4,2.3,0.0,0,25.0,1,172,4,1
Nicholas Morrow,51674,LB,CHI,11,0,1,6,59.5,0,5,24,7.0,16.7,4,1,10.4,0,359,25,5,0,65.6,0,4,9,6.8,33.3,3,22.2,0,132,9,4
Khyiris Tonga,52000,DI,MIN,4,2,0,18,75.5,1,3,47,100.0,8.5,4,0,4.3,0,47,47,4,1,89.9,1,1,8,100.0,25.0,2,12.5,0,8,8,2
Paulson Adebo,52280,CB,NO,8,0,2,20,58.8,0,0,1,0.4,0.0,0,6,0.0,0,284,1,0,0,,0,0,0,0.0,,0,,0,139,0,0
Jeffrey Gunter,54402,ED,CIN,2,0,0,7,58.3,0,0,9,90.0,11.1,1,0,0.0,0,10,9,0,0,59.8,0,0,7,87.5,14.3,1,0.0,0,8,7,0
C.J. Brewer,54409,DI,BUF,1,0,0,4,53.9,0,0,7,100.0,0.0,0,1,0.0,0,9,9,0,0,55.9,0,0,3,100.0,0.0,0,0.0,0,3,3,0
Tarron Jackson,54410,ED,PHI,3,0,0,24,54.6,0,1,17,100.0,5.9,1,0,2.9,0,18,18,1,0,57.6,0,1,9,100.0,11.1,1,5.6,0,9,9,1
Malcolm Koonce,55015,ED,LV,6,0,0,23,55.8,0,1,24,100.0,12.5,3,0,2.1,0,26,26,1,0,55.1,0,1,12,100.0,16.7,2,4.2,0,13,13,1
Darrick Forrest,55087,S,WAS,11,0,0,32,49.9,0,0,7,2.5,0.0,0,1,0.0,0,318,8,0,0,51.3,0,0,4,3.2,0.0,0,0.0,0,155,5,0
Coby Bryant,55088,CB,SEA,10,0,0,29,56.5,1,1,8,3.0,12.5,1,3,25.0,1,303,9,3,0,54.5,1,0,2,1.2,50.0,1,25.0,0,165,2,1
Boye Mafe,55220,ED,SEA,10,0,0,29,53.8,1,3,111,78.4,5.4,6,0,3.6,2,153,120,6,0,50.2,0,2,51,84.4,5.9,3,2.0,0,64,54,2
Marco Wilson,55592,CB,ARZ,11,0,1,1,56.5,1,2,9,2.1,0.0,0,5,16.7,0,429,9,3,0,57.7,0,1,1,0.5,0.0,0,50.0,0,194,1,1
C.J. Henderson,55593,CB,CAR,11,0,0,5,54.0,0,0,3,1.1,0.0,0,3,0.0,0,284,3,0,0,55.0,0,0,2,1.6,0.0,0,0.0,0,122,2,0
Amik Robertson,55619,CB,LV,10,1,2,23,49.4,0,1,11,4.5,0.0,0,2,4.5,0,245,11,1,0,42.6,0,1,4,3.7,0.0,0,12.5,0,108,4,1
DeeJay Dallas,55632,HB,SEA,1,0,0,29,60.0,0,0,1,100.0,0.0,0,0,0.0,0,1,1,0,0,,0,0,0,,,0,,0,0,0,0
Josiah Scott,55634,CB,PHI,5,0,0,24,53.6,0,1,3,2.1,0.0,0,1,16.7,0,141,3,1,0,60.0,0,0,1,1.7,0.0,0,0.0,0,58,1,0
Tre Norwood,55675,S,PIT,9,0,0,25,58.6,0,0,3,1.8,0.0,0,0,0.0,0,167,3,0,0,,0,0,0,0.0,,0,,0,98,0,0
Deommodore Lenoir,55686,CB,SF,8,0,0,28,57.4,0,1,11,3.8,0.0,0,2,13.6,1,315,12,2,0,58.7,0,1,8,5.7,0.0,0,18.8,1,158,9,2
Darious Williams,55724,CB,JAX,10,0,0,15,50.0,0,1,3,1.1,0.0,0,0,16.7,0,352,4,1,0,51.9,0,1,3,1.6,0.0,0,16.7,0,191,3,1
Xavier McKinney,55775,S,NYG,8,2,0,21,59.8,0,7,34,11.5,8.8,3,1,13.2,1,313,36,8,0,60.3,0,4,14,13.2,14.3,2,21.4,1,121,16,5
Kamren Curl,55800,S,WAS,9,0,0,32,63.9,0,0,6,1.8,16.7,1,0,16.7,1,337,6,1,0,68.4,0,0,3,2.0,33.3,1,33.3,1,152,3,1
Eric Stokes,55912,CB,GB,9,0,0,12,60.0,0,0,1,0.4,0.0,0,2,0.0,0,253,1,0,0,,0,0,0,0.0,,0,,0,97,0,0
Bryan Cook,55940,S,KC,9,0,0,16,50.5,1,1,5,3.2,20.0,1,0,20.0,0,156,5,2,0,50.5,1,1,5,5.6,20.0,1,20.0,0,90,5,2
Nate Hobbs,55948,CB,LV,5,0,0,23,78.2,0,0,2,1.0,0.0,0,2,50.0,1,194,2,1,0,81.5,0,0,1,1.5,0.0,0,100.0,1,68,1,1
Geno Stone,55967,S,BLT,9,0,0,3,66.3,0,2,4,2.6,25.0,1,1,25.0,0,232,6,2,0,51.7,0,1,1,1.0,0.0,0,50.0,0,105,1,1
AJ Parker,55983,CB,DET,3,0,0,11,58.5,0,0,1,1.4,0.0,0,0,0.0,0,69,1,0,0,,0,0,0,0.0,,0,,0,31,0,0
Benjamin St-Juste,56061,CB,WAS,11,0,1,32,85.1,1,1,6,1.8,16.7,1,6,33.3,1,396,7,3,0,55.7,0,0,1,1.1,0.0,0,0.0,0,189,2,0
Damarri Mathis,56143,CB,DEN,8,0,0,10,54.7,0,0,2,0.7,0.0,0,6,0.0,0,284,2,0,0,58.6,0,0,1,0.7,0.0,0,0.0,0,135,1,0
Jason Pinnock,56144,S,NYG,3,0,1,21,67.1,0,3,11,27.9,18.2,2,1,31.8,2,43,12,5,0,62.1,0,1,3,22.2,33.3,1,50.0,1,18,4,2
DaRon Bland,56158,CB,DAL,6,0,0,9,56.1,0,0,2,1.6,0.0,0,0,0.0,0,124,2,0,0,59.0,0,0,1,1.6,0.0,0,0.0,0,63,1,0
Keisean Nixon,56167,CB,GB,8,0,0,12,55.2,0,0,3,3.3,0.0,0,1,0.0,0,91,3,0,0,60.0,0,0,1,2.3,0.0,0,0.0,0,44,1,0
