player,player_id,position,team_name,player_game_count,base_targets,declined_penalties,franchise_id,man_avg_depth_of_target,man_avoided_tackles,man_caught_percent,man_contested_catch_rate,man_contested_receptions,man_contested_targets,man_drop_rate,man_drops,man_first_downs,man_fumbles,man_grades_hands_drop,man_grades_pass_route,man_interceptions,man_longest,man_pass_block_rate,man_pass_blocks,man_pass_plays,man_receptions,man_route_rate,man_routes,man_targeted_qb_rating,man_targets,man_targets_percent,man_touchdowns,man_yards,man_yards_after_catch,man_yards_after_catch_per_reception,man_yards_per_reception,man_yprr,penalties,zone_avg_depth_of_target,zone_avoided_tackles,zone_caught_percent,zone_contested_catch_rate,zone_contested_receptions,zone_contested_targets,zone_drop_rate,zone_drops,zone_first_downs,zone_fumbles,zone_grades_hands_drop,zone_grades_pass_route,zone_interceptions,zone_longest,zone_pass_block_rate,zone_pass_blocks,zone_pass_plays,zone_receptions,zone_route_rate,zone_routes,zone_targeted_qb_rating,zone_targets,zone_targets_percent,zone_touchdowns,zone_yards,zone_yards_after_catch,zone_yards_after_catch_per_reception,zone_yards_per_reception,zone_yprr
Brock Wright,60994,TE,DET,10,9,0,11,1.5,0,100.0,100.0,1,1,0.0,0,4,0,72.1,78.2,0,23,28.2,11,39,4,61.5,24,154.2,4,44.4,1,46,41,10.3,11.5,1.92,0,6.0,0,100.0,,0,0,0.0,0,3,0,73.4,62.8,0,25,29.8,25,84,5,66.7,56,118.8,5,55.6,0,64,34,6.8,12.8,1.14
Brandon Bolden,7469,HB,LV,7,9,0,23,,0,,,0,0,,0,0,0,,53.5,0,0,16.7,1,6,0,83.3,5,0.0,0,0.0,0,0,0,,,0.0,0,4.0,1,100.0,,0,0,0.0,0,0,0,70.5,64.9,0,12,8.7,2,23,3,87.0,20,97.2,3,33.3,0,22,10,3.3,7.3,1.1
Joshua Kelley,13750,HB,LAC,6,9,0,27,1.0,0,100.0,,0,0,0.0,0,1,0,64.7,63.9,0,22,33.3,6,18,1,50.0,9,118.8,1,11.1,0,22,21,21.0,22.0,2.44,0,-0.4,0,85.7,,0,0,0.0,0,2,0,74.6,66.5,0,11,12.2,5,41,6,85.4,35,86.9,7,77.8,0,34,41,6.8,5.7,0.97
Rashid Shaheed,63707,WR,NO,6,8,0,20,,0,,,0,0,,0,0,0,,53.3,0,0,0.0,0,10,0,90.0,9,0.0,0,0.0,0,0,0,,,0.0,0,16.3,0,85.7,,0,0,0.0,0,4,0,74.6,73.6,0,53,0.0,0,34,6,100.0,34,158.3,7,87.5,1,111,33,5.5,18.5,3.26
Amari Rodgers,61212,WR,HST,7,8,0,13,10.5,1,100.0,100.0,1,1,0.0,0,2,0,70.5,72.7,0,22,0.0,0,18,2,83.3,15,118.8,2,25.0,0,33,12,6.0,16.5,2.2,0,15.2,0,40.0,0.0,0,2,33.3,1,1,0,30.0,52.0,0,14,0.0,0,32,2,96.9,31,54.6,5,62.5,0,23,5,2.5,11.5,0.74
Durham Smythe,47257,TE,MIA,9,8,0,17,,0,,,0,0,,0,0,0,,52.2,0,0,42.9,6,14,0,57.1,8,0.0,0,0.0,0,0,0,,,0.0,0,3.8,0,66.7,,0,0,0.0,0,3,0,72.1,49.4,0,14,34.5,38,110,4,62.7,69,85.4,6,75.0,0,40,20,5.0,10.0,0.58
Joe Fortson,94384,TE,KC,9,8,0,16,6.3,0,33.3,50.0,1,2,0.0,0,1,0,64.7,55.6,0,1,6.3,2,32,1,81.3,26,81.9,3,37.5,1,1,0,0.0,1.0,0.04,0,13.3,0,100.0,100.0,1,1,0.0,0,2,0,70.5,65.9,0,40,5.4,2,37,3,94.6,35,118.8,3,37.5,0,54,14,4.7,18.0,1.54
Travis Homer,45859,HB,SEA,6,8,0,29,,0,,,0,0,,0,0,0,,54.7,0,0,26.7,4,15,0,66.7,10,0.0,0,0.0,0,0,0,,,0.0,0,0.7,2,100.0,,0,0,0.0,0,3,0,75.6,72.9,0,22,19.5,8,41,6,73.2,30,109.0,6,75.0,0,61,57,9.5,10.2,2.03
Justice Hill,45865,HB,BLT,8,8,0,3,-3.5,0,100.0,,0,0,0.0,0,1,0,68.3,56.4,0,7,38.2,13,34,2,58.8,20,85.4,2,25.0,0,9,16,8.0,4.5,0.45,0,-1.0,0,100.0,100.0,1,1,0.0,0,0,0,75.6,66.6,0,10,20.8,11,53,6,77.4,41,84.7,6,75.0,0,26,32,5.3,4.3,0.63
Michael Strachan,143358,WR,IND,9,8,0,14,14.5,0,50.0,100.0,1,1,0.0,0,1,0,64.7,66.9,0,23,0.0,0,20,1,95.0,19,91.7,2,25.0,0,23,2,2.0,23.0,1.21,0,15.0,0,66.7,0.0,0,1,0.0,0,2,0,68.3,60.7,0,20,0.0,0,36,2,100.0,36,107.6,3,37.5,0,36,9,4.5,18.0,1.0
Trey McBride,75916,TE,ARZ,9,8,0,1,,0,,,0,0,,0,0,0,,47.5,0,0,5.3,1,19,0,84.2,16,0.0,0,0.0,0,0,0,,,0.0,0,2.4,0,100.0,100.0,1,1,0.0,0,1,1,77.3,49.6,0,11,7.8,8,102,8,88.2,90,89.6,8,100.0,0,44,25,3.1,5.5,0.49
Dan Arnold,51842,TE,JAX,10,8,0,15,4.0,0,100.0,,0,0,0.0,0,0,0,64.7,56.4,0,8,0.0,0,5,1,100.0,5,100.0,1,12.5,0,8,4,4.0,8.0,1.6,0,6.2,0,83.3,,0,0,16.7,1,4,0,45.8,69.6,0,26,12.1,4,33,5,81.8,27,118.8,6,75.0,0,97,63,12.6,19.4,3.59
Giovanni Ricci,13756,TE,CAR,10,8,0,5,6.0,1,50.0,,0,0,0.0,0,0,0,64.7,50.5,0,6,29.4,5,17,1,70.6,12,56.3,2,25.0,0,6,0,0.0,6.0,0.5,0,3.3,1,100.0,100.0,1,1,0.0,0,2,0,74.6,57.6,0,16,18.0,9,50,6,78.0,39,109.7,6,75.0,0,62,42,7.0,10.3,1.59
Jack Stoll,42058,TE,PHI,10,8,0,24,8.0,0,0.0,,0,0,,0,0,0,,44.0,0,0,23.9,11,46,0,73.9,34,39.6,2,25.0,0,0,0,,,0.0,0,6.0,0,100.0,100.0,1,1,0.0,0,3,0,73.4,59.6,0,21,9.2,6,65,5,87.7,57,113.3,5,62.5,0,56,26,5.2,11.2,0.98
Samori Toure,25276,WR,GB,5,8,0,12,13.5,0,100.0,,0,0,0.0,0,1,1,68.3,51.0,0,32,0.0,0,23,2,82.6,19,118.8,2,25.0,0,34,7,3.5,17.0,1.79,0,24.3,1,50.0,,0,0,0.0,0,1,0,68.3,60.9,0,37,0.0,0,34,2,97.1,33,126.0,4,50.0,1,41,0,0.0,20.5,1.24
Matt Breida,12271,HB,NYG,10,8,0,21,3.0,0,100.0,,0,0,0.0,0,1,0,68.3,62.0,0,16,14.3,3,21,2,76.2,16,100.0,2,25.0,0,16,10,5.0,8.0,1.0,0,7.6,1,80.0,100.0,1,1,0.0,0,3,0,72.1,71.8,0,15,17.8,8,45,4,77.8,35,103.3,5,62.5,0,44,33,8.3,11.0,1.26
Chuba Hubbard,57373,HB,CAR,9,7,0,5,6.0,0,0.0,0.0,0,1,,0,0,0,,53.2,0,0,33.3,3,9,0,66.7,6,39.6,1,14.3,0,0,0,,,0.0,0,0.8,1,75.0,,0,0,25.0,1,1,0,36.2,45.2,0,15,28.3,13,46,3,65.2,30,91.7,4,57.1,0,26,20,6.7,8.7,0.87
Cole Turner,84330,TE,WAS,4,7,0,32,9.0,0,0.0,,0,0,,0,0,0,,48.6,0,0,5.3,1,19,0,84.2,16,39.6,1,14.3,0,0,0,,,0.0,0,9.5,0,0.0,0.0,0,2,,0,0,0,,46.6,0,0,0.0,0,41,0,90.2,37,39.6,4,57.1,0,0,0,,,0.0
Phillip Lindsay,12660,HB,IND,3,7,0,14,,0,,,0,0,,0,0,0,,54.1,0,0,23.1,3,13,0,69.2,9,0.0,0,0.0,0,0,0,,,0.0,0,2.6,1,85.7,100.0,1,1,0.0,0,0,0,74.6,63.4,0,7,26.7,8,30,6,66.7,20,79.2,7,100.0,0,19,12,2.0,3.2,0.95
Trenton Irwin,48080,WR,CIN,3,7,0,7,11.8,1,75.0,100.0,1,1,0.0,0,3,0,70.5,73.7,0,32,0.0,0,31,3,90.3,28,153.1,4,57.1,1,47,23,7.7,15.7,1.68,0,9.0,0,100.0,,0,0,0.0,0,1,0,70.5,62.6,0,18,0.0,0,35,3,97.1,34,116.7,3,42.9,0,36,9,3.0,12.0,1.06
Connor Heyward,57301,TE,PIT,8,7,0,25,,0,,,0,0,,0,0,0,,48.0,0,0,18.8,3,16,0,68.8,11,0.0,0,0.0,0,0,0,,,0.0,0,4.0,1,100.0,,0,0,0.0,0,2,0,74.6,75.9,0,45,3.6,1,28,6,96.4,27,116.7,6,85.7,0,72,48,8.0,12.0,2.67
D'Onta Foreman,11844,HB,CAR,11,7,0,5,,0,,,0,0,,0,0,0,,52.0,0,0,14.3,2,14,0,85.7,12,0.0,0,0.0,0,0,0,,,0.0,0,0.3,1,50.0,,0,0,0.0,0,0,0,70.5,51.4,1,4,8.8,6,68,3,86.8,59,16.7,6,85.7,0,2,4,1.3,0.7,0.03
Quintin Morris,61182,TE,BUF,9,7,0,4,9.3,0,66.7,,0,0,0.0,0,1,1,68.3,34.4,0,7,8.6,3,35,2,85.7,30,70.1,3,42.9,0,7,9,4.5,3.5,0.23,0,9.3,0,100.0,,0,0,0.0,0,2,0,70.5,54.7,0,15,9.2,6,65,3,89.2,58,113.9,3,42.9,0,34,6,2.0,11.3,0.59
Chris Myarick,47358,TE,NYG,10,7,0,21,3.0,0,66.7,100.0,1,1,33.3,1,2,0,30.0,61.6,0,10,32.0,8,25,2,56.0,14,112.5,3,42.9,1,11,0,0.0,5.5,0.79,0,2.5,0,100.0,,0,0,0.0,0,1,0,68.3,52.7,0,11,40.0,26,65,2,60.0,39,102.1,2,28.6,0,17,12,6.0,8.5,0.44
Jeff Smith,48055,WR,NYJ,10,7,0,22,10.5,0,75.0,,0,0,0.0,0,2,0,70.5,76.1,1,23,0.0,0,16,3,100.0,16,66.7,4,57.1,0,40,19,6.3,13.3,2.5,0,6.0,0,0.0,0.0,0,1,,0,0,0,,51.8,0,0,0.0,0,28,0,96.4,27,39.6,1,14.3,0,0,0,,,0.0
Jake Kumerow,9883,WR,BUF,6,7,0,4,3.0,0,100.0,,0,0,0.0,0,2,0,68.3,61.9,0,11,0.0,0,16,2,100.0,16,97.9,2,28.6,0,15,9,4.5,7.5,0.94,0,14.0,0,40.0,100.0,1,1,0.0,0,2,0,68.3,64.0,0,39,0.0,0,35,2,97.1,34,76.3,5,71.4,0,49,10,5.0,24.5,1.44
Darrel Williams,13014,HB,ARZ,5,7,0,1,,0,,,0,0,,0,0,0,,48.3,0,0,11.1,3,27,0,74.1,20,0.0,0,0.0,0,0,0,,,0.0,0,-1.8,0,50.0,0.0,0,1,25.0,1,0,0,72.1,59.1,0,2,12.1,4,33,3,81.8,27,56.3,6,85.7,0,3,4,1.3,1.0,0.11
Lawrence Cager,34914,TE,NYG,4,7,0,21,1.0,1,100.0,,0,0,0.0,0,1,0,64.7,59.5,0,9,10.5,2,19,1,78.9,15,143.8,1,14.3,1,9,8,8.0,9.0,0.6,0,11.0,0,50.0,,0,0,0.0,0,1,0,70.5,52.3,2,13,6.1,2,33,3,90.9,30,18.1,6,85.7,0,20,7,2.3,6.7,0.67
