player,player_id,position,team_name,player_game_count,attempts,avoided_tackles,breakaway_attempts,breakaway_percent,breakaway_yards,declined_penalties,designed_yards,drops,elu_recv_mtf,elu_rush_mtf,elu_yco,elusive_rating,explosive,first_downs,franchise_id,fumbles,gap_attempts,grades_hands_fumble,grades_offense,grades_offense_penalty,grades_pass,grades_pass_block,grades_pass_route,grades_run,grades_run_block,longest,penalties,rec_yards,receptions,routes,run_plays,scramble_yards,scrambles,targets,total_touches,touchdowns,yards,yards_after_contact,yco_attempt,ypa,yprr,zone_attempts
Tony Jones Jr.,40498,HB,SEA,2,2,0,0,0.0,0,0,8,0,0,0,5,0.0,0,0,29,0,0,67.8,53.8,76.8,,71.5,53.8,49.9,,6,0,12,2,24,2,0,0,2,4,0,8,5,2.5,4.0,0.5,2
Teddy Bridgewater,8667,QB,MIA,4,0,0,0,0.0,0,0,0,0,0,0,,100.0,2,2,17,0,0,82.5,70.8,0.0,69.6,,,75.6,60.0,11,3,0,0,0,27,21,2,0,0,0,21,2,1.0,10.5,,0
Travis Kelce,7844,TE,KC,10,2,0,0,0.0,0,0,5,5,20,0,4,56.3,0,1,16,0,1,81.7,92.0,60.9,,62.6,92.1,56.9,63.7,4,3,855,69,372,138,0,0,93,71,0,5,4,2.0,2.5,2.3,0
Jaylen Waddle,84088,WR,MIA,10,2,0,0,0.0,0,0,17,6,5,0,2,9.4,0,0,17,1,0,39.5,84.5,87.9,,65.7,85.9,59.5,44.2,9,0,878,51,321,145,0,0,73,53,0,17,2,1.0,8.5,2.74,0
Anthony Schwartz,84135,WR,CLV,8,2,1,1,75.0,15,0,20,2,0,1,7,87.5,1,1,8,0,0,67.8,49.1,80.9,,,46.3,68.5,55.9,15,0,22,2,54,33,0,0,7,4,0,20,7,3.5,10.0,0.41,0
Elijah Moore,84302,WR,NYJ,9,2,0,0,0.0,0,0,-4,0,5,0,1,12.5,0,0,22,0,0,75.1,57.7,86.1,,,57.4,58.7,56.5,2,1,220,18,259,133,0,0,31,20,0,-4,1,0.5,-2.0,0.85,0
Jahan Dotson,84375,WR,WAS,6,2,0,0,0.0,0,0,-7,1,0,0,1,0.0,0,0,32,0,0,73.9,62.7,85.3,,,64.9,50.5,41.3,3,1,179,14,204,111,0,0,23,16,0,-7,1,0.5,-3.5,0.88,0
Michael Dickson,35381,P,SEA,2,2,0,0,0.0,0,0,-18,0,0,0,5,0.0,0,0,29,2,0,14.3,45.7,67.4,,,,60.0,,-8,0,0,0,0,2,0,0,0,2,0,-18,5,2.5,-9.0,,0
Gunner Olszewski,95015,WR,PIT,8,2,0,1,100.0,18,0,18,0,1,0,10,100.0,1,1,25,0,0,27.1,59.4,80.3,,,59.4,59.9,56.8,18,0,43,3,40,51,0,0,3,5,0,18,10,5.0,9.0,1.08,0
D'Wayne Eskridge,29573,WR,SEA,9,2,0,0,0.0,0,1,10,0,1,0,4,22.2,0,0,29,0,0,76.1,54.1,34.0,,62.4,57.5,50.1,48.7,6,3,58,7,93,66,0,0,12,9,0,10,4,2.0,5.0,0.62,0
Durham Smythe,47257,TE,MIA,9,2,0,0,0.0,0,0,1,0,0,0,0,0.0,0,1,17,0,0,71.6,53.3,83.3,,64.1,47.8,62.1,55.1,1,0,50,6,87,164,0,0,8,8,1,1,0,0.0,0.5,0.57,0
Jalen Reagor,61697,WR,MIN,8,1,0,1,100.0,17,0,17,0,0,0,0,0.0,1,1,18,0,0,23.2,66.9,76.1,,,65.2,62.0,60.6,17,0,24,4,23,12,0,0,6,5,0,17,0,0.0,17.0,1.04,0
Kylin Hill,57306,HB,GB,1,1,1,0,0.0,0,0,7,0,0,1,3,300.0,0,1,12,0,0,61.9,65.1,65.0,,,,62.9,,7,0,0,0,0,1,0,0,0,1,0,7,3,3.0,7.0,,1
David Johnson,9519,HB,NO,1,1,0,0,0.0,0,0,-4,0,0,0,0,0.0,0,0,20,0,0,64.6,57.7,71.7,,23.8,70.6,59.7,,-4,0,11,1,7,1,0,0,1,2,0,-4,0,0.0,-4.0,1.57,1
