player,player_id,position,team_name,player_game_count,coverage_snaps,coverage_snaps_per_reception,coverage_snaps_per_target,franchise_id,interceptions,qb_rating_against,receptions,targets,touchdowns,yards,yards_after_catch,yards_per_coverage_snap
Shaq Thompson,9458,LB,CAR,12,55,6.1,5.0,5,0,137.9,9,11,1,108,78,1.96
Melvin Ingram III,7024,ED,MIA,6,12,6.0,6.0,17,0,106.3,2,2,0,19,10,1.58
Derwin James,51368,S,LAC,11,102,6.0,4.4,27,1,68.4,17,23,0,126,59,1.24
Joshuah Bledsoe,60691,S,NE,2,6,6.0,2.0,19,0,81.9,1,3,1,9,0,1.5
Eric Stokes,55912,CB,GB,5,6,6.0,6.0,12,0,143.8,1,1,1,9,0,1.5
Devin White,43089,LB,TB,8,18,6.0,4.5,30,0,131.3,3,4,1,26,18,1.44
Charvarius Ward,43034,CB,SF,5,6,6.0,6.0,28,0,118.8,1,1,0,25,8,4.17
Kyle Van Noy,8675,ED,LAC,5,6,6.0,6.0,27,0,91.7,1,1,0,6,8,1.0
Joe Schobert,10733,LB,TEN,3,6,6.0,6.0,31,0,79.2,1,1,0,3,5,0.5
Terrel Bernard,57739,LB,BUF,4,6,6.0,3.0,4,0,68.8,1,2,0,12,4,2.0
Sidney Jones,11798,CB,LV,1,6,6.0,6.0,23,0,118.8,1,1,0,15,5,2.5
Marshon Lattimore,11766,CB,NO,4,6,6.0,3.0,20,0,58.3,1,2,0,7,4,1.17
Chris Lammons,49368,CB,KC,1,6,6.0,6.0,16,0,108.3,1,1,0,10,4,1.67
Brandon Jones,43049,S,MIA,7,36,6.0,4.0,17,0,81.3,6,9,0,51,26,1.42
Asante Samuel Jr.,76625,CB,LAC,5,6,6.0,6.0,27,0,116.7,1,1,0,12,8,2.0
Kyle Fuller,8649,CB,BLT,1,12,6.0,6.0,3,0,106.3,2,2,0,19,0,1.58
Jimmie Ward,8665,S,SF,5,148,5.9,5.7,28,1,112.8,25,26,2,228,135,1.54
Kamren Curl,55800,S,WAS,10,71,5.9,5.9,32,0,139.2,12,12,1,129,48,1.82
Jabrill Peppers,11780,S,NE,10,35,5.8,5.0,19,0,101.2,6,7,0,58,32,1.66
Eric Rowe,9480,S,MIA,8,75,5.8,4.7,17,0,94.3,13,16,0,106,56,1.41
David Long,29367,LB,TEN,9,17,5.7,5.7,31,0,88.9,3,3,0,16,15,0.94
A.J. Terrell,55586,CB,ATL,7,17,5.7,5.7,2,0,158.3,3,3,1,38,15,2.24
Bobby Okereke,50954,LB,IND,12,63,5.7,3.5,14,0,67.1,11,18,0,61,46,0.97
John Johnson III,11847,S,CLV,10,40,5.7,5.0,8,0,96.9,7,8,0,58,19,1.45
Ernest Jones,81399,LB,LA,11,63,5.7,5.3,26,0,99.3,11,12,0,94,70,1.49
