player,player_id,position,team_name,player_game_count,assists,batted_passes,catch_rate,declined_penalties,forced_fumbles,franchise_id,fumble_recoveries,fumble_recovery_touchdowns,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,hits,hurries,interception_touchdowns,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,sacks,safeties,snap_counts_box,snap_counts_corner,snap_counts_coverage,snap_counts_defense,snap_counts_dl,snap_counts_dl_a_gap,snap_counts_dl_b_gap,snap_counts_dl_outside_t,snap_counts_dl_over_t,snap_counts_fs,snap_counts_offball,snap_counts_pass_rush,snap_counts_run_defense,snap_counts_slot,stops,tackles,tackles_for_loss,targets,total_pressures,touchdowns,yards,yards_after_catch,yards_per_reception
Carrington Valentine,53750,CB,GB,2,3,0,66.7,0,0,12,0,0,65.1,66.4,75.5,,65.8,78.8,0,0,0,0,14,0.0,0,1,0,92.4,2,0,0,6,34,26,41,0,0,0,0,0,0,41,0,15,1,0,1,0,3,0,0,25,11,12.5
C.J. Brewer,54409,DI,TB,2,0,0,,0,0,30,0,0,59.5,51.2,77.2,54.4,53.2,29.1,1,0,0,0,,16.7,1,0,0,0.0,0,0,0,0,0,1,41,41,9,27,1,4,0,0,26,14,0,1,5,0,0,1,0,0,0,
Benton Whitley,54444,ED,NYG,1,0,0,,0,0,21,0,0,,57.9,67.7,59.1,60.0,,0,0,0,0,,,0,0,0,0.0,0,0,0,0,0,0,2,2,0,0,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,
Coby Bryant,55088,S,SEA,1,0,0,,0,0,29,0,0,60.0,60.0,62.9,,,,0,0,0,0,,,0,0,0,0.0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,
Boye Mafe,55220,ED,SEA,2,1,0,66.7,0,0,29,0,0,63.9,80.7,80.8,70.8,78.0,51.0,2,11,0,0,4,22.2,2,0,0,70.1,2,2,0,1,0,10,110,108,0,0,107,1,0,2,63,37,1,6,6,1,3,15,0,5,8,2.5
Esezi Otomewo,55221,DI,JAX,1,2,0,,0,0,15,0,0,59.8,55.7,75.1,67.1,48.8,69.2,0,2,0,0,,0.0,0,0,0,0.0,0,0,0,0,0,1,25,25,0,19,0,6,0,0,14,10,0,0,0,0,0,2,0,0,0,
Ja'Sir Taylor,55426,CB,LAC,2,1,0,100.0,0,0,27,1,0,80.5,75.6,0.0,48.4,70.9,81.2,0,2,0,0,14,0.0,0,0,1,92.5,5,0,0,9,0,53,87,5,0,0,5,0,1,82,4,30,72,3,6,0,5,2,0,31,17,6.2
A.J. Terrell,55586,CB,ATL,2,0,0,87.5,0,0,2,0,0,62.7,63.7,81.6,,64.1,62.2,0,0,0,0,40,14.3,2,0,0,115.6,7,0,0,2,136,69,141,3,0,0,3,0,0,138,0,72,0,4,12,0,8,0,0,94,10,13.4
Josh Blackwell,55589,CB,CHI,1,0,0,,0,0,6,0,0,60.0,60.0,62.9,,,,0,0,0,0,,,0,0,0,0.0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,
Marco Wilson,55592,CB,NE,2,0,0,100.0,0,0,19,0,0,40.4,42.9,75.8,,61.1,76.7,0,0,0,0,16,0.0,0,0,2,108.3,2,0,0,1,22,21,29,0,0,0,0,0,0,29,0,8,6,1,3,0,2,0,0,20,3,10.0
Amik Robertson,55619,CB,DET,2,0,0,40.0,0,0,11,0,0,60.7,61.6,77.6,50.6,69.7,48.0,0,0,0,0,20,33.3,1,1,0,67.9,2,0,0,1,2,36,54,0,0,0,0,0,1,54,4,14,50,1,2,0,5,0,0,39,32,19.5
Russ Yeast,55629,CB,LA,1,0,0,,0,0,26,0,0,60.0,61.1,64.1,,,,0,0,0,0,,,0,0,0,0.0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,
Tre Brown,55677,CB,SEA,2,0,0,50.0,0,0,29,0,0,63.7,65.9,79.5,,74.5,77.9,0,0,0,0,25,0.0,0,1,0,68.1,3,0,0,0,84,63,85,0,0,0,0,0,0,85,0,22,1,1,4,0,6,0,0,35,2,11.7
Deommodore Lenoir,55686,CB,SF,2,3,0,69.2,0,0,28,0,0,68.7,67.0,78.3,56.8,59.7,87.3,0,0,0,0,16,0.0,0,1,0,85.1,9,0,0,12,25,63,105,0,0,0,0,0,0,105,1,41,68,1,7,0,13,0,0,79,65,8.8
Marcus Jones,55717,CB,NE,2,2,0,69.2,0,0,19,1,0,70.5,70.2,79.6,47.8,66.6,39.9,0,1,0,0,19,25.0,3,1,0,84.5,9,0,0,4,15,74,97,0,0,0,0,0,16,97,6,17,62,4,7,0,13,1,0,77,40,8.6
Ja'Marcus Ingram,55738,CB,BUF,2,1,0,50.0,0,0,4,0,0,66.4,60.8,0.0,,60.0,26.9,0,0,1,2,24,50.0,1,1,1,74.0,2,0,0,2,0,32,34,0,0,0,0,0,0,34,0,2,32,0,0,0,4,0,1,29,24,14.5
Xavier McKinney,55775,S,GB,2,2,0,50.0,0,0,12,0,0,73.1,72.6,78.3,,54.5,63.6,0,0,0,2,8,11.1,1,0,0,20.8,1,0,0,32,0,80,132,2,0,0,2,0,90,130,0,52,8,1,6,1,2,0,0,8,5,8.0
Montaric Brown,55797,CB,JAX,2,0,0,71.4,0,0,15,0,0,55.7,60.3,78.6,,71.2,84.3,0,0,0,0,13,0.0,0,0,1,82.1,10,0,0,9,79,50,88,0,0,0,0,0,0,88,0,38,0,5,13,2,14,0,0,69,31,6.9
Kamren Curl,55800,S,LA,2,2,0,100.0,0,0,26,0,0,57.9,56.6,75.6,,56.1,49.1,0,0,0,0,60,23.5,4,0,0,158.3,5,0,0,45,0,59,127,0,0,0,0,0,73,127,0,68,9,2,11,0,5,0,1,95,47,19.0
Eric Stokes,55912,CB,GB,2,1,0,66.7,0,0,12,0,0,68.9,69.3,77.9,,64.8,50.4,0,0,0,0,11,20.0,1,0,0,86.8,2,0,0,16,69,54,91,3,0,0,3,0,0,88,0,37,3,0,3,0,3,0,0,21,20,10.5
Bryan Cook,55940,S,KC,2,2,0,50.0,0,0,16,0,0,52.5,56.6,81.6,,75.4,59.1,0,0,0,0,38,13.3,2,0,0,82.6,3,0,0,46,1,101,144,2,0,0,2,0,75,142,0,43,20,2,11,0,6,0,0,56,11,18.7
Nate Hobbs,55948,CB,LV,2,0,0,0.0,0,0,23,0,0,75.2,73.3,79.9,53.2,64.4,79.2,1,1,0,0,,0.0,0,1,0,39.6,0,0,0,18,41,64,122,6,0,0,6,0,2,116,5,53,55,1,5,0,2,2,0,0,0,
Tony Adams,55953,S,NYJ,2,4,0,50.0,0,0,22,0,0,76.6,73.4,77.1,69.7,52.7,41.8,0,1,0,0,14,23.5,4,3,1,72.9,1,1,0,76,1,73,138,1,0,0,1,0,54,137,1,64,6,3,9,0,2,2,0,14,0,14.0
Geno Stone,55967,S,CIN,2,1,0,0.0,0,0,7,0,0,65.8,63.3,81.1,58.8,54.2,42.4,0,0,0,0,,25.0,3,1,0,39.6,0,0,0,28,0,64,127,1,0,0,1,0,96,126,1,62,2,0,8,0,1,0,0,0,0,
Markquese Bell,56033,S,DAL,2,0,0,,0,0,9,0,0,60.0,61.6,69.4,,60.0,,0,0,0,0,,,0,0,0,0.0,0,0,0,6,0,1,8,0,0,0,0,0,2,8,0,7,0,0,0,0,0,0,0,0,0,
Benjamin St-Juste,56061,CB,WAS,2,0,0,61.1,0,1,32,0,0,65.7,66.5,81.3,,65.4,65.7,0,0,0,0,25,8.3,1,4,0,118.8,11,0,0,1,111,69,119,1,0,0,1,0,0,118,0,50,6,0,11,0,18,0,2,124,35,11.3
Reed Blankenship,56065,S,PHI,2,4,0,80.0,0,0,24,0,0,73.9,73.5,79.3,,57.0,46.2,0,0,0,1,21,17.4,4,0,0,58.8,4,0,0,32,0,77,128,0,0,0,0,0,85,128,0,51,11,4,15,0,5,0,0,38,13,9.5
Jason Pinnock,56144,S,NYG,2,2,0,80.0,1,0,21,0,0,41.3,44.3,81.2,81.1,58.0,40.5,0,0,0,0,21,25.0,3,1,2,104.2,4,2,0,29,0,66,125,1,0,0,1,0,83,124,2,57,12,2,7,0,5,2,0,45,7,11.3
Keisean Nixon,56167,CB,GB,2,3,0,64.3,0,0,12,0,0,55.8,64.3,76.2,91.9,67.1,58.7,1,1,0,0,13,16.7,2,1,0,98.2,9,1,0,19,2,68,99,0,0,0,0,0,0,99,3,28,78,5,7,1,14,3,1,63,35,7.0
Quentin Lake,56245,S,LA,2,7,0,60.0,0,0,26,0,0,56.0,57.0,80.5,59.0,59.6,51.9,1,0,0,0,36,16.7,4,0,1,99.6,3,0,0,27,0,58,127,2,0,0,2,0,34,125,1,68,64,5,13,0,5,1,0,57,36,19.0
