player,player_id,position,team_name,player_game_count,accuracy_percent,aimed_passes,attempts,avg_depth_of_target,avg_time_to_throw,bats,big_time_throws,btt_rate,completion_percent,completions,declined_penalties,def_gen_pressures,drop_rate,dropbacks,drops,first_downs,franchise_id,grades_hands_fumble,grades_offense,grades_pass,grades_run,hit_as_threw,interceptions,passing_snaps,penalties,pressure_to_sack_rate,qb_rating,sack_percent,sacks,scrambles,spikes,thrown_aways,touchdowns,turnover_worthy_plays,twp_rate,yards,ypa
Cooper Legas,101286,QB,UTAH ST,2,53.3,15,17,12.5,2.62,1,0,0.0,41.2,7,0,6,12.5,23,1,3,329,68.1,48.9,46.0,60.7,0,1,23,0,33.3,24.4,8.7,2,4,0,1,0,0,0.0,40,2.4
Kyle Crum,158784,QB,S DIEGO ST,1,33.3,15,16,11.6,2.61,1,0,0.0,31.3,5,0,9,0.0,18,0,3,284,70.8,37.0,33.3,60.1,0,1,20,1,11.1,36.7,5.6,1,1,0,0,1,3,15.0,53,3.3
Trexler Ivey,122184,QB,CHARLOTTE,1,60.0,15,16,9.5,3.37,0,0,0.0,56.3,9,0,2,0.0,18,0,7,136,22.9,57.4,54.4,63.7,0,0,18,0,50.0,96.1,5.6,1,1,0,1,1,1,5.6,101,6.3
Cade Klubnik,156253,QB,CLEMSON,3,61.5,13,15,8.6,3.48,0,0,0.0,46.7,7,0,6,12.5,17,1,4,140,69.1,61.8,56.0,66.9,0,0,19,0,16.7,81.5,5.9,1,1,0,2,1,1,5.3,66,4.4
AJ Mayer,63860,QB,ARK STATE,2,76.9,13,14,3.0,2.46,0,0,0.0,71.4,10,0,4,0.0,16,0,3,113,72.5,68.4,56.8,69.8,0,0,16,0,0.0,78.9,0.0,0,2,0,1,0,0,0.0,58,4.1
Drew Allar,164157,QB,PENN STATE,3,78.6,14,14,11.1,2.76,0,3,21.4,71.4,10,0,5,9.1,17,1,9,266,68.2,91.2,90.7,69.1,0,0,17,0,20.0,143.8,5.9,1,2,0,0,2,0,0.0,143,10.2
Brady Olson,147415,QB,UMASS,3,64.3,14,14,6.5,2.72,0,0,0.0,57.1,8,0,6,11.1,19,1,5,216,24.3,47.5,48.2,53.7,0,1,19,0,33.3,32.4,10.5,2,3,0,0,0,1,5.3,38,2.7
Joe Milton III,82151,QB,TENNESSEE,2,85.7,14,14,10.0,2.83,0,1,6.3,85.7,12,0,3,0.0,15,0,8,307,66.7,67.3,63.4,64.1,0,0,17,0,0.0,158.3,0.0,0,1,0,0,3,1,5.9,225,16.1
Wiley Green,75891,QB,RICE,1,69.2,13,13,8.5,2.28,0,0,0.0,61.5,8,0,6,11.1,13,1,5,275,66.0,58.9,58.2,,0,1,13,0,0.0,43.4,0.0,0,0,0,0,0,0,0.0,69,5.3
Logan Fife,128176,QB,FRESNO ST,1,91.7,12,12,2.5,2.68,0,0,0.0,91.7,11,0,5,0.0,16,0,8,169,66.5,73.9,69.8,64.3,0,0,16,0,60.0,115.3,18.8,3,1,0,0,0,0,0.0,140,11.7
Nate Yarnell,144037,QB,PITTSBURGH,1,83.3,12,12,12.4,2.49,0,2,15.4,75.0,9,0,2,10.0,13,1,8,268,68.7,68.3,75.4,57.4,0,0,14,1,50.0,144.4,7.7,1,0,0,0,1,1,7.1,179,14.9
Parker Navarro,123758,QB,OHIO,2,50.0,10,12,3.9,2.87,1,0,0.0,41.7,5,0,8,0.0,17,0,4,259,13.8,33.0,26.9,68.0,0,0,17,0,37.5,51.7,17.6,3,2,0,1,0,2,11.8,43,3.6
Jalen Milroe,146590,QB,ALABAMA,2,66.7,12,12,8.2,2.75,0,0,0.0,66.7,8,0,1,0.0,14,0,5,103,68.8,70.8,61.1,71.5,0,1,15,0,0.0,77.1,0.0,0,2,0,0,1,1,6.7,76,6.3
Jarret Doege,60353,QB,TROY,2,58.3,12,12,8.7,2.52,0,1,8.3,50.0,6,0,5,14.3,13,1,4,318,66.0,81.7,84.1,57.8,0,0,13,0,0.0,114.6,0.0,0,1,0,0,1,0,0.0,124,10.3
Jack Chambers,60359,QB,NC STATE,1,63.6,11,11,8.5,2.15,0,0,0.0,45.5,5,0,2,28.6,11,2,4,248,69.2,54.9,46.8,67.0,0,0,11,0,0.0,87.3,0.0,0,0,0,0,1,1,9.1,45,4.1
Justin Ibieta,123220,QB,TULANE,2,72.7,11,11,5.5,2.28,0,0,0.0,72.7,8,0,1,0.0,12,0,4,319,69.3,65.1,69.9,54.5,0,0,12,0,0.0,93.4,0.0,0,1,0,0,0,0,0.0,81,7.4
Kyle McCord,145053,QB,OHIO STATE,2,80.0,10,11,4.5,1.94,0,0,0.0,72.7,8,0,3,0.0,11,0,5,260,65.6,76.0,75.4,,1,0,11,0,0.0,143.8,0.0,0,0,0,0,1,0,0.0,134,12.2
Chubba Purdy,122412,QB,NEBRASKA,1,72.7,11,11,13.1,3.16,0,1,9.1,63.6,7,0,4,12.5,14,1,3,238,68.0,61.4,58.7,62.1,0,1,14,0,0.0,30.5,0.0,0,3,0,0,0,2,14.3,35,3.2
Jake Garcia,143941,QB,MIAMI FL,2,100.0,10,10,6.0,2.52,0,0,0.0,100.0,10,0,2,0.0,10,0,5,220,65.4,75.9,75.4,,0,0,10,0,0.0,112.1,0.0,0,0,0,0,0,0,0.0,109,10.9
Calvin Brownholtz,83584,QB,UTEP,2,66.7,9,10,10.7,2.35,0,0,0.0,60.0,6,0,3,0.0,11,0,4,330,67.6,56.0,47.2,70.6,1,2,11,0,33.3,38.8,9.1,1,0,0,0,0,2,18.2,63,6.3
Tyler Shough,83537,QB,TEXAS TECH,1,70.0,10,10,18.6,2.6,0,1,9.1,60.0,6,0,1,14.3,10,1,6,315,66.7,84.3,82.2,63.0,0,0,11,0,0.0,137.5,0.0,0,0,0,0,1,0,0.0,138,13.8
Desmond Trotter,83552,QB,S ALABAMA,1,100.0,9,10,-1.2,1.95,0,0,0.0,90.0,9,0,1,0.0,11,0,3,288,65.8,70.0,69.4,,0,0,12,0,100.0,96.7,9.1,1,0,0,1,0,0,0.0,72,7.2
Haden Carlson,123620,QB,FIU,1,62.5,8,9,5.6,2.41,0,0,0.0,55.6,5,0,3,0.0,9,0,2,166,65.1,62.8,62.5,,0,0,9,0,0.0,73.8,0.0,0,0,0,1,0,0,0.0,55,6.1
Harrison Bailey,124266,QB,UNLV,1,55.6,9,9,7.0,2.78,0,0,0.0,55.6,5,0,4,0.0,13,0,2,325,66.0,51.3,44.8,64.2,0,0,13,0,75.0,61.3,23.1,3,1,0,0,0,0,0.0,28,3.1
Kyron Drones,144506,QB,BAYLOR,2,77.8,9,9,16.1,3.22,0,2,20.0,77.8,7,0,1,0.0,10,0,6,118,67.6,83.9,87.5,60.3,0,0,11,0,0.0,118.8,0.0,0,1,0,0,0,0,0.0,124,13.8
Ty Thompson,146568,QB,OREGON,2,88.9,9,9,5.0,2.14,0,0,0.0,66.7,6,0,0,25.0,10,2,4,264,66.5,60.1,59.6,59.6,0,1,11,0,,49.5,0.0,0,0,0,0,0,0,0.0,68,7.6
Grant Gunnell,98367,QB,N TEXAS,2,44.4,9,9,12.2,2.95,0,1,11.1,44.4,4,0,4,0.0,10,0,2,251,65.4,45.5,42.4,,0,1,10,0,25.0,34.3,10.0,1,0,0,0,0,1,10.0,75,8.3
