player,player_id,position,team_name,player_game_count,base_targets,declined_penalties,franchise_id,man_avg_depth_of_target,man_avoided_tackles,man_caught_percent,man_contested_catch_rate,man_contested_receptions,man_contested_targets,man_drop_rate,man_drops,man_first_downs,man_fumbles,man_grades_hands_drop,man_grades_pass_route,man_interceptions,man_longest,man_pass_block_rate,man_pass_blocks,man_pass_plays,man_receptions,man_route_rate,man_routes,man_targeted_qb_rating,man_targets,man_targets_percent,man_touchdowns,man_yards,man_yards_after_catch,man_yards_after_catch_per_reception,man_yards_per_reception,man_yprr,penalties,zone_avg_depth_of_target,zone_avoided_tackles,zone_caught_percent,zone_contested_catch_rate,zone_contested_receptions,zone_contested_targets,zone_drop_rate,zone_drops,zone_first_downs,zone_fumbles,zone_grades_hands_drop,zone_grades_pass_route,zone_interceptions,zone_longest,zone_pass_block_rate,zone_pass_blocks,zone_pass_plays,zone_receptions,zone_route_rate,zone_routes,zone_targeted_qb_rating,zone_targets,zone_targets_percent,zone_touchdowns,zone_yards,zone_yards_after_catch,zone_yards_after_catch_per_reception,zone_yards_per_reception,zone_yprr
Chris Godwin,11839,WR,TB,1,9,0,30,8.0,0,0.0,0.0,0,1,,0,0,0,,52.4,0,0,0.0,0,8,0,100.0,8,39.6,2,22.2,0,0,0,,,0.0,0,6.1,0,71.4,50.0,1,2,28.6,2,3,0,29.2,61.0,0,32,0.0,0,33,5,93.9,31,93.8,7,77.8,0,54,17,3.4,10.8,1.74
Nelson Agholor,9453,WR,NE,1,9,0,19,28.0,0,0.0,0.0,0,1,100.0,1,0,0,28.0,40.4,0,0,0.0,0,1,0,100.0,1,39.6,1,11.1,0,0,0,,,0.0,0,5.0,1,60.0,0.0,0,1,25.0,1,1,0,36.2,52.8,0,9,3.2,1,31,3,93.5,29,65.4,5,55.6,0,16,6,2.0,5.3,0.55
Elijah Moore,84302,WR,NYJ,1,9,0,22,1.0,0,100.0,,0,0,0.0,0,1,0,64.7,65.6,0,7,0.0,0,10,1,100.0,10,95.8,1,11.1,0,7,6,6.0,7.0,0.7,0,12.8,1,62.5,,0,0,0.0,0,2,0,73.4,63.8,0,24,0.0,0,31,5,100.0,31,81.8,8,88.9,0,53,3,0.6,10.6,1.71
Jerry Jeudy,61103,WR,DEN,1,9,0,10,29.5,0,50.0,,0,0,0.0,0,1,0,64.7,66.7,1,18,0.0,0,18,1,94.4,17,81.3,2,22.2,1,18,0,0.0,18.0,1.06,0,2.8,0,100.0,,0,0,0.0,0,1,0,73.4,68.2,0,17,0.0,0,23,5,95.7,22,102.5,5,55.6,0,43,29,5.8,8.6,1.95
Julio Jones,6158,WR,TB,1,8,0,30,14.0,0,100.0,100.0,1,1,0.0,0,1,0,64.7,67.4,0,15,0.0,0,6,1,100.0,6,118.8,1,12.5,0,15,1,1.0,15.0,2.5,0,0.3,0,100.0,,0,0,0.0,0,0,0,70.5,58.8,0,9,0.0,0,25,3,96.0,24,91.7,3,37.5,0,18,17,5.7,6.0,0.75
Austin Ekeler,12164,HB,LAC,1,8,0,27,-7.0,0,100.0,,0,0,0.0,0,0,0,64.7,59.2,0,-4,33.3,3,9,1,55.6,5,79.2,1,12.5,0,-4,3,3.0,-4.0,-0.8,0,-2.6,1,100.0,,0,0,0.0,0,2,0,73.4,78.4,0,21,21.1,4,19,5,78.9,15,106.7,5,62.5,0,48,61,12.2,9.6,3.2
Tyler Lockett,9502,WR,SEA,1,8,0,29,11.0,0,0.0,0.0,0,1,,0,0,0,,54.7,0,0,0.0,0,8,0,87.5,7,39.6,1,12.5,0,0,0,,,0.0,0,15.2,1,60.0,,0,0,0.0,0,2,0,70.5,67.4,1,23,0.0,0,29,3,100.0,29,50.8,5,62.5,0,46,2,0.7,15.3,1.59
Nick Westbrook-Ikhine,47861,WR,TEN,1,8,0,31,11.3,0,66.7,100.0,1,1,33.3,1,2,0,29.9,73.9,0,13,0.0,0,8,2,87.5,7,118.1,3,37.5,1,15,1,0.5,7.5,2.14,0,15.2,0,20.0,0.0,0,3,0.0,0,1,0,68.3,51.7,1,8,0.0,0,33,1,93.9,31,0.0,5,62.5,0,8,3,3.0,8.0,0.26
T.J. Hockenson,40912,TE,MIN,1,8,0,18,10.0,0,100.0,,0,0,0.0,0,1,0,68.3,61.2,0,17,9.1,2,22,2,81.8,18,114.6,2,25.0,0,23,3,1.5,11.5,1.28,0,7.8,1,100.0,,0,0,0.0,0,2,0,72.1,81.0,0,21,16.7,2,12,4,83.3,10,112.5,4,50.0,0,44,13,3.3,11.0,4.4
DeVonta Smith,61100,WR,PHI,1,8,0,24,12.9,1,57.1,66.7,2,3,20.0,1,3,0,41.6,67.4,0,41,0.0,0,21,4,90.5,19,126.8,7,87.5,1,63,32,8.0,15.8,3.32,0,0.0,0,100.0,,0,0,0.0,0,0,0,64.7,54.4,0,1,0.0,0,14,1,100.0,14,79.2,1,12.5,0,1,1,1.0,1.0,0.07
