"","Name","TeamAbbrev","Salary","fpts","proj_own","status","lines","totals","pass_plays","grades_offense","yprr","opponent","def_rank","cov_rank"
"351","Aaron Morton","SCAR",3000,NA,0,"Healthy","14","53",NA,NA,NA,"CLEM",16,48
"352","Sage Ennis","CLEM",3000,NA,0,"Healthy","-14","53",29,61.2,0.68,"SCAR",115,116
"353","Griffin Batt","CLEM",3000,NA,0,"Healthy","-14","53",NA,NA,NA,"SCAR",115,116
"354","Jackson Crosby","CLEM",3000,NA,0,"Healthy","-14","53",NA,NA,NA,"SCAR",115,116
"355","Dacari Collins","CLEM",3000,NA,0,"Healthy","-14","53",42,49.6,0.22,"SCAR",115,116
"356","Will Blackston","CLEM",3000,NA,0,"Healthy","-14","53",NA,NA,NA,"SCAR",115,116
"357","Josh Sapp","CLEM",3000,NA,0,"Healthy","-14","53",NA,NA,NA,"SCAR",115,116
"358","Luke Price","CLEM",3000,NA,0,"Healthy","-14","53",10,65.9,0.6,"SCAR",115,116
"359","Banks Pope","CLEM",3000,NA,0,"Healthy","-14","53",NA,NA,NA,"SCAR",115,116
"360","Will Taylor","CLEM",3000,0.56,0,"Ques Sat - Knee","-14","53",14,68.3,1.62,"SCAR",115,116
"361","Troy Stellato","CLEM",3000,NA,0,"out for season - Knee","-14","53",NA,NA,NA,"SCAR",115,116
"362","Hamp Greene","CLEM",3000,0.56,0,"Healthy","-14","53",1,60.6,1,"SCAR",115,116
"363","Blackmon Huckabee Jr.","CLEM",3000,NA,0,"Healthy","-14","53",NA,NA,NA,"SCAR",115,116
"364","Cole Turner","CLEM",3000,NA,0,"Healthy","-14","53",4,71.1,2.25,"SCAR",115,116
"365","Hampton Earle","CLEM",3000,NA,0,"Healthy","-14","53",9,53.1,0,"SCAR",115,116
"366","Clay Swinney","CLEM",3000,NA,0,"Healthy","-14","53",NA,NA,NA,"SCAR",115,116
"367","Zach Jackson","CLEM",3000,1.04,0,"Healthy","-14","53",76,52.7,0.92,"SCAR",115,116
"368","Tye Herbstreit","CLEM",3000,NA,0,"Healthy","-14","53",NA,NA,NA,"SCAR",115,116
"369","Michael Mankaka","CLEM",3000,NA,0,"Healthy","-14","53",NA,NA,NA,"SCAR",115,116
"370","Zavier Short","SCAR",3000,NA,0,"Healthy","14","53",NA,NA,NA,"CLEM",16,48
"371","Chad Terrell","SCAR",3000,NA,0,"out for season - Knee","14","53",NA,NA,NA,"CLEM",16,48
"372","Dave Adams","SCAR",3000,NA,0,"Healthy","14","53",NA,NA,NA,"CLEM",16,48
"373","Kylic Horton","SCAR",3000,NA,0,"Healthy","14","53",NA,NA,NA,"CLEM",16,48
"374","Dj Black","SCAR",3000,NA,0,"Healthy","14","53",NA,NA,NA,"CLEM",16,48
"375","Ben Rollins","SCAR",3000,NA,0,"Healthy","14","53",NA,NA,NA,"CLEM",16,48
"376","Payton Mangrum","SCAR",3000,NA,0,"Healthy","14","53",NA,NA,NA,"CLEM",16,48
"377","O'Mega Blake","SCAR",3000,NA,0,"Healthy","14","53",NA,NA,NA,"CLEM",16,48
"378","Brant Kuithe","UTAH",3000,NA,0,"out for season - Leg","-29.5","52",89,68.8,2.37,"COL",131,131
