"player","team_name","avg_depth_of_target","contested_receptions","contested_targets","drops","grades_offense","grades_pass_route","inline_snaps","pass_plays","receptions","routes","slot_snaps","targeted_qb_rating","targets","touchdowns","wide_snaps","yards","yards_after_catch","yards_after_catch_per_reception","yards_per_reception","yprr","week","join"
"Randall Cobb","GB",17,0,1,0,58.9,62.3,0,27,2,27,26,37.5,3,0,1,14,5,2.5,7,0.52,1,"GB1"
"Zach Ertz","ARZ",5.7,1,1,0,62.5,63.6,7,29,2,27,16,116.7,3,1,5,14,3,1.5,7,0.52,1,"ARZ1"
"Adam Thielen","MIN",7.7,0,0,0,57,57.1,0,34,3,33,11,116.7,3,0,23,36,13,4.3,12,1.09,1,"MIN1"
"Sammy Watkins","GB",1,0,0,0,57.3,58.1,0,28,3,28,5,91.7,3,0,23,18,15,5,6,0.64,1,"GB1"
"Cameron Brate","TB",5,0,0,1,46.3,49.1,10,23,1,23,11,42.4,3,0,2,7,2,2,7,0.3,1,"TB1"
"Breshad Perriman","TB",30.3,0,2,0,51.8,53.8,0,10,0,10,5,39.6,3,0,5,0,0,NA,NA,0,1,"TB1"
"A.J. Green","ARZ",12,0,1,0,56.9,56.5,0,33,2,31,4,75.7,3,0,29,13,0,0,6.5,0.42,1,"ARZ1"
"Tyler Kroft","SF",9,0,0,0,63.7,49.4,11,15,1,15,4,42.4,3,0,0,9,3,3,9,0.6,1,"SF1"
"Hunter Henry","NE",12.3,0,1,0,50.5,55.1,12,29,2,29,15,85.4,3,0,2,20,6,3,10,0.69,1,"NE1"
"Chris Moore","HST",4.7,1,1,0,68.3,70.8,0,23,3,22,22,109.7,3,0,1,31,17,5.7,10.3,1.41,1,"HST1"
"J.D. McKissic","WAS",0.3,0,0,0,61.7,64.9,0,22,3,17,2,94.4,3,0,4,20,19,6.3,6.7,1.18,1,"WAS1"
"Dalvin Cook","MIN",-5,0,0,0,75,67.7,3,28,3,23,0,91.7,3,0,3,18,33,11,6,0.78,1,"MIN1"
"Chris Godwin","TB",0.7,0,0,0,64.6,66.3,0,10,3,10,5,115.3,3,0,5,35,33,11,11.7,3.5,1,"TB1"
"Josh Reynolds","DET",14.7,0,0,0,56.4,54.5,0,35,1,34,14,68.8,3,0,21,28,9,9,28,0.82,1,"DET1"
"Isaiah McKenzie","BUF",7.3,0,1,1,58.4,58.3,0,21,2,21,16,84,3,1,5,19,2,1,9.5,0.9,1,"BUF1"
"Johnny Mundt","MIN",0.3,0,0,0,58.4,63.6,12,17,3,16,3,90.3,3,0,2,17,16,5.3,5.7,1.06,1,"MIN1"
"K.J. Osborn","MIN",3.3,0,0,0,52.8,52.8,0,29,3,28,15,86.1,3,0,14,14,4,1.3,4.7,0.5,1,"MIN1"
"KhaDarel Hodge","ATL",8.3,0,0,0,69.1,68.3,0,7,3,7,3,118.8,3,0,4,38,13,4.3,12.7,5.43,1,"ATL1"
"Rashaad Penny","SEA",-2.3,0,0,0,55.8,60,0,22,2,19,3,70.1,3,0,1,7,14,7,3.5,0.37,1,"SEA1"
"Will Dissly","SEA",4.3,0,0,0,72.9,65.9,10,19,3,14,5,158.3,3,1,1,43,30,10,14.3,3.07,1,"SEA1"
"Andrew Beck","DEN",7.7,0,0,1,82.3,83.9,1,4,2,3,1,109.7,3,0,0,52,32,16,26,17.33,1,"DEN1"
"Dallas Goedert","PHI",1.7,0,0,0,58.6,62.5,20,41,3,38,17,118.8,3,0,4,60,55,18.3,20,1.58,1,"PHI1"
"Andy Isabella","ARZ",10,0,1,0,61.4,61,0,15,1,15,11,43.8,3,0,4,10,4,4,10,0.67,1,"ARZ1"
"Equanimeous St. Brown","CHI",13,0,2,0,64.9,61.8,1,19,1,17,2,94.4,3,1,16,18,0,0,18,1.06,1,"CHI1"
"Terry McLaurin","WAS",18.3,0,1,0,63.8,63.2,0,49,2,42,10,149.3,3,1,39,58,19,9.5,29,1.38,1,"WAS1"
"Darnell Mooney","CHI",13.7,0,0,0,53.5,52.4,0,23,1,22,12,2.8,3,0,11,8,9,9,8,0.36,1,"CHI1"
"Eno Benjamin","ARZ",-0.7,0,0,0,81.6,70.2,0,16,3,12,1,112.5,3,0,0,33,35,11.7,11,2.75,1,"ARZ1"
"D'Andre Swift","DET",-3.7,0,0,0,82.3,64.9,0,30,3,25,3,109.7,3,0,4,31,42,14,10.3,1.24,1,"DET1"
"Clyde Edwards-Helaire","KC",-3,0,0,0,63.7,79.9,1,18,3,13,0,150.7,3,2,3,32,41,13.7,10.7,2.46,1,"KC1"
"Nico Collins","HST",11.3,1,1,0,56.4,56.2,0,34,2,32,5,93.8,3,0,29,26,7,3.5,13,0.81,1,"HST1"
"Josh Palmer","LAC",0.3,0,0,0,56.1,54.1,0,26,3,26,11,79.2,3,0,15,5,4,1.3,1.7,0.19,1,"LAC1"
"Brandon Aiyuk","SF",19.3,1,1,0,58.3,59.9,0,36,2,35,6,109.7,3,0,30,40,14,7,20,1.14,1,"SF1"
"Chris Olave","NO",12.3,0,0,0,65.5,65.2,1,35,3,33,7,118.8,3,0,27,41,4,1.3,13.7,1.24,1,"NO1"
"Simi Fehoko","DAL",14.3,0,1,0,53.7,55,0,15,2,14,4,74.3,3,0,11,12,6,3,6,0.86,1,"DAL1"
"George Pickens","PIT",14.3,0,0,0,50.1,50.5,0,39,1,37,3,42.4,3,0,36,3,0,0,3,0.08,1,"PIT1"
"Damien Harris","NE",2,0,0,0,64.9,68.2,0,12,2,10,0,87.5,2,0,1,10,6,3,5,1,1,"NE1"
"Justice Hill","BLT",1,0,0,0,54.9,61,0,9,2,9,1,81.3,2,0,1,7,5,2.5,3.5,0.78,1,"BLT1"
"Josiah Deguara","GB",8,0,0,0,80.2,77.6,1,11,2,11,9,118.8,2,0,0,28,12,6,14,2.55,1,"GB1"
"Ryan Griffin","CHI",14.5,0,0,0,60.6,46,11,12,0,10,1,39.6,2,0,0,0,0,NA,NA,0,1,"CHI1"
"Alec Ingold","MIA",14.5,0,0,0,55.2,57.5,1,11,1,7,2,60.4,2,0,0,8,4,4,8,1.14,1,"MIA1"
"Durham Smythe","MIA",6,0,0,0,70.9,64.9,17,21,1,13,2,72.9,2,0,1,14,3,3,14,1.08,1,"MIA1"
"Kyle Juszczyk","SF",2.5,0,0,1,44.6,29.4,0,11,0,10,1,39.6,2,0,1,0,0,NA,NA,0,1,"SF1"
"D'Wayne Eskridge","SEA",2.5,0,0,0,60.5,60.2,0,3,1,3,2,56.3,2,0,1,0,5,5,0,0,1,"SEA1"
"Jeff Wilson Jr.","SF",0.5,0,0,0,56,55.3,0,22,2,17,1,83.3,2,0,2,8,7,3.5,4,0.47,1,"SF1"
"Nick Westbrook-Ikhine","TEN",9,1,2,0,55.4,56.3,0,25,1,22,9,70.8,2,0,16,13,1,1,13,0.59,1,"TEN1"
"Tony Pollard","DAL",1,0,0,0,61.3,58.5,0,27,2,15,4,95.8,2,0,1,14,12,6,7,0.93,1,"DAL1"
"Ray-Ray McCloud III","SF",15.5,0,0,0,67.3,66.7,0,9,1,9,4,85.4,2,0,5,20,1,1,20,2.22,1,"SF1"
"James Robinson","JAX",0.5,0,0,0,74.8,63.3,0,21,1,15,0,95.8,2,1,1,3,0,0,3,0.2,1,"JAX1"
"Ross Dwelley","SF",8,1,1,0,61.6,61.3,4,15,1,14,9,66.7,2,0,1,11,0,0,11,0.79,1,"SF1"
"Marquise Goodwin","SEA",11,0,0,0,61.8,61.1,0,19,2,17,12,112.5,2,0,7,22,0,0,11,1.29,1,"SEA1"
"Trent Sherfield","MIA",11.5,0,0,0,70.4,64.7,0,11,1,10,3,60.4,2,0,8,8,0,0,8,0.8,1,"MIA1"
"Joshua Kelley","LAC",3.5,0,0,0,67.2,70.4,0,11,2,10,0,95.8,2,0,0,14,7,3.5,7,1.4,1,"LAC1"
"Cedrick Wilson","MIA",8,1,1,0,61.2,61.7,0,17,2,17,8,108.3,2,0,9,20,4,2,10,1.18,1,"MIA1"
"Mo Alie-Cox","IND",5.5,1,1,0,69.1,66.9,17,27,2,21,10,118.8,2,0,0,26,15,7.5,13,1.24,1,"IND1"
"Parker Hesse","ATL",4.5,0,1,0,62.5,63.3,15,24,1,12,5,56.3,2,0,1,5,4,4,5,0.42,1,"ATL1"
"Anthony Firkser","ATL",5,0,0,0,60.1,59.3,2,3,1,2,1,56.3,2,0,0,6,0,0,6,3,1,"ATL1"
"Colby Parkinson","SEA",14.5,0,0,0,87.5,89.6,7,12,2,10,3,158.3,2,1,2,43,14,7,21.5,4.3,1,"SEA1"
"Najee Harris","PIT",-1.5,0,0,0,56.5,62.4,0,24,2,15,2,118.8,2,1,0,3,6,3,1.5,0.2,1,"PIT1"
"Robert Woods","TEN",15,1,1,0,56.1,55.7,0,30,1,26,7,70.8,2,0,22,13,0,0,13,0.5,1,"TEN1"
"Brandon Bolden","LV",6.5,0,0,0,60.5,73.3,0,13,2,11,1,150,2,1,0,21,8,4,10.5,1.91,1,"LV1"
"Rhamondre Stevenson","NE",-3.5,0,0,0,66.4,62.4,0,6,2,5,1,79.2,2,0,0,2,9,4.5,1,0.4,1,"NE1"
"Jamaal Williams","DET",2.5,0,0,1,56.6,29.6,0,11,1,10,0,56.3,2,0,0,2,0,0,2,0.2,1,"DET1"
"Zander Horvath","LAC",3,0,0,0,67.6,63.7,2,8,2,6,2,118.8,2,1,0,6,0,0,3,1,1,"LAC1"
"Noah Gray","KC",9,0,1,0,72,63.7,13,17,1,13,1,64.6,2,0,3,10,2,2,10,0.77,1,"KC1"
"Kenny Golladay","NYG",6.5,0,0,0,51,53.7,0,22,2,20,3,112.5,2,0,19,22,9,4.5,11,1.1,1,"NYG1"
