"","Name","ID","Salary","AvgPointsPerGame","fpts","proj_own","ceil","floor","scoring_points","finish_points","total_points","value","projected_ownership","sg_putt_pred","sg_putt_rank","sg_arg_pred","sg_arg_rank","sg_app_pred","sg_app_rank","sg_ott_pred","sg_ott_rank","sg_total_pred","sg_total_rank","distance_pred","distance_rank","accuracy_pred","accuracy_rank","baseline","age","age_adj","true_sg_adj","timing_adj","sg_category_adj","course_history_adj","driving_dist_adj","driving_acc_adj","fit_other_adj","course_fit_total_adj","final_prediction","make_cut","top_20","top_10","top_5","win","odds_per_dollar","residuals","proj_own_avg","fpts_avg","course_fit","own_change","manual_change","adj_own","one","date","tournament"
"46","Andrew Putnam",28078742,7100,61.4,54.16,5.3,79,25,58.5,3.4,61.9,0.65,10.58,0.372,27,0.17,53,0.242,71,-0.326,271,0.457,84,-12.46,381,0.064,26,0.604,34,-0.006,-0.043,0.009,-0.106,0.083,0.194,-0.011,0.072,0.255,0.796,0.7126,0.2532,0.1235,0.0588,0.0092,1.3,0.6,7.94,58.03,1.35,6.38,0,15,1,2023-05-25,"2023-05-25 Charles Schwab"
"47","Joseph Bramlett",28078743,7100,63.82,58.19,6.8,82.5,25.5,53.4,2.4,55.8,0.15,2.49,-0.218,332,0.084,97,0.38,41,0.362,46,0.607,68,15.558,14,-0.057,364,0.449,35,-0.009,0.027,-0.025,0.165,-0.045,-0.239,0.01,0.002,-0.227,0.335,0.6269,0.161,0.0718,0.0309,0.0036,0.51,-0.19,4.64,56.99,-0.3,-1.45,0,5,1,2023-05-25,"2023-05-25 Charles Schwab"
"48","Matthew NeSmith",28078745,7100,54.56,58.72,5.7,82.5,26.5,53.8,2.4,56.2,0.18,4.4,-0.001,179,0.008,167,0.228,74,0.09,116,0.325,96,-2.851,254,0.041,71,0.359,29,0.011,-0.019,-0.018,-0.009,-0.017,0.045,-0.007,0.013,0.051,0.359,0.6283,0.1706,0.0766,0.0327,0.005,0.7,0,5.05,57.46,0.12,0.54,0,5,1,2023-05-25,"2023-05-25 Charles Schwab"
"49","Will Gordon",28078746,7000,65.95,54.97,2.7,79.35,25,50.4,1.9,52.3,-0.05,1.36,0.004,173,-0.191,337,0.159,98,0.317,59,0.289,100,14.387,20,-0.002,191,0.164,26,0.021,0.034,-0.01,0.079,-0.058,-0.221,0,-0.015,-0.236,-0.005,0.5536,0.1144,0.0479,0.0187,0.0026,0.37,-0.26,2.03,53.63,-0.84,-3.91,0,0,1,2023-05-25,"2023-05-25 Charles Schwab"
"50","Sepp Straka",28078747,7000,55.65,52.61,5.4,78,25,52.8,2.2,55,0.13,6.58,0.05,138,-0.149,305,0.249,69,0.152,94,0.301,97,3.738,137,0.026,107,0.223,30,0.01,0.015,0.009,0.046,-0.024,-0.056,-0.004,0.001,-0.059,0.218,0.5968,0.1477,0.0648,0.0271,0.0035,0.5,-0.13,5.99,53.8,-0.41,-1.91,0,5,1,2023-05-25,"2023-05-25 Charles Schwab"
"51","Vincent Norrman",28078748,7000,58.44,53.35,5.1,78,24.5,49,1.7,50.7,-0.14,3.36,-0.161,293,-0.015,190,0.001,149,0.358,48,0.184,114,10.632,43,-0.01,220,0.043,25,0.026,0.023,0.013,0.079,-0.054,-0.163,0.002,-0.022,-0.183,-0.053,0.5434,0.105,0.0419,0.0167,0.0019,0.27,-0.36,4.23,52.03,-0.69,-3.29,0,0,1,2023-05-25,"2023-05-25 Charles Schwab"
"52","Aaron Rai",28078749,7000,57.38,56.33,2.5,80.5,25.5,55.9,2.9,58.8,0.45,4.42,-0.157,287,0.082,100,0.359,47,0.247,76,0.531,72,-5.124,303,0.089,12,0.398,28,0.016,0.003,0.007,0.108,-0.032,0.08,-0.015,0.011,0.076,0.575,0.6774,0.2092,0.0987,0.0442,0.0064,0.91,0.28,3.46,57.56,0.64,3.02,0,5,1,2023-05-25,"2023-05-25 Charles Schwab"
"53","Joel Dahmen",28078750,7000,59.71,50.1,2.3,76,24,50.9,1.9,52.8,-0.03,2.36,-0.316,380,-0.034,202,0.257,66,0.13,102,0.036,138,-4.169,283,0.055,48,0.096,35,-0.01,-0.073,-0.019,0.042,0.034,0.066,-0.009,-0.024,0.033,0.103,0.5781,0.1272,0.0518,0.0215,0.0025,0.36,-0.27,2.33,51.45,-0.37,-1.8,0,0,1,2023-05-25,"2023-05-25 Charles Schwab"
"54","Scott Stallings",28078751,6900,55.73,59.1,3,82.5,26,52.9,2.2,55.1,0.2,2.31,-0.006,181,0.1,82,0.057,122,0.104,112,0.254,105,5.071,112,-0.035,307,0.184,38,-0.02,0.016,0.008,0.066,0.077,-0.077,0.006,0.011,-0.06,0.271,0.6124,0.1567,0.0697,0.0303,0.0044,0.64,0.08,2.66,57.1,-0.22,-0.95,0,0,1,2023-05-25,"2023-05-25 Charles Schwab"
"55","Nate Lashley",28078752,6900,60.16,57,4.1,81.5,25.5,51.1,2.1,53.2,0.04,4.3,0.047,144,0.025,154,0.247,70,-0.248,249,0.072,134,-6.208,318,0.036,84,0.279,40,-0.028,-0.047,0.028,-0.16,0.003,0.097,-0.006,0.022,0.113,0.188,0.5935,0.1344,0.0553,0.022,0.0032,0.46,-0.1,4.2,55.1,0.2,0.85,0,5,1,2023-05-25,"2023-05-25 Charles Schwab"
