player,player_id,position,team_name,player_game_count,declined_penalties,franchise_id,gap_grades_run_block,gap_run_block_percent,gap_snap_counts_run_block,gap_snap_counts_run_block_percent,gap_snap_counts_run_play,grades_run_block,penalties,run_block_percent,snap_counts_run_block,snap_counts_run_play,zone_grades_run_block,zone_run_block_percent,zone_snap_counts_run_block,zone_snap_counts_run_block_percent,zone_snap_counts_run_play
Michael Carter,57337,HB,ARZ,9,0,1,,0.0,0,0.0,6,60.0,0,20.8,5,24,60.0,7.1,1,20.0,14
Chris Blair,84096,WR,ATL,1,0,2,60.0,100.0,2,40.0,2,59.4,0,100.0,5,5,58.7,100.0,3,60.0,3
Jonathan Ward,25859,HB,TEN,2,0,31,,,0,0.0,0,60.0,0,100.0,5,5,,,0,0.0,0
Jacoby Brissett,10725,QB,WAS,2,0,32,60.0,100.0,4,80.0,4,60.0,0,83.3,5,6,60.0,100.0,1,20.0,1
Ricky Stromberg,99066,G,WAS,2,0,32,56.6,100.0,3,60.0,3,46.3,0,100.0,5,5,52.7,100.0,2,40.0,2
Deon Jackson,57189,HB,NYG,2,0,21,59.4,50.0,3,60.0,6,59.4,0,25.0,5,20,60.0,8.3,1,20.0,12
Ke'Shawn Vaughn,45866,HB,TB,5,0,30,,0.0,0,0.0,11,60.0,0,16.1,5,31,,0.0,0,0.0,15
Brian Allen,46104,C,LA,2,0,26,58.0,100.0,4,80.0,4,57.0,0,100.0,5,5,60.0,100.0,1,20.0,1
Mike Boone,31615,HB,HST,6,0,13,,0.0,0,0.0,2,41.8,0,50.0,5,10,60.0,25.0,1,20.0,4
Corey Levin,11972,C,TEN,1,0,31,54.7,100.0,2,40.0,2,50.4,0,100.0,5,5,57.3,100.0,3,60.0,3
Bo Melton,61610,WR,GB,2,0,12,60.0,100.0,1,20.0,1,81.9,0,100.0,5,5,60.0,100.0,2,40.0,2
Dalton Keene,61068,TE,HST,1,0,13,60.0,100.0,1,20.0,1,58.0,0,100.0,5,5,58.8,100.0,3,60.0,3
Cam Fleming,8775,T,DEN,2,0,10,,,0,0.0,0,60.0,0,100.0,4,4,60.0,100.0,1,25.0,1
Mason Kinsey,115664,WR,TEN,3,0,31,,,0,0.0,0,59.5,0,100.0,4,4,58.2,100.0,3,75.0,3
Dylan Drummond,78187,WR,DET,1,0,11,,,0,0.0,0,60.0,0,100.0,4,4,60.0,100.0,1,25.0,1
J.K. Dobbins,57366,HB,BLT,1,0,3,60.0,33.3,2,50.0,6,59.6,0,33.3,4,12,,0.0,0,0.0,4
J.D. DiRenzo,108791,G,CAR,1,0,5,59.5,100.0,3,75.0,3,59.6,0,100.0,4,4,60.0,100.0,1,25.0,1
Clyde Edwards-Helaire,57279,HB,KC,13,0,16,,0.0,0,0.0,18,60.0,0,5.7,4,70,,0.0,0,0.0,46
Nick Bellore,6515,LB,SEA,3,0,29,,,0,0.0,0,60.0,0,100.0,4,4,,,0,0.0,0
Amari Rodgers,61212,WR,IND,3,0,14,60.0,100.0,1,25.0,1,60.0,0,100.0,4,4,60.0,100.0,2,50.0,2
Sean Clifford,51708,QB,GB,1,0,12,60.0,50.0,1,25.0,2,60.0,0,80.0,4,5,60.0,100.0,3,75.0,3
Jarrett Stidham,13725,QB,DEN,1,0,10,60.0,100.0,3,75.0,3,60.0,0,100.0,4,4,60.0,100.0,1,25.0,1
Emanuel Wilson,154173,HB,GB,6,0,12,,0.0,0,0.0,5,60.0,0,20.0,4,20,60.0,9.1,1,25.0,11
Jeffery Simmons,43742,DI,TEN,3,1,31,55.0,100.0,3,75.0,3,54.5,2,100.0,4,4,60.0,100.0,1,25.0,1
Damien Williams,9205,HB,ARZ,3,0,1,59.6,42.9,3,75.0,7,59.4,0,26.7,4,15,,0.0,0,0.0,7
Malik Willis,60341,QB,TEN,3,0,31,,0.0,0,0.0,2,60.0,0,57.1,4,7,60.0,100.0,4,100.0,4
Josh Pederson,39861,TE,JAX,2,0,15,59.4,100.0,2,50.0,2,38.0,0,100.0,4,4,60.0,100.0,1,25.0,1
Nick Saldiveri,81785,G,NO,2,0,20,60.0,100.0,2,50.0,2,59.9,0,100.0,4,4,60.0,100.0,2,50.0,2
Noah Togiai,47282,TE,PHI,1,0,24,,,0,0.0,0,70.7,0,100.0,4,4,70.5,100.0,3,75.0,3
JaMycal Hasty,25582,HB,NE,1,0,19,,,0,0.0,0,60.0,0,100.0,3,3,,,0,0.0,0
Antonio Gibson,78050,HB,WAS,12,0,32,60.0,5.6,1,33.3,18,59.9,0,5.8,3,52,,0.0,0,0.0,32
Steven Sims,48341,WR,HST,2,0,13,,,0,0.0,0,59.3,0,75.0,3,4,60.0,100.0,2,66.7,2
Jonotthan Harrison,9132,G,MIA,1,0,17,,,0,0.0,0,60.0,0,100.0,3,3,60.0,100.0,1,33.3,1
Zamir White,83665,HB,LV,11,0,23,,0.0,0,0.0,19,60.0,0,7.5,3,40,,0.0,0,0.0,12
