"","Name","ID","Salary","AvgPointsPerGame","fpts","proj_own","ceil","floor","scoring_points","finish_points","total_points","value","projected_ownership","sg_putt_pred","sg_putt_rank","sg_arg_pred","sg_arg_rank","sg_app_pred","sg_app_rank","sg_ott_pred","sg_ott_rank","sg_total_pred","sg_total_rank","distance_pred","distance_rank","accuracy_pred","accuracy_rank","baseline","age","age_adj","true_sg_adj","timing_adj","sg_category_adj","course_history_adj","driving_dist_adj","driving_acc_adj","fit_other_adj","course_fit_total_adj","final_prediction","make_cut","top_20","top_10","top_5","win","odds_per_dollar","residuals","proj_own_avg","course_fit","own_change","adj_own","one","date","tournament"
"34","Kyoung-Hoon Lee",23516828,7400,60.67,72.4,0,106.25,33.75,64.6,3,67.6,0.59,3.95,0.133,105,0.122,86,0.123,111,0.174,112,0.552,74,2.079,174,0.034,92,0.546,30,0.006,0.041,0,-0.041,-0.005,-0.02,0.099,-0.027,0.052,0.599,0.6047,0.216,0.11,0.0545,0.0106,1.43,0.36,2.37,1.02,4.77,5,1,2022-08-07,"Wyndham Championshio"
"35","Martin Laird",23516829,7400,57.6,74.01,0,108.13,34.38,66.1,3.4,69.5,0.72,3.95,-0.266,376,0.071,120,0.333,47,0.183,105,0.322,102,-1.27,241,0.093,13,0.407,39,-0.023,-0.123,0.028,0.032,0.138,0.013,0.273,0.005,0.291,0.751,0.6416,0.2481,0.1342,0.0692,0.0133,1.8,0.73,2.37,1.5,7.12,10,1,2022-08-07,"Wyndham Championshio"
"36","C.T. Pan",23516830,7400,61.11,73.44,0,106.88,34.38,62.4,2.7,65.1,0.42,3.95,0.045,169,0.079,113,0.162,92,-0.018,189,0.267,110,-2.824,265,0.045,68,0.274,30,0.007,-0.013,0.004,-0.004,0.067,0.028,0.131,-0.018,0.141,0.476,0.5816,0.1866,0.0906,0.0428,0.0067,0.91,-0.16,2.37,0.91,4.02,5,1,2022-08-07,"Wyndham Championshio"
"37","Chez Reavie",23516831,7400,54.67,68.65,0,104.38,32.5,65.7,3.2,69,0.69,3.95,-0.171,327,0.009,170,0.248,69,0.005,182,0.091,144,-16.043,413,0.136,2,0.361,40,-0.026,-0.173,0.003,-0.074,0.028,0.157,0.4,0.002,0.56,0.678,0.6226,0.2353,0.1239,0.0624,0.0125,1.69,0.62,2.37,1.67,7.82,10,1,2022-08-07,"Wyndham Championshio"
"38","Callum Tarren",23516832,7300,55.8,72.46,0,106.25,33.75,55.8,1.7,57.4,-0.06,3.95,0.024,182,-0.077,271,0.234,74,0.199,98,0.381,93,13.876,25,-0.07,390,0.354,31,0.003,0.046,-0.028,0.006,-0.04,-0.135,-0.208,-0.003,-0.346,-0.006,0.4902,0.1127,0.0504,0.0216,0.0028,0.38,-0.58,2.37,-0.84,-4.07,0,1,2022-08-07,"Wyndham Championshio"
"39","Harris English",23516833,7300,53.04,62.11,0,98.75,31.25,58.1,2.1,60.2,0.12,3.95,0.348,24,0.237,24,-0.093,204,-0.513,359,-0.021,163,-1.405,244,0.008,165,0.323,33,-0.001,0.021,-0.176,-0.187,0.189,0.014,0.021,-0.049,-0.013,0.156,0.5192,0.1361,0.0625,0.0276,0.0048,0.66,-0.3,2.37,0.88,3.81,5,1,2022-08-07,"Wyndham Championshio"
"40","J.J. Spaun",23516834,7300,58.64,68.64,0,103.13,33.13,63.1,2.8,65.9,0.51,3.95,0.016,186,-0.05,236,0.232,75,0.133,135,0.332,98,-4.042,289,0.054,55,0.347,31,0.002,0.025,-0.003,-0.04,0.028,0.04,0.156,-0.007,0.189,0.549,0.6,0.2004,0.0995,0.0489,0.0091,1.25,0.29,2.37,0.7,3.3,5,1,2022-08-07,"Wyndham Championshio"
"41","Taylor Moore",23516835,7300,54.85,69.91,0,104.38,33.13,59.2,2.2,61.4,0.2,3.95,-0.005,203,-0.008,187,0.045,151,0.258,77,0.29,104,3.531,145,0.016,143,0.162,29,0.012,0.027,-0.024,0.113,-0.04,-0.034,0.045,0,0.011,0.261,0.537,0.1488,0.0711,0.033,0.0054,0.74,-0.22,2.37,0.24,0.97,5,1,2022-08-07,"Wyndham Championshio"
"42","Nick Hardy",23516836,7300,58.38,68.05,0,103.75,33.13,58.3,2.1,60.4,0.13,3.95,0.142,96,-0.054,242,-0.015,177,0.325,56,0.398,90,9.18,50,-0.022,267,0.209,26,0.02,0.028,0.061,0.081,-0.04,-0.089,-0.066,-0.006,-0.161,0.197,0.5283,0.1416,0.0636,0.0281,0.0045,0.62,-0.34,2.37,-0.24,-1.25,0,1,2022-08-07,"Wyndham Championshio"
"43","Aaron Rai",23516837,7200,57.4,73.18,0,106.25,33.75,64,3,67,0.63,3.95,0.05,166,0.045,144,0.136,102,0.201,96,0.432,86,-2.778,263,0.078,21,0.424,27,0.017,-0.02,-0.01,0.021,-0.04,0.028,0.227,-0.014,0.24,0.632,0.6169,0.2183,0.1107,0.0543,0.01,1.39,0.53,2.37,1.31,6.16,10,1,2022-08-07,"Wyndham Championshio"
