"Name","ID","Salary","AvgPointsPerGame","fpts","proj_own","ceil","floor","scoring_points","finish_points","total_points","value","projected_ownership","baseline","age","age_adj","true_sg_adj","timing_adj","sg_category_adj","course_history_adj","driving_dist_adj","driving_acc_adj","fit_other_adj","course_fit_total_adj","final_prediction","make_cut","first_round_lead","top_30","top_20","top_10","top_5","top_3","win","observed_finish","ownership","total_pts","odds_per_dollar","residuals","own_change","adj_own","date","tournament"
"Matthew Wolff",22529154,7200,61.14,45.21,9.4,77,26,59.3,1.3,60.6,-0.18,3.49383680439572,-0.102,23,0.031,0.044,-0.084,-0.051,-0.04,-0.135,0.044,0.002,-0.089,-0.29,0.4164,0.0031,0.131,0.0773,0.0318,0.0124,0.0063,0.0014,100,0.0769,28.5,0.19,-0.62,-0.09,9,2022-05-15,"AT&T Byron Nelson"
"Patton Kizzire",22529155,7100,62.19,70.19,10.7,95.5,31.5,71.6,2.8,74.3,0.68,9.89453063145309,0.553,36,-0.011,0.052,0.033,-0.123,0.023,-0.023,0.022,0.016,0.014,0.54,0.6075,0.013,0.3108,0.215,0.1098,0.0552,0.0319,0.0103,83,0.1344,67.5,1.45,0.76,0.11,11,2022-05-15,"AT&T Byron Nelson"
"David Lipsky",22529156,7100,51.92,61.69,1.1,91,30.5,65.4,2,67.4,0.18,3.55030894257043,0.117,33,-0.004,0.06,0.03,-0.033,-0.04,0.025,-0.02,0.009,0.014,0.144,0.5256,0.0088,0.217,0.139,0.0619,0.0285,0.016,0.0047,25,0.0153,112,0.66,-0.03,0,1,2022-05-15,"AT&T Byron Nelson"
"Sahith Theegala",22529157,7100,65.1,59.7,8.2,89.5,29.5,66.4,2.1,68.5,0.26,8.1695696060333,0.088,24,0.027,0.014,0.027,0.08,-0.04,-0.022,0.026,0.004,0.009,0.205,0.5152,0.0053,0.2187,0.1399,0.0647,0.0302,0.0162,0.0044,79,0.1007,71.5,0.62,-0.07,-0.01,8,2022-05-15,"AT&T Byron Nelson"
"Brendon Todd",22529158,7100,57.38,56.23,0.69,86,28.5,64.1,1.8,65.9,0.07,2.68408434168074,0.312,36,-0.013,-0.094,0.018,-0.162,-0.04,0.147,-0.075,0.014,0.086,0.106,0.5174,0.0074,0.2052,0.1286,0.0582,0.0253,0.0136,0.0036,100,0.0104,35.5,0.51,-0.18,-0.03,1,2022-05-15,"AT&T Byron Nelson"
"Matthias Schwab",22529159,7100,57.47,67.66,1.1,95,31,63.7,1.8,65.5,0.04,2.45726955965216,0.161,27,0.017,0.057,-0.009,-0.14,-0.04,0.024,0.002,0.013,0.039,0.085,0.4928,0.004,0.1892,0.118,0.0511,0.0215,0.0117,0.0031,59,0.0153,86,0.44,-0.25,-0.04,1,2022-05-15,"AT&T Byron Nelson"
"Scott Stallings",22529160,7000,54.64,59.39,1.8,89.08,29.5,66.6,2.1,68.7,0.33,3.24238657284714,0.277,37,-0.014,0.053,0.011,-0.165,0.025,-0.022,0.022,0.009,0.01,0.197,0.5364,0.0096,0.2315,0.1511,0.0724,0.0342,0.0191,0.0049,25,0.024,110,0.7,0.12,0.02,2,2022-05-15,"AT&T Byron Nelson"
"Nick Taylor",22529161,7000,55.17,59.18,1.1,88.5,29.5,66.7,2.1,68.9,0.34,3.96448277037402,0.201,34,-0.005,0.041,0.019,0.049,-0.04,0.009,-0.01,0.007,0.006,0.271,0.5299,0.0048,0.2316,0.1502,0.0683,0.0312,0.0179,0.0047,100,0.0091,30,0.67,0.09,0.01,1,2022-05-15,"AT&T Byron Nelson"
"Lee Westwood",22529162,7000,43.06,53.76,0.51,84.58,28,61.3,1.5,62.8,-0.05,1.80640379104613,-0.048,49,-0.054,0.002,0.002,-0.081,0.001,0.031,-0.004,-0.006,0.021,-0.157,0.4458,0.0036,0.152,0.0924,0.04,0.0174,0.0092,0.0022,100,0.0047,29,0.31,-0.27,-0.04,0,2022-05-15,"AT&T Byron Nelson"
"Patrick Rodgers",22529163,7000,54.56,61.51,1.9,90,30,64.3,1.8,66.1,0.13,3.24897029471633,0.209,29,0.009,-0.093,-0.009,0.067,-0.015,-0.08,0.04,0.004,-0.035,0.134,0.5001,0.0041,0.1991,0.126,0.0559,0.025,0.0136,0.0039,32,0.0299,103,0.56,-0.02,0,2,2022-05-15,"AT&T Byron Nelson"
"Brandon Wu",22529164,7000,50.78,55.6,5.3,86.5,28.5,61,1.5,62.5,-0.07,1.7145663829416,-0.152,25,0.025,0.017,0.037,-0.024,-0.04,0.016,-0.009,-0.006,0.001,-0.137,0.4462,0.0036,0.1531,0.0921,0.0398,0.017,0.0085,0.0023,51,0.0203,87,0.33,-0.25,-0.04,5,2022-05-15,"AT&T Byron Nelson"
