"","Name","ID","Salary","AvgPointsPerGame","odds_open","odds_close","odds_rank","odds_delta","odds_delta_per","fpts","proj_own","ceil","floor","odds_per_dollar","one","residuals","own_change","adj_own","ownership","total_pts","date","tournament"
"99","Robert Streb",22064341,6200,50.27,0.0017,0.0019,112,2e-04,0.1176,45.17,0.26,72.5,23.5,0.31,1,-0.15,10.43,10,0.0069,67.5,"2022-04-14","RBC Heritage"
"100","Brice Garnett",22064342,6200,48.44,0.0026,0.003,94,4e-04,0.1538,46.31,0.3,73,24,0.48,1,0.02,11.05,10,0.0069,20,"2022-04-14","RBC Heritage"
"101","Tyler Duncan",22064343,6200,56.5,0.0023,0.0032,90,9e-04,0.3913,46.31,0.51,73,23.5,0.52,1,0.06,13.38,15,0.0055,85.5,"2022-04-14","RBC Heritage"
"102","Peter Malnati",22064344,6200,55.33,0.0012,0.0027,98,0.0015,1.25,43.66,0.46,71.5,23,0.44,1,-0.02,22.98,25,0.0066,69.5,"2022-04-14","RBC Heritage"
"103","Ben Martin",22064345,6200,51.71,0.001,0.0027,98,0.0017,1.7,45.71,0.5,72.5,23.5,0.44,1,-0.02,23.38,25,0.0042,58,"2022-04-14","RBC Heritage"
"104","Roger Sloan",22064346,6200,44.69,0.002,0.0034,88,0.0014,0.7,50.1,0.19,76,24.5,0.55,1,0.09,17.77,20,0.0017,59,"2022-04-14","RBC Heritage"
"105","Wesley Bryan",22064347,6100,52.64,0.0011,0.0025,102,0.0014,1.2727,43.75,1.8,72,23,0.41,1,0.02,22.82,25,0.028,28,"2022-04-14","RBC Heritage"
"106","Bryson Nimmer",22064348,6100,62.5,4e-04,0.0011,122,7e-04,1.75,39.55,0.47,67,21.5,0.18,1,-0.21,21.24,20,0.0037,22,"2022-04-14","RBC Heritage"
"107","Camilo Villegas",22064349,6100,48.81,0.001,0.0045,70,0.0035,3.5,45.42,0.23,72.5,23.5,0.74,1,0.35,27.26,25,0.002,55,"2022-04-14","RBC Heritage"
"108","Henrik Norlander",22064350,6100,50.62,0.0014,0.0019,112,5e-04,0.3571,45.07,0.82,72,23,0.31,1,-0.08,12.22,15,0.0067,24,"2022-04-14","RBC Heritage"
"109","Ryan Brehm",22064351,6100,72.5,5e-04,0.0036,83,0.0031,6.2,34.36,0.56,61,20,0.59,1,0.2,26.35,25,0.0137,9,"2022-04-14","RBC Heritage"
"110","Richy Werenski",22064352,6100,43.71,0.001,0.001,125,0,0,42.53,0.49,70,22.5,0.16,1,-0.23,9.83,10,0.0044,24.5,"2022-04-14","RBC Heritage"
"111","Brandon Hagy",22064353,6100,43.79,6e-04,0.0014,118,8e-04,1.3333,41.71,0.15,70.5,22.5,0.23,1,-0.16,21.48,20,4e-04,6.5,"2022-04-14","RBC Heritage"
"112","Stephan Jaeger",22064354,6100,44.34,8e-04,0.0041,74,0.0033,4.125,38.5,0.13,67,21.5,0.67,1,0.28,26.81,25,7e-04,17.5,"2022-04-14","RBC Heritage"
"113","Sung Kang",22064355,6100,51.67,4e-04,0.0015,117,0.0011,2.75,32.09,0.11,56.57,19.5,0.25,1,-0.14,22.09,20,0.001,23,"2022-04-14","RBC Heritage"
"114","Nick Watney",22064356,6100,50.22,5e-04,0.0011,122,6e-04,1.2,36.33,0.17,64,20.5,0.18,1,-0.21,21.04,20,0.0025,26,"2022-04-14","RBC Heritage"
"115","Chesson Hadley",22064357,6000,42.76,2e-04,0.0012,120,0.001,5,37.41,0.2,65,21,0.2,1,-0.11,21.92,20,0.0017,25,"2022-04-14","RBC Heritage"
"116","Brian Gay",22064358,6000,47.2,2e-04,0.001,125,8e-04,4,33.14,0.14,59,19.5,0.17,1,-0.14,21.49,20,0.0015,61,"2022-04-14","RBC Heritage"
"117","Jim Herman",22064359,6000,45.82,7e-04,8e-04,127,1e-04,0.1429,39.97,0.07,67.5,22,0.13,1,-0.18,10.27,10,0.0015,55,"2022-04-14","RBC Heritage"
"118","Kevin Tway",22064360,6000,47.06,8e-04,0.0037,80,0.0029,3.625,39.7,0.13,67,22,0.62,1,0.31,26.03,25,0.0014,23.5,"2022-04-14","RBC Heritage"
"119","Scott Brown",22064361,6000,60.75,0.001,0.0024,104,0.0014,1.4,47.7,0.08,75,24,0.4,1,0.09,22.87,25,0.0033,28,"2022-04-14","RBC Heritage"
"120","James Hahn",22064362,6000,42.04,0.0012,0.0025,102,0.0013,1.0833,45.68,0.23,72.5,23.43,0.42,1,0.11,22.68,25,0.001,23,"2022-04-14","RBC Heritage"
"121","Jonathan Byrd",22064363,6000,50.44,0.0024,0.0036,83,0.0012,0.5,44.24,0.33,71,23,0.6,1,0.29,15.12,15,0.0019,63,"2022-04-14","RBC Heritage"
"122","Michael Gligic",22064364,6000,49.09,5e-04,0.0014,118,9e-04,1.8,34.65,0.1,61.5,20,0.23,1,-0.08,21.74,20,6e-04,15.5,"2022-04-14","RBC Heritage"
"123","William McGirt",22064365,6000,45.94,8e-04,0.0023,105,0.0015,1.875,38.41,0.12,66,21.5,0.38,1,0.07,23.05,25,0.0011,23.5,"2022-04-14","RBC Heritage"
"124","Morgan Hoffmann",22064366,6000,0,1e-04,0.0016,116,0.0015,15,45.275,0.06,69,14.375,0.27,1,-0.04,22.97,25,0.0026,24.5,"2022-04-14","RBC Heritage"
"125","Martin Trainer",22064367,6000,42.97,2e-04,0.0012,120,0.001,5,30.1,0.05,45.07,18.5,0.2,1,-0.11,21.92,20,0.0011,16,"2022-04-14","RBC Heritage"
"126","Davis Love III",22064368,6000,43.7,1e-04,0.001,125,9e-04,9,29.42,0.08,48,18,0.17,1,-0.14,21.7,20,8e-04,24,"2022-04-14","RBC Heritage"
"127","James Piot",22064369,6000,15.25,1e-04,0.0019,112,0.0018,18,33.32,0.04,59,20,0.32,1,0.01,23.61,25,6e-04,24.5,"2022-04-14","RBC Heritage"
