player,player_id,position,team_name,player_game_count,avg_depth_of_target,avoided_tackles,caught_percent,contested_catch_rate,contested_receptions,contested_targets,declined_penalties,drop_rate,drops,first_downs,franchise_id,fumbles,grades_hands_drop,grades_hands_fumble,grades_offense,grades_pass_block,grades_pass_route,inline_rate,inline_snaps,interceptions,longest,pass_block_rate,pass_blocks,pass_plays,penalties,receptions,route_rate,routes,slot_rate,slot_snaps,targeted_qb_rating,targets,touchdowns,wide_rate,wide_snaps,yards,yards_after_catch,yards_after_catch_per_reception,yards_per_reception,yprr
Adonai Mitchell,146712,WR,GEORGIA,3,11.8,1,83.3,75.0,3,4,0,0.0,0,4,173,0,76.3,65.7,68.6,,67.8,0.0,0,0,27,0.0,0,29,0,5,96.6,28,6.9,2,154.2,6,1,93.1,27,69,21,4.2,13.8,2.46
Kalani Norris,97458,WR,GA TECH,4,21.7,0,33.3,33.3,1,3,0,0.0,0,2,176,0,70.7,62.9,59.8,,59.6,0.0,0,1,30,0.0,0,47,0,2,100.0,47,23.4,11,22.9,6,0,76.6,36,47,14,7.0,23.5,1.0
Cade McDonald,101725,WR,MICH STATE,5,9.0,0,50.0,,0,0,0,25.0,1,2,223,0,39.5,71.6,53.8,,52.6,0.0,0,1,15,0.0,0,27,0,3,88.9,24,100.0,27,25.7,6,0,0.0,0,31,16,5.3,10.3,1.29
Levi Gazarek,130363,TE,BOWL GREEN,9,11.5,0,33.3,50.0,1,2,0,0.0,0,0,122,0,39.5,64.1,40.6,47.0,40.5,75.3,110,0,4,33.6,49,146,2,2,61.0,89,18.5,27,42.4,6,0,2.1,3,7,0,0.0,3.5,0.08
Wesley Grimes,157534,WR,WAKE,4,10.3,0,66.7,50.0,1,2,0,20.0,1,2,339,0,45.4,65.0,59.8,,59.4,0.0,0,0,13,0.0,0,24,0,4,100.0,24,8.3,2,120.1,6,1,91.7,22,33,0,0.0,8.3,1.38
Caleb Anderson,163066,WR,AKRON,8,8.5,1,66.7,0.0,0,1,0,0.0,0,2,102,0,74.9,65.0,63.8,,63.7,0.0,0,0,11,0.0,0,24,0,4,91.7,22,8.3,2,79.2,6,0,91.7,22,31,14,3.5,7.8,1.41
Blake Nowell,123095,WR,TCU,7,12.0,0,66.7,100.0,1,1,0,33.3,2,2,305,0,26.0,66.0,62.4,,61.8,0.0,0,0,44,0.0,0,40,0,4,97.5,39,10.0,4,105.6,6,0,90.0,36,69,24,6.0,17.3,1.77
Malcolm Epps,77951,TE,USC,9,15.2,0,50.0,0.0,0,1,0,0.0,0,2,326,0,73.1,64.1,53.6,56.1,58.5,77.8,42,0,10,14.8,8,54,0,3,79.6,43,11.1,6,95.8,6,2,3.7,2,18,5,1.7,6.0,0.42
Oscar Adaway III,100835,HB,N TEXAS,9,-1.0,3,83.3,,0,0,0,16.7,1,2,251,0,50.3,88.7,76.1,42.4,53.5,0.0,0,0,11,25.0,25,100,0,5,72.0,72,5.0,5,126.4,6,1,0.0,0,29,34,6.8,5.8,0.4
Drue Jackson,84504,WR,TEXAS ST,2,1.8,0,66.7,,0,0,0,0.0,0,2,314,0,74.9,65.0,59.7,,59.4,0.0,0,0,9,0.0,0,24,0,4,87.5,21,0.0,0,70.1,6,0,100.0,24,18,21,5.3,4.5,0.86
Michael Hetzel,122242,WR,APP STATE,8,15.0,0,66.7,100.0,1,1,0,0.0,0,3,108,0,74.9,65.0,65.0,,66.7,0.0,0,0,22,0.0,0,50,0,4,96.0,48,34.0,17,108.3,6,0,66.0,33,73,22,5.5,18.3,1.52
Caleb Douglas,157740,WR,FLORIDA,4,19.0,0,66.7,0.0,0,1,0,0.0,0,4,163,0,74.9,65.0,74.3,,74.0,0.0,0,0,62,0.0,0,34,0,4,97.1,33,32.4,11,149.3,6,2,67.6,23,87,35,8.8,21.8,2.64
Robert Briggs,163425,HB,UTAH ST,9,-1.5,1,66.7,0.0,0,1,0,0.0,0,2,329,0,74.9,67.2,72.4,58.2,60.9,0.0,0,0,16,38.2,34,89,1,4,58.4,52,3.4,3,80.6,6,0,2.2,2,33,51,12.8,8.3,0.63
Jordan Brown,122548,WR,TEXAS TECH,3,5.8,0,50.0,,0,0,0,0.0,0,2,315,0,73.1,64.1,63.7,,63.1,0.0,0,0,10,0.0,0,24,0,3,95.8,23,16.7,4,56.3,6,0,83.3,20,18,8,2.7,6.0,0.78
Maximilian Mang,123048,TE,SYRACUSE,9,10.8,0,66.7,,0,0,0,0.0,0,1,304,0,76.3,65.7,49.3,42.9,59.8,90.5,171,0,8,69.8,132,189,1,4,27.5,52,0.0,0,73.6,6,0,0.5,1,23,0,0.0,5.8,0.44
