player,player_id,position,team_name,player_game_count,avg_depth_of_target,avoided_tackles,caught_percent,contested_catch_rate,contested_receptions,contested_targets,declined_penalties,drop_rate,drops,first_downs,franchise_id,fumbles,grades_hands_drop,grades_hands_fumble,grades_offense,grades_pass_block,grades_pass_route,inline_rate,inline_snaps,interceptions,longest,pass_block_rate,pass_blocks,pass_plays,penalties,receptions,route_rate,routes,slot_rate,slot_snaps,targeted_qb_rating,targets,touchdowns,wide_rate,wide_snaps,yards,yards_after_catch,yards_after_catch_per_reception,yards_per_reception,yprr
Chris Evans,27303,HB,CIN,7,-2.0,0,100.0,,0,0,0,0.0,0,0,7,0,64.7,70.1,51.9,13.6,52.0,0.0,0,0,-1,10.0,2,20,0,1,80.0,16,20.0,4,79.2,1,0,50.0,10,-1,1,1.0,-1.0,-0.06
Ben Bredeson,27305,G,NYG,11,4.0,0,100.0,,0,0,1,0.0,0,0,21,0,67.6,,43.7,43.2,63.2,0.0,0,0,0,100.0,431,431,4,1,0.0,0,0.0,0,79.2,1,0,0.0,0,0,-4,-4.0,0.0,
Rashaad Penny,27414,HB,PHI,1,-1.0,0,100.0,,0,0,0,0.0,0,0,24,0,64.7,70.3,53.4,16.9,63.4,0.0,0,0,5,40.0,2,5,1,1,60.0,3,0.0,0,87.5,1,0,0.0,0,5,6,6.0,5.0,1.67
Donovan Smith,9467,T,KC,12,0.0,0,100.0,,0,0,4,0.0,0,0,16,0,67.6,62.3,55.4,60.3,66.9,0.0,0,0,0,100.0,506,506,9,1,0.0,0,0.0,0,79.2,1,0,0.0,0,0,0,0.0,0.0,
Justin Herbert,28237,QB,LAC,12,-7.0,1,100.0,,0,0,1,0.0,0,1,27,3,,65.4,85.4,,58.4,0.0,0,0,10,0.0,0,532,5,1,0.2,1,0.0,0,108.3,1,0,0.0,0,10,17,17.0,10.0,10.0
D'Wayne Eskridge,29573,WR,SEA,1,17.0,0,0.0,,0,0,0,,0,0,29,0,,75.1,60.4,,55.6,0.0,0,0,0,0.0,0,7,0,0,85.7,6,14.3,1,39.6,1,0,85.7,6,0,0,,,0.0
Phillip Dorsett,9462,WR,DEN,1,22.0,0,0.0,,0,0,0,,0,0,10,0,,,41.5,,44.9,0.0,0,0,0,0.0,0,5,0,0,100.0,5,40.0,2,39.6,1,0,60.0,3,0,0,,,0.0
Jalen Nailor,84292,WR,MIN,3,3.0,1,100.0,,0,0,0,0.0,0,1,18,0,64.7,61.2,55.1,,54.7,0.0,0,0,16,0.0,0,46,0,1,89.1,41,28.3,13,118.8,1,0,71.7,33,16,13,13.0,16.0,0.39
Shedrick Jackson,84136,WR,CIN,1,31.0,0,0.0,0.0,0,1,0,,0,0,7,0,,,60.7,65.4,58.8,0.0,0,0,0,33.3,1,3,0,0,66.7,2,33.3,1,39.6,1,0,66.7,2,0,0,,,0.0
Desmond Ridder,55086,QB,ATL,11,-7.0,0,100.0,,0,0,0,0.0,0,0,2,5,,28.0,51.9,61.3,57.6,0.0,0,0,-6,0.3,1,362,5,1,0.3,1,0.0,0,79.2,1,0,0.0,0,-6,1,1.0,-6.0,-6.0
