player,player_id,position,team_name,player_game_count,attempts,avoided_tackles,breakaway_attempts,breakaway_percent,breakaway_yards,declined_penalties,designed_yards,drops,elu_recv_mtf,elu_rush_mtf,elu_yco,elusive_rating,explosive,first_downs,franchise_id,fumbles,gap_attempts,grades_hands_fumble,grades_offense,grades_offense_penalty,grades_pass,grades_pass_block,grades_pass_route,grades_run,grades_run_block,longest,penalties,rec_yards,receptions,routes,run_plays,scramble_yards,scrambles,targets,total_touches,touchdowns,yards,yards_after_contact,yco_attempt,ypa,yprr,zone_attempts
Austin Reed,111760,QB,W KENTUCKY,6,21,0,0,0.0,0,0,19,0,2,0,21,9.1,2,11,346,1,13,67.1,73.3,69.9,71.1,,,68.1,60.0,16,1,48,1,0,125,57,7,1,22,3,76,22,0.79,2.7,,0
Mason Garcia,123811,QB,E CAROLINA,5,16,9,0,0.0,0,0,81,0,0,3,49,57.4,6,15,156,0,9,74.9,78.9,79.6,69.3,,,76.1,60.0,57,0,0,0,0,56,122,12,0,16,1,203,166,5.93,7.3,,1
Charvis Thornton,97246,HB,LA TECH,5,28,9,2,37.2,54,0,145,1,2,9,80,101.4,3,6,208,1,6,45.6,66.1,78.7,,56.7,47.9,71.4,58.4,30,0,5,3,48,32,0,0,4,31,1,145,80,2.86,5.2,0.1,22
Nicco Marchiol,157363,QB,W VIRGINIA,4,23,3,2,34.3,35,0,73,0,0,2,33,12.5,4,10,343,1,4,76.2,64.0,80.9,55.9,,52.9,69.6,60.1,19,0,0,0,1,109,29,5,0,23,1,102,55,1.96,3.6,0.0,7
Gavin Williams,129488,HB,N ILLINOIS,5,28,3,1,20.0,21,0,105,2,1,3,64,24.1,2,4,254,0,10,78.9,56.3,81.7,,37.2,48.3,63.9,37.4,21,0,64,10,89,38,0,0,14,38,0,105,64,2.29,3.8,0.72,18
Jovantae Barnes,158085,HB,OKLAHOMA,3,28,6,3,40.2,49,0,122,0,2,6,79,70.5,4,8,261,0,13,78.9,68.4,77.5,,25.7,59.6,70.3,59.8,17,0,19,4,25,33,0,0,4,32,1,122,79,2.82,4.4,0.76,13
Sherod White,157223,HB,NEW MEXICO,5,28,9,0,0.0,0,0,122,1,0,9,76,84.2,5,9,241,1,4,43.4,69.4,78.5,,72.9,41.7,71.3,54.8,12,0,13,1,16,34,0,0,2,29,1,122,76,2.71,4.4,0.81,23
Beau Pribula,164182,QB,PENN STATE,5,26,5,3,34.3,57,0,154,0,0,5,67,49.6,5,12,266,1,12,47.0,75.6,77.1,66.5,,,70.3,60.0,21,0,0,0,0,53,12,2,0,26,2,166,69,2.46,5.9,,9
Caleb Williams,144622,QB,USC,5,20,7,1,16.7,21,0,43,0,0,2,15,7.5,4,5,326,6,7,38.9,90.7,63.1,90.0,,,72.8,60.0,46,2,0,0,0,96,83,8,0,20,3,126,53,1.89,4.5,,5
Keegan Shoemaker,108983,QB,SM HOUSTON,4,20,2,1,26.6,29,0,82,0,0,0,26,0.0,2,4,281,2,8,76.6,58.4,83.1,57.9,62.2,51.6,58.7,60.4,29,2,0,0,1,113,27,8,0,20,0,109,39,1.39,3.9,0.0,5
Athan Kaliakmanis,144971,QB,MINNESOTA,5,15,2,1,17.8,19,0,33,0,0,0,9,0.0,3,15,225,0,0,75.9,69.2,84.0,60.9,,,77.6,60.0,19,0,0,0,0,181,74,13,0,15,2,107,22,0.79,3.8,,3
Ron Wiggins,125380,HB,JVILLE ST,3,28,5,3,35.3,55,0,156,0,1,5,68,45.5,5,8,196,0,4,78.7,74.6,78.6,,25.5,70.2,74.8,55.6,22,1,38,4,24,45,0,0,6,32,2,156,68,2.43,5.6,1.58,24
Gi'Bran Payne,156963,HB,NOTRE DAME,6,28,4,0,0.0,0,0,105,0,0,4,74,31.1,2,11,258,0,11,78.8,69.2,78.5,,79.3,69.6,67.9,60.0,12,0,46,6,35,32,0,0,6,34,1,105,74,2.64,3.8,1.31,16
Shaadie Clayton-Johnson,131674,HB,TULANE,5,28,6,1,14.7,17,0,116,0,1,6,93,75.0,4,6,319,1,14,45.6,53.2,79.7,,3.3,60.1,56.4,47.2,17,1,33,3,52,31,0,0,4,31,0,116,93,3.32,4.1,0.63,14
Jamoni Jones,156922,HB,NEW MEX ST,6,28,9,1,14.3,17,0,119,3,0,9,88,91.2,3,4,242,0,13,78.7,56.5,6.0,,37.7,33.7,67.9,54.6,17,1,33,3,49,89,0,0,6,31,1,119,88,3.14,4.3,0.67,15
Darvon Hubbard,124320,HB,TEMPLE,5,27,7,3,42.7,56,0,131,1,3,7,80,84.7,3,7,306,1,12,48.1,65.3,79.6,,83.2,60.8,66.5,57.0,21,0,98,8,72,34,0,0,10,35,1,131,80,2.96,4.9,1.36,14
Donald Chaney Jr.,122207,HB,MIAMI FL,4,27,10,4,48.1,88,0,183,0,0,10,111,152.3,5,9,220,0,10,78.5,89.0,76.4,,78.8,53.9,86.4,67.2,26,0,0,0,14,29,0,0,0,27,2,183,111,4.11,6.8,0.0,17
Tylan Hines,156043,HB,HAWAII,4,27,5,1,19.4,18,0,93,3,4,5,63,61.8,3,4,180,0,12,78.9,64.8,79.6,,78.9,42.0,70.7,59.5,18,0,26,7,36,36,0,0,11,34,0,93,63,2.33,3.4,0.72,15
Cole Snyder,97617,QB,BUFFALO,5,15,3,0,0.0,0,0,40,0,0,3,22,29.3,2,4,126,0,0,77.0,66.8,52.3,68.7,,,55.4,60.2,16,3,0,0,0,137,43,12,0,15,0,83,32,1.19,3.1,,4
DJ Uiagalelei,122162,QB,OREGON ST,5,23,1,3,42.4,59,0,119,0,0,1,38,7.2,5,15,265,2,5,77.1,78.9,83.3,70.4,,,81.0,60.0,26,0,0,0,0,146,20,4,0,23,5,139,43,1.59,5.1,,10
Kobe Johnson,109089,HB,COLO STATE,3,27,0,0,0.0,0,1,72,1,0,0,45,0.0,1,1,144,0,4,48.6,51.8,0.0,,24.0,45.9,57.5,,13,1,15,2,39,29,0,0,3,29,0,72,45,1.67,2.7,0.38,23
Terron Kellman,158048,HB,CHARLOTTE,4,27,6,2,25.7,35,0,136,1,0,6,76,62.6,4,7,136,0,18,78.5,67.1,77.0,,51.9,33.0,71.2,56.8,18,0,0,0,19,35,0,0,1,27,0,136,76,2.81,5.0,0.0,9
Eli Sanders,144541,HB,IOWA STATE,3,27,2,1,13.4,15,0,112,0,1,2,46,17.0,4,6,193,0,10,78.4,66.6,78.1,,24.5,64.6,67.0,60.0,15,0,18,3,22,33,0,0,4,30,1,112,46,1.7,4.1,0.82,17
Jakobi Buchanan,102884,HB,ARMY,4,27,1,0,0.0,0,0,79,0,0,1,53,7.0,1,11,114,0,16,78.5,74.5,79.3,,74.1,62.4,69.5,74.7,10,0,3,1,4,72,0,0,1,28,3,79,53,1.96,2.9,0.75,11
LJ Johnson Jr.,147003,HB,SMU,3,27,8,2,53.9,82,0,152,0,0,8,117,128.4,3,5,287,0,11,78.5,65.0,76.7,,22.2,52.7,69.0,,67,1,0,0,14,27,0,0,1,27,1,152,117,4.33,5.6,0.0,16
Jeff Sims,122496,QB,NEBRASKA,3,23,6,3,51.8,100,0,169,0,0,6,86,97.5,5,9,238,4,12,23.5,46.2,38.9,37.8,,,62.5,60.0,57,1,0,0,0,62,24,3,0,23,1,193,89,3.42,7.4,,2
Timmy McClain,144488,QB,UCF,4,16,5,3,38.4,56,0,97,0,0,3,42,49.2,5,5,323,1,2,58.8,74.2,33.2,73.2,,59.3,68.0,60.6,22,4,0,0,1,101,49,10,0,16,1,146,47,1.81,5.6,0.0,9
Latrele Palmer,102437,HB,JAMES MAD,5,26,9,0,0.0,0,0,105,0,0,9,65,83.3,3,4,197,1,9,41.2,57.2,79.4,,30.0,55.5,59.1,56.8,13,0,13,1,27,40,0,0,2,27,1,105,65,2.5,4.0,0.48,16
