player,player_id,position,team_name,player_game_count,accuracy_percent,aimed_passes,attempts,avg_depth_of_target,avg_time_to_throw,bats,big_time_throws,btt_rate,completion_percent,completions,declined_penalties,def_gen_pressures,drop_rate,dropbacks,drops,first_downs,franchise_id,grades_hands_fumble,grades_offense,grades_pass,grades_run,hit_as_threw,interceptions,passing_snaps,penalties,pressure_to_sack_rate,qb_rating,sack_percent,sacks,scrambles,spikes,thrown_aways,touchdowns,turnover_worthy_plays,twp_rate,yards,ypa
Diego Pavia,156927,QB,NEW MEX ST,6,75.4,118,128,10.1,3.38,3,8,6.0,64.1,82,0,57,7.9,161,7,58,242,30.3,73.8,67.6,71.3,2,5,167,0,17.5,113.7,6.2,10,22,0,5,12,9,5.4,1329,10.4
Jayden de Laura,131928,QB,ARIZONA,4,77.6,116,127,7.1,3.21,2,7,5.3,68.5,87,0,49,3.3,142,3,55,109,59.8,76.0,73.3,71.2,0,5,147,2,12.2,101.9,4.2,6,9,1,8,9,8,5.4,1081,8.5
Mitch Griffis,123386,QB,WAKE,4,65.5,116,127,12.1,3.04,6,3,2.2,59.8,76,0,55,0.0,163,0,53,339,27.3,58.5,53.8,66.5,3,6,176,0,34.5,88.7,11.7,19,17,0,2,9,17,9.7,999,7.9
Brendon Lewis,131687,QB,NEVADA,5,70.5,112,127,7.4,2.93,2,3,2.3,59.1,75,0,69,5.1,162,4,34,239,52.4,46.1,37.0,67.7,3,4,167,1,18.8,58.5,8.0,13,21,0,10,0,12,7.2,620,4.9
Dylan Hopkins,83571,QB,NEW MEXICO,5,62.6,123,127,13.6,2.65,0,11,8.5,55.9,71,0,32,7.8,148,6,51,241,64.7,74.8,71.0,73.4,0,3,153,1,25.0,89.3,5.4,8,10,0,4,7,10,6.5,978,7.7
DJ Uiagalelei,122162,QB,OREGON ST,5,66.7,117,126,11.9,2.64,2,9,7.0,57.1,72,0,50,7.7,136,6,45,265,77.1,78.9,70.4,81.0,2,4,139,0,8.0,91.6,2.9,4,4,0,5,8,3,2.2,1027,8.2
KJ Jefferson,99129,QB,ARKANSAS,5,77.6,116,126,10.2,3.11,3,11,8.1,67.5,85,0,54,5.6,159,5,51,111,25.5,85.4,85.8,66.9,3,4,170,2,35.2,106.3,11.9,19,14,0,4,10,7,4.1,1050,8.3
Keegan Shoemaker,108983,QB,SM HOUSTON,4,69.1,110,126,8.8,2.59,2,2,1.5,59.5,75,0,45,1.3,139,1,37,281,76.6,58.4,57.9,58.7,1,5,148,2,11.1,70.1,3.6,5,8,1,12,4,9,6.1,736,5.8
Cam Fancher,145266,QB,MARSHALL,4,78.3,120,124,7.6,2.55,2,3,2.2,71.0,88,0,31,6.4,145,6,51,214,53.6,67.7,63.5,68.6,0,4,156,1,9.7,88.4,2.1,3,16,0,2,4,5,3.2,890,7.2
Jordan McCloud,101058,QB,JAMES MAD,5,73.9,115,124,8.7,2.7,2,5,3.8,62.9,78,0,49,8.2,140,7,41,197,39.2,70.2,66.8,70.7,2,3,150,4,12.2,111.9,4.3,6,9,0,5,11,5,3.3,1129,9.1
