player,player_id,position,team_name,player_game_count,base_snap_counts_coverage,declined_penalties,franchise_id,man_assists,man_avg_depth_of_target,man_catch_rate,man_coverage_percent,man_coverage_snaps_per_reception,man_coverage_snaps_per_target,man_dropped_ints,man_forced_incompletes,man_forced_incompletion_rate,man_grades_coverage_defense,man_interceptions,man_longest,man_missed_tackle_rate,man_missed_tackles,man_pass_break_ups,man_qb_rating_against,man_receptions,man_snap_counts_coverage,man_snap_counts_coverage_percent,man_snap_counts_pass_play,man_stops,man_tackles,man_targets,man_touchdowns,man_yards,man_yards_after_catch,man_yards_per_coverage_snap,man_yards_per_reception,penalties,zone_assists,zone_avg_depth_of_target,zone_catch_rate,zone_coverage_percent,zone_coverage_snaps_per_reception,zone_coverage_snaps_per_target,zone_dropped_ints,zone_forced_incompletes,zone_forced_incompletion_rate,zone_grades_coverage_defense,zone_interceptions,zone_longest,zone_missed_tackle_rate,zone_missed_tackles,zone_pass_break_ups,zone_qb_rating_against,zone_receptions,zone_snap_counts_coverage,zone_snap_counts_coverage_percent,zone_snap_counts_pass_play,zone_stops,zone_tackles,zone_targets,zone_touchdowns,zone_yards,zone_yards_after_catch,zone_yards_per_coverage_snap,zone_yards_per_reception
Nick Vigil,10721,LB,MIN,11,257,0,18,1,8.3,66.7,80.3,22.5,15.0,0,0,0.0,53.1,0,14,0.0,0,0,88.2,2,49,19.1,61,0,2,3,0,22,8,0.5,11.0,0,1,2.2,93.3,92.9,9.6,9.0,0,1,6.7,82.2,1,17,0.0,0,0,68.9,14,144,56.0,155,5,11,15,0,108,90,0.8,7.7
Kyler Fackrell,10722,ED,LAC,11,17,0,27,0,,,3.7,,,0,0,,61.1,0,,,0,0,0.0,0,2,11.8,54,0,0,0,0,0,0,0.0,,0,1,3.5,100.0,11.4,4.0,4.0,0,0,0.0,28.1,0,15,0.0,0,0,118.8,2,8,47.1,70,3,1,2,0,30,23,3.8,15.0
Justin Simmons,10732,S,DEN,11,431,0,10,1,5.5,52.9,96.7,18.6,9.8,1,4,23.5,60.8,0,32,7.7,1,4,71.2,9,178,41.3,184,2,11,17,0,102,67,0.6,11.3,0,2,13.3,73.3,100.0,10.0,7.3,0,2,13.3,51.4,1,49,18.2,2,2,94.3,11,118,27.4,118,1,7,15,1,132,47,1.2,12.0
Joe Schobert,10733,LB,PIT,11,319,0,25,0,10.1,75.0,78.2,10.2,7.6,0,1,12.5,68.0,0,25,0.0,0,1,104.2,6,68,21.3,87,3,8,8,0,76,30,1.2,12.7,0,3,4.2,72.7,91.0,12.0,8.7,0,1,4.5,51.6,0,30,9.1,2,1,90.7,16,203,63.6,223,7,17,22,0,148,74,0.8,9.3
Tavon Young,10738,CB,BLT,11,252,0,3,1,7.3,55.6,97.3,10.0,5.6,0,2,11.1,66.6,0,22,10.0,1,2,66.2,10,107,42.5,110,3,8,18,0,77,27,0.8,7.7,0,1,-0.6,84.6,84.9,9.0,7.6,1,0,0.0,60.4,1,76,20.0,1,0,101.3,11,101,40.1,119,2,3,13,1,128,148,1.3,11.6
Eric Murray,10740,S,HST,8,253,0,13,0,9.4,55.6,98.6,13.2,7.3,0,0,0.0,62.2,0,18,12.5,1,0,66.4,5,72,28.5,73,3,7,9,0,39,13,0.6,7.8,0,2,18.0,36.4,100.0,35.8,13.0,0,2,18.2,56.6,1,30,8.3,1,2,22.2,4,150,59.3,150,0,9,11,0,73,19,0.5,18.3
Ryan Smith,10742,CB,LAC,2,28,0,27,1,17.0,100.0,100.0,14.0,14.0,0,0,0.0,53.8,0,23,0.0,0,0,118.8,1,15,53.6,15,0,0,1,0,23,6,1.6,23.0,0,0,,,100.0,,,0,0,,68.6,0,,0.0,0,0,0.0,0,10,35.7,10,0,1,0,0,0,0,0.0,
Miles Killebrew,10745,LB,PIT,3,3,0,25,0,,,,,,0,0,,,0,,,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,,,0,0,,,100.0,,,0,0,,61.3,0,,,0,0,0.0,0,2,66.7,2,0,0,0,0,0,0,0.0,
Nick Kwiatkoski,10747,LB,LV,6,47,0,23,0,6.0,100.0,100.0,7.0,7.0,0,0,0.0,65.0,0,7,0.0,0,0,95.8,1,7,14.9,7,0,1,1,0,7,1,1.0,7.0,0,0,15.0,100.0,97.1,8.3,8.3,0,0,0.0,59.3,0,49,0.0,0,0,118.8,4,33,70.2,34,2,7,4,0,70,10,2.1,17.5
De'Vondre Campbell,10749,LB,GB,12,459,0,12,0,0.9,75.0,83.8,13.8,10.4,0,0,0.0,74.4,1,22,0.0,0,0,45.3,6,88,19.2,105,2,6,8,0,39,35,0.5,6.5,0,4,2.0,69.0,93.3,12.0,8.2,1,1,3.4,77.2,0,14,3.3,1,1,74.6,20,249,54.2,267,14,25,29,0,105,78,0.4,5.3
