player,player_id,position,team_name,player_game_count,avg_depth_of_target,avoided_tackles,caught_percent,contested_catch_rate,contested_receptions,contested_targets,declined_penalties,drop_rate,drops,first_downs,franchise_id,fumbles,grades_hands_drop,grades_hands_fumble,grades_offense,grades_pass_block,grades_pass_route,inline_rate,inline_snaps,interceptions,longest,pass_block_rate,pass_blocks,pass_plays,penalties,receptions,route_rate,routes,slot_rate,slot_snaps,targeted_qb_rating,targets,touchdowns,wide_rate,wide_snaps,yards,yards_after_catch,yards_after_catch_per_reception,yards_per_reception,yprr
Jalen Bracey,138149,WR,FIU,5,10.4,5,47.8,25.0,1,4,0,21.4,3,6,166,0,38.6,71.8,62.8,,62.3,0.0,0,2,45,0.0,0,100,0,11,96.0,96,100.0,100,48.1,23,1,0.0,0,154,47,4.3,14.0,1.6
Donovan Brown,158293,WR,SYRACUSE,4,10.2,3,73.9,60.0,3,5,0,0.0,0,12,304,0,71.9,69.7,68.1,,68.1,0.0,0,2,86,0.0,0,141,1,17,94.3,133,88.7,125,89.0,23,1,11.3,16,260,123,7.2,15.3,1.95
David Martin-Robinson,77892,TE,TEMPLE,5,9.2,3,65.2,0.0,0,2,0,6.3,1,10,306,0,70.9,69.5,61.4,61.5,60.2,67.6,150,0,30,12.2,27,222,0,15,82.9,184,32.4,72,88.3,23,0,0.0,0,176,76,5.1,11.7,0.96
Latreal Jones,156849,WR,SO MISS,4,12.9,2,65.2,25.0,1,4,0,11.8,2,7,296,0,57.1,69.2,60.2,,62.7,0.0,0,1,38,0.0,0,119,0,15,96.6,115,14.3,17,84.0,23,1,85.7,102,172,51,3.4,11.5,1.5
Justin Joly,158620,TE,UCONN,4,9.7,1,56.5,66.7,4,6,0,23.5,4,7,146,0,32.3,69.0,58.9,26.7,59.3,28.6,36,1,28,4.8,6,126,1,13,92.1,116,57.1,72,58.4,23,0,13.5,17,151,57,4.4,11.6,1.3
Easton Messer,163051,WR,W KENTUCKY,5,8.2,5,91.3,0.0,0,1,0,0.0,0,14,346,0,86.3,72.4,82.7,,81.1,0.0,0,0,35,0.0,0,109,0,21,96.3,105,93.6,102,155.7,23,3,6.4,7,273,111,5.3,13.0,2.6
Brennan Presley,122982,WR,OKLA STATE,4,3.8,5,65.2,,0,0,0,0.0,0,4,262,0,83.8,78.3,51.6,,50.6,0.0,0,0,28,0.0,0,148,0,15,96.6,143,94.6,140,103.2,23,2,0.7,1,98,91,6.1,6.5,0.69
Dominic Lovett,146872,WR,GEORGIA,4,4.0,4,73.9,33.3,1,3,0,15.0,3,10,173,0,42.8,70.1,65.5,,66.0,6.5,6,0,33,0.0,0,92,0,17,93.5,86,84.8,78,94.3,23,0,8.7,8,169,104,6.1,9.9,1.97
Louis Brown IV,163319,WR,COLO STATE,3,8.1,2,65.2,66.7,2,3,1,0.0,0,7,144,0,83.8,70.0,60.8,62.1,64.8,0.0,0,1,46,0.7,1,145,2,15,94.5,137,91.0,132,86.7,23,1,9.0,13,187,64,4.3,12.5,1.36
Justus Ross-Simmons,163334,WR,COLO STATE,3,6.4,4,60.9,25.0,1,4,0,12.5,2,7,144,0,60.0,69.7,62.1,61.9,61.2,0.0,0,0,75,0.7,1,137,0,14,94.2,129,8.0,11,109.1,23,1,92.0,126,231,191,13.6,16.5,1.79
