player,player_id,position,team_name,player_game_count,coverage_snaps,coverage_snaps_per_reception,coverage_snaps_per_target,franchise_id,interceptions,qb_rating_against,receptions,targets,touchdowns,yards,yards_after_catch,yards_per_coverage_snap
Trevor Harmanson,100753,LB,UTSA,8,20,10.0,6.7,331,0,107.6,2,3,0,36,7,1.8
Shane Prevot,148630,CB,BROWN,3,20,10.0,10.0,123,0,158.3,2,2,1,44,24,2.2
Stan Livingstone,98614,S,TUSKEGEE,1,10,10.0,5.0,405,0,66.7,1,2,0,11,8,1.1
R'Tarriun Johnson,100855,S,DOMINION,11,60,10.0,6.7,263,1,54.6,6,9,0,79,58,1.32
Caleb Johnson,98635,LB,MIAMI FL,6,10,10.0,10.0,220,0,118.8,1,1,0,17,13,1.7
Jacquez McGowan,161675,LB,TENN TECH,8,20,10.0,10.0,309,0,81.3,2,2,0,7,8,0.35
Shaun Dolac,130406,LB,BUFFALO,4,10,10.0,5.0,126,0,68.8,1,2,0,12,6,1.2
Kyle Beaudry,101227,LB,UNLV,6,10,10.0,10.0,325,0,79.2,1,1,0,1,5,0.1
Jonathan Melvin,108147,LB,PENN,10,80,10.0,6.7,267,0,83.0,8,12,0,73,50,0.91
Kenny White,161545,S,W NEW MEX,1,20,10.0,10.0,410,0,108.3,2,2,0,20,2,1.0
Benny Sapp III,83304,S,N IOWA,8,50,10.0,7.1,255,0,153.3,5,7,1,88,58,1.76
Andrew Awe,129839,LB,RICE,4,10,10.0,10.0,275,0,118.8,1,1,0,13,14,1.3
Matt Guggemos,101391,CB,STTHOM,9,60,10.0,6.0,1129,0,121.3,6,10,1,86,37,1.43
Octaveus Askew,111489,LB,MARS HILL,1,10,10.0,10.0,383,0,108.3,1,1,0,10,0,1.0
Peyton Woulard,76639,S,CAMPBELL,6,10,10.0,5.0,131,0,56.3,1,2,0,4,0,0.4
DJ Charles,88334,S,CAMPBELL,3,20,10.0,6.7,131,0,109.7,2,3,0,49,16,2.45
Kohlton Sherman,106227,S,VALPO,9,60,10.0,6.7,332,0,83.6,6,9,0,56,17,0.93
Quincy Mitchell,82124,S,GRAMBLING,6,60,10.0,6.0,177,0,65.4,6,10,0,32,32,0.53
Joey Sinclair,152443,S,W OREGON,1,10,10.0,10.0,411,0,79.2,1,1,0,1,8,0.1
Jackson Sirmon,81458,LB,CAL,10,30,10.0,5.0,130,0,75.0,3,6,0,45,29,1.5
Kellen Curtis,168076,S,SW BAPTIST,1,10,10.0,10.0,1492,0,83.3,1,1,0,4,8,0.4
Mark Conrad,106195,S,ST FRANCIS,5,20,10.0,2.9,299,0,79.2,2,7,1,14,8,0.7
Ray Williams,101846,S,HOWARD,3,20,10.0,6.7,184,1,70.1,2,3,0,51,4,2.55
Rosendo Louis Jr.,81397,LB,BETH COOK,8,20,10.0,5.0,119,0,82.3,2,4,0,37,21,1.85
Jaylon Scott,99771,LB,NC STATE,5,10,10.0,10.0,248,0,118.8,1,1,0,16,0,1.6
Gilbert Frierson,76668,LB,MIAMI FL,5,20,10.0,6.7,220,1,51.4,2,3,0,24,7,1.2
Darnell Deas,151023,CB,BETH COOK,10,60,10.0,6.7,119,0,126.2,6,9,1,68,22,1.13
Demari Henderson,158440,S,UCF,4,10,10.0,10.0,323,0,108.3,1,1,0,10,7,1.0
Jacob Dobbs,102118,LB,HOLY CROSS,3,10,10.0,10.0,181,0,91.7,1,1,0,6,8,0.6
Sully Shannon,102133,LB,IDAHO,3,10,10.0,10.0,185,0,100.0,1,1,0,8,3,0.8
Joshua Pierre-Louis,122880,CB,NC STATE,2,20,10.0,10.0,248,0,91.7,2,2,0,12,4,0.6
Myles Farmer,98122,S,NEBRASKA,10,80,10.0,8.0,238,0,108.3,8,10,0,100,60,1.25
Javon Batten,147429,S,UMASS,8,30,10.0,5.0,216,0,56.3,3,6,0,17,8,0.57
