"fantasyPointsRank","playerName","teamName","position","byeWeek","games","fantasyPoints","passComp","passAtt","passYds","passTd","passInt","passSacked","rushAtt","rushYds","rushTd","recvTargets","recvReceptions","recvYds","recvTd","fumbles","fumblesLost","twoPt","returnYds","returnTd","fgMade019","fgAtt019","fgMade2029","fgAtt2029","fgMade3039","fgAtt3039","fgMade4049","fgAtt4049","fgMade50plus","fgAtt50plus","patMade","patAtt","dstSacks","dstSafeties","dstInt","dstFumblesForced","dstFumblesRecovered","dstTd","dstReturnYds","dstReturnTd","dstPts0","dstPts16","dstPts713","dstPts1420","dstPts2127","dstPts2834","dstPts35plus","idpTacklesSolo","idpTacklesAssist","idpSacks","idpTacklesForLoss","idpPassDefended","idpInt","idpFumblesForced","idpFumblesRecovered","idpSafeties","idpTd"
"11","Deebo Samuel","SF","wr","6","@LA","15.2","0","0","0","0","0","0","3.7766","22.8821","0.2068","5.8856","4.3091","56.9407","0.2788","0.1248","0.0624","0.0186","44.3683","0.0261","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"12","Brandon Aiyuk","SF","wr","6","@LA","14.3","0","0","0","0","0","0","0.3854","2.2508","0.0125","7.4763","5.1163","65.8642","0.3785","0.0767","0.0384","0.0268","9.9287","0.0121","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"13","George Kittle","SF","te","6","@LA","13.8","0","0","0","0","0","0","0","0","0","6.9991","5.1278","61.9103","0.4139","0.0649","0.0325","0.0081","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"14","Odell Beckham Jr.","LA","wr","11","SF","13.4","0","0","0","0","0","0","0.073","0.3518","0.003","7.0384","4.7542","61.7965","0.3988","0.0262","0.0131","0.008","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"15","Cam Akers","LA","rb","11","SF","13.2","0","0","0","0","0","0","13.3819","54.9984","0.3385","3.3101","2.6623","22.9359","0.1292","0.2092","0.1046","0.0126","68.416","0.0402","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"16","Elijah Mitchell","SF","rb","6","@LA","12.9","0","0","0","0","0","0","17.984","73.8026","0.3931","2.0679","1.6837","11.4197","0.06","0.088","0.044","0.0128","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"17","Tyler Boyd","CIN","wr","10","@KC","12.8","0","0","0","0","0","0","0.1046","0.5555","0.0027","6.6083","4.904","58.574","0.3286","0.0784","0.0392","0.0091","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"18","Jerick McKinnon","KC","rb","12","CIN","11","0","0","0","0","0","0","8.5401","38.1386","0.3068","3.225","2.6101","19.8095","0.1262","0.0915","0.0458","0.0117","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"19","Tyler Higbee","LA","te","11","SF","10.4","0","0","0","0","0","0","0","0","0","5.5749","4.18","41.4196","0.3388","0.0369","0.0184","0.0201","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"20","Byron Pringle","KC","wr","12","CIN","10.1","0","0","0","0","0","0","0.1366","0.7404","0.0054","5.1959","3.7466","43.8212","0.305","0.0678","0.0339","0.0107","47.1795","0.0273","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"21","C.J. Uzomah","CIN","te","10","@KC","9.4","0","0","0","0","0","0","0","0","0","4.8693","3.7301","35.3689","0.3529","0.0312","0.0156","0.0156","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"22","Van Jefferson","LA","wr","11","SF","9.4","0","0","0","0","0","0","0.1217","0.7199","0.0044","4.7039","3.0691","45.6904","0.2728","0.0279","0.0139","0.0083","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"23","Clyde Edwards-Helaire","KC","rb","12","CIN","8.8","0","0","0","0","0","0","8.5629","40.6599","0.3444","1.6125","1.311","9.8516","0.0586","0.0685","0.0343","0.0127","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"24","Mecole Hardman","KC","wr","12","CIN","7.7","0","0","0","0","0","0","0.2277","1.3287","0.0083","3.9417","2.896","34.5425","0.1936","0.0581","0.0291","0.0152","15.4397","0.0191","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"25","Sony Michel","LA","rb","11","SF","6.9","0","0","0","0","0","0","8.5401","35.2075","0.2049","1.3937","1.1353","7.905","0.0421","0.0567","0.0284","0.0013","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"26","Jauan Jennings","SF","wr","6","@LA","5.8","0","0","0","0","0","0","0.0257","0.1508","0.0008","3.1814","2.1644","26.2291","0.1637","0.0287","0.0143","0.0065","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"27","Kyle Juszczyk","SF","rb","6","@LA","4.9","0","0","0","0","0","0","0.5138","1.74","0.0166","2.5451","1.923","19.2914","0.1268","0.0281","0.0141","0.0023","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"28","Demarcus Robinson","KC","wr","12","CIN","4.1","0","0","0","0","0","0","0.0455","0.2275","0.0019","2.15","1.4837","18.4327","0.1208","0.0159","0.008","0.0036","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"29","Mohamed Sanu","SF","wr","6","@LA","3","0","0","0","0","0","0","0","0","0","1.877","1.3244","13.0196","0.0643","0.0149","0.0075","0.0033","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"30","Blake Bell","KC","te","12","CIN","2.6","0","0","0","0","0","0","0","0","0","1.3617","1.0226","10.0524","0.0887","0.0104","0.0052","0.0037","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"31","Noah Gray","KC","te","12","CIN","1.7","0","0","0","0","0","0","0","0","0","0.8958","0.6394","6.589","0.065","0.0068","0.0034","0.0024","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"32","Samaje Perine","CIN","rb","10","@KC","1.5","0","0","0","0","0","0","1.2547","5.3317","0.0294","0.5217","0.4344","2.9232","0.0153","0.0119","0.006","0.0026","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"33","Drew Sample","CIN","te","10","@KC","1.3","0","0","0","0","0","0","0","0","0","0.6956","0.5262","4.781","0.0457","0.0064","0.0032","0.0025","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
