player,player_id,position,team_name,player_game_count,attempts,avoided_tackles,breakaway_attempts,breakaway_percent,breakaway_yards,declined_penalties,designed_yards,drops,elu_recv_mtf,elu_rush_mtf,elu_yco,elusive_rating,explosive,first_downs,franchise_id,fumbles,gap_attempts,grades_offense,grades_offense_penalty,grades_pass,grades_pass_block,grades_pass_route,grades_run,grades_run_block,longest,penalties,rec_yards,receptions,routes,run_plays,scramble_yards,scrambles,targets,total_touches,touchdowns,yards,yards_after_contact,yco_attempt,ypa,yprr,zone_attempts
Jahmyl Jeter,77759,HB,TEXAS ST,5,27,12,5,61.1,99,0,162,0,0,12,110,174.6,7,15,314,0,10,80.5,76.4,,83.9,57.5,79.0,60.0,29,0,-1,1,14,31,0,0,2,28,4,162,110,4.07,6.0,-0.07,16
Trevion Cooley,144150,HB,LOUISVILLE,5,27,8,1,17.8,18,0,101,0,0,8,62,61.2,1,4,210,0,4,63.0,79.9,,33.4,79.6,60.4,55.6,18,0,79,3,24,37,0,0,4,30,0,101,62,2.3,3.7,3.29,22
Jemel Jones,102863,QB,ARMY,4,26,3,0,0.0,0,0,85,0,0,2,48,14.2,1,5,114,0,5,64.5,77.4,65.3,,,60.9,60.0,11,0,0,0,0,64,2,1,0,26,0,87,55,2.04,3.2,,15
Chance Bell,57396,HB,S DIEGO ST,4,27,6,3,63.9,92,0,144,0,0,6,114,93.8,5,8,284,1,8,64.9,77.9,,68.3,54.8,64.8,60.0,61,0,0,0,10,28,0,0,0,27,2,144,114,4.22,5.3,0.0,19
Daijun Edwards,124021,HB,GEORGIA,5,27,8,1,19.0,15,0,79,0,0,8,61,66.9,3,5,173,0,13,68.0,75.3,,70.2,48.3,67.3,60.0,15,0,0,0,4,30,0,0,1,27,1,79,61,2.26,2.9,0.0,13
Dominique Johnson,123959,HB,ARKANSAS,6,27,13,3,47.2,83,1,176,0,1,13,111,205.6,5,10,111,1,6,82.2,0.0,,83.7,59.5,82.7,75.9,48,1,11,1,24,40,0,0,1,28,3,176,111,4.11,6.5,0.46,19
Isaiah Johnson,121892,HB,N TEXAS,4,27,6,2,33.3,37,0,111,0,2,6,57,54.5,3,9,251,1,17,70.1,76.5,,83.7,48.3,72.8,58.1,20,0,54,4,22,35,0,0,4,31,2,111,57,2.11,4.1,2.45,10
Cameron Davis,72376,HB,WASHINGTON,5,27,6,0,0.0,0,0,76,0,1,6,53,44.3,1,2,340,2,13,47.9,78.9,,14.5,62.1,49.2,57.8,12,0,31,4,30,35,0,0,5,31,0,76,53,1.96,2.8,1.03,14
Austin Aune,83528,QB,N TEXAS,5,19,2,2,21.9,34,0,89,0,0,0,12,0.0,11,10,251,2,4,63.0,81.9,64.7,,,55.6,60.3,19,0,0,0,0,109,66,8,0,19,0,155,51,1.89,5.7,,10
Hassan Hall,77705,HB,LOUISVILLE,4,27,3,3,56.3,120,0,213,0,0,3,84,34.6,5,7,210,0,4,70.0,79.7,,84.9,52.8,70.0,58.4,53,0,0,0,19,33,0,0,0,27,1,213,84,3.11,7.9,0.0,23
Davis Alexander,52162,QB,PORTLAND,4,15,4,0,0.0,0,0,63,0,1,3,35,58.3,5,13,269,3,3,79.2,64.7,77.6,,90.8,63.7,60.0,14,1,31,1,2,86,77,12,1,16,1,140,70,2.59,5.2,15.5,4
Payton Thorne,101629,QB,MICH STATE,6,20,3,2,27.4,34,0,65,0,0,2,18,9.0,6,9,223,3,8,82.2,69.8,83.2,,,61.7,60.2,22,1,0,0,0,201,59,7,0,20,2,124,30,1.11,4.6,,3
Cole Mueller,102426,HB,ILL STATE,3,26,6,3,68.1,139,0,204,0,0,6,95,81.2,4,7,188,0,16,73.4,78.1,,23.5,58.3,76.3,60.0,80,0,0,1,10,30,0,0,1,27,2,204,95,3.65,7.8,0.0,10
Elijah Burris,153290,HB,HAMPTON,2,26,17,4,53.5,100,0,187,1,1,17,81,200.3,8,12,178,1,17,79.3,77.1,,76.1,42.0,84.5,59.6,30,0,7,2,29,31,0,0,3,28,3,187,81,3.12,7.2,0.24,9
Sevion Morrison,129705,HB,NEBRASKA,5,26,4,0,0.0,0,0,97,1,0,4,59,31.3,0,7,238,0,14,72.2,76.7,,30.5,55.4,75.3,58.7,9,0,13,3,22,34,0,0,5,29,3,97,59,2.27,3.7,0.59,12
Jason Shelley,60581,QB,MO STATE,2,15,5,1,15.7,26,0,65,0,0,1,22,9.8,6,10,230,2,9,64.1,24.4,59.9,,,67.8,60.0,26,2,0,0,0,64,101,11,0,15,2,166,87,3.35,6.4,,4
Jacob Chisholm,65435,HB,DAYTON,1,26,5,1,18.3,15,0,82,0,1,5,81,53.4,2,2,150,0,11,65.5,77.5,,77.7,83.4,60.0,62.4,15,0,65,9,31,38,0,0,10,35,0,82,81,3.12,3.2,2.1,14
D.J. Jones,122840,HB,N CAROLINA,4,26,4,3,42.9,60,0,140,0,1,4,105,61.2,6,8,245,0,6,75.2,79.0,,88.5,72.2,73.8,58.3,29,0,23,7,51,31,0,0,8,33,0,140,105,4.04,5.4,0.45,17
Brock Purdy,77672,QB,IOWA STATE,5,13,6,2,19.1,30,0,66,0,0,1,19,11.2,6,8,193,2,4,79.3,83.4,84.2,,,51.8,60.1,19,0,0,0,0,130,91,13,0,13,0,157,70,2.69,6.0,,8
Tyler Buchner,147472,QB,NOTRE DAME,4,24,7,3,36.5,61,0,150,0,0,6,100,104.2,7,8,258,0,8,71.9,77.5,52.6,,,76.4,60.0,26,0,0,0,0,56,17,2,0,24,1,167,108,4.15,6.4,,13
AJ Green,127442,HB,ARKANSAS,5,26,6,3,45.2,66,0,146,2,3,6,59,65.9,4,5,111,1,9,61.2,76.2,,14.6,52.0,64.9,60.0,30,0,74,5,14,29,0,0,7,31,1,146,59,2.27,5.6,5.29,16
Chase Cunningham,78533,QB,MIDDLE TN,6,20,2,3,50.0,73,0,119,0,0,2,53,26.5,6,7,224,3,11,69.6,82.9,67.6,,,64.6,60.1,27,0,0,0,0,100,27,6,0,20,0,146,54,2.08,5.6,,4
Matt McDonald,60350,QB,BOWL GREEN,6,12,4,0,0.0,0,0,11,0,0,0,5,0.0,3,8,122,6,1,66.5,70.4,66.1,62.2,54.3,60.6,60.0,18,2,0,0,1,128,74,14,1,12,3,85,30,1.15,3.3,0.0,2
Chavon McEachern,122190,HB,CHARLOTTE,5,26,5,1,15.9,18,0,113,0,1,5,71,58.5,4,7,136,0,5,70.7,76.9,,79.8,68.3,68.9,57.8,18,0,23,2,15,33,0,0,4,28,1,113,71,2.73,4.3,1.53,21
Omar Fattah,64631,FB,AIR FORCE,6,26,6,1,31.6,43,0,136,0,0,6,71,63.0,3,6,101,0,10,74.9,81.7,,77.1,,72.0,65.5,43,0,0,0,0,66,0,0,0,26,0,136,71,2.73,5.2,,0
James Jones,87571,HB,LAMAR,4,26,5,1,14.6,15,0,103,0,0,5,58,37.2,3,8,204,0,9,77.5,80.4,,29.9,71.8,76.7,56.1,15,0,21,4,23,40,0,0,4,30,2,103,58,2.23,4.0,0.91,11
Roydell Williams,123939,HB,ALABAMA,5,26,2,3,47.8,75,0,157,0,0,2,66,18.1,4,9,103,1,9,63.9,78.2,,12.8,59.7,65.3,75.3,43,0,28,2,18,34,0,0,3,28,1,157,66,2.54,6.0,1.56,17
Tyrell Robinson,121607,HB,ARMY,5,26,12,3,49.2,119,0,242,0,0,12,92,151.6,8,9,114,0,11,79.9,83.7,,73.0,68.6,82.0,68.0,70,0,61,2,19,157,0,0,3,28,2,242,92,3.54,9.3,3.21,2
Andrew Clair,57167,HB,NWESTERN,5,26,15,3,43.9,75,0,171,1,6,15,113,304.2,6,11,256,0,11,71.4,79.4,,31.2,53.5,77.2,62.5,32,0,21,4,38,41,0,0,6,30,0,171,113,4.35,6.6,0.55,15
Jonathan Debique,109202,HB,LIUSHAR,3,26,3,0,0.0,0,0,91,0,0,3,83,33.0,1,4,1298,0,12,67.0,77.1,,68.7,64.5,66.2,57.1,11,0,9,3,11,37,0,0,3,29,0,91,83,3.19,3.5,0.82,13
Marcus Pierce Jr.,124293,HB,TENNESSEE,4,26,3,2,38.2,42,0,110,0,0,3,54,24.0,2,6,307,0,10,76.0,75.4,,77.9,56.3,73.8,60.0,27,0,0,0,6,30,0,0,0,26,1,110,54,2.08,4.2,0.0,16
Chuby Dunu,40589,HB,CAL POLY,4,26,3,0,0.0,0,0,86,0,1,3,76,41.8,1,3,129,0,14,61.2,77.1,,78.5,65.3,59.8,56.3,10,0,13,2,18,32,0,0,2,28,0,86,76,2.92,3.3,0.72,12
RJ Martinez,147690,QB,N ARIZONA,3,18,6,2,44.3,62,0,76,0,0,4,69,85.2,5,9,252,3,6,78.1,82.1,78.9,,,61.8,60.0,41,0,0,0,0,102,64,8,0,18,1,140,104,4.0,5.4,,4
Kevin Brown,102429,HB,INCAR WORD,2,26,8,3,51.2,63,0,123,0,1,8,63,72.7,5,6,189,1,15,66.3,77.7,,78.4,43.1,70.4,61.2,29,0,22,4,39,28,0,0,5,30,3,123,63,2.42,4.7,0.56,9
Justin Strong,87616,HB,S ILLINOIS,3,26,6,2,30.1,41,0,136,0,1,6,77,71.5,3,4,295,0,8,64.3,80.5,,33.0,55.3,70.5,44.2,22,0,29,3,64,44,0,0,7,29,1,136,77,2.96,5.2,0.45,17
Mar'Keise Irving,144970,HB,MINNESOTA,3,25,10,3,58.9,66,0,112,0,2,10,92,169.8,3,4,225,0,15,75.0,73.8,,77.4,60.8,72.2,,28,0,3,1,2,25,0,0,1,26,0,112,92,3.68,4.5,1.5,10
Dennis Grosel,60351,QB,BOSTON COL,5,17,5,1,15.4,19,0,61,0,0,1,25,8.7,5,16,121,2,0,75.7,44.2,67.3,,,83.2,60.0,19,3,0,0,0,143,62,8,0,17,2,123,43,1.72,4.9,,7
Da'Joun Hewitt,101662,HB,E KENTUCKY,2,25,2,1,22.0,18,0,82,0,1,2,53,22.7,2,9,159,0,3,62.7,77.5,,43.4,57.0,64.4,58.9,18,0,-1,3,27,36,0,0,3,28,3,82,53,2.12,3.3,-0.04,22
Carlos Washington Jr.,63268,HB,NEW HAMP,2,25,4,1,47.3,70,0,148,0,2,4,123,105.4,2,2,240,1,11,62.9,76.5,,58.4,72.3,60.7,60.0,70,0,30,3,12,28,0,0,3,28,0,148,123,4.92,5.9,2.5,14
Savon Smith,104833,HB,RICHMOND,3,25,7,2,25.4,31,0,122,0,1,7,65,61.2,5,7,276,1,16,61.0,79.8,,46.4,67.1,58.8,55.7,16,0,35,9,44,34,0,0,10,34,1,122,65,2.6,4.9,0.8,9
Jacquez Stuart,97125,HB,TOLEDO,6,25,7,3,59.0,82,0,139,0,0,7,111,115.1,4,6,316,0,18,75.6,76.6,,25.2,64.5,78.3,59.8,46,0,18,2,16,28,0,0,2,27,1,139,111,4.44,5.6,1.13,6
Raiden Hunter,105578,HB,IDAHO ST,3,25,3,1,21.0,17,0,81,0,0,3,67,29.8,2,6,186,0,3,65.5,79.6,,40.4,57.1,68.9,58.6,17,0,14,2,38,31,0,0,2,27,0,81,67,2.68,3.2,0.37,20
Sy'veon Wilkerson,138400,HB,DELWARE ST,1,25,6,1,22.8,21,0,92,0,0,6,85,81.6,2,6,152,1,17,58.9,77.0,,75.9,53.7,59.4,60.0,21,0,0,0,12,27,0,0,0,25,3,92,85,3.4,3.7,0.0,8
Brandon Marshall,105605,HB,MERCER,3,25,7,2,38.8,45,0,116,0,0,7,79,88.5,5,8,219,1,20,66.6,78.5,,56.6,56.0,65.7,66.2,24,0,0,0,5,36,0,0,0,25,3,116,79,3.16,4.6,0.0,4
Tanner McKee,131770,QB,STANFORD,6,14,0,1,28.0,30,0,53,0,0,0,11,0.0,3,6,300,0,0,69.8,68.0,70.7,,,56.2,60.0,30,1,0,0,0,115,54,11,0,14,2,107,25,1.0,4.3,,7
Jah-Maine Martin,78588,HB,NC A&T,2,25,1,0,0.0,0,0,53,0,0,1,43,6.6,1,1,246,0,11,54.3,77.6,,63.1,55.5,54.6,57.1,14,0,1,1,20,42,0,0,1,26,0,53,43,1.72,2.1,0.05,13
Myles Bailey,145722,HB,C MICHIGAN,5,25,6,0,0.0,0,0,99,0,0,6,64,53.0,2,7,134,0,9,68.9,77.4,,81.1,70.8,67.1,58.8,12,0,42,4,28,28,0,0,4,29,0,99,64,2.56,4.0,1.5,16
Mike Epstein,57237,HB,ILLINOIS,2,25,8,2,57.9,62,0,107,0,0,8,82,97.2,3,6,187,1,3,64.3,78.4,,61.9,61.2,63.9,60.0,45,0,6,2,13,26,0,0,2,27,1,107,82,3.28,4.3,0.46,21
Jordan Yates,97416,QB,GA TECH,5,7,5,0,0.0,0,1,30,0,0,1,17,34.7,3,6,176,2,4,69.3,82.0,69.8,,,59.6,60.0,12,4,0,0,0,98,97,18,0,7,1,127,68,2.72,5.1,,2
Casey Thompson,77677,QB,TEXAS,6,12,4,1,11.0,16,0,35,0,0,1,15,10.4,3,12,311,2,0,84.1,83.5,77.6,,,78.8,60.2,41,1,0,0,0,147,111,13,0,12,3,146,56,2.24,5.8,,4
Jalen Dummett,139376,QB,LAMAR,4,18,2,1,16.5,15,0,50,0,0,0,35,0.0,4,5,204,3,2,42.2,79.9,41.7,,,51.0,60.0,20,0,0,0,0,96,41,7,0,18,0,91,74,2.96,3.6,,4
Ken Seals,124359,QB,VANDERBILT,6,21,3,0,0.0,0,0,30,0,0,2,34,15.4,2,9,333,2,10,56.5,55.1,52.0,,60.0,71.6,60.0,19,2,0,0,1,146,41,4,0,21,1,71,44,1.76,2.8,0.0,3
Scooter Adams,139492,HB,NWSTATE,2,25,11,3,52.8,75,0,142,0,0,11,91,111.2,6,7,257,2,6,64.9,78.2,,41.2,89.8,56.8,58.7,36,0,79,11,48,31,0,0,11,36,1,142,91,3.64,5.7,1.65,19
Seba Nekhet,61687,HB,STNY BROOK,3,25,4,1,16.2,23,0,142,0,0,4,83,47.4,3,7,303,0,3,80.0,78.3,,45.9,69.8,80.5,68.3,23,0,23,3,15,30,0,0,4,28,0,142,83,3.32,5.7,1.53,22
Len'Neth Whitehead,124302,HB,TENNESSEE,3,25,4,2,34.3,48,0,140,0,0,4,93,57.2,4,8,307,0,10,74.0,74.9,,78.6,70.7,71.5,58.1,33,0,10,1,6,33,0,0,1,26,1,140,93,3.72,5.6,1.67,15
Julien Gums,78556,HB,NICHOLLS,2,24,0,0,0.0,0,0,69,0,0,0,38,0.0,1,5,243,0,5,60.7,78.6,,59.9,50.7,62.8,67.9,10,0,2,1,48,29,0,0,2,25,0,69,38,1.58,2.9,0.04,19
Grant Wells,97784,QB,MARSHALL,6,21,4,1,15.3,15,0,95,0,0,2,20,9.1,5,11,214,4,0,77.4,72.5,78.2,62.2,,55.1,60.0,15,1,0,0,0,173,3,3,0,21,2,98,40,1.67,4.1,,11
Tanner Morgan,55239,QB,MINNESOTA,5,11,3,1,23.0,17,0,15,1,0,1,5,4.1,2,5,225,2,3,62.4,84.0,65.4,,,48.7,60.7,17,0,0,0,0,193,59,13,0,11,0,74,37,1.54,3.1,,2
Kamari Pleasant,40696,HB,WASHINGTON,4,24,13,2,22.9,33,0,144,0,3,13,107,246.0,3,9,340,1,14,79.7,78.6,,64.1,80.5,78.2,61.6,17,0,51,5,20,39,0,0,5,29,0,144,107,4.46,6.0,2.55,10
Calvin Brownholtz,83584,QB,UTEP,5,24,4,0,0.0,0,0,67,0,0,4,55,38.2,1,6,330,0,11,56.4,75.4,28.3,,,66.3,60.9,11,0,0,0,0,39,0,0,0,24,1,67,55,2.29,2.8,,8
Peny Boone,129498,HB,MARYLAND,5,24,6,0,0.0,0,0,104,1,0,6,62,59.6,5,8,215,1,11,60.1,76.9,,77.7,41.0,62.9,,13,0,2,2,18,24,0,0,4,26,1,104,62,2.58,4.3,0.11,12
Samson Evans,84228,HB,E MICHIGAN,5,24,9,0,0.0,0,0,69,0,1,9,66,94.8,2,10,160,0,20,78.3,81.1,,62.4,70.6,83.0,53.6,13,0,31,5,37,42,0,0,5,29,6,69,66,2.75,2.9,0.84,4
Tyjae Spears,97195,HB,TULANE,6,24,4,2,50.0,58,0,116,1,3,4,66,60.2,3,5,319,0,14,65.1,78.2,,57.9,62.9,67.1,49.9,39,0,66,8,33,31,0,0,9,32,2,116,66,2.75,4.8,2.0,9
Jalen Berger,129914,HB,WISCONSIN,3,24,6,0,0.0,0,0,88,0,0,6,59,56.7,0,4,349,0,7,74.5,77.9,,79.4,66.0,72.8,,8,0,17,2,16,26,0,0,3,26,1,88,59,2.46,3.7,1.06,16
Kyle Dobbins,77731,HB,TEMPLE,6,24,2,0,0.0,0,0,92,0,0,2,48,16.0,2,8,306,0,9,78.0,78.2,,52.0,70.9,76.4,59.1,12,0,2,1,11,27,0,0,1,25,3,92,48,2.0,3.8,0.18,14
Tobias Little,42594,HB,MO STATE,2,24,15,1,21.9,16,0,73,0,1,15,80,197.5,2,3,230,1,16,65.7,80.4,,81.9,65.5,66.2,49.7,16,0,19,3,32,38,0,0,3,27,0,73,80,3.33,3.0,0.59,8
Kylan Weisser,78475,QB,WEBER ST,4,22,3,2,36.1,35,0,82,0,0,2,25,10.3,3,10,342,2,12,81.6,80.7,76.5,,,73.6,60.1,18,0,0,0,0,85,15,2,0,22,2,97,37,1.54,4.0,,5
Jevyon Ducker,130550,HB,N ILLINOIS,4,24,4,1,20.0,17,0,85,0,0,4,59,41.0,1,2,254,0,19,61.8,78.2,,42.2,56.6,62.4,59.5,17,0,0,0,4,29,0,0,0,24,0,85,59,2.46,3.5,0.0,5
Gary Quarles,78641,HB,ALAB A&M,1,24,8,3,46.9,61,0,130,1,0,8,77,98.7,5,7,104,0,11,75.5,77.5,,79.8,47.0,79.0,59.5,27,0,20,2,24,31,0,0,3,26,1,130,77,3.21,5.4,0.83,10
Bishop Bonnett,57199,HB,FL A&M,2,24,10,1,23.3,20,0,86,1,0,10,51,85.0,2,5,164,0,5,64.2,77.6,,61.3,44.6,70.2,47.3,20,0,3,1,44,25,0,0,3,25,0,86,51,2.13,3.6,0.07,19
Quay Holmes,87560,HB,E TENN ST,1,23,9,3,53.0,79,0,149,0,0,9,72,112.7,4,6,157,0,8,76.9,77.4,,82.0,63.3,74.8,60.0,37,0,-1,2,9,25,0,0,2,25,0,149,72,3.13,6.5,-0.11,15
Taron Jones,78612,HB,SE LA,3,23,6,1,29.4,35,0,119,1,2,6,63,66.4,2,8,294,1,6,69.6,80.7,,67.5,55.7,78.7,54.1,35,0,79,10,68,41,0,0,12,33,3,119,63,2.74,5.2,1.16,17
Jakari Norwood,83678,HB,ILLINOIS,6,23,2,3,47.7,52,0,109,1,0,2,64,21.4,4,4,187,0,12,66.3,77.8,,74.4,48.4,68.2,60.0,18,0,6,3,17,25,0,0,4,26,0,109,64,2.78,4.7,0.35,10
Will Howard,122599,QB,KANSAS ST,3,22,2,2,49.6,56,0,108,0,0,2,42,17.4,3,9,199,2,14,57.4,79.5,45.4,,,69.4,60.0,37,0,0,0,0,89,5,1,0,22,3,113,46,2.0,4.9,,6
Tyevin Ford,72434,HB,IDAHO ST,3,23,4,1,22.5,32,0,142,0,0,4,113,81.9,6,7,186,0,6,72.8,0.0,,84.4,62.2,74.9,50.7,32,1,15,1,19,35,0,0,1,24,1,142,113,4.91,6.2,0.79,17
Isaac Guerendo,83806,HB,WISCONSIN,4,23,6,2,60.6,97,0,160,0,0,6,60,62.6,2,3,349,0,8,71.2,79.5,,26.8,57.0,75.8,59.0,82,0,6,2,26,31,0,0,2,25,1,160,60,2.61,7.0,0.23,15
Bryan Bradford,97436,HB,KENT STATE,4,23,9,1,16.5,16,0,97,0,0,9,66,107.6,1,8,201,1,5,67.1,76.5,,51.4,55.4,68.5,59.4,16,0,-5,1,16,26,0,0,1,24,1,97,66,2.87,4.2,-0.31,17
Freddie Brock,142276,HB,MAINE,2,23,4,1,25.9,28,0,108,0,0,4,59,39.5,1,3,212,0,17,72.9,78.1,,10.9,55.8,79.1,60.0,28,0,16,3,35,25,0,0,3,26,1,108,59,2.57,4.7,0.46,6
Logan Bonner,39990,QB,UTAH ST,5,19,5,0,0.0,0,0,42,1,0,3,32,26.6,4,3,329,1,4,75.8,83.7,76.4,62.2,,57.2,60.0,11,0,0,0,0,135,28,4,0,19,0,70,66,2.87,3.0,,10
Julius Chestnut,109239,HB,SACR HEART,1,23,11,3,35.9,52,0,145,0,0,11,103,214.2,5,10,280,0,12,42.8,78.7,,82.3,54.7,42.7,60.0,21,0,0,0,14,29,0,0,0,23,1,145,103,4.48,6.3,0.0,11
Kyris Barnett,83649,HB,CHARLES SO,4,23,3,1,21.1,15,0,71,0,0,3,44,20.5,2,6,135,0,4,65.3,79.0,,63.2,65.5,65.3,57.4,15,0,22,5,43,33,0,0,7,28,1,71,44,1.91,3.1,0.51,18
Nathan Storch,123199,FB,CITADEL,1,23,0,0,0.0,0,0,65,0,0,0,35,0.0,0,5,139,0,9,58.8,80.2,,22.6,65.8,59.5,60.2,8,0,-2,1,1,49,0,0,1,24,1,65,35,1.52,2.8,-2.0,0
Shomari Lawrence,141839,HB,S DAKOTA,3,23,4,1,29.6,29,0,98,0,2,4,82,76.4,2,4,291,2,7,71.7,76.6,,84.2,79.9,68.7,54.6,29,0,67,5,24,30,0,0,6,28,1,98,82,3.57,4.3,2.79,14
Keilan Robinson,97097,HB,TEXAS,6,23,8,3,68.6,120,0,175,0,0,8,101,140.5,4,7,311,1,8,72.6,76.3,,76.9,68.1,69.7,58.8,65,0,13,2,11,29,0,0,2,25,2,175,101,4.39,7.6,1.18,15
John Lovett,57157,HB,PENN STATE,3,23,5,0,0.0,0,0,95,1,0,5,59,47.5,4,5,266,0,9,67.1,78.4,,80.8,51.1,70.6,74.1,13,0,32,4,44,28,0,0,6,27,0,95,59,2.57,4.1,0.73,14
Korey Bridy,78586,HB,VA MILT IN,2,23,3,1,16.7,16,0,96,0,1,3,42,27.1,4,6,336,0,7,65.6,78.7,,62.5,69.1,63.6,59.0,16,0,34,4,31,32,0,0,5,27,1,96,42,1.83,4.2,1.1,15
Davis Brin,77642,QB,TULSA,6,9,5,0,0.0,0,0,-3,0,0,0,24,0.0,3,5,320,4,1,70.3,71.1,70.7,,,55.7,60.0,22,2,0,0,0,195,92,14,0,9,0,89,93,4.04,3.9,,4
Quali Conley,141259,HB,DIXIE,3,23,7,1,30.8,20,0,65,0,1,7,48,59.6,1,1,1285,0,11,62.3,79.6,,28.8,59.5,66.0,59.4,20,0,44,5,65,30,0,0,9,28,0,65,48,2.09,2.8,0.68,11
Narii Gaither,102410,HB,GARD-WEBB,2,23,8,1,16.2,19,0,117,0,0,8,67,89.6,4,4,171,1,5,69.2,79.4,,44.9,53.9,74.9,58.2,19,0,7,3,44,27,0,0,5,26,1,117,67,2.91,5.1,0.16,17
Zander Horvath,57384,HB,PURDUE,2,23,9,1,27.0,24,0,89,1,1,9,88,141.7,2,4,273,0,11,76.1,77.8,,78.9,51.5,79.8,59.0,24,0,11,4,26,27,0,0,5,27,1,89,88,3.83,3.9,0.42,11
Draycen Hall,141635,HB,N ARIZONA,4,23,5,2,38.9,37,0,95,0,3,5,96,83.5,4,8,252,1,11,71.1,81.0,,25.9,73.2,70.7,55.8,21,0,125,17,57,35,0,0,19,40,0,95,96,4.17,4.1,2.19,11
Ron Wiggins,125380,HB,JVILLE ST,6,23,4,2,48.7,58,0,119,0,3,4,88,89.3,4,6,196,0,3,68.2,80.5,,46.2,73.4,68.4,45.7,38,0,72,7,59,35,0,0,9,30,0,119,88,3.83,5.2,1.22,19
Lindsey Scott Jr.,40219,QB,NICHOLLS,2,8,7,0,0.0,0,0,10,0,0,1,6,9.4,6,8,243,1,4,74.1,79.7,64.6,,,77.1,60.0,34,0,0,0,0,44,148,15,0,8,1,158,86,3.74,6.9,,2
Harrison Bey-Buie,137994,HB,E ILLINOIS,3,23,2,1,19.4,18,0,93,1,0,2,60,21.7,1,4,158,0,11,61.8,78.7,,6.8,54.6,66.2,57.4,18,0,6,1,15,33,0,0,4,24,1,93,60,2.61,4.0,0.4,12
Dajon Richard,97174,HB,SO MISS,5,23,4,1,27.6,27,0,98,0,3,4,56,60.9,3,7,296,0,12,65.4,77.7,,18.0,80.2,66.6,58.5,27,0,54,5,28,28,0,0,6,28,1,98,56,2.43,4.3,1.93,11
Elijah Young,124223,HB,MISSOURI,6,23,4,1,34.8,32,0,92,0,2,4,58,52.2,1,5,229,0,10,68.1,79.6,,30.1,74.7,64.0,58.6,32,0,32,6,31,26,0,0,6,29,1,92,58,2.52,4.0,1.03,11
Ben Bryant,77655,QB,E MICHIGAN,6,15,7,2,36.0,54,0,110,0,0,5,55,114.6,4,7,160,3,8,81.9,48.4,79.8,,51.3,72.2,60.0,39,2,-3,1,2,129,40,8,1,16,1,150,92,4.0,6.5,-1.5,3
Jacory Merritt,102382,HB,ALABAMA ST,2,22,1,0,0.0,0,0,40,0,0,1,36,6.8,1,4,105,0,2,64.3,77.9,,79.5,61.8,63.5,59.1,11,0,30,2,23,26,0,0,3,24,1,40,36,1.64,1.8,1.3,20
Kevin Davis,130517,HB,MIAMI OH,6,22,3,2,34.3,35,0,102,0,2,3,50,36.7,4,6,221,0,5,69.0,79.7,,65.3,80.1,62.4,60.2,19,0,161,9,48,43,0,0,10,31,2,102,50,2.27,4.6,3.35,14
Latrele Palmer,102437,HB,JAMES MAD,2,22,4,5,80.5,149,0,185,0,0,4,64,52.9,6,8,197,0,12,73.6,77.0,,,52.5,75.6,59.5,47,0,0,0,24,27,0,0,1,22,2,185,64,2.91,8.4,0.0,9
Trey Lowe,84501,HB,OREGON ST,6,22,0,2,33.9,41,0,121,0,1,0,45,6.8,4,4,265,0,3,60.1,80.7,,17.3,66.6,64.1,59.3,25,1,56,8,51,33,0,0,11,30,0,121,45,2.05,5.5,1.1,19
Cole Kelley,39945,QB,SE LA,3,17,4,0,0.0,0,0,65,0,0,0,36,0.0,4,11,294,4,8,87.5,82.0,83.9,,,73.4,60.0,16,0,0,0,0,67,50,5,0,17,4,115,76,3.45,5.2,,2
Clayton Tune,77652,QB,HOUSTON,6,14,3,2,36.8,49,0,72,0,0,3,63,96.4,4,8,182,2,3,72.5,52.4,74.1,,,56.1,60.0,42,2,0,0,0,142,61,8,0,14,1,133,66,3.0,6.0,,1
Ramon Jefferson,57280,HB,SM HOUSTON,2,22,8,0,0.0,0,0,72,0,0,8,48,79.3,3,4,281,0,6,68.3,77.9,,83.4,54.1,67.3,59.2,11,0,0,0,14,27,0,0,0,22,1,72,48,2.18,3.3,0.0,16
Jaquez Yant,129716,HB,NEBRASKA,3,22,6,1,38.6,64,0,166,0,0,6,120,148.8,2,8,238,0,14,79.2,76.4,,26.2,70.9,78.0,60.0,64,0,0,0,6,23,0,0,0,22,0,166,120,5.45,7.5,0.0,8
Taulia Tagovailoa,97271,QB,MARYLAND,6,16,0,1,35.4,35,0,65,0,0,0,14,0.0,2,5,215,3,5,90.1,84.9,87.2,,,72.9,60.0,35,0,0,0,0,148,34,6,0,16,0,99,34,1.55,4.5,,6
Markenzy Pierre,57421,HB,E ILLINOIS,3,22,3,0,0.0,0,0,59,1,0,3,67,36.5,2,3,158,0,6,54.8,78.6,,63.6,48.7,58.5,40.5,12,0,7,3,19,26,0,0,5,25,0,59,67,3.05,2.7,0.37,16
Rodney Castille,61481,HB,MURRAY ST,3,22,3,2,44.4,40,0,90,1,0,3,63,35.8,3,6,236,0,9,67.5,78.9,,69.1,50.7,69.1,59.6,24,0,13,2,18,28,0,0,3,24,0,90,63,2.86,4.1,0.72,12
DeAndre Hughes,101359,HB,AIR FORCE,5,22,5,1,41.4,53,0,128,0,0,5,54,55.8,1,4,101,0,10,63.3,0.0,,26.4,51.8,69.1,65.7,53,2,0,0,26,192,0,0,1,22,1,128,54,2.45,5.8,0.0,3
