player_name,sample_size,baseline,country_adj,age,age_adj,true_sg_adj,timing_adj,sg_category_adj,course_history_adj,driving_dist_adj,driving_acc_adj,fit_other_adj,course_fit_total_adj,final_prediction,std_dev,event_name,course_name
"Stallings, Scott",150,-0.163,-0.170,38,-0.020,0.027,0.005,0.189,-0.040,-0.008,0.037,0.009,0.038,-0.134,2.822,"Genesis Scottish Open","The Renaissance Club"
"Rozner, Antoine",150,-0.072,-0.054,30,0.008,-0.037,0.010,0.044,-0.042,-0.010,-0.004,0.010,-0.004,-0.147,2.788,"Genesis Scottish Open","The Renaissance Club"
"Luiten, Joost",150,0.114,-0.222,37,-0.017,0.012,0.006,-0.038,0.014,0.004,-0.037,0.005,-0.027,-0.159,2.789,"Genesis Scottish Open","The Renaissance Club"
"Gordon, Will",150,-0.292,-0.147,26,0.021,0.067,0.047,0.168,-0.040,-0.026,-0.004,0.027,-0.004,-0.180,2.852,"Genesis Scottish Open","The Renaissance Club"
"Ramsay, Richie",150,-0.166,0.264,40,-0.027,-0.109,-0.011,-0.158,0.023,0.020,-0.042,0.021,-0.002,-0.184,2.696,"Genesis Scottish Open","The Renaissance Club"
"Pan, C.T.",150,-0.141,-0.091,31,0.004,-0.078,0.124,0.072,-0.051,0.004,-0.039,0.003,-0.032,-0.193,2.806,"Genesis Scottish Open","The Renaissance Club"
"Wallace, Matt",150,-0.294,0.025,33,-0.002,0.032,0.038,-0.113,0.046,-0.004,0.044,-0.013,0.026,-0.241,2.823,"Genesis Scottish Open","The Renaissance Club"
"Martin, Ben",150,-0.066,-0.122,35,-0.011,-0.058,0.042,0.014,-0.040,0.007,-0.038,0.015,-0.016,-0.258,2.826,"Genesis Scottish Open","The Renaissance Club"
"Shinkwin, Callum",150,-0.776,0.272,30,0.009,0.035,-0.178,0.206,0.026,-0.020,0.061,0.088,0.129,-0.277,2.820,"Genesis Scottish Open","The Renaissance Club"
"Kieffer, Maximilian",150,-0.109,-0.098,33,-0.001,-0.048,0.042,-0.009,-0.022,0.019,-0.077,0.019,-0.039,-0.283,2.780,"Genesis Scottish Open","The Renaissance Club"
"Hoge, Tom",150,0.090,-0.187,34,-0.005,-0.010,0.066,-0.180,-0.048,0.006,-0.014,-0.027,-0.035,-0.309,2.831,"Genesis Scottish Open","The Renaissance Club"
"Siem, Marcel",150,-0.239,0.009,43,-0.037,0.020,-0.011,-0.046,-0.040,0.000,0.003,0.028,0.031,-0.312,2.797,"Genesis Scottish Open","The Renaissance Club"
"Jamieson, Scott",150,-0.404,0.067,39,-0.025,-0.071,0.015,-0.024,0.048,-0.002,0.038,0.037,0.073,-0.321,2.828,"Genesis Scottish Open","The Renaissance Club"
"Campillo, Jorge",150,-0.132,-0.055,37,-0.016,-0.059,0.016,-0.074,-0.015,0.000,0.015,-0.005,0.010,-0.324,2.785,"Genesis Scottish Open","The Renaissance Club"
