"Name","Team","G","PA","HR","R","RBI","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","xwOBA","wRC+","BsR","Off","Def","WAR","playerid"
"Paul DeJong","STL","11","38","1","2","4","2","13.2%","31.6%",".152",".200",".152",".263",".303",".265",".296","74","0.6","-0.5","1.2","0.2","18015"
"Santiago Espinal","TOR","14","48","1","4","6","2","8.3%","18.8%",".143",".242",".214",".292",".357",".285",".377","85","0.2","-0.6","0.7","0.2","19997"
"Christian Walker","ARI","13","54","3","7","5","0","14.8%","20.4%",".217",".125",".152",".278",".370",".298",".386","90","-0.4","-1.0","1.0","0.2","13419"
"Elias Diaz","COL","11","38","1","3","5","0","2.6%","13.2%",".162",".323",".297",".316",".459",".345",".363","110","-0.5","-0.1","0.6","0.2","11680"
"Brandon Lowe","TBR","14","61","3","10","8","0","11.5%","21.3%",".170",".184",".189",".279",".358",".290",".321","98","0.2","0.0","-0.5","0.2","18882"
"Wilmer Flores","SFG","12","49","1","5","5","0","8.2%","12.2%",".136",".237",".227",".286",".364",".291",".363","91","0.4","-0.1","0.1","0.2","5827"
"Shohei Ohtani","LAA","14","63","3","10","9","2","6.3%","31.7%",".203",".278",".220",".270",".424",".304",".300","102","0.8","0.9","-1.5","0.2","19755"
"Adam Duvall","ATL","14","55","0","5","7","0","7.3%","34.5%",".080",".323",".200",".273",".280",".257",".303","62","0.8","-1.5","1.3","0.2","10950"
"Austin Meadows","DET","10","43","0","5","4","0","14.0%","23.3%",".083",".423",".306",".419",".389",".371",".371","151","-0.8","1.4","-1.4","0.2","15672"
"Jose Altuve","HOU","9","41","1","2","3","2","12.2%","24.4%",".083",".200",".167",".268",".250",".248",".275","64","-0.6","-2.1","2.2","0.2","5417"
"Starling Marte","NYM","13","60","2","10","12","3","5.0%","13.3%",".127",".267",".255",".317",".382",".319",".300","112","0.4","1.2","-1.7","0.2","9241"
"Mike Yastrzemski","SFG","13","48","1","6","3","0","8.3%","16.7%",".093",".294",".256",".333",".349",".315",".379","107","-0.2","0.1","-0.3","0.1","14854"
"Jarred Kelenic","SEA","13","48","2","4","6","2","8.3%","35.4%",".209",".200",".163",".229",".372",".267",".274","80","0.1","-0.9","0.6","0.1","22558"
