"Name","Team","W","L","SV","G","GS","IP","K/9","BB/9","HR/9","BABIP","LOB%","GB%","HR/FB","vFA (pi)","ERA","xERA","FIP","xFIP","WAR","playerid"
"Corbin Burnes","MIL","1","0","0","3","3","19.0","10.42","1.89","1.42",".195","93.2%","43.2%","20.0%","","2.37","3.04","3.56","2.55","0.2","19361"
"David Peterson","NYM","0","0","0","2","2","10.0","6.30","2.70","0.00",".214","88.9%","64.3%","0.0%","93.8","0.90","","2.54","3.59","0.2","20302"
"Trevor Rogers","MIA","0","3","0","3","3","11.2","7.71","5.40","0.00",".368","47.6%","42.1%","0.0%","94.8","6.94","4.08","3.12","4.25","0.2","22286"
"Bailey Ober","MIN","1","1","0","3","3","16.0","7.31","1.69","1.13",".239","68.2%","22.9%","7.7%","91.9","2.81","5.67","3.60","4.10","0.2","21224"
"Jordan Lyles","BAL","1","1","0","3","3","15.1","7.04","3.52","0.59",".362","81.3%","45.7%","8.3%","92.8","3.52","4.87","3.89","4.06","0.2","7593"
"Joe Ryan","MIN","2","1","0","3","3","16.0","9.00","2.81","1.13",".194","98.4%","29.7%","8.7%","92.2","1.69","3.47","3.79","4.05","0.2","21390"
"Justin Verlander","HOU","1","1","0","3","3","19.0","9.47","1.89","1.42",".171","100.0%","39.5%","15.8%","95.1","1.89","3.10","3.77","3.03","0.2","8700"
"Tony Gonsolin","LAD","1","0","0","3","3","13.0","5.54","4.85","0.00",".237","93.8%","50.0%","0.0%","93.7","0.69","3.04","3.42","4.53","0.2","19388"
"Zach Plesac","CLE","1","1","0","3","3","17.2","5.09","1.02","1.02",".273","92.6%","33.3%","9.1%","91.1","1.53","6.27","3.72","3.88","0.2","19979"
"Triston McKenzie","CLE","0","0","0","2","2","8.1","10.80","4.32","0.00",".235","90.0%","41.2%","0.0%","92.8","1.08","","2.80","3.74","0.2","18000"
"Drew Smyly","CHC","1","1","0","3","3","14.2","5.52","1.23","1.23",".244","90.2%","51.1%","10.5%","91.9","2.45","2.53","3.99","3.92","0.2","11760"
"Antonio Senzatela","COL","1","0","0","2","2","8.1","2.16","1.08","0.00",".457","70.6%","32.4%","0.0%","94.5","2.16","9.82","2.92","4.49","0.2","15488"
