player,player_id,position,team_name,player_game_count,comp_pct_diff,declined_penalties,dropbacks,franchise_id,no_screen_accuracy_percent,no_screen_aimed_passes,no_screen_attempts,no_screen_avg_depth_of_target,no_screen_avg_time_to_throw,no_screen_bats,no_screen_big_time_throws,no_screen_btt_rate,no_screen_completion_percent,no_screen_completions,no_screen_def_gen_pressures,no_screen_drop_rate,no_screen_dropbacks,no_screen_dropbacks_percent,no_screen_drops,no_screen_first_downs,no_screen_grades_hands_fumble,no_screen_grades_offense,no_screen_grades_offense_penalty,no_screen_grades_pass,no_screen_grades_run,no_screen_hit_as_threw,no_screen_interceptions,no_screen_passing_snaps,no_screen_pressure_to_sack_rate,no_screen_qb_rating,no_screen_sack_percent,no_screen_sacks,no_screen_scrambles,no_screen_spikes,no_screen_thrown_aways,no_screen_touchdowns,no_screen_turnover_worthy_plays,no_screen_twp_rate,no_screen_yards,no_screen_ypa,npa_accuracy_percent,npa_aimed_passes,npa_attempts,npa_avg_depth_of_target,npa_avg_time_to_throw,npa_bats,npa_big_time_throws,npa_btt_rate,npa_completion_percent,npa_completions,npa_def_gen_pressures,npa_drop_rate,npa_dropbacks,npa_dropbacks_percent,npa_drops,npa_first_downs,npa_grades_hands_fumble,npa_grades_offense,npa_grades_offense_penalty,npa_grades_pass,npa_grades_run,npa_hit_as_threw,npa_interceptions,npa_passing_snaps,npa_pressure_to_sack_rate,npa_qb_rating,npa_sack_percent,npa_sacks,npa_scrambles,npa_spikes,npa_thrown_aways,npa_touchdowns,npa_turnover_worthy_plays,npa_twp_rate,npa_yards,npa_ypa,pa_accuracy_percent,pa_aimed_passes,pa_attempts,pa_avg_depth_of_target,pa_avg_time_to_throw,pa_bats,pa_big_time_throws,pa_btt_rate,pa_completion_percent,pa_completions,pa_def_gen_pressures,pa_drop_rate,pa_dropbacks,pa_dropbacks_percent,pa_drops,pa_first_downs,pa_grades_hands_fumble,pa_grades_offense,pa_grades_offense_penalty,pa_grades_pass,pa_grades_run,pa_hit_as_threw,pa_interceptions,pa_passing_snaps,pa_pressure_to_sack_rate,pa_qb_rating,pa_sack_percent,pa_sacks,pa_scrambles,pa_spikes,pa_thrown_aways,pa_touchdowns,pa_turnover_worthy_plays,pa_twp_rate,pa_yards,pa_ypa,penalties,screen_accuracy_percent,screen_aimed_passes,screen_attempts,screen_avg_depth_of_target,screen_avg_time_to_throw,screen_bats,screen_big_time_throws,screen_btt_rate,screen_completion_percent,screen_completions,screen_def_gen_pressures,screen_drop_rate,screen_dropbacks,screen_dropbacks_percent,screen_drops,screen_first_downs,screen_grades_hands_fumble,screen_grades_offense,screen_grades_offense_penalty,screen_grades_pass,screen_grades_run,screen_hit_as_threw,screen_interceptions,screen_passing_snaps,screen_pressure_to_sack_rate,screen_qb_rating,screen_sack_percent,screen_sacks,screen_scrambles,screen_spikes,screen_thrown_aways,screen_touchdowns,screen_turnover_worthy_plays,screen_twp_rate,screen_yards,screen_ypa,ypa_diff
Joe Burrow,28022,QB,CIN,1,-35.33,0,33,7,56.0,25,28,9.6,2.43,0,0,0.0,39.3,11,12,21.4,30,90.9,3,3,78.0,41.5,0.0,43.9,60.0,2,0,32,16.7,47.3,6.7,2,0,0,1,0,0,0.0,68,2.4,62.5,24,25,7.7,2.3,0,0,0.0,52.0,13,8,13.3,27,81.8,2,2,77.4,42.5,0.0,44.9,60.0,1,0,29,25.0,57.9,7.4,2,0,0,0,0,0,0.0,72,2.9,50.0,4,6,11.8,2.42,0,0,0.0,16.7,1,4,50.0,6,18.2,1,1,68.9,55.2,70.6,55.5,,1,0,6,0.0,39.6,0.0,0,0,0,1,0,0,0.0,10,1.7,0,100.0,3,3,-3.3,1.27,0,0,0.0,100.0,3,0,0.0,3,9.1,0,0,65.5,63.6,68.2,63.1,,0,0,3,,86.1,0.0,0,0,0,0,0,0,0.0,14,4.7,-1.21
Lamar Jackson,46416,QB,BLT,1,16.07,0,30,3,85.7,14,15,8.6,3.43,0,1,5.3,73.3,11,11,8.3,22,73.3,1,8,26.0,72.4,78.5,74.5,58.5,1,1,26,27.3,74.6,13.6,3,4,0,0,0,2,7.7,141,9.4,83.3,12,14,7.0,2.88,0,1,6.3,71.4,10,9,0.0,17,56.7,0,6,75.9,72.2,78.0,70.0,65.1,1,1,19,22.2,66.4,11.8,2,1,0,1,0,1,5.3,116,8.3,100.0,8,8,2.3,2.87,0,0,0.0,87.5,7,3,12.5,13,43.3,1,4,13.0,48.7,73.7,52.5,52.4,0,0,15,66.7,94.3,15.4,2,3,0,0,0,2,13.3,53,6.6,0,100.0,6,7,-3.0,1.35,0,0,0.0,85.7,6,1,0.0,8,26.7,0,2,15.5,32.8,71.5,34.6,,0,0,8,100.0,83.3,12.5,1,0,0,1,0,1,12.5,28,4.0,-1.66
Jordan Love,40306,QB,GB,1,-25.66,0,30,12,56.5,23,23,13.0,2.85,0,0,0.0,52.2,12,6,7.7,26,86.7,1,8,25.3,61.6,78.2,58.4,67.5,0,0,26,16.7,117.2,3.8,1,2,0,0,3,1,3.8,177,7.7,63.2,19,19,9.9,2.7,0,0,0.0,63.2,12,3,0.0,22,73.3,0,8,76.0,70.8,77.9,67.5,67.5,0,0,22,33.3,128.3,4.5,1,2,0,0,3,0,0.0,155,8.2,62.5,8,8,12.4,3.08,0,0,0.0,37.5,3,3,40.0,8,26.7,2,2,17.4,42.9,71.5,44.3,,0,0,8,0.0,80.2,0.0,0,0,0,0,0,1,12.5,90,11.3,0,100.0,4,4,-3.0,2.45,0,0,0.0,75.0,3,0,25.0,4,13.3,1,2,66.9,64.3,69.2,63.8,,0,0,4,,116.7,0.0,0,0,0,0,0,0,0.0,68,17.0,3.09
Geno Smith,7820,QB,SEA,1,22.86,0,29,29,78.9,19,23,7.8,2.94,0,0,0.0,56.5,13,13,13.3,26,89.7,2,6,77.4,58.2,77.8,58.5,58.3,1,0,30,15.4,84.1,7.7,2,1,0,3,1,0,0.0,113,4.9,82.4,17,21,8.4,2.68,0,0,0.0,57.1,12,10,14.3,23,79.3,2,6,76.6,61.5,77.5,60.7,,1,0,26,20.0,84.0,8.7,2,0,0,3,1,0,0.0,93,4.4,80.0,5,5,-1.4,3.07,0,0,0.0,80.0,4,3,0.0,6,20.7,0,1,69.6,53.6,71.2,56.4,58.3,0,0,7,0.0,82.5,0.0,0,1,0,0,0,0,0.0,19,3.8,0,100.0,3,3,-4.3,1.23,0,0,0.0,100.0,3,0,0.0,3,10.3,0,1,65.5,63.7,68.2,63.3,,0,0,3,,79.2,0.0,0,0,0,0,0,0,0.0,-1,-0.3,-0.63
Jimmy Garoppolo,8697,QB,LV,1,-7.52,0,29,23,79.2,24,24,8.6,3.03,0,1,3.7,75.0,18,4,5.3,27,93.1,1,13,28.2,81.2,78.5,85.9,51.6,0,1,30,0.0,108.2,0.0,0,3,0,0,2,0,0.0,191,8.0,84.2,19,19,7.1,2.71,0,1,5.0,78.9,15,3,6.3,21,72.4,1,10,26.3,88.7,77.9,91.7,52.9,0,1,22,0.0,108.8,0.0,0,2,0,0,2,0,0.0,132,6.9,71.4,7,7,9.9,3.38,0,0,0.0,71.4,5,1,0.0,8,27.6,0,3,71.4,56.5,72.3,58.1,58.3,0,0,10,0.0,102.1,0.0,0,1,0,0,0,0,0.0,68,9.7,0,100.0,2,2,-2.0,1.15,0,0,0.0,100.0,2,0,0.0,2,6.9,0,0,63.6,62.4,66.9,62.1,,0,0,2,,85.4,0.0,0,0,0,0,0,0,0.0,9,4.5,2.76
Dak Prescott,10769,QB,DAL,1,10.0,0,24,9,73.7,19,21,9.4,2.24,1,1,4.2,52.4,11,5,21.4,21,87.5,3,7,76.4,72.6,77.9,70.3,62.8,1,0,24,0.0,70.9,0.0,0,0,0,0,0,0,0.0,127,6.0,76.9,13,14,8.9,1.97,0,1,6.7,50.0,7,2,30.0,14,58.3,3,5,74.0,78.6,77.2,76.0,62.8,1,0,15,0.0,69.0,0.0,0,0,0,0,0,0,0.0,85,6.1,77.8,9,10,6.3,2.32,1,0,0.0,60.0,6,3,14.3,10,41.7,1,3,72.4,58.4,72.9,58.4,,0,0,12,0.0,76.3,0.0,0,0,0,0,0,0,0.0,58,5.8,0,100.0,3,3,-1.7,1.27,0,0,0.0,66.7,2,0,33.3,3,12.5,1,1,65.5,63.5,68.2,63.1,,0,0,3,,79.9,0.0,0,0,0,0,0,0,0.0,16,5.3,-0.27
Zach Wilson,82096,QB,NYJ,1,-20.59,0,24,22,85.7,14,17,6.6,3.24,0,0,0.0,64.7,11,10,8.3,20,83.3,1,5,76.2,51.4,77.7,48.3,63.1,1,1,20,20.0,75.1,10.0,2,1,0,2,1,1,5.0,98,5.8,92.9,14,17,5.5,3.16,0,0,0.0,70.6,12,9,7.7,20,83.3,1,7,76.2,53.5,77.7,50.4,63.1,1,1,20,22.2,88.1,10.0,2,1,0,2,1,1,5.0,131,7.7,66.7,3,4,0.7,3.75,0,0,0.0,50.0,2,2,0.0,4,16.7,0,0,66.9,54.3,69.2,54.7,,0,0,4,0.0,56.3,0.0,0,0,0,1,0,0,0.0,9,2.3,0,100.0,3,4,-4.3,3.38,0,0,0.0,75.0,3,1,0.0,4,16.7,0,2,66.9,61.3,69.2,61.1,,0,0,4,0.0,108.3,0.0,0,0,0,1,0,0,0.0,42,10.5,-5.46
Desmond Ridder,55086,QB,ATL,1,-4.62,0,22,2,91.7,12,13,6.3,2.94,0,0,0.0,76.9,10,5,9.1,17,77.3,1,5,23.2,49.4,77.8,48.9,57.9,0,0,19,80.0,92.5,23.5,4,0,0,1,0,1,5.3,82,6.3,100.0,12,13,0.1,2.56,0,0,0.0,84.6,11,4,8.3,16,72.7,1,4,22.5,57.9,77.7,56.5,60.0,0,0,17,75.0,85.6,18.8,3,0,0,1,0,1,5.9,59,4.5,80.0,5,5,10.8,2.8,0,0,0.0,80.0,4,1,0.0,6,27.3,0,2,69.6,46.8,71.1,48.9,58.3,0,0,7,100.0,152.9,16.7,1,0,0,0,1,0,0.0,56,11.2,0,100.0,5,5,-4.2,1.58,0,0,0.0,100.0,5,0,0.0,5,22.7,0,1,68.0,64.5,69.9,64.1,,0,0,5,,133.8,0.0,0,0,0,0,1,0,0.0,33,6.6,6.66
Aaron Rodgers,2241,QB,NYJ,1,0.0,0,2,22,,0,1,,4.15,0,0,0.0,0.0,0,2,,2,100.0,0,0,65.5,39.4,69.2,41.1,,0,0,3,50.0,39.6,50.0,1,0,0,1,0,0,0.0,0,0.0,,0,1,,4.15,0,0,0.0,0.0,0,2,,2,100.0,0,0,65.5,39.4,69.2,41.1,,0,0,3,50.0,39.6,50.0,1,0,0,1,0,0,0.0,0,0.0,,0,0,,,0,0,,,0,0,,0,0.0,0,0,,,,,,0,0,0,,0.0,,0,0,0,0,0,0,,0,,0,,0,0,,,0,0,,,0,0,,0,0.0,0,0,,,,,,0,0,0,,0.0,,0,0,0,0,0,0,,0,,0.0
Tyrod Taylor,6332,QB,NYG,1,-100.0,0,2,21,,0,0,,,0,0,,,0,0,,0,0.0,0,0,60.4,56.5,64.6,,58.3,0,0,1,,0.0,,0,0,0,0,0,0,0.0,0,,100.0,2,2,-5.5,1.85,0,0,0.0,100.0,2,1,0.0,2,100.0,0,0,65.5,58.6,68.2,62.1,58.3,0,0,3,0.0,79.2,0.0,0,0,0,0,0,0,0.0,6,3.0,,0,0,,,0,0,,,0,0,,0,0.0,0,0,,,,,,0,0,0,,0.0,,0,0,0,0,0,0,,0,,0,100.0,2,2,-5.5,1.85,0,0,0.0,100.0,2,1,0.0,2,100.0,0,0,63.6,62.4,66.9,62.1,,0,0,2,0.0,79.2,0.0,0,0,0,0,0,0,0.0,6,3.0,-3.0
Gardner Minshew,41401,QB,IND,1,0.0,0,2,14,0.0,2,2,4.0,3.45,0,0,0.0,0.0,0,1,,2,100.0,0,0,63.6,44.3,68.2,45.5,,0,0,2,0.0,39.6,0.0,0,0,0,0,0,0,0.0,0,0.0,0.0,2,2,4.0,3.45,0,0,0.0,0.0,0,1,,2,100.0,0,0,63.6,44.3,68.2,45.5,,0,0,2,0.0,39.6,0.0,0,0,0,0,0,0,0.0,0,0.0,,0,0,,,0,0,,,0,0,,0,0.0,0,0,,,,,,0,0,0,,0.0,,0,0,0,0,0,0,,0,,0,,0,0,,,0,0,,,0,0,,0,0.0,0,0,,,,,,0,0,0,,0.0,,0,0,0,0,0,0,,0,,0.0
Jake Browning,46401,QB,CIN,1,0.0,0,1,7,0.0,1,1,15.0,2.2,0,0,0.0,0.0,0,1,,1,100.0,0,0,64.5,55.2,69.2,55.1,60.0,0,0,1,0.0,39.6,0.0,0,0,0,0,0,0,0.0,0,0.0,0.0,1,1,15.0,2.2,0,0,0.0,0.0,0,1,,1,100.0,0,0,64.5,55.2,69.2,55.1,60.0,0,0,1,0.0,39.6,0.0,0,0,0,0,0,0,0.0,0,0.0,,0,0,,,0,0,,,0,0,,0,0.0,0,0,,,,,,0,0,0,,0.0,,0,0,0,0,0,0,,0,,0,,0,0,,,0,0,,,0,0,,0,0.0,0,0,,,,,,0,0,0,,0.0,,0,0,0,0,0,0,,0,,0.0
Cooper Rush,12324,QB,DAL,1,0.0,0,1,9,0.0,1,1,10.0,1.4,0,0,0.0,0.0,0,0,,1,100.0,0,0,60.4,48.7,71.1,49.5,,0,0,1,,39.6,0.0,0,0,0,0,0,0,0.0,0,0.0,0.0,1,1,10.0,1.4,0,0,0.0,0.0,0,0,,1,100.0,0,0,60.4,48.7,71.1,49.5,,0,0,1,,39.6,0.0,0,0,0,0,0,0,0.0,0,0.0,,0,0,,,0,0,,,0,0,,0,0.0,0,0,,,,,,0,0,0,,0.0,,0,0,0,0,0,0,,0,,0,,0,0,,,0,0,,,0,0,,0,0.0,0,0,,,,,,0,0,0,,0.0,,0,0,0,0,0,0,,0,,0.0
