datagolf_name,dk_name,sample_size,dk_id,dk_salary,std_dev,tee_time,early_late_wave,scoring_points,finish_points,manual_bump,total_points,value,max_exposure,projected_ownership,lineup_rule
"Ramey, Chad","Chad Ramey",150,28078789,6300,26.897,N/A,0,48.3,1.6,0,49.9,0.09,100,5,
"Donald, Luke","Luke Donald",150,28078797,6200,24.519,N/A,0,41.6,0.9,0,42.5,-0.29,100,5,
"Van Rooyen, Erik","Erik Van Rooyen",150,28078790,6200,24.341,N/A,0,40.9,0.8,0,41.7,-0.33,100,5,
"Johnson, Zach","Zach Johnson",150,28078796,6200,26.755,N/A,0,48.5,1.7,0,50.2,0.17,100,5,
"Duncan, Tyler","Tyler Duncan",150,28078793,6200,27.170,N/A,0,48.8,1.6,0,50.4,0.19,100,5,
"Tarren, Callum","Callum Tarren",150,28078794,6200,25.422,N/A,0,43.7,1,0,44.8,-0.17,100,5,
"Lipsky, David","David Lipsky",150,28078792,6200,26.916,N/A,0,48.6,1.6,0,50.2,0.17,100,5,
"Taylor, Ben","Ben Taylor",150,28078795,6200,26.397,N/A,0,47,1.4,0,48.4,0.02,100,5,
"Lingmerth, David","David Lingmerth",150,28078791,6200,26.641,N/A,0,47.5,1.5,0,49,0.07,100,5,
"Kisner, Kevin","Kevin Kisner",150,28078801,6100,22.849,N/A,0,38,0.6,0,38.6,-0.46,100,5,
"Merritt, Troy","Troy Merritt",150,28078805,6100,25.377,N/A,0,43.9,1.1,0,45,-0.13,100,5,
"Hammer, Cole","Cole Hammer",150,28078804,6100,24.462,N/A,0,41.3,0.9,0,42.2,-0.27,100,5,
"Blair, Zac","Zac Blair",150,28078806,6100,26.861,N/A,0,47.5,1.5,0,49.1,0.13,100,5,
"Higgs, Harry","Harry Higgs",150,28078798,6100,25.285,N/A,0,42.6,1,0,43.6,-0.2,100,5,
"Malnati, Peter","Peter Malnati",150,28078799,6100,25.319,N/A,0,43.7,1.1,0,44.8,-0.14,100,5,
"Werenski, Richy","Richy Werenski",150,28078802,6100,24.455,N/A,0,41.3,0.8,0,42.2,-0.27,100,5,
"Lower, Justin","Justin Lower",150,28078800,6100,25.365,N/A,0,45.1,1.2,0,46.3,-0.06,100,5,
"Knox, Russell","Russell Knox",150,28078803,6100,23.611,N/A,0,40.1,0.8,0,40.9,-0.34,100,5,
"Alexander, Tyson","Tyson Alexander",150,28078812,6000,22.734,N/A,0,38.1,0.6,0,38.7,-0.42,100,5,
"Haley II, Paul","Paul Haley",150,28078814,6000,24.189,N/A,0,41,0.8,0,41.8,-0.26,100,5,
"Frittelli, Dylan","Dylan Frittelli",150,28078808,6000,22.093,N/A,0,36.7,0.5,0,37.2,-0.5,100,5,
"Hickok, Kramer","Kramer Hickok",150,28078807,6000,25.523,N/A,0,45.2,1.2,0,46.4,-0.02,100,5,
"Endycott, Harrison","Harrison Endycott",150,28078809,6000,24.691,N/A,0,41.7,0.9,0,42.6,-0.22,100,5,
"Westmoreland, Kyle","Kyle Westmoreland",150,28078815,6000,21.580,N/A,0,35.9,0.4,0,36.4,-0.54,100,5,
"Gribble, Cody","Cody Gribble",150,28078810,6000,23.158,N/A,0,38.2,0.7,0,38.9,-0.41,100,5,
"Compton, Erik","Erik Compton",150,28078813,6000,24.202,N/A,0,40.3,0.8,0,41.1,-0.29,100,5,
"Sabbatini, Rory","Rory Sabbatini",150,28078811,6000,22.834,N/A,0,38.1,0.6,0,38.6,-0.42,100,5,
