"","Name","ID","Salary","AvgPointsPerGame","fpts","proj_own","ceil","floor","scoring_points","finish_points","total_points","value","projected_ownership","sg_putt_pred","sg_putt_rank","sg_arg_pred","sg_arg_rank","sg_app_pred","sg_app_rank","sg_ott_pred","sg_ott_rank","sg_total_pred","sg_total_rank","distance_pred","distance_rank","accuracy_pred","accuracy_rank","baseline","age","age_adj","true_sg_adj","timing_adj","sg_category_adj","course_history_adj","driving_dist_adj","driving_acc_adj","fit_other_adj","course_fit_total_adj","final_prediction","make_cut","top_20","top_10","top_5","win","odds_per_dollar","residuals","proj_own_avg","course_fit","own_change","adj_own","one","date","tournament"
"34","Davis Riley",28078729,7400,50.55,56.48,4.9,82.5,25.5,52.1,2,54.2,-0.09,5,-0.033,208,-0.119,276,0.309,57,0.133,101,0.29,99,7.399,79,-0.001,190,0.139,26,0.022,0.027,0.012,0.089,0.019,-0.113,0,-0.002,-0.114,0.194,0.994,0.9986,0.9994,0.9997,1,135.14,0.04,4.96,-0.52,-2.32,5,1,2023-05-25,"2023-05-25 Charles Schwab"
"35","Thomas Detry",28078730,7400,69.63,62.54,6.5,86,27,54.4,2.4,56.8,0.07,5,0.32,34,0.028,152,0.094,114,0.082,121,0.524,76,10.02,50,-0.012,234,0.445,30,0.008,0.055,0,0.015,-0.054,-0.153,0.002,0.039,-0.112,0.358,0.9937,0.9983,0.9993,0.9997,1,135.14,0.04,5.6,0.24,1.1,5,1,2023-05-25,"2023-05-25 Charles Schwab"
"36","Billy Horschel",28078731,7400,49.62,54.74,0.84,80.5,25.5,51.9,2.2,54.1,-0.1,5,0.234,55,0.171,52,-0.122,191,-0.137,199,0.146,123,-1.879,237,0.023,116,0.247,36,-0.013,-0.044,-0.02,-0.023,0.015,0.03,-0.004,0.035,0.062,0.223,0.994,0.9986,0.9994,0.9998,1,135.14,0.04,3.34,0.56,2.54,5,1,2023-05-25,"2023-05-25 Charles Schwab"
"37","Maverick McNealy",28078732,7300,56.69,48.67,2.6,75,24,50.8,2,52.8,-0.13,5,0.626,1,0.167,54,-0.258,241,-0.499,323,0.036,137,2.806,157,-0.034,303,0.274,27,0.019,0.024,-0.052,-0.228,0.07,-0.042,0.006,0.069,0.033,0.14,0.9942,0.9987,0.9995,0.9998,1,136.99,0.03,4.04,0.59,2.67,5,1,2023-05-25,"2023-05-25 Charles Schwab"
"38","Beau Hossler",28078734,7300,59.6,53.13,5.3,79,25,58.8,3.3,62.1,0.56,5,0.439,15,0.242,26,-0.129,196,0.221,79,0.773,51,7.647,76,-0.025,281,0.605,28,0.016,0.01,0.003,0.138,0.023,-0.117,0.004,0.062,-0.05,0.746,0.993,0.9975,0.9987,0.9994,0.9999,136.97,0.01,5.12,0.85,3.83,10,1,2023-05-25,"2023-05-25 Charles Schwab"
"39","Hayden Buckley",28078735,7300,65.12,62.85,6.4,86,27,57.8,3.1,60.9,0.46,5,-0.011,187,-0.182,329,0.339,51,0.664,9,0.809,48,5.298,108,0.065,24,0.719,27,0.02,-0.001,0.005,0.066,-0.044,-0.08,-0.011,-0.005,-0.096,0.669,0.9932,0.9977,0.9989,0.9995,0.9999,136.97,0.01,5.56,-0.23,-1.03,5,1,2023-05-25,"2023-05-25 Charles Schwab"
"40","J.T. Poston",28078736,7200,56.76,64.27,7.5,87,28,59.8,3.5,63.3,0.72,5,0.221,58,0.12,70,0.211,80,0.138,98,0.69,59,-1.621,230,0.019,126,0.668,29,0.01,-0.022,-0.002,0.036,0.054,0.026,-0.003,0.047,0.07,0.814,0.9929,0.9974,0.9987,0.9994,0.9999,138.88,0.01,6,0.68,3.07,10,1,2023-05-25,"2023-05-25 Charles Schwab"
"41","Ryan Palmer",28078737,7200,50.97,62.41,4.3,85,27.5,55.3,2.7,58,0.27,5,-0.289,374,-0.06,221,0.31,55,0.33,53,0.291,98,2.34,162,0.006,166,0.212,46,-0.05,0.013,0.01,0.107,0.225,-0.035,-0.001,-0.022,-0.057,0.459,0.9936,0.9981,0.9991,0.9996,0.9999,138.88,0.01,4.72,-0.67,-3.01,0,1,2023-05-25,"2023-05-25 Charles Schwab"
"42","Eric Cole",28078738,7200,59.24,60.86,9.2,76.32,25.3,56.4,2.9,59.2,0.38,5,0.153,81,0.182,46,0.218,78,-0.05,169,0.503,77,-1.845,234,-0.049,345,0.608,34,-0.008,0.02,-0.033,-0.084,-0.054,0.03,0.009,0.048,0.086,0.535,0.9934,0.998,0.9991,0.9996,0.9999,138.88,0.01,6.68,0.32,1.45,10,1,2023-05-25,"2023-05-25 Charles Schwab"
"43","Nick Taylor",28078739,7200,63.59,66.29,7.1,89,28.5,59.6,3.5,63.1,0.7,5,0.269,43,0.185,44,0.19,85,0.027,137,0.671,60,-5.195,304,0.016,144,0.772,35,-0.009,-0.006,0.024,-0.11,0.065,0.082,-0.003,0.059,0.138,0.874,0.9929,0.9973,0.9986,0.9993,0.9999,138.88,0.01,5.84,0.91,4.1,10,1,2023-05-25,"2023-05-25 Charles Schwab"
"44","Seonghyeon Kim",28078740,7200,62.67,58.98,3.4,84,26.5,53.4,2.3,55.7,0.08,5,0.12,100,0.094,84,-0.122,190,0.318,57,0.411,88,6.412,96,-0.02,262,0.199,24,0.029,0.054,-0.003,0.132,-0.054,-0.098,0.004,0.014,-0.081,0.277,0.9939,0.9984,0.9993,0.9997,1,138.89,0.02,4.36,-0.12,-0.53,5,1,2023-05-25,"2023-05-25 Charles Schwab"
"45","Justin Suh",28078741,7100,57.58,53.28,8.4,79.5,25,50.9,1.9,52.9,-0.06,5,0.292,41,-0.235,363,-0.071,175,0.123,104,0.109,127,-1.003,217,0.025,110,0.199,25,0.024,0.019,0.037,-0.17,-0.054,0.017,-0.004,0.003,0.015,0.07,0.9943,0.9988,0.9995,0.9998,1,140.85,0.02,6.36,-0.77,-3.46,5,1,2023-05-25,"2023-05-25 Charles Schwab"
"46","Andrew Putnam",28078742,7100,61.4,53.37,4,79.35,25,58.5,3.4,61.9,0.65,5,0.372,27,0.17,53,0.242,71,-0.326,271,0.457,84,-12.46,381,0.064,26,0.604,34,-0.006,-0.043,0.009,-0.106,0.083,0.194,-0.011,0.072,0.255,0.796,0.9929,0.9975,0.9988,0.9994,0.9999,140.83,0,4.6,1.35,6.08,10,1,2023-05-25,"2023-05-25 Charles Schwab"
"47","Joseph Bramlett",28078743,7100,63.82,61.77,7.1,85.5,27,53.4,2.4,55.8,0.15,5,-0.218,332,0.084,97,0.38,41,0.362,46,0.607,68,15.558,14,-0.057,364,0.449,35,-0.009,0.027,-0.025,0.165,-0.045,-0.239,0.01,0.002,-0.227,0.335,0.9938,0.9984,0.9993,0.9997,1,140.85,0.02,5.84,-0.3,-1.34,5,1,2023-05-25,"2023-05-25 Charles Schwab"
"48","Matthew NeSmith",28078745,7100,54.56,61.72,5,85.5,27,53.8,2.4,56.2,0.18,5,-0.001,179,0.008,167,0.228,74,0.09,116,0.325,96,-2.851,254,0.041,71,0.359,29,0.011,-0.019,-0.018,-0.009,-0.017,0.045,-0.007,0.013,0.051,0.359,0.9938,0.9983,0.9993,0.9997,1,140.85,0.02,5,0.12,0.55,5,1,2023-05-25,"2023-05-25 Charles Schwab"
"49","Will Gordon",28078746,7000,65.95,57.4,4.9,82,26,50.4,1.9,52.3,-0.06,5,0.004,173,-0.191,337,0.159,98,0.317,59,0.289,100,14.387,20,-0.002,191,0.164,26,0.021,0.034,-0.01,0.079,-0.058,-0.221,0,-0.015,-0.236,-0.005,0.9945,0.9989,0.9995,0.9998,1,142.86,0.01,4.96,-0.84,-3.78,0,1,2023-05-25,"2023-05-25 Charles Schwab"
