"","Name","ID","Salary","AvgPointsPerGame","odds_open","odds_close","odds_rank","odds_delta","odds_delta_per","fpts","proj_own","ceil","floor","make_cut","first_round_lead","top_30","top_20","top_10","top_5","top_3","win","observed_finish","odds_per_dollar","ownership","total_pts","date","tournament"
"68","Matthew NeSmith",22991981,6900,57.74,0.0046,0.004,64,-6e-04,-0.1304,43.69,2,66.5,21,0.5325,0.0084,0.2298,0.1406,0.0602,0.0257,0.0136,0.0035,37,0.58,0.0132,44.5,"2022-06-19","US Open"
"69","Andrew Putnam",22991982,6900,51.48,0.0022,0.0019,94,-3e-04,-0.1364,38.57,0.36,62,19.15,0.4276,0.0049,0.1384,0.0754,0.0272,0.0106,0.0052,0.0012,31,0.28,0.0014,47.5,"2022-06-19","US Open"
"70","Francesco Molinari",22991983,6900,55.25,0.0029,0.0033,66,4e-04,0.1379,41.8,5.5,65,20,0.4718,0.0057,0.1782,0.1047,0.0432,0.0171,0.0092,0.0025,100,0.48,0.0282,18,"2022-06-19","US Open"
"71","Kevin Kisner",22991984,6900,55.17,0.0042,0.0032,68,-0.001,-0.2381,40.42,0.95,64,19.5,0.4538,0.0062,0.1595,0.0938,0.0368,0.0146,0.0074,0.0019,100,0.46,0.0183,23,"2022-06-19","US Open"
"72","Mackenzie Hughes",22991985,6800,57.03,0.0046,0.0042,59,-4e-04,-0.087,38.42,2.1,62,19,0.4935,0.0066,0.1924,0.1145,0.0461,0.0184,0.0094,0.0022,24,0.62,0.0172,57.5,"2022-06-19","US Open"
"73","Scott Stallings",22991986,6800,55.39,0.0046,0.004,64,-6e-04,-0.1304,41.58,1.4,65.5,20,0.4907,0.0069,0.1901,0.1153,0.0462,0.0184,0.0097,0.0024,100,0.59,0.0101,15,"2022-06-19","US Open"
"74","Victor Perez",22991987,6800,65.1,0.0046,0.0024,81,-0.0022,-0.4783,43.5,0.84,66,20.5,0.4457,0.0054,0.1546,0.0871,0.0337,0.0133,0.0066,0.0016,100,0.35,0.0206,15.5,"2022-06-19","US Open"
"75","Adri Arnaus",22991988,6800,74.08,0.0055,0.0048,56,-7e-04,-0.1273,44.12,1.2,67.5,20.5,0.4876,0.0046,0.2044,0.1251,0.0562,0.0227,0.0117,0.003,100,0.71,0.035,21.5,"2022-06-19","US Open"
"76","Wyndham Clark",22991989,6800,55.67,0.0037,0.0033,66,-4e-04,-0.1081,36.62,1.1,61,19,0.4867,0.0056,0.1857,0.1101,0.044,0.0174,0.0091,0.0022,100,0.49,0.0186,17,"2022-06-19","US Open"
"77","Lucas Herbert",22991990,6800,54.43,0.0055,0.0048,56,-7e-04,-0.1273,38.82,3.1,63,19.5,0.4998,0.0043,0.2158,0.134,0.0579,0.0243,0.013,0.0032,100,0.71,0.015,16,"2022-06-19","US Open"
"78","Nick Taylor",22991991,6800,55.43,0.0035,0.0032,68,-3e-04,-0.0857,43.52,0.32,66.5,20.5,0.4386,0.0027,0.1564,0.0867,0.0328,0.0126,0.0064,0.0014,100,0.47,0.0028,19,"2022-06-19","US Open"
"79","Sebastian Soderberg",22991992,6700,51.81,NA,NA,105,NA,NA,32.6,0.15,57,17.5,0.2622,0.0011,0.0494,0.0237,0.0066,0.0021,8e-04,1e-04,53,NA,0.001,40.5,"2022-06-19","US Open"
"80","Danny Lee",22991993,6700,50.28,0.0022,0.0021,84,-1e-04,-0.0455,37.79,0.88,62,19,0.4009,0.0024,0.1308,0.0728,0.0274,0.0101,0.0051,0.0012,100,0.31,0.0062,13,"2022-06-19","US Open"
"81","Shaun Norris",22991994,6700,77.36,NA,NA,106,NA,NA,37.51,0.26,61.5,19,0.2951,0.0014,0.0656,0.0318,0.01,0.0032,0.0014,4e-04,100,NA,0.004,21,"2022-06-19","US Open"
"82","Callum Tarren",22991995,6700,52.44,NA,NA,107,NA,NA,35.49,0.17,59.5,18.5,0.3869,0.0031,0.1089,0.0575,0.0193,0.0066,0.0031,7e-04,31,NA,7e-04,57.5,"2022-06-19","US Open"
"83","Ryan Fox",22991996,6700,80.73,0.0038,0.0041,61,3e-04,0.0789,48.53,2.9,70.35,22,0.5282,0.0044,0.2426,0.152,0.0684,0.0299,0.0166,0.0044,100,0.61,0.0526,22.5,"2022-06-19","US Open"
"84","Kurt Kitayama",22991997,6700,51.82,0.0022,0.0023,82,9.99999999999998e-05,0.0455,45.24,1.9,68.5,21,0.4666,0.0055,0.1728,0.1022,0.0408,0.0158,0.0086,0.0024,100,0.34,0.0096,17,"2022-06-19","US Open"
"85","Stewart Cink",22991998,6700,51.88,0.0035,0.0031,74,-4e-04,-0.1143,43.16,0.91,66,20.5,0.4517,0.0063,0.1599,0.0935,0.0366,0.0162,0.0084,0.0018,100,0.46,0.0094,23,"2022-06-19","US Open"
"86","Kevin Chappell",22991999,6700,51.77,NA,NA,108,NA,NA,37.1,0.15,61,19,0.2974,0.0014,0.0686,0.0335,0.0107,0.0036,0.0016,3e-04,100,NA,0.0014,12,"2022-06-19","US Open"
"87","Denny McCarthy",23043255,6700,65.26,0.0055,0.0048,56,-7e-04,-0.1273,40.14,2.6,63,19.5,0.5444,0.0076,0.2384,0.1471,0.0622,0.0253,0.0134,0.0039,7,0.72,0.0464,68,"2022-06-19","US Open"
