"","Name","ID","Salary","AvgPointsPerGame","odds_open","odds_close","odds_rank","odds_delta","odds_delta_per","fpts","proj_own","ceil","floor","make_cut","top_20","top_10","top_5","win","odds_per_dollar","one","residuals","own_change","adj_own","total_pts"
"50","Troy Merritt",22991966,7100,65.17,NA,0.0035,72,NA,NA,43.83,0.7,67,21,0.4785,0.1122,0.0467,0.0186,0.0024,0.49,1,-0.38,NA,NA,0
"51","Lanto Griffin",22991967,7100,65,NA,0.0055,56,NA,NA,46.59,1.8,69.5,21.5,0.5025,0.1261,0.0518,0.0213,0.003,0.77,1,-0.1,NA,NA,0
"52","Adam Schenk",22991969,7100,47.48,NA,0.0035,72,NA,NA,38.28,0.45,63.5,19.5,0.4425,0.0884,0.0341,0.0135,0.0016,0.49,1,-0.38,NA,NA,0
"53","Gary Woodland",22991970,7100,52.75,0.0085,0.0056,52,-0.0029,-0.3412,51.15,3.4,74,23,0.5455,0.1603,0.0718,0.0313,0.0046,0.79,1,-0.08,1.08,4,0
"54","Erik Van Rooyen",22991971,7100,56.97,0.0042,0.0046,61,4e-04,0.0952,46.18,1.2,70,21.5,0.5074,0.1297,0.0548,0.0228,0.003,0.65,1,-0.22,0.89,2,0
"55","Thomas Pieters",22991972,7000,58.95,NA,0.0035,72,NA,NA,49.9,2.8,72.5,22.5,0.505,0.1274,0.0538,0.0228,0.003,0.5,1,-0.25,NA,NA,0
"56","Luke List",22991973,7000,58.25,NA,0.0068,47,NA,NA,51.99,6.5,74,23,0.5798,0.1887,0.087,0.038,0.0053,0.97,1,0.22,NA,NA,0
"57","Alex Noren",22991974,7000,66.76,NA,0.0068,47,NA,NA,52.58,6.4,73.5,23,0.5455,0.157,0.0679,0.0299,0.0043,0.97,1,0.22,NA,NA,0
"58","Patrick Rodgers",22991975,7000,56.55,NA,0.0035,72,NA,NA,44.98,0.97,69,21,0.495,0.1159,0.0463,0.0187,0.0025,0.5,1,-0.25,NA,NA,0
"59","Si Woo Kim",22991976,7000,66.45,0.0061,0.0068,47,0.000699999999999999,0.1148,46.79,5.7,69.5,22,0.5798,0.1873,0.086,0.0394,0.0066,0.97,1,0.22,1.86,8,0
"60","Brian Harman",22991977,7000,59.83,0.0057,0.008,41,0.0023,0.4035,52.68,5.3,74.35,23.5,0.5516,0.1592,0.0709,0.0309,0.005,1.14,1,0.39,2.54,8,0
"61","Kevin Na",22991978,7000,63.32,0.0043,0.0073,43,0.003,0.6977,46.18,2.7,69.5,21.5,0.4926,0.1247,0.0527,0.0216,0.0029,1.04,1,0.29,2.05,5,0
"62","Adam Hadwin",23043250,7000,66.47,NA,0.0055,56,NA,NA,49.66,3.4,72.5,22.5,0.5238,0.1404,0.0591,0.0247,0.0039,0.79,1,0.04,NA,NA,0
"63","Branden Grace",22991980,6900,46.22,0.0056,0.0035,72,-0.0021,-0.375,41.91,0.38,66,21,0.5,0.1221,0.0502,0.0209,0.003,0.51,1,-0.14,-1.05,0,0
"64","Matthew NeSmith",22991981,6900,57.74,NA,0.0046,61,NA,NA,46.15,2.2,69.5,21.5,0.5169,0.1344,0.0557,0.0227,0.0033,0.67,1,0.02,NA,NA,0
"65","Andrew Putnam",22991982,6900,51.48,NA,0.0022,90,NA,NA,39.51,0.39,64,20,0.4098,0.0705,0.0254,0.01,0.0013,0.32,1,-0.33,NA,NA,0
"66","Francesco Molinari",22991983,6900,55.25,0.0029,0.0035,72,6e-04,0.2069,43.91,3.5,68,21,0.4545,0.1007,0.0401,0.0164,0.0021,0.51,1,-0.14,0.49,4,0
"67","Kevin Kisner",22991984,6900,55.17,0.0042,0.0035,72,-7e-04,-0.1667,40.93,0.76,65,20.5,0.4386,0.0853,0.0326,0.0123,0.0012,0.51,1,-0.14,-0.35,0,0
"68","Mackenzie Hughes",22991985,6800,57.03,NA,0.0046,61,NA,NA,38.33,2.1,62.5,19.5,0.4739,0.1047,0.04,0.0157,0.0021,0.68,1,0.12,NA,NA,0
