"","Name","TeamAbbrev","Salary","fpts","proj_own","status","lines","totals","pass_plays","grades_offense","yprr","opponent","grades_defense","grades_pass_rush_defense","grades_coverage_defense"
"159","Dillon Bell","UGA",3300,4.49,0,"Healthy",-8.5,65,148,59.1,1.09,"TENN",44.6,24.3,33.9
"160","Tauskie Dove","MIZZ",3300,3.95,0,"Healthy",-1,40,214,52,0.7,"UK",61.3,30.7,61.9
"161","Caleb Chapman","ORE",3300,1.66,0,"Healthy",-31.5,63,7,72.5,2.14,"COL",0,36,0
"162","Maurice Bell","COL",3300,2.13,0,"Healthy",31.5,63,76,54.6,0.47,"ORE",54.7,32.8,53.2
"163","Kevin Terry","KU",3300,0.53,0,"Healthy",-1.5,63,39,58,1.11,"OKST",61,46.3,49.3
"164","Gunnar Henderson","TCU",3300,1.81,0,"Healthy",-8,69,40,72.9,3.92,"TTU",63.2,61.3,44.5
"165","Billy Kemp IV","UV",3300,7.42,2,"Healthy",7,60,78,62.4,0.85,"UNC",47.4,43.8,37.8
"166","James Bomba","IU",3300,0.69,0,"Healthy",13.5,51,34,56,0.39,"PSU",50.6,30.7,49.7
"167","Omar Manning","NEB",3300,0.59,0,"Prob Sat - Lower Body",14.5,44.5,20,65.8,1.2,"MINN",72.2,21.4,68.9
"168","Zach Marsh Wojan","UCF",3300,0.63,0,"Healthy",-3,60,64,55.3,0.66,"MEM",66.9,82.2,55.5
"169","Dominick Blaylock","UGA",3200,2.38,0,"Healthy",-8.5,65,52,71.3,3.04,"TENN",44.6,24.3,33.9
"170","Keaton Upshaw","UK",3200,0.98,0,"Healthy",1,40,71,53.7,0.88,"MIZZ",74.7,35,72.5
"171","Tae Tae Crumes","UK",3200,NA,0,"Healthy",1,40,NA,NA,NA,"MIZZ",74.7,35,72.5
"172","Brady Russell","COL",3200,6.34,1,"Healthy",31.5,63,191,48.4,0.4,"ORE",54.7,32.8,53.2
"173","Austin Smith","COL",3200,0.5,0,"out for season - Undisclosed",31.5,63,22,42.7,0.21,"ORE",54.7,32.8,53.2
"174","Austin Smith","COL",3200,0.5,0,"out for season - Ankle",31.5,63,22,42.7,0.21,"ORE",54.7,32.8,53.2
"175","Josh Cameron","BAY",3200,7.4,2,"Healthy",3.5,61.5,87,57.3,0.71,"OU",42.9,30.5,31.4
"176","Daniel Parker Jr.","OU",3200,1.68,0,"Healthy",-3.5,61.5,78,70.5,0.43,"BAY",77.6,26.5,66.8
"177","Drew Hocutt","TTU",3200,NA,0,"Healthy",8,69,5,69.3,2.2,"TCU",49.8,39,36.9
"178","Blake Nowell","TCU",3200,0.65,0,"Healthy",-8,69,40,62.4,1.77,"TTU",63.2,61.3,44.5
"179","Damien Alford","SYR",3200,5.48,0,"Healthy",4,48,174,56.4,1,"PITT",74.8,29.7,63.8
"180","Andre Greene Jr.","UNC",3200,NA,0,"Healthy",-7,60,12,50.1,0,"UV",69.6,60.1,77.8
"181","Aaron Steinfeldt","IU",3200,5.1,0,"Healthy",13.5,51,105,51.3,0.58,"PSU",50.6,30.7,49.7
"182","Theo Johnson","PSU",3200,5.32,0,"Late Nov - Elbow",-13.5,51,122,61.3,1.4,"IU",47.7,53.4,33.4
"183","Kaden Saunders","PSU",3200,0.69,0,"Healthy",-13.5,51,19,64.6,1.11,"IU",47.7,53.4,33.4
"184","Chris Hickman","NEB",3200,0.51,0,"Healthy",14.5,44.5,10,73.9,0,"MINN",72.2,21.4,68.9
"185","Jaylon Griffin","UCF",3200,0.63,0,"Healthy",-3,60,90,52,0.5,"MEM",66.9,82.2,55.5
"186","Stephen Martin","UCF",3200,2.32,0,"Healthy",-3,60,78,54,0.77,"MEM",66.9,82.2,55.5
"187","Bayne Tryon","TLSA",3200,0.63,0,"Healthy",7,56.5,37,41,0.21,"TUL",77.7,30.6,74.9
"188","Marcus Rosemy-Jacksaint","UGA",3100,6.52,0,"Healthy",-8.5,65,160,65.7,1.25,"TENN",44.6,24.3,33.9
"189","Cade Brock","UGA",3100,NA,0,"Healthy",-8.5,65,NA,NA,NA,"TENN",44.6,24.3,33.9
"190","DeMarcus Harris","UK",3100,0.89,0,"Out indefinitely - Suspension",1,40,23,69.6,3.91,"MIZZ",74.7,35,72.5
"191","Jalen Preston","TA&M",3100,0.65,0,"Healthy",-2.5,55,27,53.7,1.04,"UF",53.5,46.1,41.7
"192","Daejon Reynolds","UF",3100,0.48,0,"Healthy",2.5,55,22,59.8,3.59,"TA&M",40,35.5,46.7
"193","Jayden York","TTU",3100,NA,0,"Healthy",8,69,NA,NA,NA,"TCU",49.8,39,36.9
"194","Karter Johnson","PITT",3100,2.33,0,"Out indefinitely - Lower Body",-4,48,71,57.5,1.39,"SYR",60,44.8,69.8
"195","Justin Olson","UNC",3100,0.54,0,"Healthy",-7,60,13,53.9,0.31,"UV",69.6,60.1,77.8
"196","Clay Geary","MINN",3100,4.3,0,"Healthy",-14.5,44.5,37,70.1,2.43,"NEB",49.1,73.4,44.6
"197","Alante Brown","NEB",3100,4.74,0,"Healthy",14.5,44.5,166,58.9,1.01,"MINN",72.2,21.4,68.9
"198","Raymond Niro III","NW",3100,0.52,0,"Healthy",38,55.5,62,56.3,1,"OSU",89.7,11.5,68.4
"199","Jacob Warren","TENN",3000,2.03,0,"Healthy",8.5,65,152,58.7,0.91,"UGA",68.5,0,68.9
"200","Miles Campbell","TENN",3000,NA,0,"Healthy",8.5,65,NA,NA,NA,"UGA",68.5,0,68.9
"201","Walker Merrill","TENN",3000,1.01,0,"Healthy",8.5,65,25,69.3,4.91,"UGA",68.5,0,68.9
"202","Jimmy Calloway","TENN",3000,NA,0,"Healthy",8.5,65,18,50.6,1.43,"UGA",68.5,0,68.9
"203","Kaleb Webb","TENN",3000,NA,0,"Healthy",8.5,65,NA,NA,NA,"UGA",68.5,0,68.9
"204","Nigel Lanier","TENN",3000,NA,0,"Healthy",8.5,65,NA,NA,NA,"UGA",68.5,0,68.9
"205","Titus Rohrer","TENN",3000,NA,0,"Healthy",8.5,65,NA,NA,NA,"UGA",68.5,0,68.9
"206","Charlie Browder","TENN",3000,NA,0,"Healthy",8.5,65,NA,NA,NA,"UGA",68.5,0,68.9
"207","Grant Frerking","TENN",3000,0.54,0,"Healthy",8.5,65,7,57.4,0.57,"UGA",68.5,0,68.9
"208","Chas Nimrod","TENN",3000,NA,0,"Healthy",8.5,65,7,55.8,0,"UGA",68.5,0,68.9
"209","Michael Bittner","TENN",3000,NA,0,"Healthy",8.5,65,NA,NA,NA,"UGA",68.5,0,68.9
"210","Jack Jancek","TENN",3000,0.54,0,"Healthy",8.5,65,5,80.6,8.8,"UGA",68.5,0,68.9
"211","Hunter Salmon","TENN",3000,0.54,0,"Healthy",8.5,65,31,62.4,0.5,"UGA",68.5,0,68.9
"212","Oscar Delp","UGA",3000,0.7,0,"Healthy",-8.5,65,59,62.6,1.24,"TENN",44.6,24.3,33.9
"213","Jackson Meeks","UGA",3000,0.7,0,"Healthy",-8.5,65,39,68.1,1.76,"TENN",44.6,24.3,33.9
"214","De'Nylon Morrissette","UGA",3000,0.7,0,"Healthy",-8.5,65,39,61.6,0.92,"TENN",44.6,24.3,33.9
"215","Cole Speer","UGA",3000,0.7,0,"Healthy",-8.5,65,2,76.1,6,"TENN",44.6,24.3,33.9
