"","Name","TeamAbbrev","Salary","fpts","proj_own","status","lines","totals","grades_offense","grades_run","opponent","grades_defense","grades_run_defense","grades_tackle","designed_yards","elusive_rating","breakaway_attempts","explosive","elu_yco","first_downs","attempts","rec_yards","targets","total_touches","player_game_count"
"25","Tahj Brooks","TTU",5700,13.29,2,"Healthy",8,69,74.6,81.9,"TCU",49.8,56.3,69.7,53,77.2,0,0.1,3.2,0.3,10.9,16,2.9,13.5,8
"26","Omarion Hampton","UNC",5700,7.25,1,"Healthy",-7,60,68.3,71,"UV",69.6,58.4,82,45,48.4,0,0.2,2.4,0.3,9.9,4.5,0.6,10.5,8
"27","Montrell Johnson Jr.","UF",5600,10.06,1,"Healthy",2.5,55,74.5,78.1,"TA&M",40,25.3,54.9,56.1,60.7,0,0.2,3.1,0.3,8.8,4.4,0.9,9.6,8
"28","Rodney Hammond Jr.","PITT",5600,3.61,0,"Healthy",-4,48,74.9,73.3,"SYR",60,42.4,75.9,42,51.2,0,0.2,3.5,0.4,8,17.7,1,9,3
"29","Devon Achane","TA&M",5500,29.17,82,"Healthy",-2.5,55,76,83.5,"UF",53.5,43.4,51,95.4,63.6,0,0.2,3.1,0.3,17.8,24.4,4.9,21.9,8
"30","Josh Henderson","IU",5500,8.61,1,"Healthy",13.5,51,76.6,79.2,"PSU",50.6,25.2,27.9,29.2,105.1,0,0.2,2.9,0.3,6.9,27.9,2.5,9,8
"31","Marcus Major","OU",5400,5.36,0,"Healthy",-3.5,61.5,71.3,69.6,"BAY",77.6,67.8,47,34,25.5,0,0.1,2.1,0.2,8.3,9.7,1.2,9.5,6
"32","Kendall Milton","UGA",5300,6.61,0,"Ques Sat - Groin",-8.5,65,78.5,78.8,"TENN",44.6,49.4,54.7,47.7,59.6,0,0.2,3,0.4,7.8,7.8,0.5,8.3,6
"33","Elijah Green","UNC",5300,11.49,1,"Healthy",-7,60,72.8,78.7,"UV",69.6,58.4,82,37,137.3,0,0.1,5.3,0.3,6.3,7.3,1.3,7.7,3
"34","Brandon Thomas","MEM",5300,4.88,0,"Healthy",3,60,67.8,74.3,"UCF",56.9,53.3,58.7,33.3,43.2,0,0.1,2.3,0.3,9.6,2.7,0.7,10,7
"35","Byron Cardwell","ORE",5200,1.91,0,"Out indefinitely - Undisclosed",-31.5,63,77,78,"COL",0,0,0.6,38,80,0,0.3,4,0.5,5.5,17,2,7.5,2
"36","Jaden Nixon","OKST",5200,15.12,3,"Healthy",1.5,63,66,69.7,"KU",44.8,44.8,68.9,15.6,64.6,0,0.1,3.1,0.2,3.8,8.4,1.1,4.8,8
"37","Devin Neal","KU",5100,14.75,3,"Healthy",-1.5,63,69,73.9,"OKST",61,51.2,34.2,67.8,43.3,0,0.2,2.3,0.3,10.6,4.1,1,11.4,8
"38","Nicholas Singleton","PSU",5000,15.97,8,"Healthy",-13.5,51,70.8,74.3,"IU",47.7,57.7,32.1,75.5,64.4,0,0.1,4.1,0.2,12,5.6,1.2,12.8,8
