"Name","Team","G","AB","PA","H","1B","2B","3B","HR","R","RBI","BB","IBB","SO","HBP","SF","SH","GDP","SB","CS","AVG","playerid"
"Aaron Hicks","NYY","11","24","31","6","6","0","0","0","2","1","5","0","3","0","1","1","2","1","1",".250","5297"
"Eduardo Escobar","NYM","14","36","46","9","4","4","0","1","4","3","10","0","11","0","0","0","0","0","0",".250","6153"
"Javier Baez","DET","5","16","17","4","3","0","0","1","1","3","1","0","3","0","0","0","0","0","0",".250","12979"
"Cam Gallagher","KCR","3","8","9","2","1","1","0","0","0","1","1","0","4","0","0","0","0","0","0",".250","12981"
"Reese McGuire","CHW","6","16","18","4","3","1","0","0","1","0","2","0","4","0","0","0","0","0","0",".250","15674"
"Christian Arroyo","BOS","6","16","16","4","4","0","0","0","1","1","0","0","3","0","0","0","0","0","0",".250","16434"
"Yandy Diaz","TBR","11","28","33","7","7","0","0","0","2","1","5","0","4","0","0","0","0","0","1",".250","16578"
"Jose Siri","HOU","6","16","17","4","3","1","0","0","4","1","0","0","4","1","0","0","0","1","1",".250","17452"
"Connor Wong","BOS","2","4","5","1","1","0","0","0","0","1","0","0","1","0","1","0","0","0","0",".250","19896"
"Marcell Ozuna","ATL","15","45","48","11","4","3","0","4","5","7","2","0","8","0","1","0","2","0","0",".244","10324"
"Starling Marte","NYM","13","41","45","10","8","1","0","1","8","9","2","0","6","2","0","0","2","3","1",".244","9241"
"Trevor Story","BOS","10","33","35","8","7","1","0","0","3","3","1","0","10","1","0","0","1","0","0",".242","12564"
"Jackie Bradley Jr.","BOS","13","33","38","8","5","3","0","0","1","3","5","0","7","0","0","0","0","1","1",".242","12984"
"Corey Seager","TEX","12","33","36","8","8","0","0","0","4","5","3","1","7","0","0","0","1","0","0",".242","13624"
"Dylan Carlson","STL","11","33","38","8","6","2","0","0","5","2","2","0","4","1","2","0","1","1","0",".242","20126"
"Kyle Farmer","CIN","13","29","32","7","5","2","0","0","4","3","2","0","7","1","0","0","0","0","0",".241","14813"
"Harrison Bader","STL","12","29","30","7","4","3","0","0","4","2","0","0","6","1","0","0","0","1","0",".241","18030"
"Gavin Lux","LAD","11","29","36","7","4","1","1","1","8","3","6","0","5","0","1","0","0","2","0",".241","19955"
"Jurickson Profar","SDP","13","25","33","6","3","1","0","2","3","4","6","0","3","1","1","0","1","1","0",".240","10815"
"Anthony Santander","BAL","14","25","35","6","3","2","0","1","2","2","8","1","6","2","0","0","0","0","1",".240","14551"
"Ian Happ","CHC","10","25","31","6","4","2","0","0","4","4","5","0","8","1","0","0","0","0","0",".240","17919"
"Gio Urshela","MIN","9","21","24","5","5","0","0","0","3","1","3","0","3","0","0","0","2","0","0",".238","10681"
"Elias Diaz","COL","9","21","22","5","3","1","0","1","3","4","1","0","3","0","0","0","1","0","0",".238","11680"
"Bryce Harper","PHI","13","38","42","9","4","3","0","2","8","6","3","0","11","0","1","0","4","0","0",".237","11579"
"Anthony Rizzo","NYY","13","34","45","8","4","1","0","3","5","8","7","1","7","4","0","0","0","2","0",".235","3473"
"Brandon Belt","SFG","12","34","40","8","4","1","0","3","7","5","6","0","8","0","0","0","1","0","0",".235","10264"
"Adam Engel","CHW","9","17","19","4","4","0","0","0","2","0","2","0","4","0","0","0","0","2","0",".235","15082"
"Josh Lowe","TBR","12","34","37","8","5","1","2","0","6","3","3","1","14","0","0","0","0","1","0",".235","19953"
"Santiago Espinal","TOR","14","34","38","8","5","2","0","1","4","5","2","0","7","1","1","0","1","2","0",".235","19997"
"Ben Gamel","PIT","13","30","35","7","5","1","0","1","6","5","5","0","8","0","0","0","0","0","0",".233","12160"
"Oscar Mercado","CLE","10","30","30","7","2","1","1","3","4","10","0","0","6","0","0","0","2","0","0",".233","16375"
"Alejandro Kirk","TOR","11","30","36","7","7","0","0","0","1","1","5","0","3","0","1","0","2","0","0",".233","22581"
"Nelson Cruz","WSN","13","43","46","10","8","0","0","2","5","9","3","0","7","0","0","0","2","0","0",".233","2434"
"Brandon Crawford","SFG","12","39","43","9","7","1","0","1","4","4","3","1","9","1","0","0","3","0","0",".231","5343"
"Jean Segura","PHI","10","26","29","6","4","1","0","1","2","1","2","0","4","1","0","0","1","0","0",".231","5933"
"Eric Haase","DET","7","13","15","3","1","1","0","1","1","2","2","0","1","0","0","0","1","0","0",".231","14111"
"Josh VanMeter","PIT","6","13","14","3","2","0","0","1","2","1","1","0","5","0","0","0","0","0","0",".231","15170"
"Jorge Mateo","BAL","12","26","29","6","4","2","0","0","3","1","2","0","12","0","0","1","0","4","0",".231","17273"
"Hoy Park","PIT","5","13","14","3","2","1","0","0","2","2","1","0","6","0","0","0","0","0","0",".231","18027"
"Keibert Ruiz","WSN","12","39","39","9","6","3","0","0","1","3","0","0","4","0","0","0","1","0","0",".231","19610"
"Wilmer Flores","SFG","10","35","37","8","4","3","0","1","4","4","2","0","5","0","0","0","0","0","0",".229","5827"
"Mookie Betts","LAD","12","35","44","8","5","1","0","2","8","4","8","0","5","1","0","0","0","2","0",".229","13611"
"Jorge Soler","MIA","13","35","40","8","6","2","0","0","1","0","4","0","12","1","0","0","1","0","1",".229","14221"
"Wil Myers","SDP","12","31","33","7","5","2","0","0","1","3","2","0","12","0","0","0","1","0","0",".226","10047"
"Manny Pina","ATL","4","9","11","2","2","0","0","0","0","2","0","0","1","1","1","0","0","0","0",".222","2829"
"Max Stassi","LAA","9","18","22","4","1","1","0","2","4","4","4","0","7","0","0","0","1","0","0",".222","10059"
"Luis Torrens","SEA","3","9","10","2","2","0","0","0","2","0","1","0","3","0","0","0","0","0","0",".222","15905"
"Aramis Garcia","CIN","4","9","9","2","1","1","0","0","1","0","0","0","4","0","0","0","0","0","0",".222","16925"
"Andy Ibanez","TEX","11","27","27","6","5","0","0","1","2","2","0","0","5","0","0","0","0","1","0",".222","18819"
"Joey Bart","SFG","10","27","32","6","3","1","0","2","4","4","5","0","15","0","0","0","0","0","0",".222","21524"
"Andrew McCutchen","MIL","13","32","37","7","5","2","0","0","4","4","3","0","8","1","1","0","0","2","0",".219","9847"
"DJ LeMahieu","NYY","12","32","36","7","5","1","0","1","2","4","4","0","8","0","0","0","0","0","1",".219","9874"
"Bo Bichette","TOR","14","55","56","12","9","2","0","1","5","4","1","0","14","0","0","0","1","1","1",".218","19612"
"Robinson Cano","NYM","9","23","25","5","4","0","0","1","2","3","2","0","7","0","0","0","0","0","0",".217","3269"
"Jose Abreu","CHW","12","37","41","8","5","2","0","1","6","2","4","0","11","0","0","0","0","0","0",".216","15676"
"Kole Calhoun","TEX","12","28","30","6","5","1","0","0","1","1","1","0","7","1","0","0","0","0","1",".214","11200"
"Brad Miller","TEX","10","28","31","6","4","1","0","1","3","5","2","0","6","0","1","0","0","0","0",".214","12775"
"Ketel Marte","ARI","13","42","46","9","5","4","0","0","2","3","3","0","14","1","1","0","1","1","0",".214","13613"
"Mitch Haniger","SEA","8","28","28","6","2","1","0","3","3","7","0","0","9","0","0","0","2","0","0",".214","14274"
"Luis Guillorme","NYM","9","14","20","3","3","0","0","0","2","0","5","0","2","0","0","1","0","0","0",".214","16451"
"Will Smith","LAD","10","28","33","6","3","2","0","1","6","7","5","0","5","0","0","0","0","0","0",".214","19197"
"Frank Schwindel","CHC","13","33","35","7","4","2","0","1","2","4","2","0","4","0","0","0","1","0","0",".212","15351"
"Christian Bethancourt","OAK","7","19","19","4","4","0","0","0","3","0","0","0","3","0","0","0","1","1","0",".211","10028"
"James McCann","NYM","9","19","21","4","2","1","0","1","4","2","1","0","6","1","0","0","0","1","0",".211","12859"
"Franmil Reyes","CLE","12","38","39","8","6","0","0","2","3","5","1","0","17","0","0","0","3","0","0",".211","14566"
"Victor Reyes","DET","9","19","18","4","2","1","1","0","0","2","0","0","4","0","0","0","1","0","1",".211","15487"
"Tyler Stephenson","CIN","9","19","22","4","3","0","0","1","2","2","2","0","4","1","0","0","1","0","0",".211","17988"
"Seth Brown","OAK","14","38","44","8","3","3","0","2","5","11","5","0","11","0","1","0","0","0","0",".211","18171"
"Spencer Torkelson","DET","12","24","30","5","4","0","0","1","1","3","5","0","9","1","0","0","1","0","0",".208","27465"
"Manuel Margot","TBR","10","29","31","6","6","0","0","0","0","4","2","0","7","0","0","0","0","0","0",".207","14712"
"Garrett Cooper","MIA","11","29","36","6","4","1","0","1","2","2","4","0","9","3","0","0","0","0","0",".207","15279"
"Steven Duggar","SFG","11","34","37","7","4","3","0","0","1","4","2","0","15","0","1","0","0","4","0",".206","17719"
"Josh Donaldson","NYY","14","39","42","8","5","2","0","1","3","3","3","0","16","0","0","0","2","0","0",".205","5038"
"Chris Owings","BAL","3","5","5","1","1","0","0","0","0","0","0","0","3","0","0","0","0","0","0",".200","10030"
"Rafael Ortega","CHC","12","25","31","5","4","1","0","0","3","1","5","0","6","0","0","1","0","0","2",".200","10323"
"Cesar Hernandez","WSN","14","50","52","10","9","1","0","0","7","0","1","0","11","1","0","0","0","0","0",".200","10556"
"Kolten Wong","MIL","12","35","38","7","4","1","2","0","5","5","1","0","7","1","1","0","0","1","0",".200","12532"
"Marcus Semien","TEX","13","35","38","7","5","2","0","0","7","3","2","0","9","0","1","0","0","1","0",".200","12533"
"Stephen Piscotty","OAK","5","10","11","2","2","0","0","0","0","0","0","0","4","1","0","0","0","1","0",".200","13367"
"Tyrone Taylor","MIL","6","15","16","3","1","2","0","0","0","2","0","0","4","1","0","0","0","0","0",".200","13675"
"Harold Castro","DET","6","15","17","3","2","1","0","0","0","3","1","0","4","0","1","0","0","0","0",".200","14691"
"Brett Phillips","TBR","8","20","20","4","3","0","0","1","2","2","0","0","9","0","0","0","0","2","0",".200","14735"
