"","Name","ID","Salary","AvgPointsPerGame","odds_open","odds_close","odds_rank","odds_delta","odds_delta_per","fpts","proj_own","ceil","floor","odds_per_dollar","one","residuals","own_change","adj_own","X.Drafted","FPTS","date","tournament"
"33","Wyndham Clark",22311745,7600,55.88,0.0136,0.0122,24,-0.0014,-0.1029,43.86,11.3,69.5,22.5,1.61,1,0.29,7.52,20,0.1644,59.5,"2022-04-28","Mexico Open"
"34","J.T. Poston",22311746,7500,46.38,0.012,0.0118,26,-0.000200000000000001,-0.0167,48.41,7.4,73.5,23.5,1.57,1,0.3,9.83,15,0.0763,32.5,"2022-04-28","Mexico Open"
"35","Pat Perez",22311747,7500,51.7,0.0112,0.0087,42,-0.0025,-0.2232,55.87,3.3,77.5,25.5,1.16,1,-0.11,5.42,10,0.0947,62,"2022-04-28","Mexico Open"
"36","Nate Lashley",22311748,7500,57.47,0.0079,0.0084,44,0.000499999999999999,0.0633,52.69,8.9,76,24.5,1.12,1,-0.15,10.93,20,0.0867,94.5,"2022-04-28","Mexico Open"
"37","Alex Smalley",22311750,7400,57.03,0.0118,0.011,31,-8e-04,-0.0678,54.43,12.4,77,25,1.49,1,0.28,8.66,20,0.097,97.5,"2022-04-28","Mexico Open"
"38","Rafa Cabrera Bello",22311751,7400,55.7,0.0051,0.0077,48,0.0026,0.5098,43.82,1.1,70,22,1.04,1,-0.17,17.67,20,0.048,26.5,"2022-04-28","Mexico Open"
"39","Brandon Wu",22311752,7300,47.89,0.0066,0.0072,52,6e-04,0.0909,42.84,2.6,69,22,0.99,1,-0.15,11.17,15,0.0381,115,"2022-04-28","Mexico Open"
"40","Adam Svensson",22311753,7300,54.94,0.0101,0.0105,32,0.000400000000000001,0.0396,55.73,11.1,78,25,1.44,1,0.3,11.04,20,0.1116,26,"2022-04-28","Mexico Open"
"41","Greyson Sigg",22311754,7300,61.22,0.0101,0.0113,30,0.0012,0.1188,53.16,8.7,76,24.5,1.55,1,0.41,12.85,20,0.1031,74.5,"2022-04-28","Mexico Open"
"42","Brian Stuard",22311755,7300,50.32,0.0056,0.0069,56,0.0013,0.2321,50.81,0.96,74,24,0.95,1,-0.19,13,15,0.0345,65.5,"2022-04-28","Mexico Open"
"43","Emiliano Grillo",22311756,7200,47.22,0.0076,0.0105,32,0.0029,0.3816,57.17,3.8,78.5,25.5,1.46,1,0.38,17.54,20,0.0501,77,"2022-04-28","Mexico Open"
"44","Tyler Duncan",22311757,7200,58.57,0.0098,0.0088,41,-0.000999999999999999,-0.102,51.84,10.1,75.5,24.5,1.22,1,0.14,8.21,20,0.0952,20,"2022-04-28","Mexico Open"
"45","Scott Piercy",22311758,7200,49,0.0065,0.0065,61,0,0,48.76,0.89,73.5,23.5,0.9,1,-0.18,9.87,10,0.0202,74,"2022-04-28","Mexico Open"
"46","Michael Thompson",22311759,7200,58.1,0.0082,0.0074,50,-8e-04,-0.0976,53.99,2.1,77,24.93,1.03,1,-0.05,8.46,10,0.0324,29,"2022-04-28","Mexico Open"
"47","Kramer Hickok",22311760,7200,50.56,0.009,0.0099,35,0.000900000000000001,0.1,53.09,3.2,76,24.5,1.38,1,0.3,12.13,15,0.0347,24.5,"2022-04-28","Mexico Open"
