RK,TEAM,CONF,ADJOE,ADJDE,BARTHAG,PROJ. REC,,RET MINS,RPMS,TALENT,EXP.,TRANS.
174,Campbell,BSth,103.7,103.6,0.502,19-10,5-Nov,99.20%,99.20%,3.6,2.49,0
175,Rice,CUSA,107.1,107.2,0.4985,15-14,10-Aug,95.50%,93.70%,10.5,2.43,173
176,James Madison,CAA,104.8,104.9,0.4951,17-12,7-Nov,73.60%,69.00%,2.2,2.18,226
177,Wofford,SC,101.7,102,0.4929,18-13,8-Oct,68.30%,60.20%,4.1,1.62,38
178,Drexel,CAA,104.8,105.3,0.4878,16-12,7-Nov,72.90%,69.10%,6.8,2.6,118
179,Tarleton St.,WAC,100,100.5,0.4865,17-14,7-Nov,89.50%,85.40%,0,1.97,99
180,Oral Roberts,Sum,105.9,106.5,0.4831,20-11,7-Nov,69.50%,65.30%,15.9,1.83,131
181,Jackson St.,SWAC,96.4,97,0.4828,18-13,14-4,67.70%,57.30%,0,2.74,231
182,Bradley,MVC,101.5,102.1,0.4825,13-15,11-Jul,53.20%,44.60%,2.8,1.82,114
183,UNLV,MWC,104.7,105.4,0.4798,13-17,11-Jul,32.00%,28.60%,37.1,2.6,360
184,Appalachian St.,SB,100.8,101.6,0.4769,16-13,8-Oct,92.00%,91.90%,9.3,2.37,0
185,Pepperdine,WCC,101.1,101.9,0.4755,13-18,11-May,44.00%,35.10%,21.1,2.33,134
186,Marist,MAAC,97.4,98.6,0.4652,16-13,9-Nov,86.40%,84.60%,1.5,2.45,47
187,South Dakota,Sum,104.6,105.9,0.4644,20-11,7-Nov,81.60%,68.20%,0,2.17,97
188,Hawaii,BW,102.9,104.3,0.4605,15-12,9-Nov,58.60%,56.00%,11.4,2.88,282
189,Monmouth,MAAC,101.7,103.1,0.4599,15-16,9-Nov,61.60%,51.10%,1.5,2.57,135
190,Florida Gulf Coast,ASun,103.9,105.5,0.4564,18-12,7-Sep,80.30%,76.30%,14.6,2.83,402
191,Detroit,Horz,108.7,110.5,0.4545,16-15,13-9,66.60%,74.40%,16.3,2.66,188
192,UTSA,CUSA,103.3,105,0.4541,17-14,11-Jul,74.10%,62.90%,18.5,2.1,131
193,Evansville,MVC,104.6,106.4,0.4528,17-Dec,12-Jun,89.60%,86.80%,0,2.63,34
194,Iowa St.,B12,100.4,102.2,0.449,20-Oct,15-Mar,28.30%,18.80%,47.9,2.21,316
195,Boston University,Pat,103.4,105.3,0.4489,18-12,7-Nov,92.70%,90.30%,7.3,2.78,44
196,Bowling Green,MAC,103.5,105.4,0.4486,16-14,11-Sep,77.80%,71.80%,12.5,2.45,251
197,Cal St. Bakersfield,BW,101.7,103.6,0.4469,15-14,10-Oct,68.40%,63.90%,17,2.47,97
