player,player_id,position,team_name,player_game_count,assists,franchise_id,hits,hurries,lhs_assists,lhs_hits,lhs_hurries,lhs_misses,lhs_pass_rush_percent,lhs_pass_rush_snaps,lhs_pressures,lhs_prp,lhs_sacks,lhs_stops,lhs_tackles,misses,pass_rush_percent,pass_rush_snaps,pass_snaps,pressures,prp,rhs_assists,rhs_hits,rhs_hurries,rhs_misses,rhs_pass_rush_percent,rhs_pass_rush_snaps,rhs_pressures,rhs_prp,rhs_sacks,rhs_stops,rhs_tackles,sacks,stops,tackles
Zach Carter,56349,DI,CIN,4,1,7,0,3,1,0,2,0,28.1,16,2,6.3,0,0,0,0,100.0,58,58,3,2.6,0,0,1,0,71.9,41,1,1.2,0,1,1,0,1,1
Cameron Young,82499,DI,SEA,3,0,29,1,1,0,0,0,0,45.5,15,0,0.0,0,0,0,0,100.0,39,39,2,2.6,0,1,0,0,54.5,18,1,2.8,0,1,1,0,2,2
Justin Hollins,48498,ED,GB,4,1,12,0,2,0,0,1,0,27.5,11,1,4.5,0,0,0,0,93.0,40,43,2,2.5,1,0,1,0,72.5,29,1,1.7,0,0,0,0,0,0
Folorunso Fatukasi,38558,DI,JAX,4,0,15,1,2,0,0,0,0,58.5,24,0,0.0,0,0,0,0,100.0,59,59,3,2.5,0,1,1,0,41.5,17,2,5.9,0,0,0,0,0,0
Darrell Taylor,36001,ED,SEA,4,0,29,0,4,0,0,3,1,66.3,53,3,2.8,0,0,0,1,93.0,80,86,4,2.5,0,0,1,0,33.8,27,1,1.9,0,0,0,0,0,0
Dylan Horton,81335,ED,HST,4,1,13,1,1,0,0,0,0,7.1,3,0,0.0,0,0,0,0,95.5,42,44,2,2.4,1,1,1,0,92.9,39,2,2.6,0,2,2,0,2,2
Logan Hall,76919,DI,TB,4,1,30,2,3,1,0,1,1,43.8,46,1,1.1,0,0,1,1,100.0,105,105,5,2.4,0,2,2,0,56.2,59,4,3.4,0,0,0,0,0,1
Mike Greene,56664,DI,TB,4,0,30,0,3,0,0,3,1,45.9,28,3,5.4,0,1,1,1,98.4,62,63,3,2.4,0,0,0,0,54.1,33,0,0.0,0,0,0,0,1,1
Dante Stills,76937,DI,ARZ,3,0,1,0,2,0,0,2,0,59.5,25,2,4.0,0,0,0,1,100.0,43,43,2,2.3,0,0,0,1,40.5,17,0,0.0,0,0,0,0,0,0
Bilal Nichols,28451,DI,LV,4,0,23,0,3,0,0,2,0,43.9,29,2,3.4,0,0,0,1,98.5,66,67,3,2.3,0,0,1,1,56.1,37,1,1.4,0,1,1,0,1,1
Tyree Wilson,82432,ED,LV,4,0,23,0,3,0,0,1,0,15.6,10,1,5.0,0,0,0,0,98.5,64,65,3,2.3,0,0,2,0,84.4,54,2,1.9,0,0,0,0,0,0
Chris Rumph II,56345,ED,LAC,2,1,27,0,1,1,0,1,0,43.5,10,1,5.0,0,0,0,0,88.5,23,26,1,2.2,0,0,0,0,56.5,13,0,0.0,0,0,0,0,0,0
John Ridgeway,66694,DI,WAS,5,1,32,0,2,1,0,1,1,52.9,18,1,2.8,0,0,1,1,100.0,45,45,2,2.2,0,0,0,0,47.1,16,0,0.0,0,0,0,0,0,1
L.J. Collier,48822,DI,ARZ,1,0,1,0,1,0,0,0,0,21.7,5,0,0.0,0,0,0,1,100.0,23,23,1,2.2,0,0,1,1,78.3,18,1,2.8,0,0,0,0,0,0
