id,player,team,opponent,position,salary,ownership
83704-38264,Demarcus Robinson,BAL,JAC,WR,6200,2.8
83704-91750,Trey McBride,ARI,LAC,TE,4800,2.8
83704-89230,Cam Akers,LAR,KC,RB,5900,2.7
83704-71705,Noah Fant,SEA,LV,TE,5100,2.7
83704-71032,Devin Duvernay,BAL,JAC,WR,5600,2.7
83704-87467,Chuba Hubbard,CAR,DEN,RB,5300,2.7
83704-32243,Marquise Goodwin,SEA,LV,WR,5400,2.7
83704-114100,Isaiah Spiller,LAC,ARI,RB,4800,2.6
83704-56265,Mike Gesicki,MIA,HOU,TE,5000,2.6
83704-91047,Cole Kmet,CHI,NYJ,TE,5300,2.6
83704-45439,Corey Davis,NYJ,CHI,WR,5500,2.6
83704-62628,DeAndre Carter,LAC,ARI,WR,5900,2.6
83704-12548,Los Angeles Chargers,LAC,ARI,D,4200,2.5
83704-112745,Drake London,ATL,WAS,WR,6100,2.5
83704-25267,Mack Hollins,LV,SEA,WR,5600,2.5
83704-110259,Treylon Burks,TEN,CIN,WR,5900,2.3
83704-55335,David Njoku,CLE,TB,TE,5600,2.2
83704-63078,Ke'Shawn Vaughn,TB,CLE,RB,4800,2.2
83704-12550,Seattle Seahawks,SEA,LV,D,4000,2.2
83704-47870,Tyler Higbee,LAR,KC,TE,5700,2.2
83704-14190,Julio Jones,TB,CLE,WR,5400,2.2
83704-12556,Houston Texans,HOU,MIA,D,3000,2.1
83704-71444,Travis Homer,SEA,LV,RB,4700,2.1
83704-40126,Austin Hooper,TEN,CIN,TE,5000,2.1
83704-91419,Nico Collins,HOU,MIA,WR,6000,2.1
83704-60787,Bryce Perkins,LAR,KC,QB,6600,2.1
83704-29358,Marcus Mariota,ATL,WAS,QB,7000,2.1
83704-61042,Kendall Hinton,DEN,CAR,WR,5400,2.1
83704-57909,Marlon Mack,DEN,CAR,RB,4500,2.1
83704-26355,Logan Thomas,WAS,ATL,TE,5200,2.0
83704-29685,Robert Woods,TEN,CIN,WR,5700,2.0
83704-41305,Zay Jones,JAC,BAL,WR,5700,2.0
83704-73130,Chris Evans,CIN,TEN,RB,4800,2.0
83704-56708,Will Dissly,SEA,LV,TE,4600,1.9
83704-86811,Cade Otton,TB,CLE,TE,4900,1.9
83704-53331,Taylor Heinicke,WAS,ATL,QB,6500,1.9
83704-22103,Marvin Jones Jr.,JAC,BAL,WR,5400,1.9
83704-91426,Donovan Peoples-Jones,CLE,TB,WR,6300,1.9
83704-14211,Mark Ingram II,NO,SF,RB,4800,1.9
83704-83083,Justin Watson,KC,LAR,WR,5000,1.9
83704-31394,Jarvis Landry,NO,SF,WR,5800,1.8
83704-28643,Allen Robinson II,LAR,KC,WR,6800,1.8
83704-88575,Elijah Moore,NYJ,CHI,WR,5300,1.8
83704-30231,Jacoby Brissett,CLE,TB,QB,6900,1.8
83704-73111,Chase Claypool,CHI,NYJ,WR,5500,1.8
83704-64808,Juwan Johnson,NO,SF,TE,5500,1.7
83704-64496,Olamide Zaccheaus,ATL,WAS,WR,5300,1.7
83704-112062,Skyy Moore,KC,LAR,WR,5400,1.7
