player_name,sg_putt_pred,sg_putt_rank,sg_arg_pred,sg_arg_rank,sg_app_pred,sg_app_rank,sg_ott_pred,sg_ott_rank,sg_total_pred,sg_total_rank,distance_pred,distance_rank,accuracy_pred,accuracy_rank
"Syme, Connor",-0.081,233,-0.302,395,-0.259,245,0.013,140,-0.629,232,-2.121,242,0.013,153
"Simpson, Webb",-0.031,191,-0.002,180,-0.040,160,-0.381,292,-0.454,205,-2.191,243,0.033,94
"Ancer, Abraham",0.025,158,-0.184,326,-0.071,169,0.253,72,0.023,138,-2.206,244,0.100,8
"Kirk, Chris",0.093,106,0.258,19,0.291,61,0.044,126,0.687,55,-2.222,245,0.025,113
"Gerard, Ryan",-0.219,332,-0.117,272,-0.167,213,-0.122,190,-0.625,231,-2.249,246,0.004,180
"Poston, J.T.",0.251,59,0.053,128,0.110,112,0.049,124,0.464,85,-2.372,247,0.014,148
"Luiten, Joost",-0.049,207,-0.420,416,0.143,103,0.182,87,-0.144,156,-2.479,248,0.028,102
"Lawrence, Thriston",-0.120,263,-0.222,356,-0.227,236,-0.196,225,-0.765,261,-2.616,249,0.011,159
"Sharvin, Cormac",-0.097,242,-0.180,323,-1.640,429,-1.603,426,-3.520,428,-2.632,250,-0.107,422
"Werenski, Richy",0.169,78,-0.007,184,-0.613,351,-0.463,319,-0.914,284,-2.766,251,-0.026,288
"Schneider, Marcel",0.029,155,-0.014,193,-0.267,251,-0.107,184,-0.360,190,-2.905,252,0.018,133
"Malnati, Peter",0.274,49,0.210,35,-0.360,277,-0.793,382,-0.669,245,-2.985,253,-0.068,389
"Gouveia, Ricardo",0.096,105,-0.305,397,-0.397,293,-0.350,279,-0.956,290,-3.094,254,-0.010,229
"NeSmith, Matthew",-0.041,203,-0.027,202,0.221,77,0.127,104,0.280,99,-3.099,255,0.053,50
"Noren, Alex",0.476,13,0.303,7,0.043,131,-0.626,352,0.196,114,-3.126,256,-0.041,328
"Gallacher, Stephen",-0.066,223,-0.101,256,-1.009,408,-0.864,387,-2.041,393,-3.177,257,-0.048,351
"O'Hair, Sean",-0.123,268,0.069,107,-0.257,244,-0.266,255,-0.577,221,-3.207,258,0.017,143
"Duncan, Tyler",-0.290,377,-0.239,369,-0.023,153,0.219,80,-0.334,185,-3.248,259,0.064,30
"Pigem, Carlos",-0.294,378,-0.381,412,-1.252,423,-0.780,381,-2.707,418,-3.338,260,-0.078,402
"Lee, Danny",-0.148,285,-0.207,345,0.110,113,0.042,127,-0.204,164,-3.342,261,0.019,131
"Karlberg, Rikard",-0.173,304,-0.056,220,-0.586,349,-0.707,371,-1.521,357,-3.348,262,-0.056,366
"Ghim, Doug",-0.171,303,0.057,119,0.154,98,0.153,94,0.194,116,-3.400,263,0.070,21
"Leon, Hugo",-0.221,334,-0.014,192,-0.818,386,-0.668,365,-1.720,375,-3.436,264,-0.064,378
"Martin, Ben",-0.056,213,-0.226,361,0.215,79,0.126,105,0.059,129,-3.474,265,0.040,75
"Young, Carson",0.069,121,-0.183,325,-0.161,207,-0.016,148,-0.292,177,-3.508,266,0.041,72
"Blixt, Jonas",-0.060,216,-0.066,231,-1.034,409,-0.470,323,-1.630,364,-3.514,267,-0.023,283
"Dufner, Jason",-0.595,424,-0.031,206,-0.165,210,-0.371,289,-1.161,322,-3.591,268,-0.027,294
"Soderberg, Sebastian",-0.223,337,0.009,165,-0.175,216,-0.265,254,-0.655,239,-3.610,269,-0.023,282
"Wilson, Oliver",-0.042,204,0.020,152,-0.896,393,-0.906,395,-1.824,381,-3.634,270,-0.070,392
"Willett, Danny",0.067,130,0.196,41,-0.042,161,-0.143,200,0.078,127,-3.705,271,-0.016,259
"Kang, Sung",0.057,135,-0.078,240,-0.519,334,-0.563,336,-1.102,316,-3.723,272,-0.040,325
