Player,Roster Position,%Drafted,FPTS
Patrick Taylor,FLEX,0.00%,0
Marquez Stevenson,WR,0.00%,0
Tanner Gentry,WR,0.00%,0
B.J. Emmons,RB,0.00%,0
Dax Raymond,TE,0.00%,0
John Ross III,WR,0.00%,0
Kahale Warring,FLEX,0.00%,0
Carlos Hyde,FLEX,0.00%,0
Kendall Hinton,FLEX,0.00%,0
Blake Jarwin,TE,0.00%,0
Trevon Wesco,TE,0.00%,2.9
Kadarius Toney,WR,0.00%,0
Nick Boyle,TE,0.00%,0
Paul Quessenberry,TE,0.00%,0
Christian McCaffrey,FLEX,0.00%,0
Kerrith Whyte Jr.,RB,0.00%,0
Cethan Carter,FLEX,0.00%,0
Calvin Ridley,WR,0.00%,0
River Cracraft,WR,0.00%,0
Parker Hesse,FLEX,0.00%,0
Antony Auclair,TE,0.00%,0
Daniel Jones,QB,0.00%,0
Greg Dortch,WR,0.00%,0
JuJu Smith-Schuster,WR,0.00%,0
Malcolm Brown,RB,0.00%,0
Ben Skowronek,FLEX,0.00%,0
Caleb Huntley,FLEX,0.00%,0
Tim Jones,WR,0.00%,0
Clark Harris,TE,0.00%,0
Nick Ralston,TE,0.00%,0
Geronimo Allison,WR,0.00%,0
Kirk Merritt,WR,0.00%,0
Matt Sokol,FLEX,0.00%,0
Alex Ellis,TE,0.00%,0
Gerrid Doaks,FLEX,0.00%,0
Curtis Samuel,FLEX,0.00%,0
Cody White,FLEX,0.00%,0
Mason Rudolph,QB,0.00%,0
John Raine,TE,0.00%,0
Jordan Wilkins,RB,0.00%,0
Kaden Smith,FLEX,0.00%,0
Simi Fehoko,FLEX,0.00%,0
Taylor Heinicke,QB,0.00%,0
Kenny Yeboah,TE,0.00%,0
Penny Hart,WR,0.00%,0
C.J. Board,WR,0.00%,0
Khari Blasingame,RB,0.00%,0
Alex Bachman,WR,0.00%,0
Frank Darby,WR,0.00%,0
Antonio Williams,RB,0.00%,0
Ross Dwelley,FLEX,0.00%,0
Robert Foster,WR,0.00%,0
Jaeden Graham,TE,0.00%,0
Jake Kumerow,FLEX,0.00%,0
Osirus Mitchell,WR,0.00%,0
Jacoby Brissett,QB,0.00%,0.2
Diontae Spencer,FLEX,0.00%,0
Nick Eubanks,FLEX,0.00%,0
Austin Fort,TE,0.00%,0
Tylan Wallace,FLEX,0.00%,1.5
Quintez Cephus,FLEX,0.00%,0
Jordan Veasy,WR,0.00%,0
Randall Cobb,WR,0.00%,0
Trenton Irwin,WR,0.00%,0
Bronson Kaufusi,FLEX,0.00%,0
Mike Thomas,FLEX,0.00%,0
Dez Fitzpatrick,FLEX,0.00%,0
Maxx Williams,FLEX,0.00%,0
Brandon Allen,QB,0.00%,0
Phillip Lindsay,RB,0.00%,0
Hunter Long,FLEX,0.00%,0
Dante Pettis,WR,0.00%,0
Will Fuller V,WR,0.00%,0
Christian Wade,RB,0.00%,0
Andy Isabella,FLEX,0.00%,2.3
Jalen Camp,WR,0.00%,0
Tom Kennedy,WR,0.00%,0
Tyler Davis,FLEX,0.00%,3.2
Jamal Agnew,WR,0.00%,0
Reggie Bonnafon,RB,0.00%,0
Steven Sims Jr.,FLEX,0.00%,0
Jordan Matthews,TE,0.00%,0
Nick Bawden,RB,0.00%,0
Colin Thompson,TE,0.00%,0
Lee Smith,TE,0.00%,0
Mitchell Wilcox,TE,0.00%,0
Trayveon Williams,RB,0.00%,0
Chris Streveler,QB,0.00%,0
Jaret Patterson,RB,0.00%,0
Travis Homer,RB,0.00%,0
Dyami Brown,WR,0.00%,0
Marken Michel,WR,0.00%,0
Tyler Mabry,FLEX,0.00%,0
Damon Hazelton,WR,0.00%,0
Cullen Gillaspia,RB,0.00%,0
Jeff Driskel,QB,0.00%,0
Aaron Fuller,WR,0.00%,0
T.J. Vasher,WR,0.00%,0
Greg Ward,WR,0.00%,0
Patrick Laird,FLEX,0.00%,0
Nathan Cottrell,RB,0.00%,0
Mason Kinsey,WR,0.00%,0
Justice Hill,RB,0.00%,0
Josh Hokit,FLEX,0.00%,0
Dee Eskridge,FLEX,0.00%,0
Ryquell Armstead,FLEX,0.00%,0
J.K. Dobbins,RB,0.00%,0
Davion Davis,WR,0.00%,0
Brycen Hopkins,TE,0.00%,0
Levine Toilolo,FLEX,0.00%,0
Logan Thomas,FLEX,0.00%,0
Shi Smith,WR,0.00%,0
Tavien Feaster,RB,0.00%,0
Thaddeus Moss,FLEX,0.00%,0
Trinity Benson,WR,0.00%,0
Elijah Holyfield,RB,0.00%,0
Trey Sermon,RB,0.00%,0
Mohamed Sanu Sr.,WR,0.00%,0
