"","Name","TeamAbbrev","Salary","fpts","proj_own","status","lines","totals","grades_offense","grades_run","opponent","def_rank","rdef_rank","tack_rank","designed_yards","elusive_rating","breakaway_attempts","explosive","elu_yco","first_downs","attempts","rec_yards","targets","total_touches","player_game_count"
"54","Tre Siggers","SMU",6000,NA,0,"Ques Sat - Undisclosed",-17.5,72.5,60.7,63.6,"USF",NA,NA,NA,57.2,25.3,0,0.1,2.4,0.3,15,5.5,2,16.2,4
"55","Shaun Shivers","IU",5700,4.94,0,"Healthy",40.5,61,63.9,69.6,"OSU",5,6,35,43.8,47.8,0,0.1,2,0.2,11.9,13.9,2.7,14.2,9
"56","Marcus Major","OU",5500,5.61,0,"Healthy",-8.5,68.5,69.6,68.9,"WVU",116,67,19,32.4,22.4,0,0.1,2,0.2,8,8.3,1.1,9,7
"57","Jaden Nixon","OKST",5400,3.79,0,"Healthy",1.5,48,67.7,71,"ISU",62,35,87,14.1,67.5,0,0.1,3,0.3,3.4,11.3,1.1,4.4,9
"58","Cameron Carroll","TUL",5200,0.84,0,"Out indefinitely - Leg",-1,54.5,53.8,55.8,"UCF",67,52,37,3,0,0,0,1,0,3,0,0,3,1
"59","Jaylen Coleman","DUKE",5100,2.2,0,"Ques Sat - Undisclosed",-10,50,75.7,75.5,"VT",64,39,40,61,38.1,0,0.1,2.8,0.4,11.4,5.6,0.4,11.8,5
"60","Jalen Holston","VT",5000,3.97,0,"Healthy",10,50,58.6,65.4,"DUKE",56,63,106,20.8,15.6,0,0.1,2.4,0.2,6.3,3.2,1.2,6.9,9
"61","Jaren Mangham","USF",5000,NA,0,"Out indefinitely - Undisclosed",17.5,72.5,67,67.9,"SMU",121,115,107,26,41.7,0,0.1,2.3,0.3,6,6,1.2,7,4
"62","Colby McDonald","UMD",4900,1.9,0,"Healthy",10.5,57,67.1,75.6,"PSU",81,121,116,17.9,34.2,0,0.1,3.3,0.3,3.7,3.3,0.4,4.1,7
"63","Jovantae Barnes","OU",4800,2.5,0,"Ques Sat - Undisclosed",-8.5,68.5,68.3,68.5,"WVU",116,67,19,52,29.3,0,0.1,2,0.2,12,3.5,0.7,12.7,6
"64","King Doerue","PUR",4800,NA,0,"Ques Sat - Undisclosed",6.5,44.5,67.6,72.5,"IL",3,4,16,24.2,109.4,0,0,2.8,0.4,6.8,14.2,1.5,8.2,4
"65","Armoni Goodwin","LSU",4500,5.21,0,"Healthy",-3.5,60.5,74.3,81.6,"ARK",90,57,88,43.5,91.5,0,0.1,4.3,0.4,7.2,3.2,1,7.8,6
"66","Ulysses Bentley IV","MISS",4500,1.11,0,"Healthy",NA,NA,65.5,72.8,"BAMA",6,1,5,13.6,47.6,0,0.3,1.4,0.5,2.8,0.8,0.4,3,5
"67","TJ McDaniel","SMU",4500,4.27,0,"Healthy",-17.5,72.5,68.3,75.2,"USF",NA,NA,NA,24.6,79.2,0,0.1,3.7,0.2,5.1,-0.1,1.3,6,7
"68","Noah Cain","LSU",4400,NA,0,"Healthy",-3.5,60.5,73.9,79.2,"ARK",90,57,88,23.9,101.8,0,0.1,4,0.3,4.4,5,0.9,4.9,8
"69","Nathaniel Peat","MIZZ",4400,1.14,0,"Healthy",19.5,57.5,68.9,72.1,"TENN",101,85,70,48.9,98.2,0,0.1,3.3,0.2,11,7.4,1.8,12.1,8
"70","Antwain Littleton II","UMD",4400,3.61,0,"Healthy",10.5,57,79.1,81,"PSU",81,121,116,39.8,147.7,0,0.1,4.8,0.3,6.8,5.5,0.5,7.2,8
"71","Josh McCray","IL",4200,2.72,0,"Healthy",-6.5,44.5,67.2,65.1,"PUR",92,93,74,13,70.8,0,0,2.8,0.2,4,6.3,1.3,5.3,3
"72","Gabe Ervin Jr.","NEB",4000,NA,0,"Healthy",30.5,49.5,69.6,74.2,"MICH",4,5,1,20.5,74.7,0,0.3,3.7,0.3,3.8,0,0.2,3.8,4
"73","Dylan Downing","PUR",3800,5.28,0,"Healthy",6.5,44.5,75.5,79.4,"IL",3,4,16,43.1,51.8,0,0.1,2.7,0.3,9.6,11.6,1.6,11,7
"74","Johnny Richardson","UCF",3800,3.63,0,"Healthy",1,54.5,71.4,71.8,"TUL",14,20,48,32.9,85.7,0,0.2,4,0.3,4.8,7.1,2,6.2,9
"75","Dominique Johnson","ARK",3700,NA,0,"Healthy",3.5,60.5,60.5,62.5,"LSU",30,8,41,10.8,0,0,0.1,2.8,0.2,2,0,0,2,4
"76","Elijah Young","MIZZ",3700,1.2,0,"Healthy",19.5,57.5,63.8,64.8,"TENN",101,85,70,12,39.2,0,0.2,2.9,0.2,2.7,4.8,1.2,3.7,6
"77","Ollie Gordon","OKST",3700,1.27,0,"Healthy",1.5,48,66.5,63.1,"ISU",62,35,87,12.1,104.8,0,0.1,3,0.2,2.4,7.7,1.1,3.4,9
"78","Chance Black","VT",3700,1.64,0,"Healthy",10,50,64.3,67.3,"DUKE",56,63,106,12.1,13.3,0,0,1.8,0.2,4.2,2.6,0.6,4.6,9
"79","Rashod Dubinion","ARK",3600,2.92,0,"Healthy",3.5,60.5,63.3,60.2,"LSU",30,8,41,12.6,56.7,0,0.2,2.2,0.3,4,9.2,0.8,4.7,9
"80","Dylan Sampson","TENN",3600,2.02,0,"Healthy",-19.5,57.5,60.5,64.6,"MIZZ",12,33,52,26.2,49.6,0,0.1,3.5,0.2,5.7,3.2,0.2,5.8,6
"81","Deon Silas","ISU",3600,5.19,0,"Healthy",-1.5,48,69.7,77.2,"OKST",74,86,110,30.2,44.4,0,0.1,3,0.2,6.5,4,1.4,7.5,8
"82","Jamarion Miller","BAMA",3500,NA,0,"Healthy",-11.5,65,74.6,73.7,"MISS",48,65,50,48.7,70.5,0,0.2,3.7,0.3,6.7,-0.3,0.3,7,3
"83","Deondre Jackson","OKST",3500,3.82,0,"Out indefinitely - Foot",1.5,48,63,60.7,"ISU",62,35,87,14,11.7,0,0.1,1.8,0.2,3,5,0.8,3.8,4
"84","Ramon Brown","UMD",3500,6.14,0,"Healthy",10.5,57,65.5,64.3,"PSU",81,121,116,8.4,33.8,0,0,2.2,0.1,2.9,4.8,0.8,3.7,9
"85","Michel Dukes","USF",3500,5.96,0,"Healthy",17.5,72.5,67.2,66.7,"SMU",121,115,107,17.4,25.9,0,0.1,2.3,0.3,4.9,7,0.9,5.5,8
"86","Kobe Lewis","PUR",3400,1.91,0,"Healthy",6.5,44.5,60.5,70.3,"IL",3,4,16,11.1,86.7,0,0.1,2.6,0.2,3.3,2.2,0.6,3.7,9
"87","Jaquez Yant","NEB",3400,1.23,0,"Healthy",30.5,49.5,61.7,64.4,"MICH",4,5,1,8.9,8.1,0,0,1.8,0.2,3.1,0,0,3.1,7
"88","Tavierre Dunlap","MICH",3400,1.07,0,"Healthy",-30.5,49.5,71.1,72.1,"NEB",94,113,62,7.2,85.7,0,0.1,3.4,0.3,1.4,1,0.2,1.6,5
"89","Iverson Celestine","TUL",3400,5.34,0,"Healthy",-1,54.5,58.5,58.5,"UCF",67,52,37,30.5,39.6,0,0.1,2.4,0.2,8,2.2,0.4,8.2,8
"90","Jaylen Anderson","WVU",3300,2.44,0,"Healthy",8.5,68.5,66.3,70.3,"OU",104,88,78,13,70,0,0.1,2.3,0.3,3,5,0.7,3.3,3
"91","Bentavious Thompson","OU",3200,NA,0,"Out indefinitely - Knee",-8.5,68.5,NA,NA,"WVU",116,67,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
