"","Name","ID","Salary","AvgPointsPerGame","fpts","proj_own","ceil","floor","make_cut","first_round_lead","top_30","top_20","top_10","top_5","top_3","win","observed_finish","ownership","total_pts","odds_per_dollar","residuals","own_change","adj_own","date","tournament"
"88","Wyndham Clark",22064332,6300,54.5,41.62,0.41,70,22.5,0.3952,0.0022,0.0928,0.0484,0.017,0.006,0.003,7e-04,35,0.0034,76.5,0.11,-0.23,-0.03,0,2022-04-17,"RBC Heritage"
"89","Luke Donald",22064333,6300,50.64,47.51,2.2,74,23.5,0.5179,0.0059,0.1765,0.1052,0.0439,0.0175,0.0095,0.0026,56,0.018,64,0.41,0.07,0.01,2,2022-04-17,"RBC Heritage"
"90","Danny Lee",22064334,6300,54.71,44.47,0.54,71.5,23.5,0.4956,0.0035,0.1649,0.0993,0.04,0.0169,0.0093,0.0023,100,0.0029,19.5,0.37,0.03,0,1,2022-04-17,"RBC Heritage"
"91","Scott Piercy",22064335,6300,47.25,44.58,0.09,71.5,23,0.4277,0.0029,0.1139,0.063,0.0234,0.0075,0.0039,7e-04,12,0.0017,73.5,0.11,-0.23,-0.03,0,2022-04-17,"RBC Heritage"
"92","Jim Furyk",22064336,6300,57.75,50.31,0.62,76,24.5,0.4312,0.0024,0.1164,0.0648,0.0238,0.0094,0.0048,0.0012,100,0.0222,18,0.19,-0.15,-0.02,1,2022-04-17,"RBC Heritage"
"93","Bill Haas",22064337,6300,51.91,42.98,0.32,70,23,0.4534,0.0024,0.128,0.0718,0.0283,0.0105,0.0054,0.0012,59,0.0026,57.5,0.19,-0.15,-0.02,0,2022-04-17,"RBC Heritage"
"94","Graeme McDowell",22064338,6200,46.21,35.12,0.43,62,20.5,0.4337,0.0046,0.1167,0.0655,0.0245,0.0099,0.0049,0.0013,21,0.004,76.5,0.21,-0.06,-0.01,0,2022-04-17,"RBC Heritage"
"95","Hank Lebioda",22064339,6200,43.28,48.87,0.25,75.5,24,0.4557,0.0036,0.1307,0.0743,0.0284,0.0121,0.0061,0.0017,100,0.0011,28,0.27,0,0,0,2022-04-17,"RBC Heritage"
"96","Adam Schenk",22064340,6200,46.88,43.06,0.42,71.5,22.5,0.4362,0.0042,0.1146,0.0637,0.0233,0.0091,0.0046,0.0012,100,0.0027,16.5,0.19,-0.08,-0.01,0,2022-04-17,"RBC Heritage"
"97","Robert Streb",22064341,6200,50.27,45.17,0.26,72.5,23.5,0.4978,0.0056,0.1623,0.0972,0.039,0.0163,0.0084,0.0021,42,0.0069,67.5,0.34,0.07,0.01,0,2022-04-17,"RBC Heritage"
"98","Brice Garnett",22064342,6200,48.44,46.31,0.3,73,24,0.5151,0.0043,0.1737,0.1041,0.044,0.018,0.0097,0.0029,100,0.0069,20,0.47,0.2,0.03,0,2022-04-17,"RBC Heritage"
"99","Tyler Duncan",22064343,6200,56.5,46.31,0.51,73,23.5,0.5106,0.0063,0.1742,0.1055,0.0434,0.0188,0.0106,0.0032,12,0.0055,85.5,0.52,0.25,0.04,1,2022-04-17,"RBC Heritage"
"100","Peter Malnati",22064344,6200,55.33,43.66,0.46,71.5,23,0.4728,0.0054,0.1421,0.0835,0.0333,0.0134,0.0069,0.0019,42,0.0066,69.5,0.31,0.04,0.01,0,2022-04-17,"RBC Heritage"
"101","Ben Martin",22064345,6200,51.71,45.71,0.5,72.5,23.5,0.4283,0.0037,0.1115,0.061,0.0223,0.0089,0.0043,0.001,59,0.0042,58,0.16,-0.11,-0.02,0,2022-04-17,"RBC Heritage"
"102","Roger Sloan",22064346,6200,44.69,50.1,0.19,76,24.5,0.4703,0.0053,0.1404,0.0828,0.0333,0.0137,0.007,0.0019,59,0.0017,59,0.31,0.04,0.01,0,2022-04-17,"RBC Heritage"
"103","Wesley Bryan",22064347,6100,52.64,43.75,1.8,72,23,0.4164,0.0027,0.1134,0.0647,0.0248,0.01,0.0053,0.0013,100,0.028,28,0.21,0.01,0,2,2022-04-17,"RBC Heritage"
"104","Bryson Nimmer",22064348,6100,62.5,39.55,0.47,67,21.5,0.3491,0.0015,0.0726,0.0376,0.0127,0.0044,0.0021,5e-04,100,0.0037,22,0.08,-0.12,-0.02,0,2022-04-17,"RBC Heritage"
"105","Camilo Villegas",22064349,6100,48.81,45.42,0.23,72.5,23.5,0.4164,0.003,0.1089,0.0601,0.0238,0.009,0.005,0.0016,59,0.002,55,0.26,0.06,0.01,0,2022-04-17,"RBC Heritage"
"106","Henrik Norlander",22064350,6100,50.62,45.07,0.82,72,23,0.465,0.0043,0.1368,0.0798,0.0313,0.0124,0.0063,0.0013,100,0.0067,24,0.21,0.01,0,1,2022-04-17,"RBC Heritage"
"107","Ryan Brehm",22064351,6100,72.5,34.36,0.56,61,20,0.3609,0.0022,0.0796,0.0416,0.0147,0.0054,0.0026,5e-04,100,0.0137,9,0.08,-0.12,-0.02,1,2022-04-17,"RBC Heritage"
"108","Richy Werenski",22064352,6100,43.71,42.53,0.49,70,22.5,0.379,0.0032,0.085,0.045,0.0155,0.0051,0.0023,6e-04,100,0.0044,24.5,0.1,-0.1,-0.01,0,2022-04-17,"RBC Heritage"
"109","Stephan Jaeger",22064354,6100,44.34,38.5,0.13,67,21.5,0.4673,0.005,0.1353,0.0776,0.0316,0.0125,0.0068,0.0016,100,7e-04,17.5,0.26,0.06,0.01,0,2022-04-17,"RBC Heritage"
"110","Sung Kang",22064355,6100,51.67,32.09,0.11,56.57,19.5,0.3456,0.0031,0.0671,0.0349,0.012,0.0048,0.0024,5e-04,100,0.001,23,0.08,-0.12,-0.02,0,2022-04-17,"RBC Heritage"
"111","Nick Watney",22064356,6100,50.22,36.33,0.17,64,20.5,0.3489,0.0024,0.0653,0.0335,0.0115,0.0042,0.0024,4e-04,100,0.0025,26,0.07,-0.13,-0.02,0,2022-04-17,"RBC Heritage"
"112","Chesson Hadley",22064357,6000,42.76,37.41,0.2,65,21,0.3026,0.0017,0.0469,0.0216,0.0068,0.0021,0.0012,1e-04,100,0.0017,25,0.02,-0.1,-0.01,0,2022-04-17,"RBC Heritage"
"113","Brian Gay",22064358,6000,47.2,33.14,0.14,59,19.5,0.3313,0.0017,0.0618,0.0322,0.0106,0.0038,0.0019,5e-04,51,0.0015,61,0.08,-0.04,-0.01,0,2022-04-17,"RBC Heritage"
"114","Jim Herman",22064359,6000,45.82,39.97,0.07,67.5,22,0.3901,0.0022,0.0914,0.0498,0.0179,0.0071,0.0032,8e-04,56,0.0015,55,0.13,0.01,0,0,2022-04-17,"RBC Heritage"
"115","Kevin Tway",22064360,6000,47.06,39.7,0.13,67,22,0.4182,0.003,0.1006,0.0551,0.0194,0.0076,0.004,0.001,100,0.0014,23.5,0.17,0.05,0.01,0,2022-04-17,"RBC Heritage"
