player,player_id,position,team_name,player_game_count,base_targets,declined_penalties,franchise_id,penalties,screen_avg_depth_of_target,screen_avoided_tackles,screen_caught_percent,screen_contested_catch_rate,screen_contested_receptions,screen_contested_targets,screen_drop_rate,screen_drops,screen_first_downs,screen_fumbles,screen_grades_hands_drop,screen_grades_pass_route,screen_interceptions,screen_longest,screen_pass_block_rate,screen_pass_blocks,screen_pass_plays,screen_receptions,screen_route_rate,screen_routes,screen_targeted_qb_rating,screen_targets,screen_targets_percent,screen_touchdowns,screen_yards,screen_yards_after_catch,screen_yards_after_catch_per_reception,screen_yards_per_reception,screen_yprr,slot_avg_depth_of_target,slot_avoided_tackles,slot_caught_percent,slot_contested_catch_rate,slot_contested_receptions,slot_contested_targets,slot_drop_rate,slot_drops,slot_first_downs,slot_fumbles,slot_grades_hands_drop,slot_grades_pass_route,slot_interceptions,slot_longest,slot_pass_block_rate,slot_pass_blocks,slot_pass_plays,slot_receptions,slot_route_rate,slot_routes,slot_targeted_qb_rating,slot_targets,slot_targets_percent,slot_touchdowns,slot_yards,slot_yards_after_catch,slot_yards_after_catch_per_reception,slot_yards_per_reception,slot_yprr
Aaron Jones,11937,HB,GB,6,23,0,12,0,-3.0,4,100.0,,0,0,0.0,0,4,0,91.4,97.2,0,15,6.7,2,30,8,93.3,28,139.6,8,34.8,1,64,88,11.0,8.0,2.29,-2.3,0,50.0,,0,0,0.0,0,1,0,63.2,45.7,0,8,0.0,0,13,2,100.0,13,95.8,4,17.4,1,12,21,10.5,6.0,0.92
Richie James Jr.,28991,WR,NYG,6,23,0,21,0,-2.5,1,100.0,,0,0,0.0,0,0,0,88.7,48.4,0,1,0.0,0,17,2,82.4,14,79.2,2,8.7,0,-1,4,2.0,-0.5,-0.07,8.7,1,77.8,33.3,1,3,6.7,1,7,0,76.3,62.4,0,16,0.8,1,118,14,92.4,109,100.2,18,78.3,0,145,33,2.4,10.4,1.33
Michael Thomas,10681,WR,NO,3,22,0,20,0,,0,,,0,0,,0,0,0,,48.9,0,0,0.0,0,4,0,75.0,3,0.0,0,0.0,0,0,0,,,0.0,9.5,0,100.0,100.0,2,2,0.0,0,4,0,87.6,84.7,0,21,0.0,0,22,6,95.5,21,116.0,6,27.3,0,71,14,2.3,11.8,3.38
DeVante Parker,9447,WR,NE,6,22,0,19,0,-1.0,0,100.0,,0,0,0.0,0,0,0,78.7,45.4,0,-1,0.0,0,20,1,95.0,19,79.2,1,4.5,0,-1,0,0.0,-1.0,-0.05,26.0,0,50.0,,0,0,0.0,0,1,0,81.1,64.8,1,40,0.0,0,16,1,87.5,14,56.3,2,9.1,0,40,20,20.0,40.0,2.86
Juwan Johnson,28305,TE,NO,6,22,0,20,0,,0,,,0,0,,0,0,0,,42.7,0,0,0.0,0,11,0,81.8,9,0.0,0,0.0,0,0,0,,,0.0,12.8,0,66.7,50.0,1,2,0.0,0,5,0,84.5,65.0,1,26,0.0,0,85,8,95.3,81,66.7,12,54.5,0,126,17,2.1,15.8,1.56
George Kittle,11901,TE,SF,4,22,0,28,0,-2.5,0,100.0,,0,0,0.0,0,0,0,88.7,42.0,0,7,8.3,2,24,2,87.5,21,93.8,2,9.1,0,13,18,9.0,6.5,0.62,6.6,2,87.5,100.0,2,2,0.0,0,4,0,87.3,66.9,0,19,4.2,2,48,7,89.6,43,105.2,8,36.4,0,74,43,6.1,10.6,1.72
Rashod Bateman,84296,WR,BLT,4,22,0,3,0,,0,,,0,0,,0,0,0,,46.0,0,0,0.0,0,6,0,100.0,6,0.0,0,0.0,0,0,0,,,0.0,9.8,0,60.0,,0,0,0.0,0,1,0,27.1,56.9,0,13,0.0,0,16,3,100.0,16,69.6,5,22.7,0,21,8,2.7,7.0,1.31
Rondale Moore,62890,WR,ARZ,3,22,0,1,0,-2.7,0,100.0,,0,0,0.0,0,1,0,91.1,79.5,0,17,0.0,0,18,7,100.0,18,84.5,7,31.8,0,30,49,7.0,4.3,1.67,1.2,0,81.3,0.0,0,1,7.1,1,3,0,70.8,62.6,0,26,0.0,0,86,13,100.0,86,90.1,16,72.7,0,90,100,7.7,6.9,1.05
DeAndre Carter,9859,WR,LAC,6,21,0,27,0,-5.0,0,100.0,,0,0,0.0,0,1,0,78.7,54.4,0,8,0.0,0,27,1,92.6,25,100.0,1,4.8,0,8,13,13.0,8.0,0.32,11.0,0,78.6,50.0,1,2,0.0,0,9,0,86.9,64.7,0,35,0.0,0,154,11,94.8,146,139.0,14,66.7,1,163,43,3.9,14.8,1.12
Hunter Henry,10669,TE,NE,6,21,0,19,0,,0,,,0,0,,0,0,0,,40.5,0,0,16.7,3,18,0,77.8,14,0.0,0,0.0,0,0,0,,,0.0,8.7,0,66.7,0.0,0,1,0.0,0,3,0,82.2,56.4,0,13,1.4,1,69,6,85.5,59,80.3,9,42.9,0,49,9,1.5,8.2,0.83
