Player,Team,Position,Redraft PPR ADP,Redraft Half PPR ADP,Redraft SF ADP,Dynasty PPR ADP,Dynasty Half PPR ADP,Dynasty SF ADP,IDP ADP
Quentin Johnston,LAC,WR,97.9,96.3,107.9,49.3,47,53.7,96.1
Brian Robinson,WAS,RB,98.1,102.8,120.4,101.3,97.3,122.3,118.3
Aaron Rodgers,NYJ,QB,98.4,107.4,43.5,128.2,139.1,86.9,93.3
Gabe Davis,BUF,WR,100,97,112.9,104.3,98.5,123.1,125.3
JuJu Smith-Schuster,NE,WR,101.7,106.3,116.8,110.5,113.7,127.2,133.6
Zay Flowers,BAL,WR,102.6,101.9,121.5,65.9,62.8,81,115.2
Jamaal Williams,NO,RB,103.6,104.3,128.6,115.4,116.1,149.7,147.5
Anthony Richardson,IND,QB,104.5,105.6,47.1,70.1,69.4,16.5,53.6
Kirk Cousins,MIN,QB,105.7,109.3,35.8,139.5,145.2,64.5,88.5
Odell Beckham,BAL,WR,106.8,115.7,134.8,132.2,142.3,159.1,154.7
Dalton Schultz,HOU,TE,107.4,113.8,115.4,116.4,128.6,132.8,134.7
Rashaad Penny,PHI,RB,107.8,100.3,119.8,125.4,124.6,146.6,151.4
Khalil Herbert,CHI,RB,109.3,103,118.6,112.8,109.2,138.1,137.5
Zach Charbonnet,SEA,RB,110.4,98.8,111.2,86.6,80.6,94.3,121.4
Samaje Perine,DEN,RB,111.3,107.5,125.7,140.6,141.5,153,159.8
Cole Kmet,CHI,TE,112.6,123.5,123.4,118.6,125.4,128.4,139.4
Elijah Moore,CLE,WR,113.6,111.4,125.1,111.6,110.4,119.6,138.4
Courtland Sutton,DEN,WR,114.8,110,131.1,124.2,120.1,143.6,157.5
Dalton Kincaid,BUF,TE,115.3,114,130.4,74.8,71.8,75.7,107.1
Allen Lazard,NYJ,WR,116.4,118.1,136.5,136.9,134,161.4,161.9
De'Von Achane,MIA,RB,116.8,112.5,132.9,94.9,89.7,102,127.9
Geno Smith,SEA,QB,118.6,122.5,48.1,156.8,157,76.9,110.5
Jerick McKinnon,KC,RB,119.8,121.8,139.3,159.9,160.5,181.7,206.2
Adam Thielen,CAR,WR,120.1,125.9,142.4,153,155,182.8,204.2
Jameson Williams,DET,WR,121.8,116.6,124.2,84.9,79.4,78.1,107.7
Chigoziem Okonkwo,TEN,TE,122.2,124.5,122.2,137.7,136.8,129.6,152.9
San Francisco 49ers,SF,DEF,123.7,132,223.9,186.6,238.7,,305.9
Justin Tucker,BAL,K,124.5,131.2,227.6,187.2,237,,221.7
Philadelphia Eagles,PHI,DEF,125,133.7,224.8,188.3,239.1,,305.4
