player_name,sample_size,DG_odds,bet365_odds,bet365_ev,whill_odds,whill_ev,fanduel_odds,fanduel_ev,draftkings_odds,draftkings_ev,pinnacle_odds,pinnacle_ev,betcris_odds,betcris_ev,betfair_odds,betfair_ev,betonline_odds,betonline_ev,betmgm_odds,betmgm_ev,betway_odds,betway_ev,bovada_odds,bovada_ev,circa_odds,circa_ev,pointsbet_odds,pointsbet_ev,skybet_odds,skybet_ev,unibet_odds,unibet_ev
"Gutschewski, Scott",150,166567,50000,-0.699,50000,-0.699,65000,-0.609,50000,-0.699,51924,0,0,0,50000,-0.699,,0,50000,-0.699,50000,-0.699,50000,-0.699,,0,50000,-0.699,50000,-0.699,50000,-0.699
"James, Benjamin",118,166567,,0,50000,-0.699,100000,-0.399,,0,51924,0,0,0,,0,,0,100000,-0.399,,0,,0,,0,40000,-0.759,,0,,0
"Kohles, Ben",150,181718,50000,-0.724,50000,-0.724,65000,-0.642,40000,-0.779,51924,0,0,0,50000,-0.724,,0,40000,-0.779,50000,-0.724,50000,-0.724,,0,50000,-0.724,50000,-0.724,50000,-0.724
"Gligic, Michael",150,181718,50000,-0.724,50000,-0.724,65000,-0.642,40000,-0.779,51924,0,0,0,50000,-0.724,,0,40000,-0.779,50000,-0.724,50000,-0.724,,0,40000,-0.779,50000,-0.724,50000,-0.724
"Sloan, Roger",150,181718,60000,-0.669,40000,-0.779,65000,-0.642,40000,-0.779,51924,0,0,0,50000,-0.724,,0,50000,-0.724,50000,-0.724,50000,-0.724,,0,40000,-0.779,40000,-0.779,50000,-0.724
"Tway, Kevin",150,190376,50000,-0.737,35000,-0.816,45000,-0.763,40000,-0.789,51924,0,0,0,30000,-0.842,,0,50000,-0.737,40000,-0.789,30000,-0.842,,0,35000,-0.816,40000,-0.789,50000,-0.737
"Mullinax, Trey",150,190376,50000,-0.737,30000,-0.842,34000,-0.821,40000,-0.789,51924,0,0,0,25000,-0.868,,0,40000,-0.789,30000,-0.842,30000,-0.842,,0,25000,-0.868,30000,-0.842,50000,-0.737
"Aphibarnrat, Kiradech",150,Inf,50000,-0.762,30000,-0.857,55000,-0.738,40000,-0.81,51924,0,0,0,30000,-0.857,,0,40000,-0.81,40000,-0.81,30000,-0.857,,0,35000,-0.833,40000,-0.81,50000,-0.762
"Novak, Andrew",150,Inf,40000,-0.81,40000,-0.81,65000,-0.691,40000,-0.81,51924,0,0,0,50000,-0.762,,0,50000,-0.762,40000,-0.81,50000,-0.762,,0,40000,-0.81,30000,-0.857,35000,-0.833
"Donald, Luke",150,Inf,40000,-0.83,40000,-0.83,48000,-0.796,40000,-0.83,51924,0,0,0,30000,-0.872,,0,40000,-0.83,40000,-0.83,40000,-0.83,,0,40000,-0.83,30000,-0.872,50000,-0.787
"Haas, Bill",150,Inf,40000,-0.83,35000,-0.851,65000,-0.723,40000,-0.83,51924,0,0,0,50000,-0.787,,0,40000,-0.83,50000,-0.787,40000,-0.83,,0,40000,-0.83,50000,-0.787,50000,-0.787
"Reeves, Seth",150,Inf,50000,-0.812,50000,-0.812,65000,-0.756,50000,-0.812,51924,0,0,0,50000,-0.812,,0,60000,-0.775,50000,-0.812,50000,-0.812,,0,50000,-0.812,60000,-0.775,50000,-0.812
"Cook, Austin",150,Inf,40000,-0.85,40000,-0.85,55000,-0.793,40000,-0.85,51924,0,0,0,30000,-0.887,,0,30000,-0.887,30000,-0.887,40000,-0.85,,0,40000,-0.85,25000,-0.906,35000,-0.868
"Wu, Dylan",150,Inf,50000,-0.812,50000,-0.812,65000,-0.756,40000,-0.85,51924,0,0,0,50000,-0.812,,0,50000,-0.812,50000,-0.812,50000,-0.812,,0,50000,-0.812,50000,-0.812,50000,-0.812
"Wolff, Matthew",150,Inf,20000,-0.94,20000,-0.94,21000,-0.937,20000,-0.94,51924,0,15000,0,15000,-0.955,20000,-0.94,20000,-0.94,15000,-0.955,20000,-0.94,,0,20000,-0.94,17500,-0.947,20000,-0.94
"Higgs, Harry",150,Inf,40000,-0.9,40000,-0.9,42000,-0.895,40000,-0.9,51924,0,0,0,30000,-0.925,40000,-0.9,40000,-0.9,40000,-0.9,40000,-0.9,,0,35000,-0.912,30000,-0.925,50000,-0.875
"Kang, Sung",150,Inf,50000,-0.887,50000,-0.887,65000,-0.854,50000,-0.887,51924,0,0,0,50000,-0.887,,0,50000,-0.887,50000,-0.887,50000,-0.887,,0,50000,-0.887,40000,-0.91,50000,-0.887
"Landry, Andrew",150,Inf,50000,-0.887,40000,-0.91,65000,-0.854,50000,-0.887,51924,0,0,0,50000,-0.887,,0,50000,-0.887,50000,-0.887,50000,-0.887,,0,40000,-0.91,40000,-0.91,50000,-0.887
"McGreevy, Max",150,Inf,60000,-0.865,40000,-0.91,65000,-0.854,50000,-0.887,51924,0,0,0,50000,-0.887,,0,50000,-0.887,50000,-0.887,50000,-0.887,,0,40000,-0.91,50000,-0.887,50000,-0.887
"Blixt, Jonas",150,Inf,100000,-0.8,40000,-0.92,65000,-0.87,50000,-0.9,51924,0,0,0,50000,-0.9,,0,100000,-0.8,50000,-0.9,100000,-0.8,,0,40000,-0.92,60000,-0.88,100000,-0.8
"Hoffmann, Morgan",150,Inf,60000,-0.88,75000,-0.85,65000,-0.87,50000,-0.9,51924,0,0,0,50000,-0.9,,0,75000,-0.85,50000,-0.9,50000,-0.9,,0,50000,-0.9,75000,-0.85,100000,-0.8
"Hadley, Chesson",150,Inf,50000,-0.912,50000,-0.912,55000,-0.904,50000,-0.912,51924,0,0,0,30000,-0.947,,0,75000,-0.869,50000,-0.912,50000,-0.912,,0,40000,-0.93,40000,-0.93,50000,-0.912
"Wolfe, Jared",150,Inf,75000,-0.869,30000,-0.947,65000,-0.886,40000,-0.93,51924,0,0,0,50000,-0.912,,0,50000,-0.912,50000,-0.912,50000,-0.912,,0,40000,-0.93,75000,-0.869,50000,-0.912
"Brehm, Ryan",150,Inf,100000,-0.85,40000,-0.94,65000,-0.902,50000,-0.925,51924,0,0,0,50000,-0.925,,0,50000,-0.925,50000,-0.925,50000,-0.925,,0,40000,-0.94,75000,-0.887,100000,-0.85
