"X","Name","ID","Salary","AvgPointsPerGame","odds_open","odds_close","odds_rank","odds_delta","odds_delta_per","fpts","proj_own","ceil","floor","make_cut","top_20","top_10","top_5","win","odds_per_dollar","one","residuals","own_change","adj_own","total_pts"
135,"Andrew Landry",23114277,6100,45.05,0.0019,0.0019,130,0,0,31.57,0.16,42.2,19.5,0.2688,0.0245,0.008,0.0026,0,0.31,1,-0.02,0.44,1,21.72
136,"Seth Reeves",23114278,6100,45.11,0.0019,0.0019,130,0,0,36.51,0.09,65,21.5,0.3077,0.0322,0.0111,0.0043,6e-04,0.31,1,-0.02,2.95,3,24.21
137,"Brandon Hagy",23114279,6000,42.72,0.0019,0.0019,130,0,0,41.93,0.27,72,23,0.2604,0.0215,0.0062,0.002,0,0.32,1,0.01,3.55,4,23.8
138,"Jared Wolfe",23114280,6000,44.22,0.0019,0.0019,130,0,0,45.08,0.24,75,24,0.2558,0.0198,0.006,0.0018,0,0.32,1,0.01,4,4,27.84
139,"Richy Werenski",23114281,6000,39.78,0.0019,0.0019,130,0,0,39.68,0.36,69.5,22.5,0.277,0.0251,0.0074,0.0021,0,0.32,1,0.01,3.05,3,23.8
140,"Morgan Hoffmann",23114283,6000,20,0.0019,0.0019,130,0,0,27.19,0.03,32.5,18,0.2045,0.0135,0.0043,0.0015,0,0.32,1,0.01,-2.57,0,21.72
141,"Michael Thorbjornsen",23114284,6000,21.5,0.0019,0.0019,130,0,0,41.96,0.23,72,23,0.2252,0.015,0.0043,0.0015,0,0.32,1,0.01,1.89,2,23.8
142,"Jonas Blixt",23114285,6000,33.33,0.0019,0.0019,130,0,0,32.2,0.15,54,20,0.2445,0.0183,0.0056,0.0016,0,0.32,1,0.01,0.84,1,21.72
143,"Ryan Brehm",23114286,6000,51.65,0.0019,0.0019,130,0,0,29.81,0.17,36,19,0.2364,0.0175,0.005,0.0013,0,0.32,1,0.01,0.3,0,21.72
144,"Martin Trainer",23114287,6000,43.61,0.0019,0.0019,130,0,0,29.05,0.19,34.5,18.5,0.2364,0.0183,0.0058,0.0017,0,0.32,1,0.01,-0.5,0,21.72
145,"J.J. Henry",23114288,6000,32.38,0.0019,0.0019,130,0,0,27.82,0.01,33.5,18,0.2179,0.0122,0.0033,0.001,0,0.32,1,0.01,-1.49,0,21.72
146,"Adam D'Amario",23114289,6000,0,0.0019,0.0019,130,0,0,21.22,0.01,38.19,11.67,0.0133,0,0,0,0,0.32,1,0.01,-3.51,0,17.68
147,"Brett Drewitt",23114290,6000,45.04,0.0019,0.0019,130,0,0,38.31,0.03,66.5,22.5,0.2268,0.0125,0.004,0.0013,0,0.32,1,0.01,3.13,3,21.72
148,"Benjamin James",23114291,6000,0,0.0019,0.0019,130,0,0,21.38,0.34,38.49,11.76,0.3623,0.0521,0.0193,0.0073,7e-04,0.32,1,0.01,-3.48,0,30.07
