"","Name","TeamAbbrev","Salary","proj_own","fpts","grades_offense","advantage","targets_per_game","yprr","sum_sd","opp","def_pass_epa_rank","cov_rank","man_zone_yprr_split","man_yprr","zone_yprr","man_rank","zone_rank","man_pass_plays","man_percentage","def_man_grade_rank","zone_pass_plays","zone_percentage","def_zone_grade_rank","def_pass_epa","touchdowns","yards_after_catch_per_reception","name_salary_own"
"57","Russell Gage","TB",3700,0.17,3.95,59.8,NA,5.1,1,NA,"SF",8,4,-0.15,0.96,1.11,29,4,71,0.216,18,150,0.784,4,-0.028,1,3.4,"Russell Gage 3700 0.17"
"58","Noah Brown","DAL",3500,0.27,3.76,61.8,16.4,3.9,1.33,-0.158,"HOU",28,32,1,2.08,1.08,24,10,91,0.242,29,181,0.758,31,0.147,1,3.3,"Noah Brown 3500 0.27"
"59","Steven Sims Jr.","PIT",3100,0.07,3.72,NA,NA,NA,NA,NA,"BAL",6,17,NA,NA,NA,10,23,NA,0.311,19,NA,0.689,16,-0.053,NA,NA,"Steven Sims Jr. 3100 0.07"
"60","Brandon Johnson","DEN",3000,0.1,3.67,52.5,NA,1.7,0.2,NA,"KC",16,10,-0.25,0.06,0.31,8,25,20,0.354,2,36,0.646,13,0.061,1,2,"Brandon Johnson 3000 0.1"
"61","Jamal Agnew","JAX",3200,0.02,3.54,70,NA,2.3,2.09,NA,"TEN",17,13,2.18,4.13,1.95,16,18,9,0.285,8,44,0.715,17,0.068,3,6.1,"Jamal Agnew 3200 0.02"
"62","Jameson Williams","DET",4400,0.4,3.45,57.8,NA,1,0,NA,"MIN",24,27,0,0,0,31,2,1,0.19,5,1,0.81,10,0.118,0,NA,"Jameson Williams 4400 0.4"
"63","Shi Smith","CAR",3000,0.05,3.12,46.5,NA,2.4,0.68,NA,"SEA",25,24,1.09,1.63,0.54,26,7,51,0.227,31,178,0.773,19,0.123,0,4.5,"Shi Smith 3000 0.05"
"64","Zach Pascal","PHI",3300,0.37,2.7,65.5,NA,1.3,1.26,NA,"NYG",27,30,1.81,2.35,0.54,1,32,42,0.518,15,62,0.482,32,0.128,1,6.8,"Zach Pascal 3300 0.37"
"65","James Washington","DAL",3000,0.05,2.6,NA,NA,NA,NA,NA,"HOU",28,32,NA,NA,NA,24,10,NA,0.242,29,NA,0.758,31,0.147,NA,NA,"James Washington 3000 0.05"
"66","Gunner Olszewski","PIT",3000,0.04,2.46,58.4,NA,0.4,0.81,NA,"BAL",6,17,-1.03,0,1.03,10,23,14,0.311,19,36,0.689,16,-0.053,0,4.7,"Gunner Olszewski 3000 0.04"
"67","Kalif Raymond","DET",3300,0.06,2.34,65.4,NA,3.7,1.46,NA,"MIN",24,27,-0.8,1.08,1.88,31,2,109,0.19,5,142,0.81,10,0.118,0,4.9,"Kalif Raymond 3300 0.06"
"68","Braxton Berrios","NYJ",3000,0.03,2.19,59.1,NA,1.8,0.57,NA,"BUF",20,7,-0.4,0.3,0.7,16,18,42,0.285,14,80,0.715,7,0.1,0,4.7,"Braxton Berrios 3000 0.03"
"69","Laquon Treadwell","SEA",3000,0.03,2.17,58.6,NA,0.5,0.08,NA,"CAR",10,26,NA,NA,0.1,30,3,0,0.206,32,10,0.794,23,-0.023,0,2,"Laquon Treadwell 3000 0.03"
"70","Chris Conley","TEN",3000,0.02,2.16,46.2,NA,0.8,0,NA,"JAX",26,32,0,0,0,NA,NA,7,NA,NA,13,NA,NA,0.127,0,NA,"Chris Conley 3000 0.02"
"71","Racey McMath","TEN",3000,0.03,2.06,NA,NA,NA,NA,NA,"JAX",26,32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.127,NA,NA,"Racey McMath 3000 0.03"
"72","Montrell Washington","DEN",3000,0.01,2.04,57.3,NA,0.9,0.04,NA,"KC",16,10,-0.09,0,0.09,8,25,16,0.354,2,25,0.646,13,0.061,0,3.5,"Montrell Washington 3000 0.01"
"73","Jalen Camp","HOU",3000,0.05,2.02,69.8,NA,1,1.4,NA,"DAL",7,3,7,7,0,22,11,2,0.247,22,2,0.753,1,-0.041,0,0,"Jalen Camp 3000 0.05"
"74","Khalil Shakir","BUF",3000,0.04,1.85,63,NA,1.4,1.19,NA,"NYJ",11,2,0.39,1.33,0.94,13,20,35,0.295,1,68,0.705,11,-0.001,1,7.4,"Khalil Shakir 3000 0.04"
"75","Trenton Irwin","CIN",3000,0.04,1.71,68.7,NA,2.4,1.03,NA,"CLE",5,20,0.9,1.7,0.8,21,12,40,0.25,9,63,0.75,27,-0.059,1,4.6,"Trenton Irwin 3000 0.04"
"76","James Proche II","BAL",3000,0.04,1.58,NA,NA,NA,NA,NA,"PIT",18,22,NA,NA,NA,3,30,NA,0.43,12,NA,0.57,25,0.096,NA,NA,"James Proche II 3000 0.04"
"77","Jalen Reagor","MIN",3000,0.04,1.53,82.9,NA,0.8,3.35,NA,"DET",22,28,1.94,3.5,1.56,4,28,8,0.422,17,9,0.578,28,0.116,1,4.5,"Jalen Reagor 3000 0.04"
"78","Denzel Mims","NYJ",3000,0.05,1.5,56,NA,2.7,1.17,NA,"BUF",20,7,-1.74,0.28,2.02,16,18,44,0.285,14,62,0.715,7,0.1,0,10,"Denzel Mims 3000 0.05"
"79","Amari Rodgers","HOU",3000,0.24,1.48,53.8,NA,1,0.77,NA,"DAL",7,3,1.19,1.83,0.64,22,11,21,0.247,22,37,0.753,1,-0.041,0,2.8,"Amari Rodgers 3000 0.24"
