player,player_id,position,team_name,player_game_count,block_percent,declined_penalties,franchise_id,grades_offense,grades_pass_block,grades_run_block,hits_allowed,hurries_allowed,non_spike_pass_block,non_spike_pass_block_percentage,pass_block_percent,pbe,penalties,pressures_allowed,sacks_allowed,snap_counts_block,snap_counts_ce,snap_counts_lg,snap_counts_lt,snap_counts_offense,snap_counts_pass_block,snap_counts_pass_play,snap_counts_rg,snap_counts_rt,snap_counts_run_block,snap_counts_te
Demick Starling,123792,WR,VIRGINIA,9,38.2,0,335,52.5,,61.9,0,0,0,0.0,0.0,,0,0,0,63,0,0,0,165,0,102,0,0,63,0
Jordan Brown,145550,T,CHARLOTTE,5,100.0,0,136,60.6,62.2,64.5,1,0,32,100.0,100.0,98.4,1,1,0,62,0,0,62,62,33,33,0,0,29,0
Tony Mathis Jr.,99481,HB,W VIRGINIA,9,18.1,0,343,67.5,32.4,62.1,1,4,39,21.5,21.1,91.0,0,6,1,62,0,0,0,342,40,190,0,0,22,0
Joe Maez,169144,TE,NEW MEXICO,9,98.4,0,241,41.5,74.2,47.7,0,0,8,88.9,90.0,100.0,1,0,0,62,0,0,0,63,9,10,0,0,53,63
Kyle Van Leeuwen,101345,WR,UTAH ST,3,44.6,0,329,59.9,,56.2,0,0,0,0.0,0.0,,0,0,0,62,0,0,0,139,0,77,0,0,62,0
Brandon Campbell,146414,HB,HOUSTON,8,25.6,0,182,67.0,52.4,73.7,0,3,41,30.1,29.1,96.3,0,3,0,62,0,0,0,242,41,141,0,0,21,0
Andrew Kristofic,98413,G,NOTRE DAME,3,100.0,0,258,51.1,48.1,50.2,1,0,23,100.0,100.0,97.8,0,1,0,62,0,62,0,62,24,24,0,0,38,0
Jirehl Brock,97291,HB,IOWA STATE,10,18.2,0,193,65.0,23.5,63.4,2,3,39,18.8,18.0,91.0,0,6,1,62,0,0,0,340,39,217,0,0,23,0
Beau Lombardi,121585,T,ARMY,4,98.4,0,114,54.5,57.2,54.2,0,0,12,92.3,92.9,100.0,0,0,0,62,0,0,0,63,13,14,0,53,49,10
Koby Drake,121761,WR,MEMPHIS,9,34.8,0,218,63.7,,58.0,0,0,0,0.0,0.0,,0,0,0,62,0,0,0,178,0,116,0,0,62,1
Nick Sharpe,144205,G,WAKE,6,100.0,0,339,70.2,77.9,68.8,0,1,29,100.0,100.0,98.3,0,1,0,62,0,0,0,62,29,29,62,0,33,0
Eli Raridon,156970,TE,NOTRE DAME,5,81.6,0,258,72.9,66.1,78.9,0,0,0,0.0,6.7,,0,0,0,62,0,0,0,76,1,15,0,0,61,67
Casey Filkins,131759,HB,STANFORD,7,20.1,0,300,66.9,57.8,57.2,0,2,41,25.6,26.6,95.1,0,3,1,62,0,0,0,309,46,173,0,0,16,0
Larry Stephens,130634,WR,TOLEDO,10,62.0,0,316,51.7,,58.7,0,0,0,0.0,0.0,,0,0,0,62,0,0,0,100,0,38,0,0,62,0
Cole Dakovich,129917,TE,WISCONSIN,5,88.6,0,349,40.7,69.4,48.3,0,0,3,27.3,27.3,100.0,1,0,0,62,0,0,0,70,3,11,0,4,59,66
Bugs Mortimer,168428,WR,LA MONROE,10,35.4,0,209,57.9,64.4,60.9,0,0,1,1.0,0.9,100.0,0,0,0,62,0,0,0,175,1,108,0,0,61,0
Andre Dollar,157346,TE,WASH STATE,6,64.9,0,341,37.6,74.0,49.6,0,0,12,27.9,26.7,100.0,1,0,0,61,0,0,1,94,12,45,0,1,49,73
Jake Bailey,72158,WR,SMU,4,36.1,0,287,67.4,79.9,45.8,0,0,3,2.9,2.7,100.0,1,0,0,61,0,0,0,169,3,111,0,0,58,0
Malique Dieudonne,145947,WR,W MICHIGAN,5,51.7,0,347,54.3,,60.1,0,0,0,0.0,0.0,,0,0,0,61,0,0,0,118,0,57,0,0,61,0
RJ Perry,124292,T,TENNESSEE,6,100.0,0,307,49.2,32.9,52.4,0,2,18,100.0,100.0,94.4,0,2,0,61,0,0,60,61,20,20,0,1,41,0
Zion Nelson,98239,T,MIAMI FL,2,100.0,0,220,54.2,49.8,62.4,1,1,34,100.0,100.0,97.1,2,2,0,61,0,0,32,61,38,38,0,29,23,0
TreVeyon Henderson,145059,HB,OHIO STATE,8,21.6,0,260,73.8,45.2,70.4,0,3,41,27.7,28.0,96.3,1,3,0,61,0,0,0,282,44,157,0,0,17,0
Jevyon Ducker,130550,HB,MEMPHIS,11,21.2,0,218,69.0,54.1,43.1,0,2,35,20.6,20.8,94.3,0,3,1,61,0,0,0,288,37,178,0,0,24,0
Jordan Byrd,83748,HB,S DIEGO ST,11,25.8,0,284,65.9,58.8,49.3,0,0,32,27.8,26.7,100.0,1,0,0,61,0,0,0,236,32,120,0,0,29,0
Micah Bernard,100583,HB,UTAH,11,17.5,0,328,67.6,22.1,54.8,1,4,31,13.4,13.4,91.9,0,5,0,61,0,0,0,349,33,247,0,0,28,0
Jjay Mcafee,147108,TE,GA SOUTHRN,9,41.1,0,174,68.6,36.2,68.5,0,1,6,6.9,7.5,91.7,0,1,0,60,0,0,0,146,7,93,0,0,53,80
Justin Holaday,163350,QB,NEW MEXICO,5,34.7,0,241,44.9,,60.0,0,0,0,0.0,0.0,,0,0,0,60,0,0,0,173,0,87,0,0,60,0
Jimmy Christ,129769,T,PENN STATE,7,100.0,0,266,52.1,51.1,52.0,0,2,26,100.0,100.0,96.2,0,2,0,60,0,0,0,60,27,27,0,60,33,0
Tyler Manoa,82445,T,UCLA,3,100.0,0,324,77.6,77.1,74.2,0,2,27,100.0,100.0,96.3,0,2,0,60,0,0,60,60,28,28,0,0,32,0
Josh Kelly,97061,WR,FRESNO ST,6,32.3,0,169,65.0,,72.7,0,0,0,0.0,0.0,,1,0,0,60,0,0,0,186,0,126,0,0,60,0
Federico Maranges,100771,C,FAU,4,100.0,0,165,56.1,78.9,55.2,0,0,10,100.0,100.0,100.0,0,0,0,60,45,1,0,60,11,11,14,0,49,0
Austin Blaske,124011,T,GEORGIA,9,100.0,0,173,77.6,72.5,74.5,0,1,19,100.0,100.0,97.4,0,1,0,60,3,0,48,60,20,20,0,0,40,9
Luke Musgrave,98499,TE,OREGON ST,2,52.6,0,265,73.1,45.1,55.2,0,1,3,5.7,10.0,83.3,2,1,0,60,0,0,0,114,6,60,0,0,54,80
D.J. Jones,122840,HB,N CAROLINA,10,38.7,0,245,62.7,31.6,57.9,1,3,41,36.6,38.5,95.1,0,4,0,60,0,0,0,155,45,117,0,0,15,2
Davion Ervin-Poindexter,101653,HB,W KENTUCKY,12,18.8,0,346,68.6,64.4,62.3,1,1,30,15.5,16.2,96.7,0,2,0,60,0,0,0,320,33,204,0,0,27,0
Bryce Childress,123695,WR,NEW MEX ST,10,44.8,0,242,64.1,61.1,61.0,0,0,1,1.4,1.4,100.0,0,0,0,60,0,0,0,134,1,74,0,0,59,0
T.J. Finley,124093,QB,AUBURN,4,44.4,0,115,53.5,,60.0,0,0,0,0.0,0.0,,2,0,0,60,0,0,0,135,0,72,0,0,60,0
Taniela Pututau,131872,TE,UTAH,9,96.8,0,328,76.4,70.1,73.0,0,0,3,75.0,66.7,100.0,0,0,0,60,0,0,0,62,4,6,0,0,56,62
Jackson Meeks,146714,WR,GEORGIA,10,60.6,0,173,67.9,,61.6,0,0,0,0.0,0.0,,0,0,0,60,0,0,0,99,0,39,0,0,60,0
Kevin Terry,78145,WR,KANSAS,11,54.5,0,198,59.3,,55.3,0,0,0,0.0,0.0,,0,0,0,60,0,0,0,110,0,49,0,0,60,0
Jaylan Knighton,122215,HB,MIAMI FL,9,26.5,0,220,63.0,25.4,57.4,2,2,38,29.5,29.1,94.7,1,4,0,60,0,0,0,226,39,134,0,0,21,0
Jack Chambers,60359,QB,NC STATE,8,34.7,1,248,55.3,,60.0,0,0,0,0.0,0.0,,1,0,0,60,0,0,0,173,0,82,0,0,60,0
Jeremiah Ballard,145495,WR,UTEP,9,37.3,0,330,66.7,,62.3,0,0,0,0.0,0.0,,0,0,0,59,0,0,0,158,0,99,0,0,59,1
Savion Byrd,144626,G,OKLAHOMA,8,100.0,0,261,72.7,77.5,71.2,0,0,7,100.0,100.0,100.0,1,0,0,59,0,59,0,59,7,7,0,0,52,0
Michael Jackson III,146412,WR,USC,6,38.1,0,326,67.9,,51.7,0,0,0,0.0,0.0,,1,0,0,59,0,0,0,155,0,94,0,0,59,0
Kevin Bauman,122893,TE,NOTRE DAME,3,78.7,0,258,61.3,70.7,49.2,0,0,2,11.1,20.0,100.0,1,0,0,59,0,0,0,75,4,20,0,0,55,62
