player,player_id,position,team_name,player_game_count,attempts,attempts_with_hangtime,average_hangtime,average_net_yards,average_yards_per_attempt,average_yards_per_return,blocks,declined_penalties,downeds,fair_catches,franchise_id,grades_punter,inside_twenties,long,out_of_bounds,penalties,percent_returned,return_yards,returns,snaps,total_hangtime,total_net_yards,touchbacks,yards
Porter Wilson,98463,P,DUKE,11,38,38,4.05,39.53,42.87,5.6,0,0,4,14,154,67.8,12,64,5,0,31.6,67,12,38,153.8,1502,3,1629
Kyle Ostendorp,98795,P,ARIZONA,11,31,31,3.67,38.87,45.61,9.9,0,0,6,3,109,69.6,11,64,4,0,48.4,149,15,32,113.69,1205,3,1414
Lou Hedley,98796,P,MIAMI FL,9,43,43,3.98,42.49,45.21,5.2,0,0,16,9,220,81.2,23,61,4,0,25.6,57,11,43,171.11,1827,3,1944
Noah Rauschenberg,99361,K,BAYLOR,1,1,1,3.62,14.0,14.0,,0,0,0,0,118,60.0,0,14,1,0,0.0,0,0,1,3.62,14,0,14
Austin McNamara,99363,P,TEXAS TECH,11,43,43,4.15,39.0,44.05,15.7,0,0,6,20,315,77.8,14,65,4,0,23.3,157,10,43,178.55,1677,3,1894
Jordy Sandy,99462,P,TCU,11,44,44,4.15,36.86,38.61,5.7,0,0,10,27,305,74.8,15,59,1,0,6.8,17,3,44,182.53,1622,3,1699
Ty Zentner,99465,P,KANSAS ST,11,44,44,4.26,40.77,42.93,7.0,0,0,13,22,199,79.3,21,66,1,0,11.4,35,5,44,187.58,1794,3,1889
Aidan Swanson,99859,P,CLEMSON,11,48,48,3.57,37.38,41.67,9.8,1,0,8,13,140,52.1,14,67,7,0,39.6,186,19,49,171.19,1794,1,2000
Ben Kiernan,99871,P,N CAROLINA,11,36,36,3.56,42.92,47.22,7.2,0,0,7,8,245,61.8,14,70,3,0,44.4,115,16,36,128.11,1545,2,1700
Nicholas Barr-Mira,100480,K,UCLA,10,19,19,3.79,40.32,43.37,8.3,1,0,1,8,324,65.4,8,51,3,0,36.8,58,7,20,72.0,766,0,824
Andrew Boyle,100482,K,OREGON,1,2,2,3.28,36.0,36.0,,0,0,0,1,264,59.3,1,37,1,0,0.0,0,0,2,6.56,72,0,72
Matthew Hayball,100813,P,VANDERBILT,11,51,51,3.65,40.08,45.86,12.5,0,0,12,9,333,77.6,19,65,7,0,43.1,275,22,51,186.18,2044,1,2339
Kyle Ulbrich,100815,P,MIDDLE TN,11,55,55,3.53,41.6,46.11,7.1,1,0,13,11,224,65.1,24,72,7,0,32.7,128,18,56,194.38,2288,6,2536
Alex Bales,100970,K,OREGON,2,6,6,3.64,35.0,36.33,8.0,0,0,1,3,264,57.8,1,46,1,0,16.7,8,1,6,21.85,210,0,218
Adam Barry,101046,P,OREGON,6,10,10,3.72,39.7,39.7,0.0,0,0,1,8,264,60.7,4,58,0,0,10.0,0,1,10,37.23,397,0,397
Michael O'Shaughnessy,101607,P,OHIO STATE,1,1,1,3.13,21.0,41.0,,0,0,0,0,260,60.0,0,41,0,0,0.0,0,0,1,3.13,21,1,41
Anthony Pecorella,101608,P,MARYLAND,4,5,5,3.67,37.8,37.8,,0,0,3,1,215,60.2,4,41,1,0,0.0,0,0,5,18.35,189,0,189
Colton Spangler,101609,P,MARYLAND,11,47,47,3.61,42.66,45.45,4.2,1,0,12,13,215,63.1,15,63,2,0,36.2,71,17,48,169.75,2005,3,2136
Tom Foley,101612,P,N ILLINOIS,11,41,41,3.81,38.2,40.59,7.1,1,0,9,18,254,57.9,14,61,2,0,26.8,78,11,42,156.37,1566,1,1664
Jack Bouwmeester,101613,P,UTAH,11,29,29,3.89,37.76,38.69,1.4,0,0,2,18,328,66.5,12,48,3,0,17.2,7,5,29,112.68,1095,1,1122
Chase Wyatt,101615,P,BALL ST,1,1,1,3.84,16.0,16.0,,0,0,0,0,117,60.0,0,16,1,0,0.0,0,0,1,3.84,16,0,16
Josh Carlson,102852,P,NEW MEX ST,10,51,51,3.97,40.08,40.02,-0.3,0,0,5,30,242,62.7,16,54,4,0,23.5,-3,12,51,202.52,2044,0,2041
Seamus O'Kelly,102853,P,TEXAS ST,11,69,69,3.69,38.26,40.93,7.0,0,0,13,34,314,62.2,14,68,5,0,17.4,84,12,69,254.62,2640,5,2824
Jay Bramblett,102854,P,LSU,10,39,39,4.06,39.23,44.56,10.6,0,0,4,12,211,79.3,16,66,6,0,35.9,148,14,39,158.49,1530,3,1738
Sam Clark,104755,P,JAMES MAD,10,45,45,3.74,39.16,43.04,8.6,1,0,9,17,197,67.6,13,65,4,0,24.4,95,11,46,168.33,1762,4,1937
Brian Buschini,105308,P,NEBRASKA,11,62,62,3.97,40.32,44.53,8.9,1,0,12,22,238,63.0,13,74,5,0,29.0,161,18,63,246.37,2500,5,2761
Nik Constantinou,105801,P,TEXAS A&M,11,59,59,4.12,40.41,41.76,4.3,0,0,11,26,312,86.2,26,57,7,0,23.7,60,14,59,242.81,2384,1,2464
Jon Sot,108908,P,NOTRE DAME,11,44,44,3.94,40.82,43.34,8.9,0,0,7,26,258,57.8,23,75,1,0,18.2,71,8,44,173.16,1796,2,1907
Noah Gettman,108915,P,AKRON,10,52,52,3.7,36.85,40.62,7.2,0,0,7,15,102,57.1,13,58,8,0,36.5,136,19,52,192.52,1916,3,2112
