player,player_id,position,team_name,player_game_count,assists,avg_depth_of_tackle,declined_penalties,forced_fumbles,franchise_id,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,missed_tackle_rate,missed_tackles,penalties,run_stop_opp,snap_counts_run,stop_percent,stops,tackles
J.D. Lampley,157442,DI,E CAROLINA,10,0,5.1,0,0,156,68.9,53.2,51.0,64.0,41.2,55.9,12.5,1,1,82,83,4.9,4,7
Adrian Gonzalez,157452,DI,E MICHIGAN,8,0,2.3,0,0,160,,69.6,78.2,62.3,71.2,74.6,0.0,0,0,43,44,7.0,3,3
Joseph Zelinsky,157453,ED,E MICHIGAN,11,4,5.2,0,0,160,60.0,65.8,41.3,59.3,69.9,80.0,0.0,0,1,104,107,1.0,1,5
Keylen Gulley,157461,CB,E MICHIGAN,7,0,,0,0,160,51.7,54.4,79.3,,67.0,28.3,,0,0,49,50,0.0,0,0
Joshua Scott,157470,CB,E MICHIGAN,11,5,7.5,0,0,160,65.9,66.5,41.9,,69.5,44.8,25.0,3,3,241,250,0.4,1,4
Anthony Smith,157485,ED,MINNESOTA,2,1,0.0,0,0,225,,69.1,71.7,63.6,66.1,29.9,33.3,1,0,4,4,25.0,1,1
Rhyland Kelly,157495,CB,MINNESOTA,1,0,,0,0,225,64.2,64.8,69.1,,60.0,,,0,0,1,1,0.0,0,0
Tariq Watson,157504,CB,MINNESOTA,1,0,,0,0,225,54.2,53.9,70.1,,60.0,76.6,,0,0,1,1,0.0,0,0
Coleman Bryson,157509,S,MINNESOTA,3,0,,0,0,225,61.8,58.7,77.4,,50.6,56.5,100.0,1,0,20,20,0.0,0,0
Rayyan Buell,157513,DI,OHIO,10,2,2.0,0,0,259,59.7,59.6,80.8,59.0,59.2,36.0,28.6,2,0,51,53,5.9,3,3
Tyler Mullins,157517,S,OHIO,2,1,5.0,0,0,259,39.3,47.0,74.5,,66.6,79.0,0.0,0,0,11,11,0.0,0,1
Demond Claiborne,157523,HB,WAKE,1,0,,0,0,339,,60.1,73.9,,60.0,,,0,0,1,1,0.0,0,0
Zamari Stevenson,157530,CB,WAKE,5,0,,0,0,339,66.5,67.2,72.5,,62.6,,,0,0,10,10,0.0,0,0
DJ VanHook,157540,S,APP STATE,2,0,23.0,0,0,108,63.8,54.0,72.1,,41.9,28.7,50.0,1,0,11,11,0.0,0,1
Andre Hamilton,157541,CB,APP STATE,1,0,,0,0,108,60.0,60.9,66.6,,60.0,,,0,0,2,2,0.0,0,0
Kevin Abrams-Verwayne,157542,DI,APP STATE,3,1,,0,0,108,63.4,59.2,75.9,55.4,53.4,75.8,0.0,0,0,10,10,0.0,0,0
Omari Philyaw,157547,CB,APP STATE,2,0,,0,0,108,57.1,57.6,74.2,,60.5,74.2,,0,1,8,8,0.0,0,0
James Edwards,157548,CB,APP STATE,1,0,,0,0,108,,60.0,65.8,,60.0,,,0,0,2,2,0.0,0,0
Ethan Johnson,157549,CB,APP STATE,7,0,12.0,0,0,108,53.6,54.0,80.3,,55.8,84.6,0.0,0,1,77,79,0.0,0,1
DJ Burks,157550,S,APP STATE,1,0,,0,0,108,55.0,54.9,68.4,,60.0,27.0,,0,0,2,2,0.0,0,0
Santana Hopper,157551,DI,APP STATE,2,0,6.0,0,0,108,,65.9,72.5,55.0,71.2,70.8,0.0,0,0,6,6,0.0,0,1
Derrell Farrar,157552,LB,APP STATE,1,0,,0,0,108,49.3,47.1,66.2,57.8,60.0,20.7,,0,0,1,1,0.0,0,0
Cole Becker,157553,LB,APP STATE,1,0,-1.0,0,0,108,60.9,77.7,67.3,,70.4,76.1,0.0,0,0,2,2,50.0,1,1
Brodrick Gooch,157555,LB,APP STATE,1,1,,0,0,108,62.6,91.0,67.7,83.3,72.9,77.7,0.0,0,0,5,5,0.0,0,0
Markus Clark,157556,DI,APP STATE,8,0,0.3,0,1,108,61.7,64.4,83.2,55.0,66.5,73.2,0.0,0,0,55,56,5.5,3,3
Josiah Wyatt,157557,ED,APP STATE,2,0,,0,0,108,,58.2,74.0,59.3,57.7,,,0,0,9,9,0.0,0,0
Donovan Spellman,157558,ED,APP STATE,5,1,5.0,0,0,108,74.4,64.3,81.5,59.7,57.3,58.7,0.0,0,0,36,36,5.6,2,4
Will McLaughlin,157562,LB,IOWA STATE,9,5,0.5,0,0,193,70.8,51.6,0.0,64.9,28.4,45.4,12.5,1,1,60,60,1.7,1,2
Jacob Imming,157580,LB,IOWA STATE,1,0,,0,0,193,,61.0,63.6,,60.0,,,0,0,3,3,0.0,0,0
Trevon Howard,157585,S,IOWA STATE,4,3,5.8,0,0,193,63.1,61.2,77.7,,56.4,73.6,18.2,2,0,29,30,6.9,2,6
Carson Willich,157592,LB,IOWA STATE,4,2,2.3,0,0,193,51.2,41.5,73.2,57.0,32.9,29.3,16.7,1,0,33,33,3.0,1,3
Blake Thompson,157593,CB,IOWA STATE,2,1,,0,0,193,67.8,68.4,76.4,,63.3,74.8,0.0,0,0,5,5,0.0,0,0
