"game_id","first","time_control_name","game_end_reason","winner","created_at","last_update","type","game_request.lexicon","game_request.initial_time_seconds","game_request.increment_seconds","game_request.challenge_rule","game_request.game_mode","game_request.rating_mode","game_request.max_overtime_minutes","game_request.player_vs_bot","game_request.bot_type","game_request.rules.board_layout_name","game_request.rules.letter_distribution_name","game_request.rules.variant_name"
"Nx4Eft7u","BasicBot","regular","STANDARD",0,"2022-07-13T17:11:59.070712Z","2022-07-13T17:24:34.206247Z","NATIVE","RD28",1800,0,"VOID","REAL_TIME","RATED",1,TRUE,"LEVEL2_PROBABILISTIC","CrosswordGame","german",""
"7PqbcVZd","BasicBot","regular","STANDARD",0,"2022-07-13T17:11:27.941858Z","2022-07-13T17:23:08.847633Z","NATIVE","CSW21",1260,0,"VOID","REAL_TIME","RATED",1,TRUE,"LEVEL2_CEL_BOT","CrosswordGame","english",""
"wyg7D3bx","BasicBot","regular","CONSECUTIVE_ZEROES",0,"2022-07-13T17:10:57.501524Z","2022-07-13T17:19:07.737522Z","NATIVE","CSW21",900,0,"VOID","REAL_TIME","CASUAL",1,TRUE,"LEVEL2_CEL_BOT","CrosswordGame","english",""
"mfUGRjjc","BasicBot","regular","STANDARD",1,"2022-07-13T17:07:42.224047Z","2022-07-13T17:20:31.160558Z","NATIVE","NWL20",1200,0,"DOUBLE","REAL_TIME","RATED",2,TRUE,"LEVEL2_CEL_BOT","CrosswordGame","english",""
"U6KuzwoZ","Yuki86","regular","STANDARD",0,"2022-07-13T17:02:21.597473Z","2022-07-13T17:10:54.355452Z","NATIVE","CSW21",900,0,"VOID","REAL_TIME","CASUAL",1,TRUE,"LEVEL2_CEL_BOT","CrosswordGame","english",""
"uFUiGzAU","Cappellusman","regular","STANDARD",1,"2022-07-13T16:59:55.242075Z","2022-07-13T17:11:44.391407Z","NATIVE","RD28",1800,0,"VOID","REAL_TIME","RATED",1,TRUE,"LEVEL2_PROBABILISTIC","CrosswordGame","german",""
"wgsepHt9","BasicBot","regular","STANDARD",0,"2022-07-13T16:52:30.633085Z","2022-07-13T17:02:17.508993Z","NATIVE","CSW21",900,0,"VOID","REAL_TIME","CASUAL",1,TRUE,"LEVEL2_CEL_BOT","CrosswordGame","english",""
"6qvRWJoz","BasicBot","regular","STANDARD",1,"2022-07-13T16:50:27.471439Z","2022-07-13T16:53:39.519229Z","NATIVE","CSW21",1200,0,"FIVE_POINT","REAL_TIME","RATED",1,TRUE,"LEVEL2_CEL_BOT","CrosswordGame","english",""
"eiJMPBKK","BasicBot","regular","STANDARD",0,"2022-07-13T16:47:02.361062Z","2022-07-13T16:59:44.363437Z","NATIVE","RD28",1800,0,"VOID","REAL_TIME","RATED",1,TRUE,"LEVEL2_PROBABILISTIC","CrosswordGame","german",""
"pVuarMBC","BasicBot","regular","STANDARD",0,"2022-07-13T16:45:26.862524Z","2022-07-13T17:02:46.060321Z","NATIVE","CSW21",1200,0,"VOID","REAL_TIME","RATED",1,TRUE,"LEVEL2_CEL_BOT","CrosswordGame","english",""
"xX3G8zrq","gameatiruth","regular","STANDARD",1,"2022-07-13T16:44:14.229509Z","2022-07-13T16:52:33.809106Z","NATIVE","CSW21",1200,0,"VOID","REAL_TIME","RATED",1,TRUE,"LEVEL2_CEL_BOT","CrosswordGame","english",""
"ynaKpKjC","BasicBot","regular","STANDARD",1,"2022-07-13T16:38:02.051597Z","2022-07-13T16:44:09.333160Z","NATIVE","CSW21",1200,0,"VOID","REAL_TIME","RATED",1,TRUE,"LEVEL2_CEL_BOT","CrosswordGame","english",""
"rEmiuBFb","Cappellusman","regular","STANDARD",1,"2022-07-13T16:30:08.690854Z","2022-07-13T16:46:45.988513Z","NATIVE","RD28",1800,0,"VOID","REAL_TIME","RATED",1,TRUE,"LEVEL2_PROBABILISTIC","CrosswordGame","german",""
"vJrHhU2K","erishacbees","regular","TIME",0,"2022-07-13T16:27:07.987822Z","2022-07-13T16:43:16.092671Z","NATIVE","CSW21",900,0,"VOID","REAL_TIME","RATED",1,TRUE,"LEVEL2_CEL_BOT","CrosswordGame","english",""
"ocdSAuuL","BasicBot","regular","STANDARD",0,"2022-07-13T16:16:42.475138Z","2022-07-13T16:28:54.276451Z","NATIVE","RD28",1800,0,"VOID","REAL_TIME","RATED",1,TRUE,"LEVEL2_PROBABILISTIC","CrosswordGame","german",""
"GwWhkqVY","BasicBot","regular","STANDARD",0,"2022-07-13T16:16:27.661122Z","2022-07-13T16:26:58.695404Z","NATIVE","CSW21",900,0,"VOID","REAL_TIME","RATED",1,TRUE,"LEVEL2_CEL_BOT","CrosswordGame","english",""
"22iNVRzd","BobSluys","regular","STANDARD",0,"2022-07-13T16:07:33.236334Z","2022-07-13T16:24:59.669694Z","NATIVE","CSW21",1200,0,"VOID","REAL_TIME","RATED",1,TRUE,"LEVEL2_CEL_BOT","CrosswordGame","english",""
"sy4zyh3w","MaryC123","regular","STANDARD",0,"2022-07-13T16:06:50.976274Z","2022-07-13T16:25:31.994983Z","NATIVE","CSW21",1200,0,"VOID","REAL_TIME","RATED",2,TRUE,"LEVEL2_CEL_BOT","CrosswordGame","english",""
"Hd8D93GL","erishacbees","regular","STANDARD",0,"2022-07-13T16:05:47.987373Z","2022-07-13T16:16:22.132634Z","NATIVE","CSW21",900,0,"VOID","REAL_TIME","RATED",1,TRUE,"LEVEL2_CEL_BOT","CrosswordGame","english",""
"GthcvZqH","BasicBot","rapid","TIME",0,"2022-07-13T15:59:33.849463Z","2022-07-13T16:06:38.167554Z","NATIVE","CSW21",420,0,"VOID","REAL_TIME","RATED",0,TRUE,"LEVEL2_CEL_BOT","CrosswordGame","english",""
"rN8MJxr2","BasicBot","regular","STANDARD",0,"2022-07-13T15:57:43.425368Z","2022-07-13T16:05:44.981242Z","NATIVE","CSW21",900,0,"VOID","REAL_TIME","RATED",1,TRUE,"LEVEL2_CEL_BOT","CrosswordGame","english",""
"sZSByVVb","sivanes","regular","TIME",0,"2022-07-13T15:55:38.840389Z","2022-07-13T16:21:56.090968Z","NATIVE","CSW21",1500,0,"SINGLE","REAL_TIME","RATED",1,TRUE,"LEVEL2_CEL_BOT","CrosswordGame","english",""
"7RTNRoyR","CarlTassya","rapid","TIME",0,"2022-07-13T15:52:27.624816Z","2022-07-13T15:59:31.982864Z","NATIVE","CSW21",420,0,"VOID","REAL_TIME","RATED",0,TRUE,"LEVEL2_CEL_BOT","CrosswordGame","english",""
"euF4GuFB","BasicBot","regular","STANDARD",0,"2022-07-13T15:51:07.964981Z","2022-07-13T15:55:37.245410Z","NATIVE","CSW21",1500,0,"SINGLE","REAL_TIME","RATED",1,TRUE,"LEVEL2_CEL_BOT","CrosswordGame","english",""
"rZWurVPF","BasicBot","regular","STANDARD",1,"2022-07-13T15:48:27.475788Z","2022-07-13T16:02:14.525904Z","NATIVE","CSW21",1200,0,"VOID","REAL_TIME","CASUAL",1,TRUE,"LEVEL2_CEL_BOT","CrosswordGame","english",""
"eXKBDvJ2","CarlTassya","rapid","TIME",0,"2022-07-13T15:44:37.561814Z","2022-07-13T15:51:40.837859Z","NATIVE","CSW21",420,0,"VOID","REAL_TIME","RATED",0,TRUE,"LEVEL2_CEL_BOT","CrosswordGame","english",""
"3aFZQAaH","erishacbees","regular","STANDARD",1,"2022-07-13T15:43:52.938981Z","2022-07-13T15:57:33.835830Z","NATIVE","CSW21",900,0,"VOID","REAL_TIME","RATED",1,TRUE,"LEVEL2_CEL_BOT","CrosswordGame","english",""
"i9yMDLHj","BasicBot","rapid","TIME",0,"2022-07-13T15:37:25.627683Z","2022-07-13T15:44:30.801813Z","NATIVE","CSW21",420,0,"VOID","REAL_TIME","RATED",0,TRUE,"LEVEL2_CEL_BOT","CrosswordGame","english",""
"7kh5jNG3","sivanes","regular","STANDARD",0,"2022-07-13T15:35:07.611595Z","2022-07-13T15:51:04.250732Z","NATIVE","CSW21",1500,0,"SINGLE","REAL_TIME","RATED",1,TRUE,"LEVEL2_CEL_BOT","CrosswordGame","english",""
"j635H6kY","BasicBot","rapid","STANDARD",1,"2022-07-13T15:34:40.378529Z","2022-07-13T15:37:11.397532Z","NATIVE","CSW21",600,0,"FIVE_POINT","REAL_TIME","RATED",1,TRUE,"LEVEL2_CEL_BOT","CrosswordGame","english",""
"wQZgBxV4","Lightning_Warrior","rapid","STANDARD",1,"2022-07-13T15:31:13.972839Z","2022-07-13T15:34:22.705682Z","NATIVE","CSW21",600,0,"FIVE_POINT","REAL_TIME","RATED",1,TRUE,"LEVEL2_CEL_BOT","CrosswordGame","english",""
"m4WkV9K6","CarlTassya","rapid","TIME",0,"2022-07-13T15:30:16.894733Z","2022-07-13T15:37:20.349261Z","NATIVE","CSW21",420,0,"VOID","REAL_TIME","RATED",0,TRUE,"LEVEL2_CEL_BOT","CrosswordGame","english",""
"rwQUiVvs","BasicBot","regular","STANDARD",0,"2022-07-13T15:29:33.399361Z","2022-07-13T15:43:49.975947Z","NATIVE","CSW21",900,0,"VOID","REAL_TIME","RATED",1,TRUE,"LEVEL2_CEL_BOT","CrosswordGame","english",""
"eLCTfCbW","Cappellusman","regular","STANDARD",1,"2022-07-13T15:24:54.157170Z","2022-07-13T15:34:18.641859Z","NATIVE","RD28",1800,0,"VOID","REAL_TIME","RATED",1,TRUE,"LEVEL2_PROBABILISTIC","CrosswordGame","german",""
"nx4Yj7yS","anupama","regular","TIME",0,"2022-07-13T15:24:24.770259Z","2022-07-13T15:46:36.094933Z","NATIVE","CSW21",1260,0,"VOID","REAL_TIME","RATED",1,TRUE,"LEVEL2_CEL_BOT","CrosswordGame","english",""
"n5CEJdo2","BasicBot","rapid","TIME",0,"2022-07-13T15:23:11.090645Z","2022-07-13T15:30:14.776197Z","NATIVE","CSW21",420,0,"VOID","REAL_TIME","RATED",0,TRUE,"LEVEL2_CEL_BOT","CrosswordGame","english",""
"4BQKa5PG","BasicBot","regular","STANDARD",0,"2022-07-13T15:17:22.889021Z","2022-07-13T15:35:02.219553Z","NATIVE","CSW21",1500,0,"SINGLE","REAL_TIME","RATED",1,TRUE,"LEVEL2_CEL_BOT","CrosswordGame","english",""
"nMZD2sPt","erishacbees","regular","STANDARD",0,"2022-07-13T15:15:49.467385Z","2022-07-13T15:29:30.359952Z","NATIVE","CSW21",900,0,"VOID","REAL_TIME","RATED",1,TRUE,"LEVEL2_CEL_BOT","CrosswordGame","english",""
"QtkCt2Ao","BasicBot","rapid","TIME",0,"2022-07-13T15:15:40.285272Z","2022-07-13T15:22:44.713687Z","NATIVE","CSW21",420,0,"VOID","REAL_TIME","RATED",0,TRUE,"LEVEL2_CEL_BOT","CrosswordGame","english",""
"BaTzzToQ","BasicBot","regular","STANDARD",0,"2022-07-13T15:12:37.580258Z","2022-07-13T15:24:29.128478Z","NATIVE","RD28",1800,0,"VOID","REAL_TIME","RATED",1,TRUE,"LEVEL2_PROBABILISTIC","CrosswordGame","german",""
"w5QwSja4","anupama","regular","STANDARD",0,"2022-07-13T15:11:32.335687Z","2022-07-13T15:21:16.983018Z","NATIVE","CSW21",1260,0,"VOID","REAL_TIME","RATED",1,TRUE,"LEVEL2_CEL_BOT","CrosswordGame","english",""
"FBr2nT59","CarlTassya","rapid","TIME",0,"2022-07-13T15:08:02.594333Z","2022-07-13T15:15:06.111342Z","NATIVE","CSW21",420,0,"VOID","REAL_TIME","RATED",0,TRUE,"LEVEL2_CEL_BOT","CrosswordGame","english",""
"FZt8MTyc","BasicBot","regular","STANDARD",0,"2022-07-13T15:04:35.371190Z","2022-07-13T15:15:45.680582Z","NATIVE","CSW21",900,0,"VOID","REAL_TIME","RATED",1,TRUE,"LEVEL2_CEL_BOT","CrosswordGame","english",""
