player_name,sample_size,baseline,links_adj,age,age_adj,true_sg_adj,timing_adj,sg_category_adj,course_history_adj,driving_dist_adj,driving_acc_adj,fit_other_adj,course_fit_total_adj,final_prediction,std_dev,event_name,course_name
"Donaldson, Jamie",150,-0.933,0.107,46,-0.046,-0.078,-0.041,-0.100,0.050,-0.047,-0.006,0.044,-0.008,-1.048,2.810,"Genesis Scottish Open","The Renaissance Club"
"Migliozzi, Guido",150,-1.163,-0.058,25,0.024,-0.034,-0.028,0.024,0.040,0.012,0.019,0.054,0.085,-1.109,2.851,"Genesis Scottish Open","The Renaissance Club"
"Brown, Steven",150,-1.392,0.205,35,-0.008,-0.035,-0.000,0.042,-0.014,-0.022,-0.000,0.064,0.041,-1.160,2.755,"Genesis Scottish Open","The Renaissance Club"
"Sharma, Shubhankar",150,-1.128,-0.031,25,0.022,-0.020,-0.013,-0.109,0.073,-0.027,-0.004,0.030,-0.002,-1.208,2.829,"Genesis Scottish Open","The Renaissance Club"
"Winther, Jeff",150,-1.289,-0.011,34,-0.005,-0.011,-0.041,0.029,0.078,-0.025,0.006,0.057,0.038,-1.212,2.872,"Genesis Scottish Open","The Renaissance Club"
"Antcliff, Maverick",150,-1.471,-0.001,29,0.011,-0.079,-0.004,0.180,-0.037,-0.048,-0.010,0.051,-0.008,-1.408,2.803,"Genesis Scottish Open","The Renaissance Club"
"Warren, Marc",150,-2.394,0.512,41,-0.028,0.030,-0.097,0.187,0.060,-0.003,0.037,0.107,0.140,-1.589,2.915,"Genesis Scottish Open","The Renaissance Club"
"Watney, Nick",150,-1.314,-0.162,41,-0.028,-0.006,-0.099,-0.212,-0.040,0.001,0.020,0.034,0.055,-1.805,2.831,"Genesis Scottish Open","The Renaissance Club"
"Hend, Scott",150,-2.118,-0.083,48,-0.053,0.017,0.014,0.198,0.029,0.015,0.026,0.091,0.131,-1.863,2.884,"Genesis Scottish Open","The Renaissance Club"
"Karlberg, Rikard",150,-1.983,0.112,35,-0.010,0.003,-0.077,0.007,-0.035,-0.013,0.022,0.091,0.101,-1.883,2.811,"Genesis Scottish Open","The Renaissance Club"
"Bjorn, Thomas",150,-2.117,-0.087,51,-0.061,-0.032,0.129,-0.033,-0.073,-0.082,0.002,0.090,0.011,-2.264,2.832,"Genesis Scottish Open","The Renaissance Club"
"Wood, Chris",150,-2.218,0.250,34,-0.006,-0.030,-0.197,-0.188,0.014,-0.068,0.018,0.064,0.015,-2.361,2.847,"Genesis Scottish Open","The Renaissance Club"
"Caldwell, Jonathan",150,-2.373,0.096,38,-0.018,-0.008,-0.007,-0.043,-0.067,-0.067,-0.002,0.106,0.038,-2.383,2.803,"Genesis Scottish Open","The Renaissance Club"
"Pavan, Andrea",150,-2.759,0.002,33,-0.002,0.025,0.259,-0.184,-0.011,-0.047,0.037,0.066,0.055,-2.614,3.014,"Genesis Scottish Open","The Renaissance Club"
"Lee, Jaekyeong",150,-2.664,-0.145,22,0.033,0.003,-0.365,-0.000,-0.040,0.019,0.013,0.155,0.188,-2.989,2.803,"Genesis Scottish Open","The Renaissance Club"
