"game_id","nickname","score","rating"
"p4TF7xsJ","BasicBot",403,"1926"
"p4TF7xsJ","Yuki86",211,"1222?"
"p9HzZXCz","BasicBot",370,"1905"
"p9HzZXCz","Hardesi",405,"1717"
"pCzrhoGH","BasicBot",370,"1909"
"pCzrhoGH","erishacbees",250,"1475?"
"pDGAUAam","BasicBot",359,"1492"
"pDGAUAam","DukeOJank",267,"1430"
"Pe8wE8nR","BasicBot",350,"1461"
"Pe8wE8nR","DelrayScrabbler",402,"1646"
"PFaC3zsJ","AaronRoni",401,"1647"
"PFaC3zsJ","BasicBot",268,"1876"
"PFs7wEvS","BasicBot",306,"1520"
"PFs7wEvS","BJCUBBS",335,"1355"
"pFXSvFjH","BasicBot",105,"1932"
"pFXSvFjH","Kendricksoo",49,"1457?"
"PhgdNp4Q","BasicBot",392,"1902"
"PhgdNp4Q","browndav",436,"1936"
"PMZi6MZh","BasicBot",280,"1917"
