player,player_id,position,team_name,player_game_count,assists,franchise_id,hits,hurries,lhs_assists,lhs_hits,lhs_hurries,lhs_misses,lhs_pass_rush_percent,lhs_pass_rush_snaps,lhs_pressures,lhs_prp,lhs_sacks,lhs_stops,lhs_tackles,misses,pass_rush_percent,pass_rush_snaps,pass_snaps,pressures,prp,rhs_assists,rhs_hits,rhs_hurries,rhs_misses,rhs_pass_rush_percent,rhs_pass_rush_snaps,rhs_pressures,rhs_prp,rhs_sacks,rhs_stops,rhs_tackles,sacks,stops,tackles
Kwity Paye,56713,ED,IND,1,0,14,0,1,0,0,1,0,100.0,23,2,6.5,1,2,1,0,100.0,23,23,2,6.5,0,0,0,0,0.0,0,0,,0,0,0,1,2,1
Deatrich Wise Jr.,11886,ED,NE,1,0,19,0,3,0,0,1,0,34.8,8,1,6.3,0,1,1,0,100.0,23,23,3,6.5,0,0,2,0,65.2,15,2,6.7,0,0,0,0,1,1
Bud Dupree,9455,ED,ATL,1,0,2,0,4,0,0,0,0,6.5,2,0,0.0,0,0,0,1,96.9,31,32,4,6.5,0,0,4,1,93.5,29,4,6.9,0,0,0,0,0,0
Devin Lloyd,58238,LB,JAX,1,0,15,0,1,0,0,1,0,57.1,4,1,12.5,0,0,0,0,17.0,8,47,1,6.3,0,0,0,0,42.9,3,0,0.0,0,0,0,0,0,0
Jihad Ward,10678,ED,NYG,1,0,21,1,0,0,1,0,0,62.5,5,1,10.0,0,0,0,0,88.9,8,9,1,6.3,0,0,0,0,37.5,3,0,0.0,0,0,0,0,0,0
Mazi Smith,101419,DI,DAL,1,0,9,0,1,0,0,1,0,25.0,2,1,25.0,0,0,0,0,100.0,8,8,1,6.3,0,0,0,0,75.0,6,0,0.0,0,0,0,0,0,0
Jonathon Cooper,43021,ED,DEN,1,0,10,0,1,0,0,0,0,37.5,3,0,0.0,0,0,0,0,66.7,8,12,1,6.3,0,0,1,0,62.5,5,1,10.0,0,0,0,0,0,0
Ta'Quon Graham,56868,DI,ATL,1,0,2,0,1,0,0,0,0,37.5,3,0,0.0,0,0,0,0,100.0,8,8,1,6.3,0,0,1,0,62.5,5,1,10.0,0,0,0,0,0,0
Javon Hargrave,10723,DI,SF,1,0,28,0,2,0,0,0,0,12.1,4,0,0.0,0,0,0,0,100.0,33,33,3,6.1,0,0,2,0,87.9,29,3,6.9,1,1,0,1,1,0
Charles Harris,11777,ED,DET,1,0,11,1,3,0,0,0,0,27.3,9,0,0.0,0,0,0,0,86.8,33,38,4,6.1,0,1,3,0,72.7,24,4,8.3,0,0,0,0,0,0
Justin Madubuike,44304,DI,BLT,1,0,3,0,3,0,0,2,0,66.7,26,2,3.8,0,0,0,0,100.0,41,41,4,6.1,0,0,1,0,33.3,13,2,11.5,1,1,0,1,1,0
Justin Hollins,48498,ED,GB,1,0,12,0,2,0,0,1,0,17.6,3,1,16.7,0,0,0,0,94.4,17,18,2,5.9,0,0,1,0,82.4,14,1,3.6,0,0,0,0,0,0
Kevin Givens,28308,DI,SF,1,0,28,0,2,0,0,1,0,88.2,15,1,3.3,0,0,0,0,100.0,17,17,2,5.9,0,0,1,0,11.8,2,1,25.0,0,0,0,0,0,0
Yannick Ngakoue,10703,ED,CHI,1,0,6,0,1,0,0,0,0,34.6,9,1,11.1,1,1,0,0,100.0,26,26,2,5.8,0,0,1,0,65.4,17,1,2.9,0,0,0,1,1,0
Jermaine Johnson,99015,ED,NYJ,1,0,22,0,2,0,0,0,0,20.0,7,0,0.0,0,0,0,0,100.0,35,35,3,5.7,0,0,2,0,80.0,28,3,7.1,1,1,1,1,1,1
